Date,Closing Price
10/05/2022,15.00
09/05/2022,14.20
06/05/2022,14.80
05/05/2022,15.05
04/05/2022,14.45
29/04/2022,14.45
28/04/2022,13.80
27/04/2022,12.90
26/04/2022,12.70
25/04/2022,12.80
22/04/2022,12.90
21/04/2022,12.70
20/04/2022,12.90
19/04/2022,12.80
18/04/2022,12.90
15/04/2022,13.20
14/04/2022,13.05
13/04/2022,12.95
12/04/2022,12.90
08/04/2022,13.50
07/04/2022,13.70
06/04/2022,13.60
05/04/2022,13.75
04/04/2022,13.55
01/04/2022,13.40
31/03/2022,13.70
30/03/2022,13.70
29/03/2022,14.10
28/03/2022,14.15
25/03/2022,14.40
24/03/2022,14.70
23/03/2022,14.70
22/03/2022,14.80
21/03/2022,14.75
18/03/2022,14.65
17/03/2022,14.70
16/03/2022,14.35
15/03/2022,14.10
14/03/2022,14.50
11/03/2022,14.55
10/03/2022,14.55
09/03/2022,14.60
08/03/2022,14.50
07/03/2022,14.25
04/03/2022,14.15
03/03/2022,14.05
02/03/2022,13.55
01/03/2022,13.55
28/02/2022,13.60
25/02/2022,13.90
24/02/2022,13.90
23/02/2022,13.90
22/02/2022,13.80
21/02/2022,13.60
18/02/2022,13.55
17/02/2022,13.40
16/02/2022,13.45
15/02/2022,13.80
14/02/2022,13.60
11/02/2022,13.75
10/02/2022,13.45
09/02/2022,13.00
08/02/2022,13.00
07/02/2022,12.85
28/01/2022,12.40
27/01/2022,12.20
26/01/2022,12.30
25/01/2022,12.40
24/01/2022,12.40
21/01/2022,13.30
20/01/2022,13.40
19/01/2022,13.00
18/01/2022,13.85
17/01/2022,14.85
14/01/2022,15.60
13/01/2022,15.75
12/01/2022,16.20
11/01/2022,16.60
10/01/2022,16.80
07/01/2022,17.35
06/01/2022,17.85
05/01/2022,17.65
04/01/2022,17.80
31/12/2021,18.00
30/12/2021,17.55
29/12/2021,17.55
28/12/2021,18.30
27/12/2021,18.50
24/12/2021,19.00
23/12/2021,18.80
22/12/2021,19.50
21/12/2021,18.40
20/12/2021,18.50
17/12/2021,18.80
16/12/2021,18.75
15/12/2021,18.85
14/12/2021,18.90
13/12/2021,18.90
10/12/2021,18.90
09/12/2021,18.80
08/12/2021,19.25
07/12/2021,19.35
06/12/2021,19.40
03/12/2021,19.75
02/12/2021,19.70
01/12/2021,19.85
30/11/2021,19.60
29/11/2021,19.75
26/11/2021,19.90
25/11/2021,20.25
24/11/2021,19.55
23/11/2021,19.80
22/11/2021,19.50
19/11/2021,20.50
18/11/2021,20.80
17/11/2021,21.00
16/11/2021,21.00
15/11/2021,21.00
12/11/2021,21.50
11/11/2021,21.10
10/11/2021,21.15
09/11/2021,21.30
08/11/2021,20.70
05/11/2021,19.80
04/11/2021,19.60
03/11/2021,19.80
02/11/2021,20.25
01/11/2021,20.25
29/10/2021,20.30
28/10/2021,20.25
27/10/2021,20.35
26/10/2021,19.20
25/10/2021,19.25
22/10/2021,19.60
21/10/2021,19.40
20/10/2021,18.95
19/10/2021,18.90
18/10/2021,19.50
15/10/2021,20.10
14/10/2021,20.60
13/10/2021,23.70
12/10/2021,23.40
11/10/2021,23.30
08/10/2021,23.20
07/10/2021,23.35
06/10/2021,22.60
05/10/2021,22.15
04/10/2021,22.20
01/10/2021,22.00
30/09/2021,22.00
29/09/2021,22.10
28/09/2021,21.70
27/09/2021,21.90
24/09/2021,22.35
23/09/2021,22.50
22/09/2021,22.60
21/09/2021,22.00
20/09/2021,22.70
17/09/2021,23.00
16/09/2021,22.55
15/09/2021,22.80
14/09/2021,22.30
13/09/2021,22.45
10/09/2021,22.95
09/09/2021,21.70
08/09/2021,21.70
07/09/2021,21.80
06/09/2021,21.95
01/09/2021,20.55
31/08/2021,20.35
30/08/2021,20.60
27/08/2021,20.80
26/08/2021,20.30
25/08/2021,19.30
24/08/2021,19.25
23/08/2021,19.20
20/08/2021,19.50
19/08/2021,19.80
18/08/2021,19.50
17/08/2021,19.80
16/08/2021,19.80
13/08/2021,19.60
12/08/2021,19.25
11/08/2021,19.35
10/08/2021,18.20
09/08/2021,18.50
06/08/2021,18.50
05/08/2021,18.80
04/08/2021,17.80
03/08/2021,17.90
02/08/2021,17.90
30/07/2021,17.60
29/07/2021,17.60
28/07/2021,17.60
27/07/2021,17.70
26/07/2021,17.50
23/07/2021,17.80
22/07/2021,18.10
21/07/2021,18.00
20/07/2021,17.60
19/07/2021,16.60
16/07/2021,16.85
15/07/2021,16.50
14/07/2021,16.80
13/07/2021,17.50
12/07/2021,17.80
09/07/2021,18.60
08/07/2021,18.60
07/07/2021,19.00
06/07/2021,19.35
05/07/2021,19.70
02/07/2021,19.80
01/07/2021,19.85
30/06/2021,19.75
29/06/2021,19.95
28/06/2021,19.95
25/06/2021,20.25
24/06/2021,20.10
23/06/2021,20.20
22/06/2021,20.30
21/06/2021,20.25
18/06/2021,20.50
17/06/2021,20.40
16/06/2021,20.50
15/06/2021,20.70
14/06/2021,20.60
11/06/2021,20.80
10/06/2021,19.85
09/06/2021,19.95
08/06/2021,19.80
07/06/2021,19.60
04/06/2021,19.45
03/06/2021,19.50
02/06/2021,19.30
01/06/2021,19.50
31/05/2021,19.50
28/05/2021,19.80
27/05/2021,19.50
26/05/2021,20.25
25/05/2021,20.65
24/05/2021,20.75
21/05/2021,21.00
20/05/2021,21.50
19/05/2021,20.75
18/05/2021,19.60
17/05/2021,19.80
14/05/2021,20.35
13/05/2021,19.35
12/05/2021,18.10
11/05/2021,18.20
10/05/2021,18.00
07/05/2021,18.20
06/05/2021,18.60
05/05/2021,17.65
04/05/2021,16.50
29/04/2021,16.75
28/04/2021,16.90
27/04/2021,16.80
26/04/2021,16.80
23/04/2021,17.10
22/04/2021,16.00
20/04/2021,16.80
19/04/2021,16.20
16/04/2021,16.50
15/04/2021,15.90
14/04/2021,15.55
13/04/2021,15.65
12/04/2021,15.05
09/04/2021,14.10
08/04/2021,13.20
07/04/2021,13.50
06/04/2021,13.45
05/04/2021,12.60
02/04/2021,13.00
