Date,Closing Price
10/05/2022,4.15
09/05/2022,3.97
06/05/2022,4.26
05/05/2022,4.40
04/05/2022,4.60
29/04/2022,4.94
28/04/2022,4.62
27/04/2022,4.44
26/04/2022,4.17
25/04/2022,3.90
22/04/2022,3.81
21/04/2022,3.57
20/04/2022,3.83
19/04/2022,4.11
18/04/2022,4.41
15/04/2022,4.74
14/04/2022,5.09
13/04/2022,4.96
12/04/2022,4.87
08/04/2022,5.23
07/04/2022,5.45
06/04/2022,5.42
05/04/2022,5.80
04/04/2022,6.13
01/04/2022,5.73
31/03/2022,5.36
30/03/2022,5.76
29/03/2022,6.19
28/03/2022,6.65
25/03/2022,7.15
24/03/2022,7.10
23/03/2022,7.11
22/03/2022,7.15
21/03/2022,7.15
18/03/2022,7.03
17/03/2022,7.11
16/03/2022,6.87
15/03/2022,6.55
14/03/2022,6.45
11/03/2022,6.80
10/03/2022,6.99
09/03/2022,6.87
08/03/2022,7.08
07/03/2022,6.77
04/03/2022,6.33
03/03/2022,6.25
02/03/2022,6.24
01/03/2022,6.25
28/02/2022,6.11
25/02/2022,6.11
24/02/2022,6.01
23/02/2022,6.28
22/02/2022,6.28
21/02/2022,6.32
18/02/2022,6.13
17/02/2022,6.11
16/02/2022,6.19
15/02/2022,5.82
14/02/2022,5.80
11/02/2022,5.89
10/02/2022,6.03
09/02/2022,5.98
08/02/2022,5.95
07/02/2022,5.77
28/01/2022,5.40
27/01/2022,5.20
26/01/2022,5.20
25/01/2022,5.57
24/01/2022,5.98
21/01/2022,6.42
20/01/2022,5.91
19/01/2022,6.22
18/01/2022,6.68
17/01/2022,7.18
14/01/2022,7.71
13/01/2022,8.29
12/01/2022,8.91
11/01/2022,9.58
10/01/2022,10.30
07/01/2022,10.25
06/01/2022,9.58
05/01/2022,8.96
04/01/2022,8.60
31/12/2021,8.20
30/12/2021,8.37
29/12/2021,8.51
28/12/2021,8.65
27/12/2021,8.47
24/12/2021,8.13
23/12/2021,8.38
22/12/2021,9.00
21/12/2021,8.60
20/12/2021,8.25
17/12/2021,8.15
16/12/2021,8.43
15/12/2021,7.88
14/12/2021,7.47
13/12/2021,7.44
10/12/2021,6.97
09/12/2021,6.73
08/12/2021,6.62
07/12/2021,6.40
06/12/2021,6.31
03/12/2021,6.55
02/12/2021,6.56
01/12/2021,6.54
30/11/2021,6.12
29/11/2021,6.04
26/11/2021,6.03
25/11/2021,6.15
24/11/2021,6.03
23/11/2021,6.07
22/11/2021,6.12
19/11/2021,6.58
18/11/2021,6.80
17/11/2021,6.59
16/11/2021,6.56
15/11/2021,7.05
12/11/2021,6.60
11/11/2021,6.38
10/11/2021,6.09
09/11/2021,6.16
08/11/2021,6.09
05/11/2021,5.70
04/11/2021,5.33
03/11/2021,5.31
02/11/2021,5.43
01/11/2021,5.40
29/10/2021,5.19
28/10/2021,5.22
27/10/2021,5.28
26/10/2021,5.28
25/10/2021,5.15
22/10/2021,5.18
21/10/2021,5.30
20/10/2021,5.06
19/10/2021,4.94
18/10/2021,4.95
15/10/2021,4.96
14/10/2021,4.99
13/10/2021,4.92
12/10/2021,4.98
11/10/2021,5.06
08/10/2021,4.97
07/10/2021,4.91
06/10/2021,4.88
05/10/2021,4.84
04/10/2021,4.98
01/10/2021,4.71
30/09/2021,4.80
29/09/2021,4.77
28/09/2021,4.89
27/09/2021,4.91
24/09/2021,5.24
23/09/2021,5.27
22/09/2021,5.47
21/09/2021,5.12
20/09/2021,5.12
17/09/2021,5.07
16/09/2021,5.26
15/09/2021,5.00
14/09/2021,5.08
13/09/2021,4.75
10/09/2021,4.51
09/09/2021,4.42
08/09/2021,4.40
07/09/2021,4.40
06/09/2021,4.65
01/09/2021,4.35
31/08/2021,4.40
30/08/2021,4.30
27/08/2021,4.17
26/08/2021,4.16
25/08/2021,4.11
24/08/2021,4.11
23/08/2021,4.20
20/08/2021,4.16
19/08/2021,4.43
18/08/2021,4.50
17/08/2021,4.56
16/08/2021,4.63
13/08/2021,4.67
12/08/2021,4.68
11/08/2021,4.50
10/08/2021,4.47
09/08/2021,4.55
06/08/2021,4.51
05/08/2021,4.80
04/08/2021,4.68
03/08/2021,4.38
02/08/2021,4.10
30/07/2021,4.01
29/07/2021,4.00
28/07/2021,3.97
27/07/2021,3.97
26/07/2021,3.94
23/07/2021,3.93
22/07/2021,3.99
21/07/2021,3.95
20/07/2021,4.06
19/07/2021,3.83
16/07/2021,4.11
15/07/2021,4.27
14/07/2021,4.28
13/07/2021,4.03
12/07/2021,3.77
09/07/2021,4.05
08/07/2021,4.35
07/07/2021,4.29
06/07/2021,4.60
05/07/2021,4.90
02/07/2021,5.10
01/07/2021,5.26
30/06/2021,5.32
29/06/2021,5.30
28/06/2021,5.30
25/06/2021,5.34
24/06/2021,5.37
23/06/2021,5.39
22/06/2021,5.47
21/06/2021,5.43
18/06/2021,5.58
17/06/2021,5.69
16/06/2021,5.37
15/06/2021,5.26
14/06/2021,5.40
11/06/2021,5.50
10/06/2021,5.42
09/06/2021,5.43
08/06/2021,5.47
07/06/2021,5.51
04/06/2021,5.82
03/06/2021,5.99
02/06/2021,5.69
01/06/2021,5.43
31/05/2021,5.55
28/05/2021,5.75
27/05/2021,5.40
26/05/2021,5.68
25/05/2021,6.10
24/05/2021,6.29
21/05/2021,6.33
20/05/2021,6.22
19/05/2021,6.60
18/05/2021,6.60
17/05/2021,7.00
14/05/2021,6.75
13/05/2021,6.70
12/05/2021,6.75
11/05/2021,6.60
10/05/2021,6.87
07/05/2021,7.38
06/05/2021,7.01
05/05/2021,7.52
04/05/2021,7.03
29/04/2021,7.00
28/04/2021,7.24
27/04/2021,6.77
26/04/2021,7.26
23/04/2021,7.80
22/04/2021,7.43
20/04/2021,6.95
19/04/2021,6.50
16/04/2021,6.58
15/04/2021,6.35
14/04/2021,5.94
13/04/2021,5.56
12/04/2021,5.24
09/04/2021,4.90
08/04/2021,4.58
07/04/2021,4.77
06/04/2021,4.48
05/04/2021,4.19
02/04/2021,3.92
01/04/2021,3.85
31/03/2021,4.02
30/03/2021,4.03
29/03/2021,3.77
26/03/2021,3.53
25/03/2021,3.53
24/03/2021,3.59
23/03/2021,3.70
22/03/2021,3.67
19/03/2021,3.45
18/03/2021,3.30
17/03/2021,3.26
16/03/2021,3.37
15/03/2021,3.48
12/03/2021,3.26
11/03/2021,3.24
10/03/2021,3.29
09/03/2021,3.25
08/03/2021,3.17
05/03/2021,3.17
04/03/2021,3.17
03/03/2021,3.20
02/03/2021,3.15
01/03/2021,3.15
26/02/2021,3.10
25/02/2021,3.12
24/02/2021,3.15
23/02/2021,3.25
22/02/2021,3.04
19/02/2021,2.99
18/02/2021,3.00
17/02/2021,3.01
09/02/2021,2.85
08/02/2021,2.80
05/02/2021,2.99
