Date,Closing Price
10/05/2022,23.20
09/05/2022,22.30
06/05/2022,22.40
05/05/2022,20.95
04/05/2022,20.80
29/04/2022,20.20
28/04/2022,20.05
27/04/2022,19.90
26/04/2022,19.75
25/04/2022,20.00
22/04/2022,19.80
21/04/2022,21.25
20/04/2022,22.80
19/04/2022,23.05
18/04/2022,24.75
15/04/2022,25.00
14/04/2022,25.80
13/04/2022,25.70
12/04/2022,25.80
08/04/2022,25.85
07/04/2022,26.25
06/04/2022,26.40
05/04/2022,26.60
04/04/2022,26.60
01/04/2022,26.65
31/03/2022,26.20
30/03/2022,26.20
29/03/2022,26.20
28/03/2022,26.30
25/03/2022,27.30
24/03/2022,27.25
23/03/2022,27.40
22/03/2022,27.20
21/03/2022,27.00
18/03/2022,27.00
17/03/2022,27.45
16/03/2022,27.10
15/03/2022,27.90
14/03/2022,27.65
11/03/2022,27.80
10/03/2022,27.85
09/03/2022,27.90
08/03/2022,27.05
07/03/2022,28.40
04/03/2022,28.95
03/03/2022,29.45
02/03/2022,27.80
01/03/2022,26.00
28/02/2022,25.40
25/02/2022,25.75
24/02/2022,25.60
23/02/2022,26.10
22/02/2022,25.15
21/02/2022,25.10
18/02/2022,25.35
17/02/2022,25.55
16/02/2022,25.40
15/02/2022,25.10
14/02/2022,24.90
11/02/2022,25.85
10/02/2022,25.95
09/02/2022,25.75
08/02/2022,25.90
07/02/2022,25.25
28/01/2022,24.40
27/01/2022,24.10
26/01/2022,24.65
25/01/2022,24.70
24/01/2022,26.00
21/01/2022,26.90
20/01/2022,27.75
19/01/2022,26.75
18/01/2022,26.75
17/01/2022,28.00
14/01/2022,29.40
13/01/2022,30.00
12/01/2022,30.75
11/01/2022,29.95
10/01/2022,28.00
07/01/2022,29.45
06/01/2022,29.65
05/01/2022,29.25
04/01/2022,27.35
31/12/2021,25.60
30/12/2021,25.60
29/12/2021,25.60
28/12/2021,25.80
27/12/2021,25.85
24/12/2021,25.90
23/12/2021,25.90
22/12/2021,26.15
21/12/2021,26.00
20/12/2021,25.25
17/12/2021,25.45
16/12/2021,26.00
15/12/2021,26.00
14/12/2021,25.50
13/12/2021,25.50
10/12/2021,25.50
09/12/2021,25.50
08/12/2021,24.90
07/12/2021,25.00
06/12/2021,25.00
03/12/2021,26.20
02/12/2021,27.00
01/12/2021,27.00
30/11/2021,27.00
29/11/2021,27.00
26/11/2021,25.25
25/11/2021,25.85
24/11/2021,26.20
23/11/2021,26.40
22/11/2021,24.95
19/11/2021,26.80
18/11/2021,28.20
17/11/2021,28.50
16/11/2021,28.50
15/11/2021,29.90
12/11/2021,28.90
11/11/2021,28.70
10/11/2021,26.85
09/11/2021,25.10
08/11/2021,25.00
05/11/2021,24.30
04/11/2021,23.60
03/11/2021,24.00
02/11/2021,24.25
01/11/2021,22.70
29/10/2021,22.60
28/10/2021,22.60
27/10/2021,22.45
26/10/2021,22.50
25/10/2021,22.50
22/10/2021,22.20
21/10/2021,22.20
20/10/2021,22.35
19/10/2021,22.90
18/10/2021,22.60
15/10/2021,23.00
14/10/2021,23.00
13/10/2021,22.90
12/10/2021,23.25
11/10/2021,23.20
08/10/2021,22.80
07/10/2021,22.95
06/10/2021,22.85
05/10/2021,23.00
04/10/2021,23.00
01/10/2021,23.20
30/09/2021,23.35
29/09/2021,22.95
28/09/2021,22.70
27/09/2021,22.80
24/09/2021,23.65
23/09/2021,23.20
22/09/2021,22.70
21/09/2021,21.90
20/09/2021,22.35
17/09/2021,22.80
16/09/2021,22.80
15/09/2021,22.35
14/09/2021,22.00
13/09/2021,22.00
10/09/2021,21.40
09/09/2021,20.95
08/09/2021,21.00
07/09/2021,21.05
06/09/2021,21.35
01/09/2021,21.00
31/08/2021,21.40
30/08/2021,21.25
27/08/2021,20.75
26/08/2021,20.65
25/08/2021,20.80
24/08/2021,20.75
23/08/2021,21.50
20/08/2021,22.25
19/08/2021,21.75
18/08/2021,20.35
17/08/2021,20.55
16/08/2021,20.70
13/08/2021,20.30
12/08/2021,20.50
11/08/2021,20.80
10/08/2021,20.50
09/08/2021,20.50
06/08/2021,20.70
05/08/2021,20.55
04/08/2021,20.50
03/08/2021,20.70
02/08/2021,20.75
30/07/2021,20.40
29/07/2021,21.00
28/07/2021,21.00
27/07/2021,20.65
26/07/2021,20.50
23/07/2021,20.60
22/07/2021,20.80
21/07/2021,20.45
20/07/2021,20.50
19/07/2021,20.80
16/07/2021,21.30
15/07/2021,21.45
14/07/2021,21.40
13/07/2021,21.30
12/07/2021,20.60
09/07/2021,21.95
08/07/2021,22.30
07/07/2021,22.30
06/07/2021,21.35
05/07/2021,22.60
02/07/2021,22.80
01/07/2021,22.80
30/06/2021,22.00
29/06/2021,23.25
28/06/2021,22.95
25/06/2021,23.10
24/06/2021,22.60
23/06/2021,23.40
22/06/2021,23.50
21/06/2021,24.30
18/06/2021,23.00
17/06/2021,22.90
16/06/2021,22.00
15/06/2021,22.00
14/06/2021,21.25
11/06/2021,21.20
10/06/2021,21.30
09/06/2021,21.00
08/06/2021,21.30
07/06/2021,21.30
04/06/2021,21.40
03/06/2021,21.50
02/06/2021,21.00
01/06/2021,20.70
31/05/2021,20.90
28/05/2021,21.30
27/05/2021,21.40
26/05/2021,21.50
25/05/2021,21.60
24/05/2021,21.95
21/05/2021,21.65
20/05/2021,21.50
19/05/2021,21.70
18/05/2021,22.00
17/05/2021,22.10
14/05/2021,22.30
13/05/2021,22.35
12/05/2021,22.60
11/05/2021,22.55
10/05/2021,22.75
07/05/2021,23.00
06/05/2021,22.55
05/05/2021,22.30
04/05/2021,22.30
29/04/2021,22.35
28/04/2021,22.35
27/04/2021,22.20
26/04/2021,22.20
23/04/2021,22.60
22/04/2021,22.70
20/04/2021,23.05
19/04/2021,23.40
16/04/2021,23.20
15/04/2021,23.50
14/04/2021,24.30
13/04/2021,24.50
12/04/2021,25.30
09/04/2021,24.35
08/04/2021,23.80
07/04/2021,24.30
06/04/2021,23.90
05/04/2021,24.00
02/04/2021,24.30
01/04/2021,24.90
31/03/2021,24.50
30/03/2021,24.30
29/03/2021,23.50
26/03/2021,23.00
25/03/2021,23.25
24/03/2021,23.20
23/03/2021,24.35
22/03/2021,24.60
19/03/2021,24.70
18/03/2021,25.10
17/03/2021,25.10
16/03/2021,25.00
15/03/2021,25.40
12/03/2021,24.30
11/03/2021,24.40
10/03/2021,24.70
09/03/2021,24.70
08/03/2021,23.10
05/03/2021,23.00
04/03/2021,22.80
03/03/2021,23.80
02/03/2021,22.85
01/03/2021,22.90
26/02/2021,22.80
25/02/2021,22.30
24/02/2021,22.60
23/02/2021,23.40
22/02/2021,22.70
19/02/2021,22.50
18/02/2021,22.10
17/02/2021,22.20
09/02/2021,21.10
08/02/2021,20.40
05/02/2021,21.80
04/02/2021,21.50
03/02/2021,21.30
02/02/2021,20.20
01/02/2021,20.50
29/01/2021,20.50
