Date,Closing Price
10/05/2022,16.00
09/05/2022,15.80
06/05/2022,16.95
05/05/2022,18.20
04/05/2022,18.65
29/04/2022,18.95
28/04/2022,18.40
27/04/2022,18.55
26/04/2022,18.30
25/04/2022,17.95
22/04/2022,19.25
21/04/2022,18.70
20/04/2022,20.10
19/04/2022,21.60
18/04/2022,23.20
15/04/2022,24.90
14/04/2022,25.75
13/04/2022,26.15
12/04/2022,25.60
08/04/2022,26.65
07/04/2022,26.25
06/04/2022,27.70
05/04/2022,28.15
04/04/2022,28.70
01/04/2022,29.00
31/03/2022,27.80
30/03/2022,28.60
29/03/2022,30.50
28/03/2022,29.30
25/03/2022,30.10
24/03/2022,28.75
23/03/2022,26.90
22/03/2022,26.30
21/03/2022,26.10
18/03/2022,25.80
17/03/2022,26.70
16/03/2022,26.60
15/03/2022,24.90
14/03/2022,24.80
11/03/2022,25.25
10/03/2022,25.70
09/03/2022,25.95
08/03/2022,26.25
07/03/2022,26.35
04/03/2022,26.75
03/03/2022,27.10
02/03/2022,26.80
01/03/2022,27.00
28/02/2022,26.25
25/02/2022,26.90
24/02/2022,26.80
23/02/2022,28.10
22/02/2022,28.15
21/02/2022,28.60
18/02/2022,28.60
17/02/2022,28.80
16/02/2022,28.60
15/02/2022,28.55
14/02/2022,28.20
11/02/2022,29.50
10/02/2022,29.35
09/02/2022,34.30
08/02/2022,33.10
07/02/2022,32.30
28/01/2022,31.20
27/01/2022,31.00
26/01/2022,31.60
25/01/2022,30.95
24/01/2022,30.90
21/01/2022,32.00
20/01/2022,31.50
19/01/2022,31.60
18/01/2022,32.50
17/01/2022,33.05
14/01/2022,33.95
13/01/2022,33.95
12/01/2022,34.70
11/01/2022,34.50
10/01/2022,35.95
07/01/2022,37.00
06/01/2022,37.25
05/01/2022,37.15
04/01/2022,37.65
31/12/2021,37.15
30/12/2021,37.40
29/12/2021,38.10
28/12/2021,38.40
27/12/2021,37.30
24/12/2021,36.70
23/12/2021,37.50
22/12/2021,37.50
21/12/2021,36.15
20/12/2021,33.80
17/12/2021,34.65
16/12/2021,35.55
15/12/2021,36.00
14/12/2021,35.90
13/12/2021,36.40
10/12/2021,36.80
09/12/2021,37.30
08/12/2021,36.35
07/12/2021,35.80
06/12/2021,34.45
03/12/2021,37.00
02/12/2021,38.70
01/12/2021,38.40
30/11/2021,39.70
29/11/2021,40.30
26/11/2021,40.45
25/11/2021,40.75
24/11/2021,40.95
23/11/2021,40.70
22/11/2021,40.60
19/11/2021,42.10
18/11/2021,43.65
17/11/2021,43.85
16/11/2021,43.30
15/11/2021,44.70
12/11/2021,45.40
11/11/2021,44.95
10/11/2021,43.50
09/11/2021,42.00
08/11/2021,42.30
05/11/2021,42.20
04/11/2021,41.40
03/11/2021,42.00
02/11/2021,43.90
01/11/2021,42.90
29/10/2021,42.00
28/10/2021,42.00
27/10/2021,42.00
26/10/2021,42.00
25/10/2021,42.20
22/10/2021,41.10
21/10/2021,40.55
20/10/2021,41.00
19/10/2021,41.40
18/10/2021,41.90
15/10/2021,42.00
14/10/2021,41.85
13/10/2021,41.80
12/10/2021,42.45
11/10/2021,41.20
08/10/2021,41.00
07/10/2021,41.20
06/10/2021,42.20
05/10/2021,42.45
04/10/2021,41.60
01/10/2021,40.30
30/09/2021,40.60
29/09/2021,40.60
28/09/2021,41.45
27/09/2021,42.00
24/09/2021,44.20
23/09/2021,44.40
22/09/2021,44.20
21/09/2021,44.60
20/09/2021,44.40
17/09/2021,43.20
16/09/2021,46.30
15/09/2021,48.00
14/09/2021,47.00
13/09/2021,50.00
10/09/2021,50.50
09/09/2021,51.20
08/09/2021,51.90
07/09/2021,51.40
06/09/2021,55.20
01/09/2021,53.00
31/08/2021,53.70
30/08/2021,53.70
27/08/2021,50.20
26/08/2021,47.00
25/08/2021,47.50
24/08/2021,48.90
23/08/2021,50.90
20/08/2021,51.50
19/08/2021,50.50
18/08/2021,47.20
17/08/2021,47.50
16/08/2021,48.80
13/08/2021,46.80
12/08/2021,45.80
11/08/2021,47.50
10/08/2021,48.40
09/08/2021,49.60
06/08/2021,46.90
05/08/2021,45.00
04/08/2021,45.00
03/08/2021,45.20
02/08/2021,46.20
30/07/2021,45.75
29/07/2021,45.40
28/07/2021,44.40
27/07/2021,44.30
26/07/2021,43.90
23/07/2021,45.40
22/07/2021,46.20
21/07/2021,45.50
20/07/2021,45.20
19/07/2021,47.90
16/07/2021,51.00
15/07/2021,51.00
14/07/2021,50.00
13/07/2021,49.90
12/07/2021,50.50
09/07/2021,54.30
08/07/2021,56.50
07/07/2021,55.20
06/07/2021,55.20
05/07/2021,55.30
02/07/2021,57.00
01/07/2021,58.50
30/06/2021,58.60
29/06/2021,59.30
28/06/2021,58.90
25/06/2021,59.60
24/06/2021,58.80
23/06/2021,61.00
22/06/2021,61.60
21/06/2021,63.00
18/06/2021,66.80
17/06/2021,62.80
16/06/2021,62.50
15/06/2021,62.50
14/06/2021,62.70
11/06/2021,62.70
10/06/2021,63.00
09/06/2021,60.20
08/06/2021,60.20
07/06/2021,62.00
04/06/2021,62.40
03/06/2021,62.40
02/06/2021,63.60
01/06/2021,68.30
31/05/2021,73.30
28/05/2021,70.50
27/05/2021,67.80
26/05/2021,63.40
25/05/2021,62.90
24/05/2021,61.50
21/05/2021,58.80
20/05/2021,59.00
19/05/2021,56.70
18/05/2021,56.30
17/05/2021,57.40
14/05/2021,57.00
13/05/2021,57.10
12/05/2021,57.00
11/05/2021,57.30
10/05/2021,56.80
07/05/2021,54.00
06/05/2021,53.60
05/05/2021,53.60
04/05/2021,54.20
29/04/2021,53.60
28/04/2021,54.40
27/04/2021,54.30
26/04/2021,52.90
23/04/2021,50.90
22/04/2021,49.20
20/04/2021,50.40
19/04/2021,49.50
16/04/2021,49.70
15/04/2021,49.60
14/04/2021,49.60
13/04/2021,49.50
12/04/2021,50.00
09/04/2021,50.70
08/04/2021,50.70
07/04/2021,51.10
06/04/2021,48.70
05/04/2021,48.70
02/04/2021,48.60
01/04/2021,48.45
31/03/2021,48.70
30/03/2021,48.70
29/03/2021,48.75
26/03/2021,48.50
25/03/2021,48.50
