Date,Closing Price
10/05/2022,18.65
09/05/2022,17.85
06/05/2022,19.15
05/05/2022,19.15
04/05/2022,19.95
29/04/2022,19.50
28/04/2022,18.55
27/04/2022,18.95
26/04/2022,18.00
25/04/2022,16.85
22/04/2022,18.10
21/04/2022,19.35
20/04/2022,20.80
19/04/2022,22.35
18/04/2022,24.00
15/04/2022,23.90
14/04/2022,23.35
13/04/2022,23.75
12/04/2022,22.60
08/04/2022,21.80
07/04/2022,21.50
06/04/2022,23.10
05/04/2022,24.80
04/04/2022,23.95
01/04/2022,25.70
31/03/2022,24.80
30/03/2022,24.00
29/03/2022,24.50
28/03/2022,24.90
25/03/2022,23.30
24/03/2022,21.85
23/03/2022,22.35
22/03/2022,20.90
21/03/2022,20.85
18/03/2022,20.65
17/03/2022,20.50
16/03/2022,19.90
15/03/2022,18.60
14/03/2022,18.55
11/03/2022,18.50
10/03/2022,18.15
09/03/2022,17.50
08/03/2022,17.20
07/03/2022,17.95
04/03/2022,18.30
03/03/2022,18.60
02/03/2022,17.95
01/03/2022,18.10
28/02/2022,17.65
25/02/2022,17.20
24/02/2022,17.00
23/02/2022,17.65
22/02/2022,17.50
21/02/2022,18.00
18/02/2022,17.60
17/02/2022,17.10
16/02/2022,17.30
15/02/2022,16.25
14/02/2022,16.10
11/02/2022,16.00
10/02/2022,16.10
09/02/2022,16.20
08/02/2022,15.90
07/02/2022,15.65
28/01/2022,14.85
27/01/2022,14.60
26/01/2022,14.45
25/01/2022,14.80
24/01/2022,14.65
21/01/2022,15.70
20/01/2022,15.15
19/01/2022,14.25
18/01/2022,14.95
17/01/2022,16.05
14/01/2022,17.25
13/01/2022,21.25
12/01/2022,22.00
11/01/2022,23.00
10/01/2022,23.80
07/01/2022,25.00
06/01/2022,24.80
05/01/2022,24.60
04/01/2022,23.00
31/12/2021,22.85
30/12/2021,22.60
29/12/2021,22.40
28/12/2021,22.85
27/12/2021,22.55
24/12/2021,23.10
23/12/2021,23.40
22/12/2021,22.70
21/12/2021,21.25
20/12/2021,21.10
17/12/2021,21.30
16/12/2021,21.70
15/12/2021,21.65
14/12/2021,21.35
13/12/2021,21.60
10/12/2021,20.40
09/12/2021,20.25
08/12/2021,19.65
07/12/2021,19.75
06/12/2021,18.90
03/12/2021,20.30
02/12/2021,21.80
01/12/2021,21.35
30/11/2021,21.45
29/11/2021,21.60
26/11/2021,21.30
25/11/2021,22.00
24/11/2021,22.00
23/11/2021,22.50
22/11/2021,21.40
19/11/2021,23.00
18/11/2021,22.85
17/11/2021,21.40
16/11/2021,21.10
15/11/2021,21.65
12/11/2021,20.55
11/11/2021,20.55
10/11/2021,20.35
09/11/2021,19.65
08/11/2021,19.20
05/11/2021,18.60
04/11/2021,18.55
03/11/2021,18.00
02/11/2021,19.25
01/11/2021,19.25
29/10/2021,18.70
28/10/2021,18.05
27/10/2021,17.85
26/10/2021,18.00
25/10/2021,18.00
22/10/2021,18.15
21/10/2021,17.70
20/10/2021,17.15
19/10/2021,17.15
18/10/2021,17.35
15/10/2021,17.30
14/10/2021,16.50
13/10/2021,16.60
12/10/2021,16.10
11/10/2021,15.75
08/10/2021,15.95
07/10/2021,16.30
06/10/2021,15.95
05/10/2021,15.45
04/10/2021,15.40
01/10/2021,14.95
30/09/2021,15.20
29/09/2021,15.20
28/09/2021,14.95
27/09/2021,14.75
24/09/2021,15.85
23/09/2021,16.20
22/09/2021,16.50
21/09/2021,15.85
20/09/2021,16.05
17/09/2021,16.40
16/09/2021,16.25
15/09/2021,16.25
14/09/2021,15.90
13/09/2021,15.75
10/09/2021,16.35
09/09/2021,16.50
08/09/2021,16.15
07/09/2021,15.90
06/09/2021,17.05
01/09/2021,17.05
31/08/2021,15.95
30/08/2021,15.85
27/08/2021,15.20
26/08/2021,14.25
25/08/2021,14.35
24/08/2021,13.80
23/08/2021,14.00
20/08/2021,14.75
19/08/2021,15.75
18/08/2021,15.60
17/08/2021,15.40
16/08/2021,15.25
13/08/2021,15.60
12/08/2021,15.50
11/08/2021,14.95
10/08/2021,14.40
09/08/2021,14.20
06/08/2021,13.30
05/08/2021,13.40
04/08/2021,13.20
03/08/2021,13.00
02/08/2021,13.05
30/07/2021,12.70
29/07/2021,12.90
28/07/2021,12.80
27/07/2021,13.15
26/07/2021,13.15
23/07/2021,13.40
22/07/2021,13.20
21/07/2021,12.35
20/07/2021,12.10
19/07/2021,11.75
16/07/2021,12.50
15/07/2021,12.10
14/07/2021,11.60
13/07/2021,11.50
12/07/2021,11.40
09/07/2021,12.25
08/07/2021,12.75
07/07/2021,12.60
06/07/2021,13.00
05/07/2021,13.55
02/07/2021,13.85
01/07/2021,13.95
30/06/2021,13.90
29/06/2021,14.20
28/06/2021,13.95
25/06/2021,13.85
24/06/2021,13.95
23/06/2021,14.35
22/06/2021,14.70
21/06/2021,14.80
18/06/2021,14.35
17/06/2021,14.50
16/06/2021,13.95
15/06/2021,13.65
14/06/2021,13.90
11/06/2021,14.00
10/06/2021,14.20
09/06/2021,13.60
08/06/2021,13.30
07/06/2021,14.25
04/06/2021,14.70
03/06/2021,14.85
02/06/2021,13.90
01/06/2021,13.60
31/05/2021,13.75
28/05/2021,12.95
27/05/2021,12.85
26/05/2021,13.00
25/05/2021,13.65
24/05/2021,13.15
21/05/2021,12.30
20/05/2021,11.50
19/05/2021,12.00
18/05/2021,12.40
17/05/2021,12.90
14/05/2021,13.30
13/05/2021,13.45
12/05/2021,13.25
11/05/2021,13.05
10/05/2021,12.90
07/05/2021,13.45
06/05/2021,13.55
05/05/2021,13.90
04/05/2021,13.55
29/04/2021,14.30
28/04/2021,14.55
27/04/2021,14.40
26/04/2021,14.15
23/04/2021,14.80
22/04/2021,14.50
20/04/2021,15.30
19/04/2021,15.60
16/04/2021,15.05
15/04/2021,15.40
14/04/2021,15.70
13/04/2021,15.70
12/04/2021,16.30
09/04/2021,16.50
08/04/2021,16.55
07/04/2021,15.85
06/04/2021,15.35
05/04/2021,15.40
02/04/2021,15.60
01/04/2021,15.70
31/03/2021,15.15
30/03/2021,15.10
29/03/2021,15.20
26/03/2021,15.00
25/03/2021,15.00
24/03/2021,15.20
23/03/2021,16.15
22/03/2021,16.50
19/03/2021,16.70
18/03/2021,16.90
17/03/2021,16.45
16/03/2021,16.45
15/03/2021,16.45
12/03/2021,16.40
11/03/2021,16.70
10/03/2021,16.85
09/03/2021,16.80
08/03/2021,16.60
05/03/2021,16.70
04/03/2021,16.80
03/03/2021,16.70
02/03/2021,15.65
01/03/2021,15.90
26/02/2021,15.45
25/02/2021,15.50
24/02/2021,15.70
23/02/2021,15.95
22/02/2021,15.30
19/02/2021,15.25
18/02/2021,15.60
17/02/2021,15.20
09/02/2021,14.25
08/02/2021,14.90
05/02/2021,16.00
04/02/2021,16.15
03/02/2021,15.80
02/02/2021,14.80
01/02/2021,15.90
29/01/2021,17.05
28/01/2021,18.30
27/01/2021,19.65
26/01/2021,21.10
25/01/2021,20.50
22/01/2021,19.20
21/01/2021,18.00
20/01/2021,17.85
19/01/2021,17.90
18/01/2021,18.70
15/01/2021,18.10
14/01/2021,18.15
13/01/2021,17.50
12/01/2021,17.70
11/01/2021,17.80
08/01/2021,18.15
07/01/2021,17.85
06/01/2021,16.70
05/01/2021,16.85
04/01/2021,17.10
31/12/2020,16.90
30/12/2020,16.25
29/12/2020,17.20
28/12/2020,17.50
25/12/2020,17.10
24/12/2020,16.00
23/12/2020,17.00
22/12/2020,18.15
21/12/2020,17.00
18/12/2020,15.90
17/12/2020,14.90
16/12/2020,14.70
15/12/2020,13.95
14/12/2020,13.70
11/12/2020,13.00
10/12/2020,12.70
09/12/2020,13.20
08/12/2020,12.75
07/12/2020,12.85
04/12/2020,12.40
03/12/2020,12.40
02/12/2020,11.60
01/12/2020,11.45
30/11/2020,11.20
27/11/2020,11.55
26/11/2020,11.45
25/11/2020,11.60
24/11/2020,11.20
23/11/2020,11.10
20/11/2020,11.25
19/11/2020,10.60
18/11/2020,10.90
17/11/2020,10.75
16/11/2020,10.05
13/11/2020,9.69
12/11/2020,9.06
11/11/2020,9.05
10/11/2020,9.07
09/11/2020,9.17
06/11/2020,9.06
05/11/2020,9.14
04/11/2020,9.38
03/11/2020,9.02
02/11/2020,8.75
30/10/2020,9.00
29/10/2020,9.03
28/10/2020,8.70
27/10/2020,9.25
26/10/2020,9.35
23/10/2020,9.80
22/10/2020,9.55
21/10/2020,9.24
20/10/2020,9.46
19/10/2020,9.33
16/10/2020,9.45
15/10/2020,9.27
