Date,Closing Price
10/05/2022,57.50
09/05/2022,57.10
06/05/2022,61.30
05/05/2022,62.00
04/05/2022,62.10
29/04/2022,62.40
28/04/2022,61.00
27/04/2022,61.20
26/04/2022,61.70
25/04/2022,59.00
22/04/2022,61.70
21/04/2022,62.50
20/04/2022,64.50
19/04/2022,66.00
18/04/2022,68.00
15/04/2022,64.80
14/04/2022,65.90
13/04/2022,67.50
12/04/2022,66.00
08/04/2022,65.20
07/04/2022,64.00
06/04/2022,65.40
05/04/2022,64.50
04/04/2022,63.60
01/04/2022,60.50
31/03/2022,60.20
30/03/2022,59.70
29/03/2022,60.00
28/03/2022,59.70
25/03/2022,60.00
24/03/2022,60.10
23/03/2022,60.00
22/03/2022,60.00
21/03/2022,59.80
18/03/2022,59.80
17/03/2022,60.80
16/03/2022,60.80
15/03/2022,61.80
14/03/2022,61.80
11/03/2022,61.60
10/03/2022,61.50
09/03/2022,60.00
08/03/2022,58.80
07/03/2022,59.40
04/03/2022,60.00
03/03/2022,59.50
02/03/2022,59.20
01/03/2022,60.50
28/02/2022,61.00
25/02/2022,62.50
24/02/2022,60.70
23/02/2022,62.90
22/02/2022,64.00
21/02/2022,64.10
18/02/2022,62.90
17/02/2022,60.00
16/02/2022,58.60
15/02/2022,58.40
14/02/2022,58.00
11/02/2022,56.80
10/02/2022,57.20
09/02/2022,57.60
08/02/2022,58.40
07/02/2022,56.60
28/01/2022,52.90
27/01/2022,52.90
26/01/2022,52.10
25/01/2022,51.60
24/01/2022,51.30
21/01/2022,51.80
20/01/2022,52.00
19/01/2022,52.20
18/01/2022,52.20
17/01/2022,52.20
14/01/2022,51.50
13/01/2022,52.80
12/01/2022,52.50
11/01/2022,52.70
10/01/2022,53.30
07/01/2022,53.00
06/01/2022,53.50
05/01/2022,53.50
04/01/2022,53.20
31/12/2021,52.80
30/12/2021,53.20
29/12/2021,52.90
28/12/2021,52.90
27/12/2021,52.50
24/12/2021,52.80
23/12/2021,52.10
22/12/2021,52.90
21/12/2021,51.00
20/12/2021,52.70
17/12/2021,53.60
16/12/2021,53.90
15/12/2021,52.50
14/12/2021,53.00
13/12/2021,53.80
10/12/2021,53.50
09/12/2021,54.00
08/12/2021,55.00
07/12/2021,53.40
06/12/2021,52.40
03/12/2021,53.90
02/12/2021,55.00
01/12/2021,52.90
30/11/2021,53.10
29/11/2021,53.10
26/11/2021,54.50
25/11/2021,54.00
24/11/2021,53.40
23/11/2021,54.00
22/11/2021,53.60
19/11/2021,54.00
18/11/2021,55.40
17/11/2021,54.60
16/11/2021,54.50
15/11/2021,56.00
12/11/2021,54.40
11/11/2021,54.40
10/11/2021,54.80
09/11/2021,54.50
08/11/2021,54.90
05/11/2021,54.30
04/11/2021,53.80
03/11/2021,54.50
02/11/2021,54.90
01/11/2021,55.60
29/10/2021,54.50
28/10/2021,55.10
27/10/2021,55.80
26/10/2021,55.30
25/10/2021,55.80
22/10/2021,56.10
21/10/2021,56.90
20/10/2021,57.50
19/10/2021,57.50
18/10/2021,57.80
15/10/2021,57.90
14/10/2021,57.80
13/10/2021,57.70
12/10/2021,57.60
11/10/2021,57.90
08/10/2021,56.90
07/10/2021,56.60
06/10/2021,56.40
05/10/2021,55.50
04/10/2021,55.50
01/10/2021,55.60
30/09/2021,56.50
29/09/2021,56.50
28/09/2021,57.00
27/09/2021,54.20
24/09/2021,54.30
23/09/2021,54.30
22/09/2021,54.00
21/09/2021,53.70
20/09/2021,54.30
17/09/2021,54.50
16/09/2021,54.10
15/09/2021,54.10
14/09/2021,54.30
13/09/2021,55.90
10/09/2021,55.40
09/09/2021,51.80
08/09/2021,48.50
07/09/2021,49.40
06/09/2021,49.30
01/09/2021,49.35
31/08/2021,49.50
30/08/2021,49.80
27/08/2021,48.75
26/08/2021,48.25
25/08/2021,47.60
24/08/2021,47.70
23/08/2021,47.70
20/08/2021,48.00
19/08/2021,48.85
18/08/2021,48.50
17/08/2021,49.00
16/08/2021,49.20
13/08/2021,49.45
12/08/2021,49.65
11/08/2021,49.70
10/08/2021,49.20
09/08/2021,49.20
06/08/2021,49.85
05/08/2021,49.80
04/08/2021,49.10
03/08/2021,48.55
02/08/2021,48.50
30/07/2021,48.00
29/07/2021,48.00
28/07/2021,47.95
27/07/2021,48.00
26/07/2021,48.50
23/07/2021,48.50
22/07/2021,49.00
21/07/2021,50.00
20/07/2021,49.00
19/07/2021,50.40
16/07/2021,48.90
15/07/2021,48.80
14/07/2021,48.60
13/07/2021,48.25
12/07/2021,48.10
09/07/2021,50.20
08/07/2021,50.30
07/07/2021,51.00
06/07/2021,51.00
05/07/2021,51.60
02/07/2021,51.40
01/07/2021,51.80
30/06/2021,51.00
29/06/2021,51.00
28/06/2021,50.70
25/06/2021,50.00
24/06/2021,51.20
23/06/2021,51.90
22/06/2021,52.40
21/06/2021,52.20
18/06/2021,51.50
17/06/2021,51.20
16/06/2021,51.40
15/06/2021,51.00
14/06/2021,51.20
11/06/2021,50.30
10/06/2021,50.90
09/06/2021,49.00
08/06/2021,47.15
07/06/2021,47.20
04/06/2021,47.50
03/06/2021,47.35
02/06/2021,46.20
01/06/2021,46.35
31/05/2021,46.65
28/05/2021,47.00
27/05/2021,46.50
26/05/2021,47.90
25/05/2021,48.60
24/05/2021,50.00
21/05/2021,49.90
20/05/2021,49.90
19/05/2021,48.50
18/05/2021,46.00
17/05/2021,48.20
14/05/2021,51.00
13/05/2021,51.20
12/05/2021,51.80
11/05/2021,51.00
10/05/2021,50.60
07/05/2021,51.90
06/05/2021,53.50
05/05/2021,54.20
04/05/2021,55.00
29/04/2021,55.40
28/04/2021,54.00
27/04/2021,54.00
26/04/2021,54.60
23/04/2021,56.00
22/04/2021,55.50
20/04/2021,57.20
19/04/2021,57.00
16/04/2021,57.50
15/04/2021,58.90
14/04/2021,59.60
13/04/2021,59.90
12/04/2021,60.40
09/04/2021,61.70
08/04/2021,61.80
07/04/2021,61.50
06/04/2021,60.50
05/04/2021,60.50
02/04/2021,62.20
01/04/2021,62.00
31/03/2021,61.50
30/03/2021,61.60
29/03/2021,60.00
26/03/2021,59.30
25/03/2021,60.00
24/03/2021,60.80
23/03/2021,61.00
22/03/2021,62.00
19/03/2021,62.00
18/03/2021,62.30
17/03/2021,62.30
16/03/2021,62.40
15/03/2021,62.10
12/03/2021,62.70
11/03/2021,63.10
10/03/2021,63.60
09/03/2021,63.50
08/03/2021,64.10
05/03/2021,64.60
04/03/2021,65.60
03/03/2021,65.20
02/03/2021,64.00
01/03/2021,63.90
26/02/2021,63.90
25/02/2021,63.00
24/02/2021,62.00
23/02/2021,63.30
22/02/2021,61.50
19/02/2021,60.40
18/02/2021,60.20
17/02/2021,59.50
09/02/2021,58.50
08/02/2021,57.50
05/02/2021,58.60
04/02/2021,58.00
03/02/2021,57.00
02/02/2021,56.70
01/02/2021,56.00
29/01/2021,58.50
28/01/2021,56.80
27/01/2021,61.00
26/01/2021,61.40
25/01/2021,63.40
22/01/2021,64.00
21/01/2021,62.50
20/01/2021,62.90
19/01/2021,59.40
18/01/2021,59.50
