Date,Closing Price
10/05/2022,71.40
09/05/2022,71.50
06/05/2022,69.10
05/05/2022,67.00
04/05/2022,68.40
29/04/2022,67.00
28/04/2022,67.10
27/04/2022,67.40
26/04/2022,67.40
25/04/2022,67.00
22/04/2022,67.00
21/04/2022,69.60
20/04/2022,66.40
19/04/2022,68.00
18/04/2022,68.00
15/04/2022,72.00
14/04/2022,74.40
13/04/2022,70.00
12/04/2022,69.80
08/04/2022,73.80
07/04/2022,75.80
06/04/2022,71.00
05/04/2022,74.60
04/04/2022,74.80
01/04/2022,74.80
31/03/2022,74.90
30/03/2022,70.50
29/03/2022,70.50
28/03/2022,70.00
25/03/2022,69.50
24/03/2022,72.00
23/03/2022,72.90
22/03/2022,69.60
21/03/2022,70.90
18/03/2022,70.90
17/03/2022,70.90
16/03/2022,66.30
15/03/2022,65.30
14/03/2022,70.00
11/03/2022,70.00
10/03/2022,70.80
09/03/2022,70.00
08/03/2022,74.00
07/03/2022,74.00
04/03/2022,69.40
03/03/2022,69.40
02/03/2022,69.40
01/03/2022,68.00
28/02/2022,65.00
25/02/2022,65.00
24/02/2022,65.00
23/02/2022,65.00
22/02/2022,65.00
21/02/2022,62.00
18/02/2022,62.00
17/02/2022,62.00
16/02/2022,62.00
15/02/2022,62.00
14/02/2022,62.00
11/02/2022,62.40
10/02/2022,62.60
09/02/2022,60.90
08/02/2022,61.00
07/02/2022,62.50
28/01/2022,61.00
27/01/2022,61.00
26/01/2022,59.10
25/01/2022,63.10
24/01/2022,63.10
21/01/2022,67.40
20/01/2022,68.00
19/01/2022,68.00
18/01/2022,68.50
17/01/2022,67.50
14/01/2022,63.70
13/01/2022,63.70
12/01/2022,68.00
11/01/2022,68.00
10/01/2022,68.00
07/01/2022,68.00
06/01/2022,69.00
05/01/2022,65.00
04/01/2022,65.00
31/12/2021,63.10
30/12/2021,64.00
29/12/2021,64.00
28/12/2021,65.00
27/12/2021,64.10
24/12/2021,64.00
23/12/2021,63.00
22/12/2021,64.00
21/12/2021,63.00
20/12/2021,62.30
17/12/2021,63.10
16/12/2021,63.70
15/12/2021,61.40
14/12/2021,66.00
13/12/2021,67.80
10/12/2021,64.20
09/12/2021,64.10
08/12/2021,64.10
07/12/2021,64.10
06/12/2021,64.50
03/12/2021,69.20
02/12/2021,66.50
01/12/2021,66.50
30/11/2021,64.30
29/11/2021,64.10
26/11/2021,63.60
25/11/2021,63.70
24/11/2021,63.70
23/11/2021,63.70
22/11/2021,63.70
19/11/2021,66.50
18/11/2021,66.60
17/11/2021,66.50
16/11/2021,66.50
15/11/2021,64.00
12/11/2021,64.30
11/11/2021,64.50
10/11/2021,64.00
09/11/2021,63.50
08/11/2021,63.20
05/11/2021,63.00
04/11/2021,66.00
03/11/2021,66.00
02/11/2021,64.00
01/11/2021,67.00
29/10/2021,66.90
28/10/2021,66.80
27/10/2021,66.80
26/10/2021,66.90
25/10/2021,63.00
