Date,Closing Price
10/05/2022,7.51
09/05/2022,7.63
06/05/2022,8.20
05/05/2022,8.60
04/05/2022,8.71
29/04/2022,8.87
28/04/2022,8.56
27/04/2022,8.38
26/04/2022,8.15
25/04/2022,8.00
22/04/2022,8.60
21/04/2022,8.57
20/04/2022,9.21
19/04/2022,9.90
18/04/2022,10.30
15/04/2022,10.30
14/04/2022,10.40
13/04/2022,10.50
12/04/2022,10.20
08/04/2022,10.60
07/04/2022,10.90
06/04/2022,11.15
05/04/2022,11.10
04/04/2022,11.20
01/04/2022,11.10
31/03/2022,11.20
30/03/2022,11.15
29/03/2022,11.55
28/03/2022,11.40
25/03/2022,11.80
24/03/2022,11.85
23/03/2022,11.60
22/03/2022,11.70
21/03/2022,11.65
18/03/2022,11.65
17/03/2022,11.75
16/03/2022,11.55
15/03/2022,11.55
14/03/2022,11.80
11/03/2022,11.90
10/03/2022,11.20
09/03/2022,11.00
08/03/2022,11.15
07/03/2022,11.25
04/03/2022,11.25
03/03/2022,11.00
02/03/2022,10.90
01/03/2022,11.00
28/02/2022,10.70
25/02/2022,10.70
24/02/2022,10.60
23/02/2022,10.90
22/02/2022,10.90
21/02/2022,11.15
18/02/2022,11.05
17/02/2022,11.05
16/02/2022,10.80
15/02/2022,10.60
14/02/2022,10.55
11/02/2022,10.85
10/02/2022,10.80
09/02/2022,10.80
08/02/2022,10.75
07/02/2022,10.60
28/01/2022,10.20
27/01/2022,10.20
26/01/2022,10.05
25/01/2022,10.25
24/01/2022,10.00
21/01/2022,10.60
20/01/2022,10.85
19/01/2022,10.45
18/01/2022,10.10
17/01/2022,10.85
14/01/2022,11.65
13/01/2022,11.40
12/01/2022,12.25
11/01/2022,12.80
10/01/2022,13.10
07/01/2022,13.10
06/01/2022,12.65
05/01/2022,12.85
04/01/2022,13.05
31/12/2021,13.00
30/12/2021,12.85
29/12/2021,13.10
28/12/2021,13.10
27/12/2021,12.80
24/12/2021,12.85
23/12/2021,13.25
22/12/2021,14.00
21/12/2021,14.10
20/12/2021,13.60
17/12/2021,13.85
16/12/2021,14.15
15/12/2021,13.25
14/12/2021,12.70
13/12/2021,12.55
10/12/2021,12.40
09/12/2021,12.35
08/12/2021,12.25
07/12/2021,12.25
06/12/2021,11.45
03/12/2021,12.20
02/12/2021,12.75
01/12/2021,12.95
30/11/2021,12.60
29/11/2021,11.80
26/11/2021,12.00
25/11/2021,11.95
24/11/2021,12.15
23/11/2021,11.75
22/11/2021,11.45
19/11/2021,12.30
18/11/2021,12.85
17/11/2021,12.40
16/11/2021,12.50
15/11/2021,12.90
12/11/2021,12.55
11/11/2021,12.15
10/11/2021,11.95
09/11/2021,11.20
08/11/2021,11.35
05/11/2021,11.35
04/11/2021,11.00
03/11/2021,11.10
02/11/2021,11.90
01/11/2021,11.70
29/10/2021,11.50
28/10/2021,10.75
27/10/2021,10.75
26/10/2021,10.65
25/10/2021,10.75
22/10/2021,10.75
21/10/2021,10.40
20/10/2021,10.45
19/10/2021,10.40
18/10/2021,10.30
15/10/2021,10.45
14/10/2021,10.60
13/10/2021,10.30
12/10/2021,10.15
11/10/2021,10.25
08/10/2021,10.35
07/10/2021,10.50
06/10/2021,10.15
05/10/2021,10.15
04/10/2021,10.10
01/10/2021,10.05
30/09/2021,10.20
29/09/2021,10.20
28/09/2021,10.25
27/09/2021,10.15
24/09/2021,10.80
23/09/2021,11.45
22/09/2021,10.95
21/09/2021,10.55
20/09/2021,10.35
17/09/2021,10.75
16/09/2021,10.50
15/09/2021,10.50
14/09/2021,10.40
13/09/2021,11.15
10/09/2021,11.50
09/09/2021,11.45
08/09/2021,11.35
07/09/2021,11.25
06/09/2021,12.00
01/09/2021,12.80
31/08/2021,12.80
30/08/2021,13.40
27/08/2021,12.80
26/08/2021,13.20
25/08/2021,12.80
24/08/2021,12.00
23/08/2021,11.95
20/08/2021,11.90
19/08/2021,11.55
18/08/2021,11.50
17/08/2021,11.60
16/08/2021,11.10
13/08/2021,10.90
12/08/2021,10.90
11/08/2021,11.00
10/08/2021,10.60
09/08/2021,10.70
06/08/2021,10.80
05/08/2021,10.90
04/08/2021,10.80
03/08/2021,10.10
02/08/2021,10.10
30/07/2021,10.15
29/07/2021,10.10
28/07/2021,10.20
27/07/2021,10.40
26/07/2021,10.30
23/07/2021,10.25
22/07/2021,10.35
21/07/2021,10.00
20/07/2021,10.10
19/07/2021,10.00
16/07/2021,10.00
15/07/2021,10.20
14/07/2021,10.00
13/07/2021,10.00
12/07/2021,10.10
09/07/2021,10.00
08/07/2021,10.00
07/07/2021,10.00
06/07/2021,10.00
05/07/2021,10.35
02/07/2021,10.20
01/07/2021,10.70
30/06/2021,10.95
29/06/2021,11.30
28/06/2021,10.90
25/06/2021,11.15
24/06/2021,11.20
23/06/2021,11.20
22/06/2021,11.50
21/06/2021,11.10
18/06/2021,11.50
17/06/2021,11.85
16/06/2021,12.30
15/06/2021,11.95
14/06/2021,11.20
11/06/2021,11.20
10/06/2021,10.90
09/06/2021,11.15
08/06/2021,11.30
07/06/2021,11.60
04/06/2021,11.60
03/06/2021,11.50
02/06/2021,11.05
01/06/2021,10.65
31/05/2021,10.90
28/05/2021,11.10
27/05/2021,11.05
26/05/2021,11.05
25/05/2021,10.75
24/05/2021,10.75
21/05/2021,10.75
20/05/2021,10.50
19/05/2021,10.05
18/05/2021,10.00
17/05/2021,10.05
14/05/2021,10.05
13/05/2021,10.10
12/05/2021,10.00
11/05/2021,10.20
10/05/2021,10.00
07/05/2021,10.00
06/05/2021,10.05
05/05/2021,10.05
04/05/2021,10.05
29/04/2021,10.00
28/04/2021,10.10
27/04/2021,10.05
26/04/2021,10.00
23/04/2021,10.50
22/04/2021,10.60
20/04/2021,10.95
19/04/2021,11.00
16/04/2021,10.95
15/04/2021,11.00
14/04/2021,11.10
13/04/2021,10.95
12/04/2021,11.30
09/04/2021,11.35
08/04/2021,11.10
07/04/2021,11.00
06/04/2021,11.00
05/04/2021,11.10
02/04/2021,11.20
01/04/2021,11.20
31/03/2021,11.70
30/03/2021,11.70
29/03/2021,11.10
26/03/2021,10.95
25/03/2021,10.95
24/03/2021,11.05
23/03/2021,11.25
22/03/2021,11.00
19/03/2021,11.10
18/03/2021,11.20
17/03/2021,11.05
16/03/2021,11.25
15/03/2021,11.35
12/03/2021,11.35
11/03/2021,11.50
10/03/2021,11.70
09/03/2021,11.80
08/03/2021,12.10
05/03/2021,12.20
04/03/2021,12.05
03/03/2021,11.70
02/03/2021,11.55
01/03/2021,11.55
26/02/2021,11.45
25/02/2021,11.55
24/02/2021,11.65
23/02/2021,11.70
22/02/2021,11.60
19/02/2021,11.50
18/02/2021,11.60
17/02/2021,11.70
09/02/2021,11.60
08/02/2021,11.50
05/02/2021,11.80
04/02/2021,11.95
03/02/2021,12.20
02/02/2021,12.10
01/02/2021,12.30
29/01/2021,12.10
28/01/2021,11.60
27/01/2021,11.80
26/01/2021,11.80
25/01/2021,11.90
22/01/2021,12.10
21/01/2021,12.30
20/01/2021,11.95
19/01/2021,12.30
18/01/2021,12.80
15/01/2021,13.60
14/01/2021,13.40
13/01/2021,13.80
12/01/2021,14.30
11/01/2021,15.35
08/01/2021,16.50
07/01/2021,17.10
06/01/2021,16.10
05/01/2021,15.05
04/01/2021,14.10
31/12/2020,13.20
