Date,Closing Price
10/05/2022,14.80
09/05/2022,15.15
06/05/2022,15.45
05/05/2022,15.20
04/05/2022,15.30
29/04/2022,15.40
28/04/2022,14.75
27/04/2022,15.40
26/04/2022,15.00
25/04/2022,15.00
22/04/2022,15.00
21/04/2022,15.20
20/04/2022,15.70
19/04/2022,15.80
18/04/2022,15.95
15/04/2022,16.30
14/04/2022,16.35
13/04/2022,16.45
12/04/2022,16.40
08/04/2022,17.10
07/04/2022,17.00
06/04/2022,17.00
05/04/2022,16.90
04/04/2022,16.95
01/04/2022,16.75
31/03/2022,16.90
30/03/2022,17.10
29/03/2022,17.05
28/03/2022,16.95
25/03/2022,16.90
24/03/2022,16.95
23/03/2022,17.00
22/03/2022,16.80
21/03/2022,16.90
18/03/2022,16.90
17/03/2022,16.90
16/03/2022,16.60
15/03/2022,16.50
14/03/2022,16.25
11/03/2022,17.10
10/03/2022,17.55
09/03/2022,16.70
08/03/2022,17.85
07/03/2022,16.70
04/03/2022,16.15
03/03/2022,16.60
02/03/2022,16.70
01/03/2022,17.00
28/02/2022,17.00
25/02/2022,16.70
24/02/2022,16.50
23/02/2022,16.15
22/02/2022,16.05
21/02/2022,16.00
18/02/2022,16.60
17/02/2022,16.40
16/02/2022,16.40
15/02/2022,16.30
14/02/2022,16.40
11/02/2022,16.00
10/02/2022,16.40
09/02/2022,16.40
08/02/2022,16.00
07/02/2022,16.00
28/01/2022,15.40
27/01/2022,15.40
26/01/2022,15.40
25/01/2022,15.40
24/01/2022,15.20
21/01/2022,15.40
20/01/2022,15.80
19/01/2022,15.85
18/01/2022,15.75
17/01/2022,15.75
14/01/2022,15.25
13/01/2022,16.30
12/01/2022,16.20
11/01/2022,16.80
10/01/2022,17.00
07/01/2022,16.65
06/01/2022,17.00
05/01/2022,17.00
04/01/2022,16.60
31/12/2021,16.60
30/12/2021,17.50
29/12/2021,17.50
28/12/2021,16.90
27/12/2021,16.30
24/12/2021,16.30
23/12/2021,16.25
22/12/2021,17.25
21/12/2021,17.25
20/12/2021,16.90
17/12/2021,16.90
16/12/2021,16.15
15/12/2021,16.70
14/12/2021,16.80
13/12/2021,16.90
10/12/2021,17.00
