Date,Closing Price
10/05/2022,25.50
09/05/2022,24.70
06/05/2022,26.40
05/05/2022,27.20
04/05/2022,27.20
29/04/2022,27.40
28/04/2022,27.75
27/04/2022,28.35
26/04/2022,27.35
25/04/2022,26.15
22/04/2022,28.05
21/04/2022,28.45
20/04/2022,28.45
19/04/2022,28.70
18/04/2022,28.90
15/04/2022,30.25
14/04/2022,30.20
13/04/2022,30.65
12/04/2022,30.10
08/04/2022,32.00
07/04/2022,32.75
06/04/2022,34.00
05/04/2022,33.65
04/04/2022,33.65
01/04/2022,32.80
31/03/2022,33.15
30/03/2022,32.90
29/03/2022,32.90
28/03/2022,32.30
25/03/2022,32.70
24/03/2022,32.40
23/03/2022,32.00
22/03/2022,32.65
21/03/2022,32.90
18/03/2022,33.00
17/03/2022,33.05
16/03/2022,33.05
15/03/2022,33.55
14/03/2022,32.45
11/03/2022,31.80
10/03/2022,31.50
09/03/2022,31.10
08/03/2022,31.10
07/03/2022,32.30
04/03/2022,32.50
03/03/2022,31.20
02/03/2022,30.75
01/03/2022,31.00
28/02/2022,31.05
25/02/2022,30.15
24/02/2022,29.70
23/02/2022,30.60
22/02/2022,30.60
21/02/2022,31.25
18/02/2022,30.95
17/02/2022,30.50
16/02/2022,30.80
15/02/2022,29.60
14/02/2022,29.40
11/02/2022,29.25
10/02/2022,29.95
09/02/2022,29.70
08/02/2022,29.35
07/02/2022,29.00
28/01/2022,28.10
27/01/2022,28.00
26/01/2022,27.90
25/01/2022,28.70
24/01/2022,28.95
21/01/2022,31.10
20/01/2022,31.60
19/01/2022,31.25
18/01/2022,31.25
17/01/2022,33.60
14/01/2022,36.10
13/01/2022,36.60
12/01/2022,38.60
11/01/2022,36.10
10/01/2022,35.00
07/01/2022,35.95
06/01/2022,34.40
05/01/2022,35.05
04/01/2022,35.35
31/12/2021,33.40
30/12/2021,33.25
29/12/2021,33.25
28/12/2021,33.75
27/12/2021,32.30
24/12/2021,31.90
23/12/2021,32.20
22/12/2021,33.30
21/12/2021,32.80
20/12/2021,31.50
17/12/2021,31.50
16/12/2021,31.90
15/12/2021,31.90
14/12/2021,32.50
13/12/2021,33.45
10/12/2021,32.40
09/12/2021,31.60
08/12/2021,31.30
07/12/2021,31.65
06/12/2021,29.60
03/12/2021,31.65
02/12/2021,32.80
01/12/2021,32.80
30/11/2021,33.35
29/11/2021,33.10
26/11/2021,33.70
25/11/2021,33.75
24/11/2021,34.00
23/11/2021,34.25
22/11/2021,32.10
19/11/2021,34.50
18/11/2021,36.00
17/11/2021,36.40
16/11/2021,36.95
15/11/2021,37.55
12/11/2021,36.00
11/11/2021,35.40
10/11/2021,35.60
09/11/2021,34.90
08/11/2021,34.60
05/11/2021,34.50
04/11/2021,35.30
03/11/2021,33.90
02/11/2021,35.70
01/11/2021,36.20
29/10/2021,36.45
28/10/2021,35.90
27/10/2021,38.10
26/10/2021,36.00
25/10/2021,36.70
22/10/2021,34.30
21/10/2021,32.10
20/10/2021,31.90
19/10/2021,32.00
18/10/2021,31.95
15/10/2021,31.85
14/10/2021,31.95
13/10/2021,31.10
12/10/2021,31.00
11/10/2021,31.50
08/10/2021,31.85
07/10/2021,32.10
06/10/2021,32.30
05/10/2021,31.85
04/10/2021,31.75
01/10/2021,31.70
30/09/2021,31.50
29/09/2021,31.00
28/09/2021,30.50
27/09/2021,30.10
24/09/2021,31.00
23/09/2021,31.20
22/09/2021,32.85
21/09/2021,31.90
20/09/2021,31.50
17/09/2021,29.65
16/09/2021,29.00
15/09/2021,28.35
14/09/2021,28.10
13/09/2021,27.90
10/09/2021,28.10
09/09/2021,27.50
08/09/2021,26.95
07/09/2021,27.35
06/09/2021,27.95
01/09/2021,27.50
31/08/2021,26.35
30/08/2021,26.45
27/08/2021,25.35
26/08/2021,24.65
25/08/2021,24.75
24/08/2021,24.45
23/08/2021,24.35
20/08/2021,25.55
