Date,Closing Price
10/05/2022,55.40
09/05/2022,57.40
06/05/2022,56.10
05/05/2022,57.10
04/05/2022,57.00
29/04/2022,58.30
28/04/2022,58.70
27/04/2022,59.00
26/04/2022,62.50
25/04/2022,62.50
22/04/2022,62.60
21/04/2022,62.50
20/04/2022,62.40
19/04/2022,63.00
18/04/2022,62.90
15/04/2022,61.90
14/04/2022,59.00
13/04/2022,60.00
12/04/2022,59.50
08/04/2022,59.40
07/04/2022,59.50
06/04/2022,59.00
05/04/2022,60.00
04/04/2022,59.50
01/04/2022,59.00
31/03/2022,59.50
30/03/2022,59.50
29/03/2022,60.00
28/03/2022,59.50
25/03/2022,59.50
24/03/2022,59.80
23/03/2022,59.50
22/03/2022,59.00
21/03/2022,60.00
18/03/2022,59.00
17/03/2022,59.00
16/03/2022,59.00
15/03/2022,60.00
14/03/2022,59.10
11/03/2022,60.10
10/03/2022,60.10
09/03/2022,60.10
08/03/2022,60.00
07/03/2022,60.00
04/03/2022,59.40
03/03/2022,59.10
02/03/2022,59.00
01/03/2022,59.10
28/02/2022,58.50
25/02/2022,60.00
24/02/2022,59.00
23/02/2022,59.00
22/02/2022,59.00
21/02/2022,59.00
18/02/2022,60.00
17/02/2022,59.50
16/02/2022,59.00
15/02/2022,59.40
14/02/2022,58.90
11/02/2022,59.00
10/02/2022,59.00
09/02/2022,60.10
08/02/2022,60.40
07/02/2022,59.80
28/01/2022,59.80
27/01/2022,59.80
26/01/2022,59.10
25/01/2022,58.00
24/01/2022,59.50
21/01/2022,59.00
20/01/2022,59.00
19/01/2022,59.00
18/01/2022,59.10
17/01/2022,59.50
14/01/2022,60.00
13/01/2022,60.00
12/01/2022,59.00
11/01/2022,59.00
10/01/2022,59.80
07/01/2022,59.90
06/01/2022,59.90
05/01/2022,59.80
04/01/2022,59.70
31/12/2021,59.60
30/12/2021,59.20
29/12/2021,59.70
28/12/2021,59.70
27/12/2021,59.30
24/12/2021,59.00
23/12/2021,59.00
22/12/2021,59.20
21/12/2021,59.90
20/12/2021,59.00
17/12/2021,60.00
16/12/2021,59.10
15/12/2021,60.00
14/12/2021,58.60
13/12/2021,58.60
10/12/2021,60.10
09/12/2021,60.10
08/12/2021,60.00
07/12/2021,60.20
06/12/2021,60.20
03/12/2021,60.70
02/12/2021,62.70
01/12/2021,60.00
30/11/2021,60.00
29/11/2021,59.10
26/11/2021,59.10
25/11/2021,59.30
24/11/2021,59.00
23/11/2021,59.80
22/11/2021,59.80
19/11/2021,59.80
18/11/2021,59.80
17/11/2021,59.70
16/11/2021,59.70
15/11/2021,59.80
12/11/2021,59.60
11/11/2021,59.60
10/11/2021,59.90
09/11/2021,59.30
08/11/2021,59.70
05/11/2021,59.90
04/11/2021,59.40
03/11/2021,59.40
02/11/2021,60.00
01/11/2021,60.00
29/10/2021,60.00
28/10/2021,59.70
27/10/2021,59.60
26/10/2021,60.10
25/10/2021,60.10
22/10/2021,60.50
21/10/2021,60.00
20/10/2021,60.00
19/10/2021,60.00
18/10/2021,61.00
15/10/2021,61.00
14/10/2021,60.60
13/10/2021,61.80
12/10/2021,61.80
11/10/2021,61.80
08/10/2021,61.80
07/10/2021,61.00
06/10/2021,62.00
05/10/2021,61.00
04/10/2021,61.00
01/10/2021,62.90
30/09/2021,60.60
29/09/2021,60.50
28/09/2021,60.50
27/09/2021,60.00
24/09/2021,60.80
23/09/2021,60.00
22/09/2021,60.00
21/09/2021,60.00
20/09/2021,60.90
17/09/2021,61.20
16/09/2021,60.60
15/09/2021,60.50
14/09/2021,63.00
13/09/2021,61.50
10/09/2021,61.50
09/09/2021,63.50
08/09/2021,63.60
07/09/2021,63.60
06/09/2021,63.00
27/08/2021,63.00
26/08/2021,64.00
25/08/2021,62.80
24/08/2021,61.00
23/08/2021,61.00
20/08/2021,63.20
19/08/2021,64.90
18/08/2021,64.10
17/08/2021,64.50
16/08/2021,65.10
13/08/2021,66.00
12/08/2021,66.00
11/08/2021,67.00
10/08/2021,67.00
09/08/2021,67.90
06/08/2021,64.50
05/08/2021,60.00
04/08/2021,59.80
03/08/2021,60.00
02/08/2021,57.00
30/07/2021,58.00
29/07/2021,58.00
28/07/2021,56.20
27/07/2021,56.20
26/07/2021,55.20
23/07/2021,55.00
22/07/2021,56.50
21/07/2021,56.50
20/07/2021,55.00
19/07/2021,53.30
16/07/2021,55.00
15/07/2021,55.00
14/07/2021,55.20
13/07/2021,54.30
12/07/2021,55.50
09/07/2021,56.50
08/07/2021,56.30
07/07/2021,56.30
06/07/2021,57.30
05/07/2021,57.30
02/07/2021,58.50
01/07/2021,58.50
30/06/2021,59.00
29/06/2021,59.00
28/06/2021,58.90
25/06/2021,59.00
24/06/2021,59.50
23/06/2021,59.00
22/06/2021,59.00
21/06/2021,58.50
18/06/2021,58.10
17/06/2021,58.00
16/06/2021,57.80
15/06/2021,56.80
14/06/2021,56.70
11/06/2021,58.50
10/06/2021,58.50
09/06/2021,59.00
08/06/2021,57.80
07/06/2021,57.70
04/06/2021,57.90
03/06/2021,57.70
02/06/2021,57.70
01/06/2021,60.00
31/05/2021,60.00
28/05/2021,59.50
27/05/2021,59.00
26/05/2021,59.00
25/05/2021,58.80
24/05/2021,59.10
21/05/2021,59.00
14/05/2021,60.00
13/05/2021,58.60
12/05/2021,61.40
11/05/2021,61.40
10/05/2021,60.00
07/05/2021,60.00
06/05/2021,61.50
05/05/2021,62.00
04/05/2021,62.10
29/04/2021,62.10
28/04/2021,62.00
27/04/2021,62.00
26/04/2021,62.50
23/04/2021,61.90
22/04/2021,62.80
20/04/2021,62.00
19/04/2021,62.00
16/04/2021,62.80
15/04/2021,62.80
14/04/2021,62.70
13/04/2021,62.60
12/04/2021,62.50
09/04/2021,63.50
08/04/2021,63.30
07/04/2021,63.50
06/04/2021,63.50
05/04/2021,63.00
02/04/2021,63.50
01/04/2021,63.50
31/03/2021,63.00
30/03/2021,64.00
29/03/2021,63.00
26/03/2021,63.50
25/03/2021,63.30
24/03/2021,63.00
23/03/2021,63.50
22/03/2021,63.50
19/03/2021,63.50
18/03/2021,63.20
17/03/2021,63.00
16/03/2021,63.50
15/03/2021,63.50
12/03/2021,63.50
11/03/2021,64.00
10/03/2021,64.50
09/03/2021,63.50
08/03/2021,64.00
05/03/2021,63.50
04/03/2021,64.50
03/03/2021,64.50
02/03/2021,64.50
01/03/2021,64.10
26/02/2021,64.10
25/02/2021,64.00
24/02/2021,65.50
23/02/2021,65.50
22/02/2021,66.00
19/02/2021,66.00
18/02/2021,65.60
17/02/2021,65.90
09/02/2021,66.00
08/02/2021,65.50
05/02/2021,66.00
04/02/2021,65.00
03/02/2021,65.00
02/02/2021,65.50
01/02/2021,65.50
29/01/2021,65.00
28/01/2021,62.00
27/01/2021,66.50
26/01/2021,68.50
25/01/2021,71.00
22/01/2021,74.00
21/01/2021,75.60
20/01/2021,71.00
19/01/2021,72.00
18/01/2021,73.90
15/01/2021,70.90
14/01/2021,69.50
13/01/2021,67.50
12/01/2021,68.00
11/01/2021,68.00
08/01/2021,68.00
07/01/2021,65.30
06/01/2021,68.00
05/01/2021,69.00
04/01/2021,69.00
31/12/2020,69.00
30/12/2020,68.50
29/12/2020,68.50
28/12/2020,68.00
25/12/2020,68.00
24/12/2020,68.50
23/12/2020,69.00
22/12/2020,69.40
21/12/2020,69.00
18/12/2020,69.70
17/12/2020,69.90
16/12/2020,69.90
15/12/2020,70.40
14/12/2020,70.50
11/12/2020,69.80
10/12/2020,70.00
09/12/2020,69.00
08/12/2020,68.10
07/12/2020,69.00
04/12/2020,69.00
03/12/2020,68.00
02/12/2020,68.50
01/12/2020,69.00
30/11/2020,69.80
27/11/2020,68.90
26/11/2020,68.90
25/11/2020,68.70
24/11/2020,69.00
23/11/2020,68.00
20/11/2020,69.00
19/11/2020,69.00
18/11/2020,68.80
17/11/2020,68.50
16/11/2020,69.00
13/11/2020,69.00
12/11/2020,69.00
11/11/2020,69.00
10/11/2020,67.00
09/11/2020,69.00
06/11/2020,70.00
05/11/2020,69.80
04/11/2020,69.00
03/11/2020,69.00
02/11/2020,68.10
30/10/2020,68.00
29/10/2020,66.50
28/10/2020,66.50
27/10/2020,69.80
26/10/2020,71.20
23/10/2020,70.20
22/10/2020,70.10
21/10/2020,70.10
20/10/2020,70.50
19/10/2020,70.50
16/10/2020,71.00
15/10/2020,71.00
14/10/2020,71.50
13/10/2020,71.80
12/10/2020,71.80
09/10/2020,71.50
08/10/2020,71.50
07/10/2020,71.90
06/10/2020,71.90
05/10/2020,71.90
02/10/2020,72.20
01/10/2020,72.20
30/09/2020,71.60
29/09/2020,71.70
28/09/2020,71.70
25/09/2020,72.00
24/09/2020,70.40
23/09/2020,70.40
22/09/2020,72.40
21/09/2020,72.40
18/09/2020,72.50
17/09/2020,72.00
16/09/2020,72.00
15/09/2020,72.40
14/09/2020,72.30
11/09/2020,72.40
10/09/2020,71.60
09/09/2020,72.50
08/09/2020,72.50
07/09/2020,72.60
04/09/2020,72.80
03/09/2020,72.60
01/09/2020,71.50
31/08/2020,68.10
28/08/2020,68.10
27/08/2020,67.00
26/08/2020,67.00
25/08/2020,68.00
24/08/2020,68.50
21/08/2020,67.00
20/08/2020,65.50
19/08/2020,62.70
18/08/2020,66.00
17/08/2020,68.00
14/08/2020,65.50
13/08/2020,68.00
12/08/2020,65.50
11/08/2020,65.50
10/08/2020,65.50
07/08/2020,65.50
06/08/2020,65.50
05/08/2020,65.00
04/08/2020,65.00
03/08/2020,69.40
31/07/2020,65.00
30/07/2020,66.00
29/07/2020,65.70
28/07/2020,67.20
27/07/2020,65.00
24/07/2020,65.00
23/07/2020,67.50
22/07/2020,67.00
21/07/2020,67.50
20/07/2020,67.00
17/07/2020,67.50
16/07/2020,67.50
15/07/2020,67.50
14/07/2020,67.50
13/07/2020,67.50
10/07/2020,67.50
09/07/2020,69.70
08/07/2020,66.00
07/07/2020,66.10
06/07/2020,66.00
03/07/2020,65.50
02/07/2020,66.00
01/07/2020,66.00
30/06/2020,65.80
29/06/2020,65.00
26/06/2020,66.00
25/06/2020,65.10
24/06/2020,69.00
23/06/2020,69.00
22/06/2020,69.20
19/06/2020,69.20
18/06/2020,69.00
17/06/2020,69.50
16/06/2020,69.00
15/06/2020,69.00
12/06/2020,69.00
11/06/2020,69.00
10/06/2020,69.00
09/06/2020,71.00
08/06/2020,70.00
05/06/2020,67.00
04/06/2020,67.00
03/06/2020,66.60
02/06/2020,66.60
01/06/2020,66.50
29/05/2020,66.00
28/05/2020,66.00
27/05/2020,66.70
26/05/2020,66.70
25/05/2020,66.50
22/05/2020,63.80
