Date,Closing Price
10/05/2022,10.00
09/05/2022,9.58
06/05/2022,10.30
05/05/2022,11.05
04/05/2022,11.60
29/04/2022,11.00
28/04/2022,10.30
27/04/2022,9.63
26/04/2022,9.00
25/04/2022,8.89
22/04/2022,9.40
21/04/2022,9.44
20/04/2022,10.15
19/04/2022,10.55
18/04/2022,11.30
15/04/2022,12.10
14/04/2022,13.00
13/04/2022,13.35
12/04/2022,12.80
08/04/2022,13.75
07/04/2022,14.75
06/04/2022,15.85
05/04/2022,17.00
04/04/2022,17.10
01/04/2022,16.00
31/03/2022,15.95
30/03/2022,17.10
29/03/2022,16.65
28/03/2022,15.60
25/03/2022,14.60
24/03/2022,13.65
23/03/2022,14.00
22/03/2022,13.70
21/03/2022,14.00
18/03/2022,13.10
17/03/2022,13.10
16/03/2022,12.85
15/03/2022,12.65
14/03/2022,12.65
11/03/2022,12.65
10/03/2022,12.80
09/03/2022,12.45
08/03/2022,12.50
07/03/2022,12.70
04/03/2022,13.60
03/03/2022,14.15
02/03/2022,14.00
01/03/2022,13.25
28/02/2022,13.10
25/02/2022,12.85
24/02/2022,12.50
23/02/2022,12.55
22/02/2022,11.95
21/02/2022,12.10
18/02/2022,12.00
17/02/2022,11.45
16/02/2022,11.10
15/02/2022,11.45
14/02/2022,11.85
11/02/2022,11.10
10/02/2022,10.40
09/02/2022,9.79
08/02/2022,9.40
07/02/2022,9.20
28/01/2022,8.60
27/01/2022,8.35
26/01/2022,8.97
25/01/2022,9.10
24/01/2022,9.30
21/01/2022,10.00
20/01/2022,10.00
19/01/2022,9.54
18/01/2022,10.25
17/01/2022,11.00
14/01/2022,11.80
13/01/2022,12.65
12/01/2022,13.60
11/01/2022,14.00
10/01/2022,14.95
07/01/2022,14.10
06/01/2022,14.30
05/01/2022,13.50
04/01/2022,13.70
31/12/2021,13.70
30/12/2021,13.70
29/12/2021,13.90
28/12/2021,13.50
27/12/2021,13.50
24/12/2021,13.30
23/12/2021,13.30
22/12/2021,14.10
21/12/2021,15.10
20/12/2021,14.15
17/12/2021,15.20
16/12/2021,15.95
15/12/2021,15.45
14/12/2021,14.45
13/12/2021,13.55
10/12/2021,14.20
09/12/2021,13.70
08/12/2021,12.85
07/12/2021,12.05
06/12/2021,12.25
03/12/2021,13.15
02/12/2021,12.30
01/12/2021,11.50
30/11/2021,10.75
29/11/2021,10.90
26/11/2021,10.75
25/11/2021,10.75
24/11/2021,10.85
23/11/2021,10.80
22/11/2021,11.20
19/11/2021,11.60
18/11/2021,11.50
17/11/2021,11.40
16/11/2021,11.30
15/11/2021,12.00
12/11/2021,11.30
11/11/2021,11.40
10/11/2021,11.50
09/11/2021,11.00
08/11/2021,11.70
05/11/2021,11.40
04/11/2021,10.70
03/11/2021,11.50
02/11/2021,12.30
01/11/2021,11.50
29/10/2021,10.75
28/10/2021,10.05
27/10/2021,9.40
26/10/2021,8.79
25/10/2021,8.22
22/10/2021,7.69
21/10/2021,7.29
20/10/2021,7.29
19/10/2021,7.23
18/10/2021,7.25
15/10/2021,7.48
14/10/2021,7.30
13/10/2021,7.16
12/10/2021,7.31
11/10/2021,7.40
08/10/2021,7.59
07/10/2021,7.55
06/10/2021,7.48
05/10/2021,7.41
04/10/2021,7.04
01/10/2021,7.20
30/09/2021,7.08
29/09/2021,7.39
28/09/2021,7.10
27/09/2021,7.52
24/09/2021,8.00
23/09/2021,8.23
22/09/2021,7.70
21/09/2021,7.20
20/09/2021,7.06
17/09/2021,7.49
16/09/2021,7.40
15/09/2021,7.45
14/09/2021,7.50
13/09/2021,7.30
10/09/2021,7.57
09/09/2021,7.60
08/09/2021,7.60
07/09/2021,7.79
06/09/2021,7.50
01/09/2021,7.60
31/08/2021,7.60
30/08/2021,7.80
27/08/2021,7.60
26/08/2021,7.60
25/08/2021,8.00
24/08/2021,8.20
23/08/2021,8.20
20/08/2021,8.25
19/08/2021,8.25
18/08/2021,7.81
17/08/2021,7.30
16/08/2021,7.30
13/08/2021,7.20
12/08/2021,7.12
11/08/2021,7.10
10/08/2021,7.00
09/08/2021,7.30
06/08/2021,7.25
05/08/2021,7.35
04/08/2021,7.13
03/08/2021,7.14
02/08/2021,7.15
30/07/2021,7.19
29/07/2021,7.15
28/07/2021,6.79
27/07/2021,6.69
26/07/2021,6.50
23/07/2021,6.63
22/07/2021,6.20
21/07/2021,5.86
20/07/2021,6.30
19/07/2021,6.70
16/07/2021,6.75
15/07/2021,6.75
14/07/2021,7.25
13/07/2021,7.04
12/07/2021,7.05
09/07/2021,7.56
08/07/2021,7.07
07/07/2021,6.61
06/07/2021,6.18
05/07/2021,5.78
02/07/2021,5.70
01/07/2021,5.90
30/06/2021,6.10
29/06/2021,6.10
28/06/2021,6.20
25/06/2021,6.00
24/06/2021,6.20
23/06/2021,6.29
22/06/2021,6.40
21/06/2021,6.40
18/06/2021,6.40
17/06/2021,6.01
16/06/2021,6.46
15/06/2021,6.10
14/06/2021,6.20
11/06/2021,6.08
10/06/2021,5.69
09/06/2021,6.10
08/06/2021,6.15
07/06/2021,6.30
04/06/2021,6.40
03/06/2021,6.30
02/06/2021,6.20
01/06/2021,6.20
31/05/2021,6.50
28/05/2021,6.50
27/05/2021,6.60
26/05/2021,6.60
25/05/2021,6.20
24/05/2021,6.20
21/05/2021,6.20
20/05/2021,6.20
19/05/2021,6.47
18/05/2021,6.47
17/05/2021,6.95
14/05/2021,7.30
13/05/2021,7.35
12/05/2021,7.45
11/05/2021,6.98
10/05/2021,7.50
07/05/2021,7.80
06/05/2021,8.00
05/05/2021,8.40
04/05/2021,8.85
29/04/2021,9.00
28/04/2021,8.56
27/04/2021,9.20
26/04/2021,8.79
23/04/2021,8.22
22/04/2021,8.66
20/04/2021,9.30
19/04/2021,9.30
16/04/2021,9.10
15/04/2021,9.00
14/04/2021,9.12
13/04/2021,8.75
12/04/2021,8.18
09/04/2021,7.65
08/04/2021,7.15
07/04/2021,7.10
06/04/2021,7.10
05/04/2021,7.10
02/04/2021,7.20
01/04/2021,7.18
31/03/2021,7.01
30/03/2021,7.49
29/03/2021,7.12
26/03/2021,6.66
25/03/2021,7.16
24/03/2021,7.16
23/03/2021,6.70
22/03/2021,6.27
19/03/2021,5.86
18/03/2021,5.48
17/03/2021,5.13
16/03/2021,4.80
15/03/2021,5.13
