Date,Closing Price
10/05/2022,31.40
09/05/2022,30.00
06/05/2022,31.10
05/05/2022,31.90
04/05/2022,31.50
29/04/2022,31.80
28/04/2022,31.40
27/04/2022,31.40
26/04/2022,30.55
25/04/2022,30.80
22/04/2022,30.75
21/04/2022,31.25
20/04/2022,32.00
19/04/2022,32.50
18/04/2022,32.40
15/04/2022,33.20
14/04/2022,32.80
13/04/2022,33.10
12/04/2022,32.60
08/04/2022,33.40
07/04/2022,34.40
06/04/2022,34.40
05/04/2022,35.20
04/04/2022,36.00
01/04/2022,35.20
31/03/2022,32.90
30/03/2022,32.85
29/03/2022,33.00
28/03/2022,33.00
25/03/2022,33.10
24/03/2022,33.00
23/03/2022,32.95
22/03/2022,33.10
21/03/2022,32.90
18/03/2022,32.95
17/03/2022,33.20
16/03/2022,32.90
15/03/2022,33.15
14/03/2022,33.20
11/03/2022,34.20
10/03/2022,34.60
09/03/2022,33.60
08/03/2022,33.35
07/03/2022,35.00
04/03/2022,34.35
03/03/2022,33.70
02/03/2022,32.35
01/03/2022,32.40
28/02/2022,32.40
25/02/2022,32.20
24/02/2022,32.00
23/02/2022,32.35
22/02/2022,32.25
21/02/2022,32.35
18/02/2022,32.25
17/02/2022,32.20
16/02/2022,32.00
15/02/2022,31.60
14/02/2022,31.60
11/02/2022,31.90
10/02/2022,32.00
09/02/2022,32.00
08/02/2022,32.00
07/02/2022,32.40
28/01/2022,32.00
27/01/2022,32.00
26/01/2022,32.00
25/01/2022,30.50
24/01/2022,32.00
21/01/2022,32.90
20/01/2022,32.40
19/01/2022,31.50
18/01/2022,32.00
17/01/2022,32.00
14/01/2022,32.90
13/01/2022,32.50
12/01/2022,32.80
11/01/2022,33.10
10/01/2022,33.40
07/01/2022,33.05
06/01/2022,33.35
05/01/2022,33.40
04/01/2022,33.25
31/12/2021,33.50
30/12/2021,33.55
29/12/2021,33.60
28/12/2021,33.40
27/12/2021,33.60
24/12/2021,33.50
23/12/2021,33.35
22/12/2021,33.50
21/12/2021,33.95
20/12/2021,34.00
17/12/2021,34.00
16/12/2021,34.00
15/12/2021,34.00
14/12/2021,34.00
13/12/2021,34.20
10/12/2021,33.65
09/12/2021,34.00
08/12/2021,33.25
07/12/2021,33.50
06/12/2021,33.45
03/12/2021,34.10
02/12/2021,34.30
01/12/2021,34.30
30/11/2021,34.40
29/11/2021,34.50
26/11/2021,34.65
25/11/2021,34.60
24/11/2021,34.30
23/11/2021,34.15
22/11/2021,34.15
19/11/2021,34.90
