Date,Closing Price
10/05/2022,19.90
09/05/2022,18.60
06/05/2022,20.00
05/05/2022,19.75
04/05/2022,21.10
29/04/2022,20.70
28/04/2022,19.35
27/04/2022,19.25
26/04/2022,18.00
25/04/2022,19.00
22/04/2022,20.40
21/04/2022,21.90
20/04/2022,23.30
19/04/2022,24.60
18/04/2022,26.40
15/04/2022,24.80
14/04/2022,23.55
13/04/2022,23.30
12/04/2022,22.75
08/04/2022,21.30
07/04/2022,22.30
06/04/2022,23.95
05/04/2022,24.80
04/04/2022,23.30
01/04/2022,24.00
31/03/2022,23.50
30/03/2022,24.20
29/03/2022,22.70
28/03/2022,22.60
25/03/2022,21.15
24/03/2022,21.15
23/03/2022,21.05
22/03/2022,19.70
21/03/2022,19.30
18/03/2022,19.15
17/03/2022,19.50
16/03/2022,19.50
15/03/2022,19.20
14/03/2022,18.90
11/03/2022,19.75
10/03/2022,20.05
09/03/2022,18.75
08/03/2022,19.15
07/03/2022,20.20
04/03/2022,20.15
03/03/2022,20.20
02/03/2022,19.20
01/03/2022,19.00
28/02/2022,19.00
25/02/2022,17.90
24/02/2022,17.80
23/02/2022,18.35
22/02/2022,18.00
21/02/2022,18.40
18/02/2022,17.95
17/02/2022,17.85
16/02/2022,18.00
15/02/2022,17.85
14/02/2022,18.00
11/02/2022,17.25
10/02/2022,17.20
09/02/2022,17.20
08/02/2022,17.50
07/02/2022,16.40
28/01/2022,15.35
27/01/2022,15.05
26/01/2022,15.10
25/01/2022,15.60
24/01/2022,15.65
21/01/2022,16.80
20/01/2022,16.90
19/01/2022,15.70
18/01/2022,15.60
17/01/2022,16.65
14/01/2022,17.85
13/01/2022,17.70
12/01/2022,19.00
11/01/2022,19.00
10/01/2022,19.80
07/01/2022,20.40
06/01/2022,21.00
05/01/2022,20.70
04/01/2022,19.35
31/12/2021,19.15
30/12/2021,18.95
29/12/2021,19.00
28/12/2021,18.70
27/12/2021,19.25
24/12/2021,19.10
23/12/2021,19.20
22/12/2021,20.10
21/12/2021,20.75
20/12/2021,20.80
17/12/2021,21.00
16/12/2021,20.40
15/12/2021,20.45
14/12/2021,20.70
13/12/2021,21.30
10/12/2021,20.40
09/12/2021,20.75
08/12/2021,20.60
07/12/2021,20.90
06/12/2021,19.55
03/12/2021,21.00
02/12/2021,22.30
01/12/2021,21.50
30/11/2021,21.55
29/11/2021,22.40
26/11/2021,22.40
25/11/2021,21.00
24/11/2021,19.65
23/11/2021,18.40
22/11/2021,17.20
19/11/2021,17.70
18/11/2021,18.90
17/11/2021,19.20
16/11/2021,19.00
15/11/2021,19.60
12/11/2021,19.85
11/11/2021,19.00
10/11/2021,19.35
09/11/2021,19.00
08/11/2021,19.55
05/11/2021,18.60
04/11/2021,17.40
03/11/2021,16.30
02/11/2021,17.50
01/11/2021,17.30
29/10/2021,16.20
28/10/2021,16.00
27/10/2021,16.00
26/10/2021,15.75
25/10/2021,15.40
22/10/2021,15.15
21/10/2021,14.20
20/10/2021,13.70
19/10/2021,13.95
18/10/2021,13.95
15/10/2021,14.05
14/10/2021,14.40
13/10/2021,14.40
12/10/2021,14.25
11/10/2021,14.30
08/10/2021,14.40
07/10/2021,14.90
06/10/2021,14.30
05/10/2021,14.15
04/10/2021,13.95
01/10/2021,13.40
30/09/2021,13.55
29/09/2021,13.35
28/09/2021,13.40
27/09/2021,13.30
