Date,Closing Price
10/05/2022,53.90
09/05/2022,50.90
06/05/2022,47.65
05/05/2022,50.10
04/05/2022,46.90
29/04/2022,46.90
28/04/2022,46.15
27/04/2022,48.85
26/04/2022,48.85
25/04/2022,45.70
22/04/2022,49.00
21/04/2022,49.10
20/04/2022,52.20
19/04/2022,56.10
18/04/2022,60.30
15/04/2022,64.80
14/04/2022,64.90
13/04/2022,65.50
12/04/2022,65.50
08/04/2022,66.00
07/04/2022,62.50
06/04/2022,67.20
05/04/2022,72.20
04/04/2022,72.30
01/04/2022,72.60
31/03/2022,72.90
30/03/2022,76.00
29/03/2022,72.00
28/03/2022,67.40
25/03/2022,63.00
24/03/2022,61.00
23/03/2022,57.20
22/03/2022,53.60
21/03/2022,50.10
18/03/2022,52.40
17/03/2022,51.50
16/03/2022,55.00
15/03/2022,54.10
14/03/2022,53.90
11/03/2022,54.00
10/03/2022,55.00
09/03/2022,55.80
08/03/2022,55.30
07/03/2022,55.40
04/03/2022,52.00
03/03/2022,50.00
02/03/2022,47.80
01/03/2022,45.50
28/02/2022,45.00
25/02/2022,44.00
24/02/2022,43.30
23/02/2022,44.90
22/02/2022,44.80
21/02/2022,43.95
18/02/2022,44.00
17/02/2022,44.00
16/02/2022,44.00
15/02/2022,42.50
14/02/2022,44.70
11/02/2022,44.70
10/02/2022,44.70
09/02/2022,44.70
08/02/2022,42.35
07/02/2022,43.30
28/01/2022,40.50
27/01/2022,40.50
26/01/2022,41.20
25/01/2022,43.90
24/01/2022,41.85
21/01/2022,42.55
20/01/2022,44.65
19/01/2022,44.65
18/01/2022,44.60
17/01/2022,44.65
14/01/2022,44.65
13/01/2022,42.50
12/01/2022,42.55
11/01/2022,42.55
10/01/2022,44.40
07/01/2022,44.40
06/01/2022,42.00
05/01/2022,42.00
04/01/2022,42.00
31/12/2021,42.05
30/12/2021,44.15
29/12/2021,44.85
28/12/2021,42.60
27/12/2021,42.50
24/12/2021,44.80
23/12/2021,44.90
22/12/2021,45.00
21/12/2021,42.30
20/12/2021,42.30
17/12/2021,45.45
16/12/2021,45.45
15/12/2021,43.00
14/12/2021,40.35
13/12/2021,40.35
10/12/2021,40.35
09/12/2021,40.20
08/12/2021,42.00
07/12/2021,42.00
06/12/2021,41.80
03/12/2021,41.80
02/12/2021,41.80
01/12/2021,44.45
30/11/2021,42.95
29/11/2021,40.75
26/11/2021,40.75
25/11/2021,40.75
24/11/2021,43.40
23/11/2021,43.40
22/11/2021,41.70
19/11/2021,41.70
18/11/2021,42.20
17/11/2021,44.75
16/11/2021,44.95
15/11/2021,44.95
12/11/2021,44.95
11/11/2021,44.95
10/11/2021,45.00
09/11/2021,45.00
08/11/2021,42.35
05/11/2021,43.10
04/11/2021,43.10
03/11/2021,43.10
02/11/2021,43.10
01/11/2021,43.00
29/10/2021,43.00
28/10/2021,44.00
27/10/2021,44.45
26/10/2021,44.55
25/10/2021,44.55
22/10/2021,44.55
21/10/2021,44.55
20/10/2021,44.55
19/10/2021,44.55
18/10/2021,44.60
15/10/2021,44.60
14/10/2021,44.60
13/10/2021,47.95
12/10/2021,46.00
11/10/2021,43.95
08/10/2021,44.00
07/10/2021,41.70
06/10/2021,43.35
05/10/2021,44.00
04/10/2021,43.80
01/10/2021,40.95
30/09/2021,44.00
29/09/2021,44.00
28/09/2021,44.00
27/09/2021,44.00
24/09/2021,44.00
23/09/2021,44.00
22/09/2021,44.00
21/09/2021,44.00
20/09/2021,44.00
17/09/2021,41.50
16/09/2021,44.00
15/09/2021,44.00
14/09/2021,44.00
13/09/2021,44.00
10/09/2021,44.00
09/09/2021,44.00
08/09/2021,45.00
07/09/2021,45.00
06/09/2021,45.00
01/09/2021,43.50
31/08/2021,43.50
30/08/2021,43.45
27/08/2021,41.60
26/08/2021,41.60
25/08/2021,41.60
24/08/2021,41.60
23/08/2021,41.60
20/08/2021,44.50
19/08/2021,44.50
18/08/2021,44.50
17/08/2021,41.65
16/08/2021,41.60
13/08/2021,41.60
12/08/2021,40.85
11/08/2021,40.85
10/08/2021,40.85
09/08/2021,42.00
06/08/2021,42.00
05/08/2021,45.00
04/08/2021,48.00
03/08/2021,44.95
02/08/2021,42.25
30/07/2021,42.25
29/07/2021,45.30
28/07/2021,45.30
27/07/2021,45.30
26/07/2021,45.30
23/07/2021,42.75
22/07/2021,42.75
21/07/2021,40.00
20/07/2021,43.00
19/07/2021,43.00
16/07/2021,43.00
15/07/2021,41.35
14/07/2021,41.35
13/07/2021,44.35
12/07/2021,42.50
09/07/2021,42.50
08/07/2021,40.05
07/07/2021,40.05
06/07/2021,40.05
05/07/2021,42.15
02/07/2021,42.10
01/07/2021,42.10
30/06/2021,42.10
29/06/2021,42.85
28/06/2021,42.85
25/06/2021,45.45
24/06/2021,45.45
23/06/2021,45.45
22/06/2021,42.60
21/06/2021,42.60
18/06/2021,45.80
17/06/2021,45.80
16/06/2021,45.80
15/06/2021,45.80
14/06/2021,45.80
11/06/2021,45.80
10/06/2021,42.85
09/06/2021,42.85
08/06/2021,42.85
07/06/2021,42.85
04/06/2021,46.00
03/06/2021,46.00
02/06/2021,46.00
01/06/2021,46.00
31/05/2021,46.00
28/05/2021,45.70
27/05/2021,45.70
26/05/2021,42.75
25/05/2021,45.95
24/05/2021,42.95
21/05/2021,40.15
20/05/2021,40.15
19/05/2021,40.15
18/05/2021,40.15
17/05/2021,43.00
14/05/2021,43.00
13/05/2021,43.00
12/05/2021,43.00
11/05/2021,43.00
10/05/2021,43.00
07/05/2021,43.00
06/05/2021,43.10
05/05/2021,43.10
04/05/2021,43.10
29/04/2021,43.90
28/04/2021,43.90
27/04/2021,41.05
26/04/2021,44.00
23/04/2021,44.00
22/04/2021,44.00
20/04/2021,44.00
19/04/2021,44.00
16/04/2021,44.00
15/04/2021,44.00
14/04/2021,47.10
13/04/2021,44.10
12/04/2021,44.10
09/04/2021,46.00
08/04/2021,46.00
07/04/2021,46.00
06/04/2021,46.00
05/04/2021,46.00
02/04/2021,46.50
01/04/2021,46.50
31/03/2021,46.50
30/03/2021,46.50
29/03/2021,46.50
26/03/2021,46.50
25/03/2021,46.50
24/03/2021,46.50
23/03/2021,46.50
22/03/2021,46.50
19/03/2021,46.50
18/03/2021,46.50
17/03/2021,46.50
16/03/2021,45.00
15/03/2021,45.00
12/03/2021,45.00
11/03/2021,44.10
10/03/2021,44.10
09/03/2021,44.10
08/03/2021,46.50
05/03/2021,46.50
04/03/2021,46.50
03/03/2021,46.50
02/03/2021,46.50
01/03/2021,46.50
26/02/2021,45.95
25/02/2021,46.45
24/02/2021,44.00
23/02/2021,44.00
22/02/2021,44.00
19/02/2021,46.50
18/02/2021,46.50
17/02/2021,46.50
09/02/2021,46.50
08/02/2021,43.60
05/02/2021,43.80
04/02/2021,40.95
03/02/2021,44.00
02/02/2021,44.00
01/02/2021,41.15
29/01/2021,44.05
28/01/2021,44.05
27/01/2021,44.05
26/01/2021,46.25
