Date,Closing Price
10/05/2022,46.40
09/05/2022,47.10
06/05/2022,50.60
05/05/2022,51.30
04/05/2022,53.20
29/04/2022,52.60
28/04/2022,50.20
27/04/2022,49.00
26/04/2022,48.60
25/04/2022,48.10
22/04/2022,51.70
21/04/2022,55.50
20/04/2022,57.90
19/04/2022,59.00
18/04/2022,57.00
15/04/2022,58.20
14/04/2022,60.00
13/04/2022,57.10
12/04/2022,53.40
08/04/2022,56.00
07/04/2022,60.20
06/04/2022,61.70
05/04/2022,61.50
04/04/2022,60.60
01/04/2022,63.80
31/03/2022,62.50
30/03/2022,64.00
29/03/2022,66.00
28/03/2022,67.00
25/03/2022,63.00
24/03/2022,62.50
23/03/2022,62.00
22/03/2022,60.00
21/03/2022,56.60
18/03/2022,55.90
17/03/2022,56.00
16/03/2022,56.70
15/03/2022,53.00
14/03/2022,55.80
11/03/2022,60.00
10/03/2022,60.80
09/03/2022,61.70
08/03/2022,58.70
07/03/2022,59.90
04/03/2022,56.00
03/03/2022,56.70
02/03/2022,53.80
01/03/2022,52.40
28/02/2022,53.50
25/02/2022,52.90
24/02/2022,49.45
23/02/2022,48.70
22/02/2022,48.50
21/02/2022,47.00
18/02/2022,48.25
17/02/2022,47.55
16/02/2022,46.40
15/02/2022,46.30
14/02/2022,46.20
11/02/2022,44.00
10/02/2022,41.65
09/02/2022,42.35
08/02/2022,41.30
07/02/2022,38.60
28/01/2022,36.80
27/01/2022,36.80
26/01/2022,37.60
25/01/2022,37.60
24/01/2022,38.00
21/01/2022,38.50
20/01/2022,37.20
19/01/2022,36.50
18/01/2022,36.40
17/01/2022,35.20
14/01/2022,37.80
13/01/2022,38.40
12/01/2022,39.35
11/01/2022,38.10
10/01/2022,39.85
07/01/2022,41.55
06/01/2022,42.20
05/01/2022,42.50
04/01/2022,42.50
31/12/2021,42.55
30/12/2021,42.00
29/12/2021,41.80
28/12/2021,42.50
27/12/2021,41.50
24/12/2021,42.20
23/12/2021,43.05
22/12/2021,44.30
21/12/2021,45.00
20/12/2021,45.35
17/12/2021,45.70
16/12/2021,46.40
15/12/2021,46.70
14/12/2021,47.50
13/12/2021,48.20
10/12/2021,47.90
09/12/2021,47.00
08/12/2021,45.85
07/12/2021,45.60
06/12/2021,44.25
03/12/2021,47.50
02/12/2021,49.00
01/12/2021,50.50
30/11/2021,49.80
29/11/2021,50.40
26/11/2021,49.10
25/11/2021,48.90
24/11/2021,48.50
23/11/2021,49.40
22/11/2021,46.90
19/11/2021,50.00
18/11/2021,53.70
17/11/2021,55.50
16/11/2021,55.00
15/11/2021,53.60
12/11/2021,53.00
11/11/2021,55.30
10/11/2021,56.80
09/11/2021,56.00
08/11/2021,57.50
05/11/2021,57.80
04/11/2021,54.30
03/11/2021,52.30
02/11/2021,55.80
01/11/2021,54.30
29/10/2021,51.10
28/10/2021,47.80
27/10/2021,48.70
26/10/2021,49.90
25/10/2021,47.70
22/10/2021,44.60
21/10/2021,46.50
20/10/2021,46.80
19/10/2021,46.80
18/10/2021,48.00
15/10/2021,50.50
14/10/2021,51.30
13/10/2021,50.70
12/10/2021,50.80
11/10/2021,50.00
08/10/2021,51.10
07/10/2021,51.20
06/10/2021,50.00
05/10/2021,53.30
04/10/2021,55.00
01/10/2021,56.40
30/09/2021,52.80
29/09/2021,54.20
28/09/2021,52.20
27/09/2021,56.10
24/09/2021,60.30
23/09/2021,64.80
22/09/2021,69.60
21/09/2021,65.10
20/09/2021,60.90
17/09/2021,57.00
16/09/2021,53.30
15/09/2021,53.60
14/09/2021,52.40
13/09/2021,49.00
10/09/2021,46.50
09/09/2021,46.10
08/09/2021,46.00
07/09/2021,44.50
06/09/2021,46.10
01/09/2021,47.15
31/08/2021,45.90
30/08/2021,43.95
27/08/2021,41.30
26/08/2021,39.70
25/08/2021,38.90
24/08/2021,39.20
23/08/2021,40.30
20/08/2021,39.00
19/08/2021,39.50
18/08/2021,37.20
17/08/2021,35.40
16/08/2021,35.00
13/08/2021,34.25
12/08/2021,34.15
11/08/2021,34.00
10/08/2021,35.25
09/08/2021,34.90
06/08/2021,32.85
05/08/2021,33.50
04/08/2021,33.30
03/08/2021,33.30
02/08/2021,32.55
30/07/2021,30.45
29/07/2021,30.80
28/07/2021,29.45
27/07/2021,30.30
26/07/2021,30.35
23/07/2021,28.40
22/07/2021,27.55
21/07/2021,27.25
20/07/2021,27.20
19/07/2021,26.80
16/07/2021,27.55
15/07/2021,27.30
14/07/2021,27.30
13/07/2021,27.60
12/07/2021,27.95
09/07/2021,28.60
08/07/2021,27.75
07/07/2021,27.70
06/07/2021,27.60
05/07/2021,28.50
02/07/2021,29.10
01/07/2021,29.10
30/06/2021,29.10
29/06/2021,29.10
28/06/2021,29.00
25/06/2021,29.05
24/06/2021,29.00
23/06/2021,29.50
22/06/2021,30.10
21/06/2021,30.05
18/06/2021,30.20
17/06/2021,29.30
16/06/2021,29.00
15/06/2021,29.20
14/06/2021,28.55
11/06/2021,28.05
10/06/2021,28.00
09/06/2021,28.00
08/06/2021,28.00
07/06/2021,27.85
04/06/2021,28.20
03/06/2021,28.90
02/06/2021,29.10
01/06/2021,28.85
31/05/2021,27.70
28/05/2021,27.20
27/05/2021,26.90
26/05/2021,27.20
25/05/2021,27.20
24/05/2021,27.20
21/05/2021,27.00
20/05/2021,26.75
19/05/2021,27.10
18/05/2021,27.10
17/05/2021,27.65
14/05/2021,27.30
13/05/2021,27.00
12/05/2021,27.55
11/05/2021,27.40
10/05/2021,27.50
07/05/2021,27.50
06/05/2021,27.80
05/05/2021,28.00
04/05/2021,27.00
29/04/2021,27.20
28/04/2021,27.00
27/04/2021,26.70
26/04/2021,27.05
23/04/2021,27.85
22/04/2021,27.50
20/04/2021,28.15
19/04/2021,28.55
16/04/2021,29.00
15/04/2021,29.50
14/04/2021,30.20
13/04/2021,30.00
12/04/2021,30.55
09/04/2021,30.75
08/04/2021,30.20
07/04/2021,30.50
06/04/2021,30.70
05/04/2021,30.80
02/04/2021,31.10
01/04/2021,31.00
31/03/2021,30.70
30/03/2021,30.80
29/03/2021,31.00
26/03/2021,30.40
25/03/2021,31.00
24/03/2021,31.00
23/03/2021,32.60
22/03/2021,32.70
19/03/2021,32.80
18/03/2021,33.10
17/03/2021,33.10
16/03/2021,32.30
15/03/2021,32.90
12/03/2021,32.40
11/03/2021,32.70
10/03/2021,33.00
09/03/2021,33.00
08/03/2021,32.30
05/03/2021,30.20
04/03/2021,30.15
03/03/2021,30.70
02/03/2021,29.90
01/03/2021,30.00
26/02/2021,29.40
25/02/2021,29.40
24/02/2021,29.40
23/02/2021,29.70
22/02/2021,29.70
19/02/2021,29.90
18/02/2021,29.90
17/02/2021,29.00
09/02/2021,28.20
08/02/2021,27.90
05/02/2021,28.60
04/02/2021,27.85
03/02/2021,27.85
02/02/2021,27.10
01/02/2021,26.85
29/01/2021,28.30
28/01/2021,27.90
27/01/2021,30.00
26/01/2021,31.10
25/01/2021,31.00
22/01/2021,29.00
21/01/2021,29.30
20/01/2021,28.30
19/01/2021,28.70
18/01/2021,30.80
15/01/2021,30.25
14/01/2021,30.20
13/01/2021,30.30
12/01/2021,30.70
11/01/2021,28.70
08/01/2021,28.10
07/01/2021,27.80
06/01/2021,28.60
05/01/2021,28.70
04/01/2021,29.10
31/12/2020,29.10
30/12/2020,29.05
29/12/2020,28.10
28/12/2020,27.70
25/12/2020,27.75
24/12/2020,27.70
23/12/2020,28.00
22/12/2020,27.65
21/12/2020,27.70
18/12/2020,27.90
17/12/2020,27.90
16/12/2020,28.55
15/12/2020,28.50
14/12/2020,28.05
11/12/2020,28.10
10/12/2020,28.05
09/12/2020,28.60
08/12/2020,28.85
07/12/2020,28.85
04/12/2020,28.70
03/12/2020,29.40
02/12/2020,28.30
01/12/2020,27.90
30/11/2020,27.70
27/11/2020,27.70
26/11/2020,27.55
25/11/2020,27.65
24/11/2020,27.90
23/11/2020,28.20
20/11/2020,27.30
19/11/2020,27.00
18/11/2020,27.00
17/11/2020,27.00
16/11/2020,26.70
13/11/2020,27.05
12/11/2020,27.00
11/11/2020,27.10
10/11/2020,27.50
09/11/2020,27.60
06/11/2020,27.00
05/11/2020,27.90
04/11/2020,27.90
03/11/2020,28.00
02/11/2020,27.75
30/10/2020,27.10
29/10/2020,27.80
28/10/2020,26.00
27/10/2020,27.70
26/10/2020,28.75
23/10/2020,30.90
22/10/2020,31.10
21/10/2020,29.10
20/10/2020,27.20
19/10/2020,27.00
16/10/2020,27.45
15/10/2020,27.30
14/10/2020,28.00
13/10/2020,27.55
12/10/2020,28.00
09/10/2020,28.40
08/10/2020,28.50
07/10/2020,28.80
06/10/2020,28.90
05/10/2020,27.30
02/10/2020,27.00
01/10/2020,27.10
30/09/2020,27.10
29/09/2020,27.25
28/09/2020,27.30
25/09/2020,27.30
24/09/2020,27.45
23/09/2020,27.50
22/09/2020,27.30
21/09/2020,27.20
18/09/2020,26.80
17/09/2020,26.60
16/09/2020,26.85
15/09/2020,26.60
14/09/2020,27.00
11/09/2020,26.45
10/09/2020,26.50
09/09/2020,25.40
08/09/2020,23.80
07/09/2020,23.65
04/09/2020,23.20
03/09/2020,23.50
01/09/2020,23.60
31/08/2020,23.85
28/08/2020,23.85
27/08/2020,24.05
26/08/2020,23.05
25/08/2020,23.00
24/08/2020,22.40
21/08/2020,22.15
20/08/2020,22.15
19/08/2020,22.10
18/08/2020,21.90
17/08/2020,22.10
14/08/2020,21.95
13/08/2020,21.70
12/08/2020,21.55
11/08/2020,21.60
10/08/2020,21.60
07/08/2020,21.00
06/08/2020,21.05
05/08/2020,21.05
04/08/2020,20.70
03/08/2020,20.70
31/07/2020,20.10
30/07/2020,20.10
29/07/2020,19.90
28/07/2020,20.75
27/07/2020,19.80
24/07/2020,21.10
23/07/2020,21.85
22/07/2020,21.90
21/07/2020,21.90
20/07/2020,21.85
17/07/2020,21.90
16/07/2020,22.05
15/07/2020,22.15
14/07/2020,22.00
13/07/2020,21.55
10/07/2020,21.70
09/07/2020,21.45
08/07/2020,21.40
07/07/2020,21.40
06/07/2020,21.30
03/07/2020,21.15
02/07/2020,21.20
01/07/2020,21.30
30/06/2020,21.00
29/06/2020,21.20
26/06/2020,22.15
25/06/2020,22.30
24/06/2020,22.45
23/06/2020,22.60
22/06/2020,22.30
19/06/2020,22.60
18/06/2020,22.35
17/06/2020,22.10
16/06/2020,21.85
15/06/2020,21.80
12/06/2020,22.10
11/06/2020,22.50
10/06/2020,23.75
09/06/2020,23.60
08/06/2020,23.80
05/06/2020,23.80
04/06/2020,23.40
03/06/2020,23.50
02/06/2020,23.20
01/06/2020,24.05
29/05/2020,22.50
28/05/2020,22.25
27/05/2020,21.90
26/05/2020,21.80
25/05/2020,21.75
22/05/2020,21.75
21/05/2020,22.15
20/05/2020,22.50
19/05/2020,21.80
18/05/2020,22.00
15/05/2020,21.80
14/05/2020,21.30
13/05/2020,21.15
12/05/2020,21.20
11/05/2020,20.60
08/05/2020,20.60
