Date,Closing Price
10/05/2022,24.50
09/05/2022,24.70
06/05/2022,25.55
05/05/2022,25.60
04/05/2022,25.50
29/04/2022,25.55
28/04/2022,25.00
27/04/2022,24.20
26/04/2022,24.60
25/04/2022,24.70
22/04/2022,25.05
21/04/2022,24.70
20/04/2022,25.10
19/04/2022,24.60
18/04/2022,25.05
15/04/2022,25.10
14/04/2022,24.90
13/04/2022,25.05
12/04/2022,24.85
08/04/2022,24.85
07/04/2022,25.10
06/04/2022,25.65
05/04/2022,25.40
04/04/2022,25.55
01/04/2022,27.20
31/03/2022,26.90
30/03/2022,26.60
29/03/2022,26.20
28/03/2022,25.85
25/03/2022,25.80
24/03/2022,25.30
23/03/2022,24.00
22/03/2022,24.55
21/03/2022,22.95
18/03/2022,22.90
17/03/2022,22.90
16/03/2022,22.45
15/03/2022,21.80
14/03/2022,21.65
11/03/2022,22.00
10/03/2022,22.00
09/03/2022,22.00
08/03/2022,22.50
07/03/2022,22.45
04/03/2022,22.55
03/03/2022,21.80
02/03/2022,21.75
01/03/2022,21.75
28/02/2022,22.10
25/02/2022,22.05
24/02/2022,21.80
23/02/2022,22.05
22/02/2022,22.00
21/02/2022,23.30
18/02/2022,23.20
17/02/2022,23.00
16/02/2022,22.90
15/02/2022,23.95
14/02/2022,22.70
11/02/2022,22.50
10/02/2022,22.95
09/02/2022,22.95
08/02/2022,22.55
07/02/2022,21.95
28/01/2022,20.55
27/01/2022,20.50
26/01/2022,20.45
25/01/2022,20.35
24/01/2022,20.30
21/01/2022,20.30
20/01/2022,20.30
19/01/2022,20.20
18/01/2022,20.20
17/01/2022,20.20
14/01/2022,20.20
13/01/2022,20.20
12/01/2022,20.20
11/01/2022,20.45
10/01/2022,20.55
07/01/2022,20.50
06/01/2022,20.95
05/01/2022,21.25
04/01/2022,21.00
31/12/2021,20.20
30/12/2021,20.65
29/12/2021,20.55
28/12/2021,20.55
27/12/2021,20.45
24/12/2021,20.30
23/12/2021,20.10
22/12/2021,20.00
21/12/2021,19.80
20/12/2021,20.00
17/12/2021,20.00
16/12/2021,19.80
15/12/2021,20.00
14/12/2021,20.00
13/12/2021,20.00
10/12/2021,20.00
09/12/2021,20.10
08/12/2021,20.25
07/12/2021,20.40
06/12/2021,20.40
03/12/2021,21.55
02/12/2021,21.00
01/12/2021,20.80
30/11/2021,20.90
29/11/2021,20.80
26/11/2021,21.00
25/11/2021,20.95
24/11/2021,20.90
23/11/2021,20.80
22/11/2021,20.80
19/11/2021,20.80
18/11/2021,21.20
17/11/2021,21.65
16/11/2021,21.70
15/11/2021,20.35
12/11/2021,20.35
11/11/2021,20.30
10/11/2021,20.30
09/11/2021,20.20
08/11/2021,20.40
05/11/2021,20.40
04/11/2021,20.40
03/11/2021,20.45
02/11/2021,20.50
01/11/2021,20.50
29/10/2021,20.45
28/10/2021,20.35
27/10/2021,20.20
26/10/2021,20.05
25/10/2021,20.05
22/10/2021,20.05
21/10/2021,20.05
20/10/2021,20.10
19/10/2021,20.10
18/10/2021,20.10
15/10/2021,20.10
14/10/2021,20.10
13/10/2021,20.10
12/10/2021,20.05
11/10/2021,20.00
08/10/2021,19.90
07/10/2021,19.90
06/10/2021,19.90
05/10/2021,19.90
04/10/2021,19.90
01/10/2021,19.95
30/09/2021,19.95
29/09/2021,19.90
28/09/2021,19.55
27/09/2021,20.00
24/09/2021,20.05
23/09/2021,20.10
22/09/2021,20.15
21/09/2021,20.10
20/09/2021,20.15
17/09/2021,20.10
16/09/2021,20.10
15/09/2021,20.10
14/09/2021,20.10
13/09/2021,20.05
10/09/2021,20.05
09/09/2021,20.05
08/09/2021,20.10
07/09/2021,20.20
06/09/2021,20.20
01/09/2021,20.10
31/08/2021,20.10
30/08/2021,20.15
27/08/2021,20.10
26/08/2021,20.05
25/08/2021,20.05
24/08/2021,20.10
23/08/2021,20.10
20/08/2021,19.95
19/08/2021,20.10
18/08/2021,20.00
17/08/2021,20.10
16/08/2021,20.00
13/08/2021,20.00
12/08/2021,20.00
11/08/2021,20.00
10/08/2021,20.05
09/08/2021,20.05
06/08/2021,20.05
05/08/2021,20.10
04/08/2021,20.10
03/08/2021,20.30
02/08/2021,20.35
30/07/2021,20.35
29/07/2021,20.75
28/07/2021,20.70
27/07/2021,20.70
26/07/2021,20.40
23/07/2021,20.30
22/07/2021,20.25
21/07/2021,20.30
20/07/2021,20.25
19/07/2021,20.20
16/07/2021,20.40
15/07/2021,20.30
14/07/2021,20.20
13/07/2021,20.25
12/07/2021,20.25
09/07/2021,20.30
08/07/2021,20.40
07/07/2021,20.55
06/07/2021,20.45
05/07/2021,20.50
02/07/2021,20.60
01/07/2021,20.60
30/06/2021,20.45
