Date,Closing Price
10/05/2022,14.80
09/05/2022,15.30
06/05/2022,16.40
05/05/2022,17.40
04/05/2022,17.65
29/04/2022,16.80
28/04/2022,16.40
27/04/2022,16.40
26/04/2022,16.30
25/04/2022,15.60
22/04/2022,16.75
21/04/2022,17.00
20/04/2022,17.75
19/04/2022,19.05
18/04/2022,20.45
15/04/2022,21.95
14/04/2022,22.55
13/04/2022,22.80
12/04/2022,21.85
08/04/2022,23.45
07/04/2022,24.50
06/04/2022,25.10
05/04/2022,24.85
04/04/2022,24.60
01/04/2022,24.50
31/03/2022,24.20
30/03/2022,24.70
29/03/2022,25.70
28/03/2022,25.70
25/03/2022,24.95
24/03/2022,24.40
23/03/2022,24.20
22/03/2022,24.60
21/03/2022,25.05
18/03/2022,24.75
17/03/2022,24.40
16/03/2022,24.30
15/03/2022,24.80
14/03/2022,23.20
11/03/2022,22.70
10/03/2022,22.60
09/03/2022,22.20
08/03/2022,22.15
07/03/2022,22.65
04/03/2022,22.50
03/03/2022,21.70
02/03/2022,21.60
01/03/2022,22.00
28/02/2022,22.30
25/02/2022,21.50
24/02/2022,21.50
23/02/2022,22.60
22/02/2022,22.60
21/02/2022,23.55
18/02/2022,22.70
17/02/2022,22.10
16/02/2022,22.35
15/02/2022,21.25
14/02/2022,21.40
11/02/2022,21.20
10/02/2022,21.30
09/02/2022,21.45
08/02/2022,21.20
07/02/2022,21.60
28/01/2022,20.20
27/01/2022,19.80
26/01/2022,21.10
25/01/2022,22.65
24/01/2022,22.15
21/01/2022,23.80
20/01/2022,22.85
19/01/2022,21.35
18/01/2022,22.45
17/01/2022,24.10
14/01/2022,25.90
13/01/2022,26.45
12/01/2022,28.40
11/01/2022,28.85
10/01/2022,27.15
07/01/2022,27.10
06/01/2022,27.30
05/01/2022,27.50
04/01/2022,27.70
31/12/2021,26.95
30/12/2021,26.80
29/12/2021,27.70
28/12/2021,26.20
27/12/2021,24.50
24/12/2021,24.40
23/12/2021,24.75
22/12/2021,25.65
21/12/2021,25.15
20/12/2021,25.25
17/12/2021,24.45
16/12/2021,23.70
15/12/2021,23.00
14/12/2021,23.35
13/12/2021,24.00
10/12/2021,22.65
09/12/2021,21.20
08/12/2021,20.80
07/12/2021,21.05
06/12/2021,20.40
03/12/2021,21.80
02/12/2021,23.30
01/12/2021,23.35
30/11/2021,23.65
29/11/2021,23.10
26/11/2021,21.60
25/11/2021,21.70
24/11/2021,21.25
23/11/2021,21.30
22/11/2021,21.30
19/11/2021,22.90
18/11/2021,22.60
17/11/2021,21.25
16/11/2021,21.70
15/11/2021,22.30
12/11/2021,21.60
11/11/2021,20.65
10/11/2021,19.30
09/11/2021,19.30
08/11/2021,18.35
05/11/2021,18.00
04/11/2021,18.00
03/11/2021,17.70
02/11/2021,19.00
01/11/2021,19.00
29/10/2021,19.00
28/10/2021,19.15
27/10/2021,18.30
26/10/2021,18.10
25/10/2021,18.25
22/10/2021,18.05
21/10/2021,16.90
20/10/2021,16.90
19/10/2021,16.40
18/10/2021,16.20
15/10/2021,16.60
14/10/2021,16.80
13/10/2021,16.50
12/10/2021,16.50
11/10/2021,16.50
08/10/2021,16.55
07/10/2021,17.05
06/10/2021,16.60
05/10/2021,16.25
04/10/2021,15.80
01/10/2021,15.60
30/09/2021,15.90
29/09/2021,15.85
28/09/2021,15.25
27/09/2021,15.00
24/09/2021,15.60
23/09/2021,15.80
22/09/2021,16.10
21/09/2021,15.65
20/09/2021,16.00
17/09/2021,16.40
16/09/2021,17.70
15/09/2021,17.65
14/09/2021,17.10
13/09/2021,16.90
10/09/2021,17.45
09/09/2021,17.60
08/09/2021,17.40
07/09/2021,17.20
06/09/2021,17.80
01/09/2021,16.75
31/08/2021,15.90
30/08/2021,16.10
27/08/2021,15.90
26/08/2021,15.30
25/08/2021,14.90
24/08/2021,14.80
23/08/2021,14.90
20/08/2021,15.30
19/08/2021,16.25
18/08/2021,16.10
17/08/2021,16.55
16/08/2021,16.35
13/08/2021,16.20
12/08/2021,16.40
11/08/2021,15.65
10/08/2021,15.55
09/08/2021,15.50
06/08/2021,14.50
05/08/2021,14.35
04/08/2021,14.35
03/08/2021,14.40
02/08/2021,14.30
30/07/2021,14.20
29/07/2021,14.10
28/07/2021,14.10
27/07/2021,14.20
26/07/2021,14.15
23/07/2021,14.10
22/07/2021,14.00
21/07/2021,14.00
20/07/2021,14.20
19/07/2021,13.50
16/07/2021,14.20
15/07/2021,14.40
14/07/2021,14.40
13/07/2021,14.50
12/07/2021,14.00
09/07/2021,14.60
08/07/2021,14.95
07/07/2021,14.50
06/07/2021,14.55
05/07/2021,14.80
02/07/2021,15.10
01/07/2021,15.40
30/06/2021,15.40
29/06/2021,15.55
28/06/2021,15.65
25/06/2021,15.65
24/06/2021,15.70
23/06/2021,16.30
22/06/2021,16.40
21/06/2021,16.20
18/06/2021,16.15
17/06/2021,16.35
16/06/2021,16.10
15/06/2021,15.10
14/06/2021,14.95
11/06/2021,14.85
10/06/2021,14.70
09/06/2021,15.00
08/06/2021,14.85
07/06/2021,15.00
04/06/2021,15.40
03/06/2021,15.50
02/06/2021,14.50
01/06/2021,14.60
31/05/2021,14.80
28/05/2021,14.70
27/05/2021,14.40
26/05/2021,14.50
25/05/2021,15.05
24/05/2021,14.95
21/05/2021,14.00
20/05/2021,13.95
19/05/2021,14.45
18/05/2021,15.00
17/05/2021,15.25
14/05/2021,15.60
13/05/2021,15.80
12/05/2021,16.15
11/05/2021,15.85
10/05/2021,15.80
07/05/2021,16.10
06/05/2021,16.35
05/05/2021,16.65
04/05/2021,16.60
29/04/2021,16.00
28/04/2021,16.00
27/04/2021,16.00
26/04/2021,16.15
23/04/2021,15.70
22/04/2021,15.80
20/04/2021,16.70
19/04/2021,17.15
16/04/2021,17.10
15/04/2021,17.65
14/04/2021,18.15
13/04/2021,17.00
12/04/2021,18.10
09/04/2021,18.35
08/04/2021,18.40
07/04/2021,18.40
06/04/2021,18.30
05/04/2021,18.00
02/04/2021,18.00
01/04/2021,18.55
31/03/2021,19.00
30/03/2021,19.00
29/03/2021,19.00
26/03/2021,18.40
25/03/2021,18.40
24/03/2021,18.50
23/03/2021,18.50
22/03/2021,19.50
19/03/2021,18.95
18/03/2021,17.75
17/03/2021,17.95
16/03/2021,18.10
15/03/2021,17.95
12/03/2021,16.80
11/03/2021,17.10
10/03/2021,17.15
09/03/2021,16.05
08/03/2021,16.05
05/03/2021,15.00
04/03/2021,14.80
03/03/2021,15.25
02/03/2021,15.15
01/03/2021,14.95
26/02/2021,15.00
25/02/2021,15.40
24/02/2021,15.40
23/02/2021,15.50
22/02/2021,14.90
19/02/2021,14.50
18/02/2021,14.70
17/02/2021,14.90
09/02/2021,14.60
08/02/2021,14.55
05/02/2021,14.70
04/02/2021,14.60
03/02/2021,14.30
02/02/2021,13.90
01/02/2021,13.55
29/01/2021,14.20
28/01/2021,14.05
27/01/2021,15.10
26/01/2021,15.50
25/01/2021,16.00
22/01/2021,16.10
21/01/2021,16.05
20/01/2021,15.75
19/01/2021,15.90
18/01/2021,16.10
15/01/2021,16.15
14/01/2021,16.40
13/01/2021,16.40
12/01/2021,16.50
11/01/2021,16.20
08/01/2021,16.20
07/01/2021,15.90
06/01/2021,15.90
05/01/2021,16.20
04/01/2021,16.00
31/12/2020,15.50
30/12/2020,15.20
29/12/2020,15.65
28/12/2020,15.30
25/12/2020,15.20
24/12/2020,14.70
23/12/2020,15.25
22/12/2020,15.05
21/12/2020,14.10
18/12/2020,14.20
17/12/2020,14.10
16/12/2020,14.25
15/12/2020,14.20
14/12/2020,14.10
11/12/2020,14.00
10/12/2020,14.00
09/12/2020,14.40
08/12/2020,15.55
07/12/2020,15.10
04/12/2020,14.90
03/12/2020,14.75
02/12/2020,14.05
01/12/2020,13.90
30/11/2020,14.05
27/11/2020,14.10
26/11/2020,14.25
25/11/2020,13.65
24/11/2020,13.80
23/11/2020,13.75
20/11/2020,13.60
19/11/2020,13.35
18/11/2020,12.50
17/11/2020,12.50
16/11/2020,12.50
13/11/2020,12.50
12/11/2020,12.50
11/11/2020,12.60
10/11/2020,12.50
09/11/2020,12.65
06/11/2020,12.60
05/11/2020,12.80
04/11/2020,12.90
03/11/2020,12.85
02/11/2020,12.80
30/10/2020,12.60
29/10/2020,12.60
28/10/2020,12.60
27/10/2020,12.60
26/10/2020,12.95
23/10/2020,13.10
22/10/2020,13.00
21/10/2020,13.00
20/10/2020,13.20
19/10/2020,13.35
16/10/2020,13.45
15/10/2020,13.70
14/10/2020,13.90
13/10/2020,14.00
12/10/2020,14.00
09/10/2020,14.30
08/10/2020,14.30
07/10/2020,14.45
06/10/2020,14.45
05/10/2020,14.45
02/10/2020,14.20
01/10/2020,14.05
30/09/2020,14.00
29/09/2020,14.10
28/09/2020,14.25
25/09/2020,14.60
24/09/2020,14.60
23/09/2020,14.75
22/09/2020,14.65
21/09/2020,14.75
18/09/2020,14.60
17/09/2020,14.70
16/09/2020,14.70
15/09/2020,14.80
14/09/2020,14.95
11/09/2020,14.65
10/09/2020,14.65
09/09/2020,14.45
08/09/2020,14.35
07/09/2020,14.00
04/09/2020,13.80
03/09/2020,13.90
01/09/2020,14.00
31/08/2020,14.10
28/08/2020,14.30
27/08/2020,14.05
26/08/2020,13.15
25/08/2020,13.05
24/08/2020,13.05
21/08/2020,12.90
20/08/2020,12.80
19/08/2020,13.00
18/08/2020,13.40
17/08/2020,13.40
14/08/2020,13.45
13/08/2020,13.10
12/08/2020,13.10
11/08/2020,13.30
10/08/2020,13.25
07/08/2020,12.40
06/08/2020,12.05
05/08/2020,12.30
04/08/2020,12.25
03/08/2020,11.85
31/07/2020,11.10
30/07/2020,11.70
29/07/2020,12.00
28/07/2020,12.90
27/07/2020,12.65
24/07/2020,13.60
23/07/2020,13.60
22/07/2020,14.10
21/07/2020,14.20
20/07/2020,14.10
17/07/2020,14.50
16/07/2020,14.70
15/07/2020,14.70
14/07/2020,14.65
13/07/2020,14.85
10/07/2020,14.90
09/07/2020,14.95
08/07/2020,14.60
07/07/2020,14.60
06/07/2020,14.70
03/07/2020,14.70
02/07/2020,14.60
01/07/2020,15.15
30/06/2020,14.50
29/06/2020,14.45
26/06/2020,15.50
25/06/2020,16.00
24/06/2020,16.50
23/06/2020,17.00
22/06/2020,17.25
19/06/2020,17.30
18/06/2020,17.80
17/06/2020,18.90
16/06/2020,18.70
15/06/2020,18.10
12/06/2020,18.80
11/06/2020,19.00
10/06/2020,19.85
09/06/2020,19.95
08/06/2020,19.20
05/06/2020,19.20
04/06/2020,19.40
03/06/2020,19.40
02/06/2020,19.00
01/06/2020,18.80
29/05/2020,18.80
28/05/2020,18.90
27/05/2020,19.05
