Date,Closing Price
10/05/2022,19.80
09/05/2022,20.60
06/05/2022,22.10
05/05/2022,23.75
04/05/2022,24.00
29/04/2022,25.20
28/04/2022,24.80
27/04/2022,24.90
26/04/2022,24.90
25/04/2022,24.95
22/04/2022,26.80
21/04/2022,26.80
20/04/2022,26.10
19/04/2022,27.65
18/04/2022,29.70
15/04/2022,31.90
14/04/2022,32.65
13/04/2022,33.50
12/04/2022,32.80
08/04/2022,33.50
07/04/2022,35.50
06/04/2022,36.50
05/04/2022,36.30
04/04/2022,37.05
01/04/2022,34.65
31/03/2022,33.65
30/03/2022,33.80
29/03/2022,34.20
28/03/2022,33.65
25/03/2022,37.10
24/03/2022,37.45
23/03/2022,37.70
22/03/2022,38.40
21/03/2022,37.50
18/03/2022,36.95
17/03/2022,36.45
16/03/2022,36.50
15/03/2022,36.00
14/03/2022,35.60
11/03/2022,37.20
10/03/2022,38.60
09/03/2022,38.10
08/03/2022,38.70
07/03/2022,39.30
04/03/2022,40.00
03/03/2022,40.00
02/03/2022,39.40
01/03/2022,40.50
28/02/2022,40.80
25/02/2022,40.60
24/02/2022,38.40
23/02/2022,37.95
22/02/2022,37.65
21/02/2022,38.60
18/02/2022,37.20
17/02/2022,36.45
16/02/2022,36.65
15/02/2022,35.80
14/02/2022,35.50
11/02/2022,37.60
10/02/2022,37.45
09/02/2022,37.95
08/02/2022,36.55
07/02/2022,35.60
28/01/2022,34.90
27/01/2022,35.50
26/01/2022,34.70
25/01/2022,33.80
24/01/2022,35.55
21/01/2022,38.20
20/01/2022,39.30
19/01/2022,37.30
18/01/2022,38.55
17/01/2022,41.40
14/01/2022,44.50
13/01/2022,43.30
12/01/2022,44.90
11/01/2022,42.00
10/01/2022,44.65
07/01/2022,48.00
06/01/2022,49.20
05/01/2022,49.90
04/01/2022,47.80
31/12/2021,46.35
30/12/2021,46.05
29/12/2021,43.05
28/12/2021,40.25
27/12/2021,40.10
24/12/2021,39.70
23/12/2021,38.30
22/12/2021,40.80
21/12/2021,41.75
20/12/2021,42.65
17/12/2021,41.40
16/12/2021,39.10
15/12/2021,40.10
14/12/2021,40.75
13/12/2021,40.60
10/12/2021,39.60
09/12/2021,40.60
08/12/2021,39.50
07/12/2021,38.50
06/12/2021,38.00
03/12/2021,40.85
02/12/2021,43.90
01/12/2021,44.60
30/11/2021,46.00
29/11/2021,47.40
26/11/2021,47.00
25/11/2021,47.50
24/11/2021,45.00
23/11/2021,44.50
22/11/2021,42.60
19/11/2021,44.50
18/11/2021,45.75
17/11/2021,42.80
16/11/2021,43.00
15/11/2021,42.00
12/11/2021,40.65
11/11/2021,38.00
10/11/2021,36.25
09/11/2021,36.20
08/11/2021,34.70
05/11/2021,32.45
04/11/2021,31.65
03/11/2021,29.60
02/11/2021,31.70
01/11/2021,30.85
29/10/2021,28.85
28/10/2021,28.70
27/10/2021,28.00
26/10/2021,27.70
25/10/2021,27.30
