Date,Closing Price
10/05/2022,50.20
09/05/2022,48.60
06/05/2022,49.80
05/05/2022,51.00
04/05/2022,51.00
29/04/2022,51.60
28/04/2022,51.30
27/04/2022,50.30
26/04/2022,47.10
25/04/2022,46.50
22/04/2022,50.00
21/04/2022,51.00
20/04/2022,52.60
19/04/2022,56.50
18/04/2022,59.70
15/04/2022,59.90
14/04/2022,60.00
13/04/2022,60.00
12/04/2022,59.40
08/04/2022,60.70
07/04/2022,60.20
06/04/2022,61.60
05/04/2022,62.50
04/04/2022,63.30
01/04/2022,62.90
31/03/2022,62.90
30/03/2022,61.60
29/03/2022,59.90
28/03/2022,59.90
25/03/2022,61.20
24/03/2022,60.50
23/03/2022,60.90
22/03/2022,61.00
21/03/2022,61.00
18/03/2022,60.90
17/03/2022,60.90
16/03/2022,60.50
15/03/2022,61.30
14/03/2022,59.70
11/03/2022,60.00
10/03/2022,60.90
09/03/2022,60.30
08/03/2022,61.00
07/03/2022,61.80
04/03/2022,62.70
03/03/2022,62.30
02/03/2022,61.60
01/03/2022,63.00
28/02/2022,63.30
25/02/2022,64.00
24/02/2022,64.00
23/02/2022,65.00
22/02/2022,64.50
21/02/2022,65.00
18/02/2022,62.70
17/02/2022,63.00
16/02/2022,63.30
15/02/2022,63.90
14/02/2022,63.90
11/02/2022,64.30
10/02/2022,63.10
09/02/2022,62.00
08/02/2022,61.50
07/02/2022,60.80
28/01/2022,60.80
27/01/2022,60.40
26/01/2022,60.50
25/01/2022,62.10
24/01/2022,59.50
21/01/2022,62.50
20/01/2022,62.10
19/01/2022,61.80
18/01/2022,60.10
17/01/2022,61.20
14/01/2022,65.80
13/01/2022,65.80
12/01/2022,67.90
11/01/2022,69.40
10/01/2022,64.90
07/01/2022,64.50
06/01/2022,65.30
05/01/2022,61.50
04/01/2022,60.60
31/12/2021,59.70
30/12/2021,60.20
29/12/2021,59.70
28/12/2021,61.10
27/12/2021,61.60
24/12/2021,62.20
23/12/2021,62.50
22/12/2021,64.20
21/12/2021,62.90
20/12/2021,63.00
17/12/2021,64.30
16/12/2021,63.00
15/12/2021,62.50
14/12/2021,62.20
13/12/2021,63.00
10/12/2021,59.70
09/12/2021,58.70
08/12/2021,58.30
07/12/2021,57.80
06/12/2021,56.50
03/12/2021,60.00
02/12/2021,61.80
01/12/2021,61.60
30/11/2021,61.00
29/11/2021,59.40
26/11/2021,60.70
25/11/2021,61.60
24/11/2021,60.30
23/11/2021,60.60
22/11/2021,58.80
19/11/2021,61.10
18/11/2021,64.70
17/11/2021,64.90
16/11/2021,64.00
15/11/2021,66.20
12/11/2021,67.50
11/11/2021,67.90
10/11/2021,67.40
09/11/2021,64.10
08/11/2021,64.90
05/11/2021,65.90
04/11/2021,66.00
03/11/2021,64.50
02/11/2021,69.30
01/11/2021,64.80
29/10/2021,65.90
28/10/2021,66.00
27/10/2021,66.00
26/10/2021,62.80
25/10/2021,62.00
22/10/2021,63.30
21/10/2021,63.30
20/10/2021,60.40
19/10/2021,57.90
18/10/2021,57.00
15/10/2021,56.10
14/10/2021,55.50
10/11/2021,67.40
09/11/2021,64.10
08/11/2021,64.90
05/11/2021,65.90
04/11/2021,66.00
03/11/2021,64.50
02/11/2021,69.30
01/11/2021,64.80
29/10/2021,65.90
28/10/2021,66.00
27/10/2021,66.00
26/10/2021,62.80
25/10/2021,62.00
22/10/2021,63.30
21/10/2021,63.30
20/10/2021,60.40
19/10/2021,57.90
18/10/2021,57.00
15/10/2021,56.10
14/10/2021,55.50
13/10/2021,54.60
12/10/2021,54.70
11/10/2021,54.70
08/10/2021,54.90
07/10/2021,55.40
06/10/2021,53.80
05/10/2021,53.80
04/10/2021,52.70
01/10/2021,52.50
30/09/2021,53.00
29/09/2021,52.60
28/09/2021,53.00
27/09/2021,51.20
24/09/2021,54.00
23/09/2021,54.20
22/09/2021,54.20
21/09/2021,54.20
20/09/2021,55.90
17/09/2021,56.90
16/09/2021,56.10
