Date,Closing Price
10/05/2022,24.90
09/05/2022,25.90
06/05/2022,27.80
05/05/2022,28.95
04/05/2022,28.95
29/04/2022,31.10
28/04/2022,31.00
27/04/2022,30.70
26/04/2022,29.00
25/04/2022,28.55
22/04/2022,30.65
21/04/2022,29.90
20/04/2022,29.50
19/04/2022,31.30
18/04/2022,32.70
15/04/2022,35.00
14/04/2022,35.85
13/04/2022,35.80
12/04/2022,35.60
08/04/2022,36.45
07/04/2022,37.50
06/04/2022,38.45
05/04/2022,39.00
04/04/2022,74.80
01/04/2022,74.60
31/03/2022,75.00
30/03/2022,75.10
29/03/2022,75.80
28/03/2022,76.30
25/03/2022,78.20
24/03/2022,78.10
23/03/2022,77.00
22/03/2022,74.90
21/03/2022,74.00
18/03/2022,73.90
17/03/2022,74.40
16/03/2022,74.30
15/03/2022,73.70
14/03/2022,74.40
11/03/2022,73.00
10/03/2022,73.20
09/03/2022,73.50
08/03/2022,74.90
07/03/2022,78.50
04/03/2022,78.00
03/03/2022,79.50
02/03/2022,77.00
01/03/2022,78.00
28/02/2022,76.80
25/02/2022,78.10
24/02/2022,76.80
23/02/2022,79.10
22/02/2022,79.40
21/02/2022,77.50
18/02/2022,76.90
17/02/2022,76.50
16/02/2022,77.30
15/02/2022,74.00
14/02/2022,74.00
11/02/2022,74.00
10/02/2022,72.10
09/02/2022,71.00
08/02/2022,71.50
07/02/2022,70.30
28/01/2022,71.50
27/01/2022,72.00
26/01/2022,73.30
25/01/2022,73.70
24/01/2022,73.00
21/01/2022,76.40
20/01/2022,73.30
19/01/2022,72.20
18/01/2022,72.00
17/01/2022,71.70
14/01/2022,71.90
13/01/2022,71.40
12/01/2022,72.00
11/01/2022,71.00
10/01/2022,71.60
07/01/2022,74.80
06/01/2022,74.10
05/01/2022,74.50
04/01/2022,74.00
31/12/2021,73.00
30/12/2021,72.00
29/12/2021,71.50
28/12/2021,73.00
27/12/2021,70.70
24/12/2021,71.40
23/12/2021,70.40
22/12/2021,72.50
21/12/2021,74.50
20/12/2021,72.30
17/12/2021,75.50
16/12/2021,76.50
15/12/2021,76.10
14/12/2021,78.30
13/12/2021,79.10
10/12/2021,79.50
09/12/2021,76.40
08/12/2021,76.20
07/12/2021,75.20
06/12/2021,73.90
03/12/2021,74.90
02/12/2021,78.20
01/12/2021,78.00
30/11/2021,78.30
29/11/2021,79.50
26/11/2021,76.80
25/11/2021,75.00
24/11/2021,75.50
23/11/2021,70.60
22/11/2021,66.00
19/11/2021,65.00
18/11/2021,67.80
17/11/2021,68.40
16/11/2021,68.00
15/11/2021,68.10
12/11/2021,69.50
11/11/2021,69.40
10/11/2021,68.00
09/11/2021,65.70
08/11/2021,66.20
05/11/2021,63.80
04/11/2021,59.70
03/11/2021,59.50
02/11/2021,60.80
01/11/2021,59.50
29/10/2021,60.20
28/10/2021,61.00
27/10/2021,61.40
26/10/2021,60.90
25/10/2021,58.50
22/10/2021,57.50
21/10/2021,56.80
20/10/2021,56.20
19/10/2021,56.10
18/10/2021,56.40
15/10/2021,56.80
14/10/2021,57.00
13/10/2021,56.80
12/10/2021,57.20
11/10/2021,56.80
08/10/2021,58.60
07/10/2021,59.00
06/10/2021,58.40
05/10/2021,58.80
04/10/2021,59.20
01/10/2021,56.00
30/09/2021,57.40
29/09/2021,57.60
28/09/2021,59.50
27/09/2021,58.40
24/09/2021,62.40
23/09/2021,64.00
22/09/2021,64.20
21/09/2021,64.00
20/09/2021,65.00
17/09/2021,64.70
16/09/2021,62.50
15/09/2021,62.90
14/09/2021,61.30
13/09/2021,61.20
10/09/2021,62.00
09/09/2021,61.50
08/09/2021,61.00
07/09/2021,61.50
06/09/2021,62.60
01/09/2021,63.60
31/08/2021,61.80
30/08/2021,63.20
27/08/2021,59.80
26/08/2021,58.50
25/08/2021,57.80
24/08/2021,57.10
23/08/2021,58.00
20/08/2021,58.50
19/08/2021,60.30
18/08/2021,59.40
17/08/2021,58.60
16/08/2021,59.20
13/08/2021,58.00
12/08/2021,56.10
11/08/2021,56.10
10/08/2021,57.00
09/08/2021,57.00
06/08/2021,55.50
05/08/2021,54.20
04/08/2021,53.70
03/08/2021,53.50
02/08/2021,54.00
30/07/2021,54.90
29/07/2021,55.10
28/07/2021,55.00
27/07/2021,54.30
26/07/2021,53.20
23/07/2021,51.50
22/07/2021,52.20
21/07/2021,51.00
20/07/2021,51.80
19/07/2021,50.80
16/07/2021,53.90
15/07/2021,53.20
14/07/2021,51.10
13/07/2021,52.60
12/07/2021,52.10
09/07/2021,55.30
08/07/2021,55.60
07/07/2021,55.40
06/07/2021,55.00
05/07/2021,57.70
02/07/2021,60.50
01/07/2021,63.40
30/06/2021,63.10
29/06/2021,63.60
28/06/2021,64.20
25/06/2021,63.30
24/06/2021,60.30
23/06/2021,60.20
22/06/2021,61.60
21/06/2021,62.20
18/06/2021,60.80
17/06/2021,61.20
16/06/2021,59.90
15/06/2021,56.00
14/06/2021,56.00
11/06/2021,56.10
10/06/2021,57.00
09/06/2021,62.90
08/06/2021,61.60
07/06/2021,64.10
04/06/2021,63.90
03/06/2021,64.60
02/06/2021,63.50
01/06/2021,61.40
31/05/2021,60.90
28/05/2021,57.70
27/05/2021,54.00
26/05/2021,55.40
25/05/2021,56.00
24/05/2021,56.00
21/05/2021,55.10
20/05/2021,53.40
19/05/2021,54.00
18/05/2021,53.90
17/05/2021,53.80
14/05/2021,55.50
13/05/2021,56.40
12/05/2021,57.90
11/05/2021,57.70
10/05/2021,56.90
07/05/2021,57.00
06/05/2021,57.20
05/05/2021,56.00
04/05/2021,53.20
29/04/2021,53.70
28/04/2021,53.70
27/04/2021,52.60
26/04/2021,53.80
23/04/2021,56.20
22/04/2021,56.20
20/04/2021,58.60
19/04/2021,58.00
16/04/2021,57.00
15/04/2021,56.20
14/04/2021,57.50
13/04/2021,56.90
12/04/2021,58.10
09/04/2021,58.10
08/04/2021,58.80
07/04/2021,59.40
06/04/2021,58.80
05/04/2021,59.70
02/04/2021,60.60
01/04/2021,61.00
31/03/2021,58.10
30/03/2021,58.60
29/03/2021,58.90
26/03/2021,58.40
25/03/2021,58.20
24/03/2021,58.40
23/03/2021,58.50
22/03/2021,60.50
19/03/2021,60.90
18/03/2021,60.90
17/03/2021,61.40
16/03/2021,61.80
15/03/2021,59.40
12/03/2021,58.00
11/03/2021,57.90
10/03/2021,58.00
09/03/2021,57.80
08/03/2021,56.10
05/03/2021,54.90
04/03/2021,55.50
03/03/2021,53.90
02/03/2021,52.80
01/03/2021,52.20
26/02/2021,52.20
25/02/2021,51.20
24/02/2021,51.40
23/02/2021,52.50
22/02/2021,53.50
19/02/2021,54.00
18/02/2021,53.80
17/02/2021,51.50
09/02/2021,50.00
08/02/2021,49.00
05/02/2021,51.90
04/02/2021,49.00
03/02/2021,49.00
02/02/2021,46.95
01/02/2021,45.00
29/01/2021,47.65
28/01/2021,46.50
27/01/2021,50.00
26/01/2021,53.10
25/01/2021,57.00
22/01/2021,58.00
21/01/2021,58.60
20/01/2021,57.80
19/01/2021,57.50
18/01/2021,61.20
15/01/2021,63.50
14/01/2021,63.00
13/01/2021,59.80
12/01/2021,57.50
11/01/2021,57.90
08/01/2021,59.40
07/01/2021,58.00
06/01/2021,58.00
05/01/2021,57.40
04/01/2021,58.50
31/12/2020,56.70
30/12/2020,57.40
29/12/2020,57.70
28/12/2020,54.00
25/12/2020,52.50
24/12/2020,50.50
23/12/2020,52.00
22/12/2020,51.40
21/12/2020,50.50
18/12/2020,50.00
17/12/2020,48.05
16/12/2020,48.85
15/12/2020,48.60
14/12/2020,47.50
11/12/2020,46.15
10/12/2020,43.15
09/12/2020,42.55
08/12/2020,42.15
07/12/2020,42.25
04/12/2020,42.20
03/12/2020,42.80
02/12/2020,42.50
01/12/2020,42.20
30/11/2020,42.40
27/11/2020,43.20
26/11/2020,42.70
25/11/2020,42.70
24/11/2020,43.25
23/11/2020,43.90
20/11/2020,44.00
19/11/2020,41.55
18/11/2020,41.35
17/11/2020,41.55
16/11/2020,41.45
13/11/2020,42.00
12/11/2020,41.55
11/11/2020,41.85
10/11/2020,41.90
09/11/2020,42.50
06/11/2020,42.40
05/11/2020,42.40
04/11/2020,41.85
03/11/2020,41.60
02/11/2020,41.50
30/10/2020,41.95
29/10/2020,42.50
28/10/2020,41.85
27/10/2020,41.20
26/10/2020,41.05
23/10/2020,41.75
22/10/2020,41.75
21/10/2020,42.05
20/10/2020,42.50
19/10/2020,41.50
16/10/2020,40.60
15/10/2020,41.45
14/10/2020,44.55
13/10/2020,44.75
12/10/2020,45.50
09/10/2020,46.50
08/10/2020,46.50
07/10/2020,46.60
06/10/2020,47.30
05/10/2020,48.05
02/10/2020,47.80
01/10/2020,48.70
30/09/2020,47.45
29/09/2020,47.00
28/09/2020,46.90
25/09/2020,46.75
24/09/2020,46.90
23/09/2020,46.35
22/09/2020,46.15
21/09/2020,46.35
18/09/2020,46.90
17/09/2020,46.40
16/09/2020,47.20
15/09/2020,48.85
14/09/2020,49.65
11/09/2020,49.90
10/09/2020,47.85
09/09/2020,48.00
08/09/2020,47.50
07/09/2020,47.05
04/09/2020,48.15
03/09/2020,48.40
01/09/2020,45.90
31/08/2020,45.30
28/08/2020,46.50
27/08/2020,47.00
26/08/2020,46.65
25/08/2020,47.70
24/08/2020,48.55
21/08/2020,48.15
20/08/2020,46.50
19/08/2020,47.10
18/08/2020,46.70
17/08/2020,46.90
14/08/2020,47.65
13/08/2020,47.70
12/08/2020,47.70
11/08/2020,48.90
10/08/2020,49.10
07/08/2020,49.00
06/08/2020,47.50
05/08/2020,47.80
04/08/2020,47.10
03/08/2020,47.70
31/07/2020,45.20
30/07/2020,45.90
29/07/2020,45.80
28/07/2020,48.70
27/07/2020,45.85
24/07/2020,49.30
23/07/2020,52.60
22/07/2020,51.50
21/07/2020,49.80
20/07/2020,50.00
17/07/2020,50.00
16/07/2020,48.70
15/07/2020,45.55
14/07/2020,45.60
13/07/2020,46.00
10/07/2020,46.40
09/07/2020,46.20
08/07/2020,44.50
07/07/2020,44.40
06/07/2020,46.00
03/07/2020,45.80
02/07/2020,47.90
01/07/2020,45.70
30/06/2020,44.40
29/06/2020,47.00
26/06/2020,48.95
25/06/2020,49.00
24/06/2020,47.50
23/06/2020,49.50
22/06/2020,53.20
19/06/2020,49.75
18/06/2020,46.50
17/06/2020,46.00
16/06/2020,45.45
15/06/2020,42.50
12/06/2020,44.55
11/06/2020,47.85
10/06/2020,51.40
09/06/2020,55.20
08/06/2020,56.60
05/06/2020,54.00
04/06/2020,51.30
03/06/2020,48.00
02/06/2020,44.90
01/06/2020,44.15
29/05/2020,41.30
28/05/2020,39.05
27/05/2020,36.50
26/05/2020,37.90
25/05/2020,37.20
22/05/2020,34.80
21/05/2020,34.40
20/05/2020,32.30
19/05/2020,32.80
18/05/2020,32.15
15/05/2020,30.05
14/05/2020,31.75
13/05/2020,32.10
12/05/2020,31.40
11/05/2020,30.05
08/05/2020,28.10
07/05/2020,27.80
06/05/2020,27.60
05/05/2020,27.25
04/05/2020,26.50
29/04/2020,27.70
28/04/2020,28.35
27/04/2020,26.50
24/04/2020,24.80
23/04/2020,25.00
22/04/2020,25.90
21/04/2020,24.25
20/04/2020,26.05
17/04/2020,28.00
16/04/2020,26.20
15/04/2020,24.50
14/04/2020,23.10
13/04/2020,22.00
10/04/2020,20.85
09/04/2020,19.80
08/04/2020,18.60
07/04/2020,18.20
06/04/2020,17.10
03/04/2020,19.15
01/04/2020,19.30
31/03/2020,18.80
30/03/2020,18.85
27/03/2020,17.65
26/03/2020,17.65
25/03/2020,18.20
24/03/2020,17.25
23/03/2020,16.15
20/03/2020,17.35
19/03/2020,18.60
18/03/2020,17.50
17/03/2020,17.45
16/03/2020,17.80
13/03/2020,17.90
12/03/2020,18.20
11/03/2020,18.70
10/03/2020,19.00
09/03/2020,19.00
06/03/2020,19.65
05/03/2020,19.35
04/03/2020,19.60
03/03/2020,19.55
02/03/2020,19.15
28/02/2020,18.80
27/02/2020,19.40
26/02/2020,19.70
25/02/2020,20.10
24/02/2020,19.75
21/02/2020,20.70
20/02/2020,21.20
19/02/2020,21.60
18/02/2020,21.90
17/02/2020,20.90
14/02/2020,20.20
13/02/2020,20.40
12/02/2020,20.55
11/02/2020,20.10
10/02/2020,19.70
07/02/2020,20.45
06/02/2020,20.45
05/02/2020,19.80
04/02/2020,19.65
03/02/2020,19.00
31/01/2020,20.20
30/01/2020,21.45
22/01/2020,22.90
21/01/2020,22.50
20/01/2020,22.45
17/01/2020,22.50
16/01/2020,22.00
15/01/2020,22.45
14/01/2020,22.85
13/01/2020,22.85
10/01/2020,23.05
09/01/2020,23.50
08/01/2020,23.70
07/01/2020,25.00
06/01/2020,24.70
03/01/2020,25.20
02/01/2020,25.00
