Date,Closing Price
10/05/2022,12.80
09/05/2022,12.00
06/05/2022,12.60
05/05/2022,12.85
04/05/2022,13.05
29/04/2022,13.10
28/04/2022,12.70
27/04/2022,12.70
26/04/2022,12.80
25/04/2022,12.65
22/04/2022,13.50
21/04/2022,13.20
20/04/2022,13.60
19/04/2022,13.40
18/04/2022,13.60
15/04/2022,14.00
14/04/2022,14.00
13/04/2022,13.85
12/04/2022,13.95
08/04/2022,14.10
07/04/2022,14.30
06/04/2022,14.70
05/04/2022,14.80
04/04/2022,14.85
01/04/2022,14.85
31/03/2022,14.90
30/03/2022,14.70
29/03/2022,14.90
28/03/2022,14.90
25/03/2022,15.10
24/03/2022,15.05
23/03/2022,15.05
22/03/2022,14.90
21/03/2022,14.90
18/03/2022,15.00
17/03/2022,14.90
16/03/2022,14.90
15/03/2022,14.90
14/03/2022,14.90
11/03/2022,15.35
10/03/2022,15.55
09/03/2022,15.50
08/03/2022,15.40
07/03/2022,15.75
04/03/2022,15.25
03/03/2022,15.30
02/03/2022,15.50
01/03/2022,15.70
28/02/2022,15.60
25/02/2022,15.50
24/02/2022,15.55
23/02/2022,15.70
22/02/2022,15.70
21/02/2022,16.00
18/02/2022,15.50
17/02/2022,14.50
16/02/2022,14.40
15/02/2022,14.55
14/02/2022,14.50
11/02/2022,14.75
10/02/2022,14.75
09/02/2022,14.70
08/02/2022,14.30
07/02/2022,14.00
28/01/2022,13.70
27/01/2022,13.70
26/01/2022,13.80
25/01/2022,14.00
24/01/2022,13.70
21/01/2022,14.10
20/01/2022,13.70
19/01/2022,13.50
18/01/2022,13.50
17/01/2022,14.25
14/01/2022,14.70
13/01/2022,15.00
12/01/2022,15.55
11/01/2022,15.70
10/01/2022,15.60
07/01/2022,15.75
06/01/2022,15.85
05/01/2022,16.00
04/01/2022,16.20
31/12/2021,15.90
30/12/2021,16.05
29/12/2021,16.10
28/12/2021,16.40
27/12/2021,16.00
24/12/2021,15.80
23/12/2021,15.90
22/12/2021,16.00
21/12/2021,16.30
20/12/2021,16.30
17/12/2021,16.40
16/12/2021,16.45
15/12/2021,16.50
14/12/2021,16.45
13/12/2021,16.30
10/12/2021,16.30
09/12/2021,16.45
08/12/2021,16.30
07/12/2021,16.35
06/12/2021,16.00
03/12/2021,16.80
02/12/2021,17.60
01/12/2021,17.30
30/11/2021,17.80
29/11/2021,17.65
26/11/2021,16.50
25/11/2021,16.30
24/11/2021,16.40
23/11/2021,16.35
22/11/2021,15.60
19/11/2021,16.75
18/11/2021,18.00
17/11/2021,17.65
16/11/2021,17.90
15/11/2021,18.70
12/11/2021,18.00
11/11/2021,18.20
10/11/2021,17.80
09/11/2021,17.30
08/11/2021,17.30
05/11/2021,16.95
04/11/2021,16.95
03/11/2021,16.90
