Date,Closing Price
10/05/2022,29.50
09/05/2022,28.00
06/05/2022,29.40
05/05/2022,30.00
04/05/2022,29.40
29/04/2022,29.95
28/04/2022,28.80
27/04/2022,28.90
26/04/2022,28.90
25/04/2022,27.90
22/04/2022,30.00
21/04/2022,29.00
20/04/2022,30.00
19/04/2022,30.00
18/04/2022,31.90
15/04/2022,33.25
14/04/2022,34.00
13/04/2022,34.00
12/04/2022,34.75
08/04/2022,34.85
07/04/2022,34.85
06/04/2022,35.30
05/04/2022,35.35
04/04/2022,35.50
01/04/2022,35.50
31/03/2022,35.20
30/03/2022,34.50
29/03/2022,36.20
28/03/2022,36.95
25/03/2022,37.00
24/03/2022,36.00
23/03/2022,35.30
22/03/2022,35.60
21/03/2022,35.30
18/03/2022,35.50
17/03/2022,36.00
16/03/2022,36.20
15/03/2022,36.50
14/03/2022,36.15
11/03/2022,36.15
07/04/2022,34.85
06/04/2022,35.30
05/04/2022,35.35
04/04/2022,35.50
01/04/2022,35.50
31/03/2022,35.20
30/03/2022,34.50
29/03/2022,36.20
28/03/2022,36.95
25/03/2022,37.00
24/03/2022,36.00
23/03/2022,35.30
22/03/2022,35.60
21/03/2022,35.30
18/03/2022,35.50
17/03/2022,36.00
16/03/2022,36.20
15/03/2022,36.50
14/03/2022,36.15
11/03/2022,36.15
07/04/2022,34.85
06/04/2022,35.30
05/04/2022,35.35
04/04/2022,35.50
01/04/2022,35.50
31/03/2022,35.20
30/03/2022,34.50
29/03/2022,36.20
28/03/2022,36.95
25/03/2022,37.00
24/03/2022,36.00
23/03/2022,35.30
22/03/2022,35.60
21/03/2022,35.30
18/03/2022,35.50
17/03/2022,36.00
16/03/2022,36.20
15/03/2022,36.50
14/03/2022,36.15
11/03/2022,36.15
10/03/2022,37.50
09/03/2022,38.00
08/03/2022,36.45
07/03/2022,37.00
04/03/2022,38.00
03/03/2022,38.00
02/03/2022,38.70
01/03/2022,39.30
28/02/2022,40.25
25/02/2022,38.20
24/02/2022,37.30
23/02/2022,38.20
22/02/2022,38.50
21/02/2022,38.80
18/02/2022,39.00
17/02/2022,38.20
16/02/2022,38.40
15/02/2022,38.40
14/02/2022,38.50
11/02/2022,38.80
10/02/2022,38.80
09/02/2022,38.80
08/02/2022,38.55
07/02/2022,38.40
28/01/2022,40.20
27/01/2022,37.60
26/01/2022,37.20
25/01/2022,36.80
24/01/2022,36.85
21/01/2022,38.00
20/01/2022,38.20
19/01/2022,37.80
18/01/2022,38.40
17/01/2022,38.00
14/01/2022,38.80
13/01/2022,38.60
12/01/2022,38.00
11/01/2022,39.00
10/01/2022,39.70
07/01/2022,40.35
06/01/2022,40.40
05/01/2022,39.50
