Date,Closing Price
10/05/2022,212.00
09/05/2022,214.90
06/05/2022,231.00
05/05/2022,236.80
04/05/2022,239.40
29/04/2022,240.90
28/04/2022,228.00
27/04/2022,227.00
26/04/2022,223.00
25/04/2022,221.40
22/04/2022,238.00
21/04/2022,247.00
20/04/2022,243.00
19/04/2022,254.80
18/04/2022,245.00
15/04/2022,248.00
14/04/2022,247.20
13/04/2022,231.10
12/04/2022,216.00
08/04/2022,216.00
07/04/2022,223.00
06/04/2022,216.80
05/04/2022,215.00
04/04/2022,221.00
01/04/2022,228.00
31/03/2022,228.00
30/03/2022,232.00
29/03/2022,228.50
28/03/2022,234.90
25/03/2022,225.00
24/03/2022,222.50
23/03/2022,227.10
22/03/2022,213.40
21/03/2022,199.50
18/03/2022,189.10
17/03/2022,185.60
16/03/2022,189.00
15/03/2022,178.70
14/03/2022,180.00
11/03/2022,188.10
10/03/2022,187.00
09/03/2022,189.00
08/03/2022,182.00
07/03/2022,189.90
04/03/2022,177.60
03/03/2022,177.60
02/03/2022,166.00
01/03/2022,163.20
28/02/2022,163.10
25/02/2022,161.80
24/02/2022,161.90
23/02/2022,157.00
22/02/2022,153.00
21/02/2022,151.50
18/02/2022,151.20
17/02/2022,147.00
16/02/2022,143.00
15/02/2022,141.40
14/02/2022,141.10
11/02/2022,146.00
10/02/2022,143.00
09/02/2022,147.00
08/02/2022,147.50
07/02/2022,143.00
28/01/2022,138.00
27/01/2022,134.00
26/01/2022,138.50
25/01/2022,144.20
24/01/2022,140.00
21/01/2022,148.00
20/01/2022,147.80
19/01/2022,138.20
18/01/2022,129.20
17/01/2022,134.10
14/01/2022,144.10
13/01/2022,146.50
12/01/2022,149.90
11/01/2022,143.00
10/01/2022,145.00
07/01/2022,153.20
06/01/2022,155.70
05/01/2022,156.70
04/01/2022,159.30
31/12/2021,159.90
30/12/2021,158.00
29/12/2021,159.00
28/12/2021,161.80
27/12/2021,161.80
24/12/2021,159.90
23/12/2021,159.00
22/12/2021,162.80
21/12/2021,160.90
20/12/2021,167.50
17/12/2021,172.50
16/12/2021,174.00
15/12/2021,173.00
14/12/2021,175.10
13/12/2021,179.00
10/12/2021,177.50
09/12/2021,175.70
08/12/2021,169.00
07/12/2021,164.20
06/12/2021,155.40
03/12/2021,158.50
02/12/2021,163.20
01/12/2021,163.00
30/11/2021,163.40
29/11/2021,159.80
26/11/2021,162.00
25/11/2021,167.30
24/11/2021,167.60
23/11/2021,166.50
22/11/2021,164.90
19/11/2021,169.30
18/11/2021,169.30
17/11/2021,163.50
16/11/2021,157.00
15/11/2021,155.00
12/11/2021,155.50
11/11/2021,154.90
10/11/2021,155.70
09/11/2021,159.00
08/11/2021,163.90
05/11/2021,163.20
04/11/2021,156.40
03/11/2021,153.50
02/11/2021,155.80
01/11/2021,155.70
29/10/2021,152.80
28/10/2021,153.80
27/10/2021,155.80
26/10/2021,156.90
25/10/2021,157.00
22/10/2021,159.30
21/10/2021,161.00
20/10/2021,158.20
19/10/2021,152.00
18/10/2021,156.50
15/10/2021,158.60
14/10/2021,157.80
13/10/2021,161.60
12/10/2021,160.00
11/10/2021,151.80
08/10/2021,150.60
07/10/2021,150.00
06/10/2021,149.50
05/10/2021,152.10
04/10/2021,153.90
01/10/2021,158.90
30/09/2021,150.90
29/09/2021,143.10
28/09/2021,152.00
27/09/2021,148.20
24/09/2021,148.00
23/09/2021,155.90
22/09/2021,167.60
21/09/2021,156.70
20/09/2021,147.50
17/09/2021,141.90
16/09/2021,132.70
15/09/2021,128.60
14/09/2021,127.80
13/09/2021,125.50
10/09/2021,117.30
09/09/2021,115.60
08/09/2021,116.00
07/09/2021,114.70
06/09/2021,116.00
01/09/2021,117.20
31/08/2021,118.00
30/08/2021,115.00
27/08/2021,111.80
26/08/2021,110.70
25/08/2021,107.90
24/08/2021,107.50
23/08/2021,109.10
20/08/2021,107.50
19/08/2021,108.80
18/08/2021,105.00
17/08/2021,101.90
16/08/2021,99.70
13/08/2021,98.00
12/08/2021,98.50
11/08/2021,99.60
10/08/2021,101.70
09/08/2021,98.50
06/08/2021,97.80
05/08/2021,99.60
04/08/2021,99.50
03/08/2021,96.90
02/08/2021,97.10
30/07/2021,95.50
29/07/2021,96.00
28/07/2021,93.70
27/07/2021,93.00
26/07/2021,96.50
23/07/2021,92.40
22/07/2021,86.40
21/07/2021,82.00
20/07/2021,81.40
19/07/2021,79.30
16/07/2021,82.10
15/07/2021,80.80
14/07/2021,78.00
13/07/2021,81.00
12/07/2021,82.20
09/07/2021,87.90
08/07/2021,83.50
07/07/2021,83.40
06/07/2021,78.00
05/07/2021,83.70
02/07/2021,83.20
01/07/2021,83.20
30/06/2021,81.60
29/06/2021,82.40
28/06/2021,83.00
25/06/2021,81.00
24/06/2021,79.40
23/06/2021,79.50
22/06/2021,81.20
21/06/2021,81.30
18/06/2021,81.60
