Date,Closing Price
10/05/2022,97.40
09/05/2022,97.40
06/05/2022,100.80
05/05/2022,99.00
04/05/2022,99.50
29/04/2022,101.10
28/04/2022,99.90
27/04/2022,99.30
26/04/2022,99.70
25/04/2022,96.00
22/04/2022,101.70
21/04/2022,101.60
20/04/2022,101.60
19/04/2022,102.00
18/04/2022,102.00
15/04/2022,101.90
14/04/2022,102.10
13/04/2022,102.80
12/04/2022,102.00
08/04/2022,106.20
07/04/2022,106.70
06/04/2022,106.80
05/04/2022,108.00
04/04/2022,110.30
01/04/2022,109.40
31/03/2022,111.20
30/03/2022,111.00
29/03/2022,112.00
28/03/2022,111.50
25/03/2022,111.30
24/03/2022,111.30
23/03/2022,110.40
22/03/2022,107.50
21/03/2022,110.10
18/03/2022,108.80
17/03/2022,109.00
16/03/2022,108.70
15/03/2022,108.70
14/03/2022,109.30
11/03/2022,111.90
10/03/2022,114.40
09/03/2022,114.50
08/03/2022,114.50
07/03/2022,116.70
04/03/2022,116.00
03/03/2022,117.90
02/03/2022,118.00
01/03/2022,112.10
28/02/2022,112.50
25/02/2022,113.80
24/02/2022,112.70
23/02/2022,115.00
22/02/2022,114.00
21/02/2022,115.00
18/02/2022,108.90
17/02/2022,101.90
16/02/2022,101.80
15/02/2022,101.20
14/02/2022,99.60
11/02/2022,101.50
10/02/2022,103.70
09/02/2022,101.00
08/02/2022,101.30
07/02/2022,102.90
28/01/2022,102.90
27/01/2022,99.50
26/01/2022,98.50
25/01/2022,98.50
24/01/2022,99.00
21/01/2022,102.10
20/01/2022,103.40
19/01/2022,103.20
18/01/2022,105.00
17/01/2022,102.00
14/01/2022,106.00
13/01/2022,102.50
12/01/2022,101.20
11/01/2022,106.90
10/01/2022,108.50
07/01/2022,114.60
06/01/2022,123.00
05/01/2022,115.00
04/01/2022,114.60
31/12/2021,113.00
30/12/2021,113.90
29/12/2021,113.40
28/12/2021,115.90
27/12/2021,115.60
24/12/2021,118.10
23/12/2021,123.30
22/12/2021,127.90
21/12/2021,130.00
20/12/2021,128.50
17/12/2021,123.60
16/12/2021,130.00
15/12/2021,135.80
14/12/2021,134.20
13/12/2021,133.20
10/12/2021,124.50
09/12/2021,126.40
08/12/2021,124.00
07/12/2021,122.00
06/12/2021,118.50
03/12/2021,116.70
02/12/2021,109.10
01/12/2021,102.00
30/11/2021,103.00
29/11/2021,103.90
26/11/2021,99.50
25/11/2021,99.60
24/11/2021,101.00
23/11/2021,98.70
22/11/2021,98.50
19/11/2021,99.80
18/11/2021,101.00
17/11/2021,102.10
16/11/2021,102.10
15/11/2021,103.20
12/11/2021,101.60
11/11/2021,100.90
10/11/2021,101.20
09/11/2021,102.00
08/11/2021,101.20
05/11/2021,101.20
04/11/2021,101.30
03/11/2021,102.00
02/11/2021,103.20
01/11/2021,102.30
29/10/2021,103.80
28/10/2021,101.70
27/10/2021,98.90
26/10/2021,98.80
25/10/2021,98.10
22/10/2021,98.30
21/10/2021,99.20
20/10/2021,98.70
19/10/2021,97.40
18/10/2021,97.90
15/10/2021,98.10
14/10/2021,99.00
13/10/2021,99.50
12/10/2021,98.30
