Date,Closing Price
10/05/2022,53.70
09/05/2022,51.00
06/05/2022,53.80
05/05/2022,54.00
04/05/2022,53.50
29/04/2022,54.30
28/04/2022,54.00
27/04/2022,53.90
26/04/2022,53.40
25/04/2022,55.60
22/04/2022,59.70
21/04/2022,59.90
20/04/2022,61.20
19/04/2022,63.50
18/04/2022,63.90
15/04/2022,62.20
14/04/2022,61.70
13/04/2022,62.50
12/04/2022,62.00
08/04/2022,63.30
07/04/2022,60.70
06/04/2022,61.50
05/04/2022,61.90
04/04/2022,61.90
01/04/2022,57.90
31/03/2022,57.30
30/03/2022,57.20
29/03/2022,57.20
28/03/2022,57.00
25/03/2022,57.30
24/03/2022,57.00
23/03/2022,57.40
22/03/2022,57.40
21/03/2022,57.90
18/03/2022,55.60
17/03/2022,56.60
16/03/2022,56.60
15/03/2022,56.60
14/03/2022,56.90
11/03/2022,57.30
10/03/2022,58.20
09/03/2022,57.50
08/03/2022,57.80
07/03/2022,58.40
04/03/2022,58.40
03/03/2022,57.70
02/03/2022,57.80
01/03/2022,57.70
28/02/2022,57.90
25/02/2022,55.20
24/02/2022,55.20
23/02/2022,55.80
22/02/2022,54.40
21/02/2022,55.00
18/02/2022,53.20
17/02/2022,52.80
16/02/2022,53.10
15/02/2022,52.90
14/02/2022,52.90
11/02/2022,53.90
10/02/2022,54.00
09/02/2022,54.00
08/02/2022,53.80
07/02/2022,53.20
28/01/2022,53.40
27/01/2022,52.90
26/01/2022,53.30
25/01/2022,52.80
24/01/2022,52.30
21/01/2022,53.30
20/01/2022,51.90
19/01/2022,51.70
18/01/2022,52.70
17/01/2022,53.00
14/01/2022,52.90
13/01/2022,53.10
12/01/2022,53.20
11/01/2022,53.00
10/01/2022,53.50
07/01/2022,54.00
06/01/2022,53.90
05/01/2022,53.10
04/01/2022,53.00
31/12/2021,52.50
30/12/2021,52.80
29/12/2021,52.60
28/12/2021,52.60
27/12/2021,52.70
24/12/2021,52.80
23/12/2021,53.00
22/12/2021,52.80
21/12/2021,53.60
20/12/2021,53.80
17/12/2021,54.80
16/12/2021,54.30
15/12/2021,55.00
14/12/2021,53.80
13/12/2021,53.70
10/12/2021,54.30
09/12/2021,54.30
08/12/2021,54.00
07/12/2021,55.00
06/12/2021,53.50
03/12/2021,53.00
02/12/2021,54.50
01/12/2021,54.80
30/11/2021,55.90
29/11/2021,56.00
26/11/2021,53.30
25/11/2021,52.50
24/11/2021,53.80
23/11/2021,53.80
22/11/2021,54.00
19/11/2021,51.70
18/11/2021,55.50
17/11/2021,57.00
16/11/2021,57.00
15/11/2021,56.80
12/11/2021,58.10
11/11/2021,58.30
10/11/2021,58.50
09/11/2021,58.80
08/11/2021,59.50
05/11/2021,59.50
04/11/2021,57.00
03/11/2021,56.50
02/11/2021,58.10
01/11/2021,56.70
29/10/2021,57.50
28/10/2021,58.30
27/10/2021,57.70
26/10/2021,58.30
25/10/2021,58.50
22/10/2021,61.00
21/10/2021,62.20
20/10/2021,62.00
19/10/2021,60.90
18/10/2021,61.10
15/10/2021,62.00
14/10/2021,61.60
13/10/2021,61.60
12/10/2021,63.00
11/10/2021,63.00
08/10/2021,62.50
07/10/2021,60.30
06/10/2021,59.40
05/10/2021,60.30
04/10/2021,59.00
01/10/2021,59.20
30/09/2021,60.00
29/09/2021,59.60
28/09/2021,58.00
27/09/2021,57.60
24/09/2021,58.70
23/09/2021,60.10
22/09/2021,58.30
21/09/2021,58.10
20/09/2021,56.60
17/09/2021,58.20
16/09/2021,58.00
15/09/2021,58.50
14/09/2021,58.20
13/09/2021,58.70
10/09/2021,61.00
09/09/2021,61.50
08/09/2021,62.00
07/09/2021,58.50
06/09/2021,61.30
01/09/2021,62.50
31/08/2021,62.80
30/08/2021,60.60
27/08/2021,56.70
26/08/2021,53.00
25/08/2021,52.10
24/08/2021,51.80
