Date,Closing Price
10/05/2022,55.20
09/05/2022,59.30
06/05/2022,63.70
05/05/2022,63.10
04/05/2022,62.70
29/04/2022,67.40
28/04/2022,66.40
27/04/2022,64.50
26/04/2022,65.90
25/04/2022,62.00
22/04/2022,66.60
21/04/2022,71.60
20/04/2022,70.00
19/04/2022,75.10
18/04/2022,72.00
15/04/2022,70.70
14/04/2022,72.20
13/04/2022,68.00
12/04/2022,65.20
08/04/2022,63.80
07/04/2022,64.70
06/04/2022,62.10
05/04/2022,65.20
04/04/2022,64.20
01/04/2022,69.00
31/03/2022,66.90
30/03/2022,68.20
29/03/2022,73.30
28/03/2022,73.90
25/03/2022,72.70
24/03/2022,69.40
23/03/2022,69.00
22/03/2022,66.00
21/03/2022,62.40
18/03/2022,62.50
17/03/2022,60.50
16/03/2022,63.10
15/03/2022,62.30
14/03/2022,61.80
11/03/2022,66.40
10/03/2022,63.90
09/03/2022,65.30
08/03/2022,62.00
07/03/2022,64.50
04/03/2022,60.30
03/03/2022,59.60
02/03/2022,59.80
01/03/2022,56.80
28/02/2022,57.60
25/02/2022,53.90
24/02/2022,54.20
23/02/2022,50.70
22/02/2022,47.40
21/02/2022,48.60
18/02/2022,49.10
17/02/2022,48.00
16/02/2022,48.40
15/02/2022,46.60
14/02/2022,45.70
11/02/2022,46.45
10/02/2022,45.00
09/02/2022,43.80
08/02/2022,44.20
07/02/2022,42.65
28/01/2022,40.20
27/01/2022,41.30
26/01/2022,40.80
25/01/2022,41.40
24/01/2022,39.85
21/01/2022,42.80
20/01/2022,43.00
19/01/2022,42.60
18/01/2022,41.90
17/01/2022,39.20
14/01/2022,40.20
13/01/2022,43.20
12/01/2022,44.50
11/01/2022,43.50
10/01/2022,43.65
07/01/2022,46.85
06/01/2022,48.80
05/01/2022,50.00
04/01/2022,50.80
31/12/2021,50.00
30/12/2021,50.40
29/12/2021,49.00
28/12/2021,52.30
27/12/2021,52.60
24/12/2021,54.80
23/12/2021,55.50
22/12/2021,54.00
21/12/2021,53.90
20/12/2021,50.40
17/12/2021,49.90
16/12/2021,49.80
15/12/2021,51.00
14/12/2021,50.50
13/12/2021,50.00
10/12/2021,50.50
09/12/2021,49.00
08/12/2021,47.80
07/12/2021,47.30
06/12/2021,45.25
03/12/2021,47.80
02/12/2021,49.75
01/12/2021,52.20
30/11/2021,50.40
29/11/2021,48.90
26/11/2021,50.30
25/11/2021,49.00
24/11/2021,48.50
23/11/2021,49.30
22/11/2021,46.50
19/11/2021,46.00
18/11/2021,48.60
17/11/2021,51.50
16/11/2021,52.50
15/11/2021,52.60
12/11/2021,52.60
11/11/2021,52.80
10/11/2021,54.00
09/11/2021,52.30
08/11/2021,52.00
05/11/2021,50.30
04/11/2021,47.05
03/11/2021,46.00
02/11/2021,49.20
01/11/2021,49.80
29/10/2021,49.00
28/10/2021,49.00
27/10/2021,46.40
26/10/2021,46.70
25/10/2021,45.05
22/10/2021,46.55
21/10/2021,47.00
20/10/2021,45.70
19/10/2021,44.30
18/10/2021,41.50
15/10/2021,42.75
14/10/2021,42.00
13/10/2021,40.20
12/10/2021,38.30
11/10/2021,37.55
08/10/2021,37.40
07/10/2021,38.40
06/10/2021,38.15
05/10/2021,38.00
04/10/2021,37.50
01/10/2021,38.10
30/09/2021,36.80
29/09/2021,35.45
28/09/2021,33.15
27/09/2021,32.20
24/09/2021,34.50
23/09/2021,34.85
22/09/2021,34.85
21/09/2021,35.15
20/09/2021,35.50
17/09/2021,35.70
16/09/2021,34.95
15/09/2021,35.35
14/09/2021,35.70
13/09/2021,35.60
10/09/2021,35.00
09/09/2021,35.60
08/09/2021,35.50
