Date,Closing Price
10/05/2022,45.25
09/05/2022,45.10
06/05/2022,46.80
05/05/2022,47.10
04/05/2022,47.50
29/04/2022,47.90
28/04/2022,46.90
27/04/2022,46.90
26/04/2022,46.80
25/04/2022,47.65
22/04/2022,48.40
21/04/2022,48.50
20/04/2022,48.50
19/04/2022,49.20
18/04/2022,49.80
15/04/2022,49.90
14/04/2022,49.70
13/04/2022,49.65
12/04/2022,49.65
08/04/2022,50.00
07/04/2022,50.00
06/04/2022,50.00
05/04/2022,49.80
04/04/2022,49.80
01/04/2022,49.55
31/03/2022,50.80
30/03/2022,49.30
29/03/2022,49.30
28/03/2022,49.00
25/03/2022,49.00
24/03/2022,49.00
23/03/2022,49.40
22/03/2022,48.80
21/03/2022,49.45
18/03/2022,48.70
17/03/2022,49.60
16/03/2022,49.50
15/03/2022,48.60
14/03/2022,48.90
11/03/2022,49.50
10/03/2022,49.70
09/03/2022,48.20
08/03/2022,48.05
07/03/2022,49.50
04/03/2022,49.50
03/03/2022,50.00
02/03/2022,50.20
01/03/2022,50.50
28/02/2022,50.50
25/02/2022,49.60
24/02/2022,49.60
23/02/2022,49.80
22/02/2022,49.80
21/02/2022,49.60
18/02/2022,49.00
17/02/2022,48.40
16/02/2022,48.05
15/02/2022,48.30
14/02/2022,48.40
11/02/2022,47.50
10/02/2022,46.80
09/02/2022,48.60
08/02/2022,48.50
07/02/2022,48.20
28/01/2022,47.50
27/01/2022,47.40
26/01/2022,47.95
25/01/2022,47.70
24/01/2022,47.90
21/01/2022,47.80
20/01/2022,48.00
19/01/2022,47.30
18/01/2022,47.20
17/01/2022,47.20
14/01/2022,47.50
13/01/2022,48.40
12/01/2022,47.00
11/01/2022,48.50
10/01/2022,48.50
07/01/2022,47.80
06/01/2022,48.00
05/01/2022,49.85
04/01/2022,49.90
31/12/2021,50.80
30/12/2021,51.80
29/12/2021,49.90
28/12/2021,48.50
27/12/2021,48.60
24/12/2021,48.60
23/12/2021,47.50
22/12/2021,47.70
21/12/2021,48.00
20/12/2021,47.80
17/12/2021,47.80
16/12/2021,47.50
15/12/2021,47.95
14/12/2021,48.00
13/12/2021,48.50
10/12/2021,48.70
09/12/2021,48.85
08/12/2021,48.00
07/12/2021,47.40
06/12/2021,46.50
03/12/2021,46.80
02/12/2021,48.70
01/12/2021,49.20
30/11/2021,50.00
29/11/2021,49.00
26/11/2021,47.20
25/11/2021,49.90
24/11/2021,50.50
23/11/2021,48.00
22/11/2021,46.65
19/11/2021,45.55
18/11/2021,45.80
17/11/2021,46.15
16/11/2021,46.00
15/11/2021,46.15
12/11/2021,45.60
11/11/2021,45.85
10/11/2021,45.80
09/11/2021,46.00
08/11/2021,45.90
05/11/2021,45.50
04/11/2021,46.00
03/11/2021,45.65
02/11/2021,45.10
01/11/2021,45.10
29/10/2021,45.30
28/10/2021,45.80
27/10/2021,45.60
26/10/2021,45.70
25/10/2021,45.80
22/10/2021,46.20
21/10/2021,46.10
20/10/2021,46.80
19/10/2021,46.80
18/10/2021,46.80
15/10/2021,46.00
14/10/2021,45.50
13/10/2021,45.20
12/10/2021,45.65
11/10/2021,47.00
08/10/2021,44.00
07/10/2021,44.00
06/10/2021,43.85
05/10/2021,43.60
04/10/2021,43.35
01/10/2021,43.80
30/09/2021,44.00
29/09/2021,44.40
28/09/2021,44.00
27/09/2021,44.00
24/09/2021,44.60
23/09/2021,44.95
22/09/2021,44.95
21/09/2021,44.85
20/09/2021,44.90
17/09/2021,44.40
16/09/2021,43.60
15/09/2021,43.75
14/09/2021,43.50
13/09/2021,44.00
10/09/2021,42.90
09/09/2021,42.80
08/09/2021,42.05
07/09/2021,42.05
06/09/2021,42.00
01/09/2021,41.50
31/08/2021,41.50
30/08/2021,40.90
27/08/2021,41.00
26/08/2021,41.00
25/08/2021,41.00
24/08/2021,41.00
23/08/2021,41.00
20/08/2021,41.10
19/08/2021,42.00
18/08/2021,41.80
17/08/2021,42.00
16/08/2021,42.00
13/08/2021,41.90
12/08/2021,42.15
11/08/2021,42.40
10/08/2021,42.15
09/08/2021,42.15
06/08/2021,41.80
05/08/2021,41.50
04/08/2021,41.50
03/08/2021,41.80
02/08/2021,41.60
30/07/2021,41.20
29/07/2021,41.00
28/07/2021,41.00
27/07/2021,41.00
26/07/2021,40.90
23/07/2021,40.90
22/07/2021,40.70
21/07/2021,40.30
20/07/2021,40.30
19/07/2021,40.90
16/07/2021,40.30
15/07/2021,40.50
14/07/2021,40.40
13/07/2021,40.40
12/07/2021,41.50
09/07/2021,41.65
08/07/2021,42.00
07/07/2021,42.00
06/07/2021,42.10
05/07/2021,41.95
02/07/2021,42.00
01/07/2021,41.80
30/06/2021,41.80
29/06/2021,42.00
28/06/2021,42.15
25/06/2021,42.50
24/06/2021,42.80
23/06/2021,42.80
22/06/2021,42.60
21/06/2021,42.50
18/06/2021,41.75
17/06/2021,41.80
16/06/2021,41.70
15/06/2021,41.80
14/06/2021,41.80
11/06/2021,42.00
10/06/2021,41.60
09/06/2021,41.50
08/06/2021,41.60
07/06/2021,41.65
04/06/2021,41.10
03/06/2021,40.50
02/06/2021,40.50
01/06/2021,40.70
31/05/2021,40.60
28/05/2021,41.00
27/05/2021,41.00
26/05/2021,42.00
25/05/2021,41.00
24/05/2021,41.80
21/05/2021,41.50
20/05/2021,41.65
19/05/2021,41.80
18/05/2021,42.00
17/05/2021,42.00
14/05/2021,42.50
13/05/2021,43.00
12/05/2021,42.50
11/05/2021,42.30
10/05/2021,42.50
07/05/2021,43.00
06/05/2021,43.65
05/05/2021,43.50
04/05/2021,43.30
29/04/2021,44.40
28/04/2021,44.50
27/04/2021,45.00
26/04/2021,44.80
23/04/2021,45.50
22/04/2021,45.50
20/04/2021,47.00
19/04/2021,46.40
16/04/2021,46.40
15/04/2021,46.60
14/04/2021,46.60
13/04/2021,46.95
12/04/2021,47.05
09/04/2021,47.25
08/04/2021,47.25
07/04/2021,47.30
06/04/2021,47.20
05/04/2021,47.40
02/04/2021,47.50
01/04/2021,47.50
31/03/2021,47.20
30/03/2021,47.20
29/03/2021,47.20
26/03/2021,47.30
25/03/2021,47.70
24/03/2021,47.60
23/03/2021,47.70
22/03/2021,48.00
19/03/2021,48.00
18/03/2021,47.80
17/03/2021,48.20
16/03/2021,48.20
15/03/2021,48.80
12/03/2021,48.00
11/03/2021,48.00
10/03/2021,47.10
09/03/2021,48.00
08/03/2021,47.40
05/03/2021,47.50
04/03/2021,47.90
03/03/2021,48.50
02/03/2021,48.35
01/03/2021,48.70
26/02/2021,49.00
25/02/2021,50.60
24/02/2021,50.00
23/02/2021,50.40
22/02/2021,50.30
19/02/2021,49.90
18/02/2021,48.55
17/02/2021,48.50
09/02/2021,48.50
08/02/2021,47.00
05/02/2021,47.30
04/02/2021,46.40
03/02/2021,46.30
02/02/2021,46.40
01/02/2021,45.30
29/01/2021,47.40
28/01/2021,44.65
27/01/2021,48.00
26/01/2021,48.00
25/01/2021,48.95
22/01/2021,48.90
21/01/2021,48.80
20/01/2021,48.10
19/01/2021,49.40
18/01/2021,49.80
15/01/2021,48.60
14/01/2021,48.10
13/01/2021,48.10
12/01/2021,48.35
11/01/2021,48.25
08/01/2021,48.25
07/01/2021,48.40
06/01/2021,48.80
05/01/2021,48.45
04/01/2021,48.70
31/12/2020,48.00
30/12/2020,48.10
29/12/2020,48.00
28/12/2020,47.60
25/12/2020,48.80
24/12/2020,47.10
23/12/2020,47.20
22/12/2020,47.20
21/12/2020,47.25
18/12/2020,47.35
17/12/2020,47.30
16/12/2020,47.20
15/12/2020,46.90
14/12/2020,47.00
11/12/2020,47.00
10/12/2020,47.00
09/12/2020,46.80
08/12/2020,46.50
07/12/2020,46.50
04/12/2020,46.35
03/12/2020,46.50
02/12/2020,46.40
01/12/2020,46.60
30/11/2020,46.85
27/11/2020,46.85
26/11/2020,46.80
25/11/2020,46.00
23/11/2020,45.90
20/11/2020,45.70
19/11/2020,45.60
18/11/2020,45.80
17/11/2020,45.80
16/11/2020,45.80
13/11/2020,46.00
12/11/2020,45.60
11/11/2020,45.40
10/11/2020,45.10
09/11/2020,44.90
06/11/2020,44.95
05/11/2020,44.90
04/11/2020,44.90
03/11/2020,44.80
02/11/2020,44.80
30/10/2020,44.90
29/10/2020,44.50
28/10/2020,44.30
27/10/2020,44.80
26/10/2020,44.90
23/10/2020,45.00
22/10/2020,45.00
21/10/2020,44.90
20/10/2020,45.25
19/10/2020,45.00
16/10/2020,44.50
15/10/2020,45.00
14/10/2020,44.80
13/10/2020,45.30
12/10/2020,45.50
09/10/2020,46.00
08/10/2020,46.00
07/10/2020,46.00
06/10/2020,46.40
05/10/2020,46.20
02/10/2020,45.50
01/10/2020,45.20
30/09/2020,44.85
29/09/2020,45.00
28/09/2020,45.00
25/09/2020,44.70
24/09/2020,44.80
23/09/2020,44.70
22/09/2020,45.00
21/09/2020,45.00
18/09/2020,44.80
17/09/2020,45.35
16/09/2020,45.40
15/09/2020,45.15
14/09/2020,45.15
11/09/2020,43.95
10/09/2020,43.60
09/09/2020,43.80
08/09/2020,43.70
07/09/2020,43.50
04/09/2020,43.50
03/09/2020,43.85
01/09/2020,43.80
31/08/2020,43.50
28/08/2020,43.80
27/08/2020,43.20
26/08/2020,43.25
25/08/2020,43.50
24/08/2020,43.50
21/08/2020,43.40
20/08/2020,43.60
19/08/2020,43.80
18/08/2020,43.95
17/08/2020,43.90
14/08/2020,44.90
13/08/2020,42.65
12/08/2020,42.50
11/08/2020,42.50
10/08/2020,42.60
07/08/2020,42.25
06/08/2020,42.20
05/08/2020,42.05
04/08/2020,41.45
03/08/2020,41.00
31/07/2020,40.80
30/07/2020,41.55
29/07/2020,40.90
28/07/2020,42.00
27/07/2020,41.80
24/07/2020,44.50
23/07/2020,45.50
22/07/2020,45.00
21/07/2020,46.00
20/07/2020,46.00
17/07/2020,45.95
16/07/2020,45.95
15/07/2020,46.00
14/07/2020,46.10
13/07/2020,46.15
10/07/2020,46.00
09/07/2020,46.30
08/07/2020,46.20
07/07/2020,46.25
06/07/2020,46.10
03/07/2020,45.90
02/07/2020,46.00
01/07/2020,46.00
30/06/2020,45.60
29/06/2020,45.60
26/06/2020,46.50
25/06/2020,46.80
24/06/2020,46.90
23/06/2020,46.90
22/06/2020,46.90
19/06/2020,46.55
18/06/2020,46.70
17/06/2020,46.40
16/06/2020,46.40
15/06/2020,46.80
12/06/2020,46.10
11/06/2020,47.00
10/06/2020,48.10
09/06/2020,48.30
08/06/2020,47.60
05/06/2020,47.45
04/06/2020,47.30
03/06/2020,47.20
02/06/2020,47.25
01/06/2020,47.50
29/05/2020,47.30
28/05/2020,47.60
27/05/2020,47.80
26/05/2020,47.50
25/05/2020,47.40
22/05/2020,47.50
21/05/2020,47.35
20/05/2020,47.10
19/05/2020,47.60
18/05/2020,47.30
15/05/2020,47.00
14/05/2020,47.40
13/05/2020,48.30
12/05/2020,48.50
11/05/2020,46.10
08/05/2020,45.80
07/05/2020,45.50
06/05/2020,44.50
05/05/2020,44.50
04/05/2020,44.60
29/04/2020,44.80
28/04/2020,44.50
27/04/2020,44.90
24/04/2020,44.50
23/04/2020,43.80
22/04/2020,43.85
21/04/2020,43.85
20/04/2020,44.10
17/04/2020,43.95
16/04/2020,44.00
15/04/2020,44.30
14/04/2020,44.00
13/04/2020,44.00
10/04/2020,44.20
09/04/2020,44.30
08/04/2020,45.00
07/04/2020,44.70
06/04/2020,45.00
03/04/2020,43.00
01/04/2020,42.60
31/03/2020,41.65
30/03/2020,41.40
27/03/2020,42.05
26/03/2020,42.50
25/03/2020,43.00
24/03/2020,42.50
23/03/2020,41.70
20/03/2020,44.00
19/03/2020,44.00
18/03/2020,44.00
17/03/2020,43.75
16/03/2020,43.80
13/03/2020,43.75
12/03/2020,45.50
11/03/2020,48.00
10/03/2020,49.00
09/03/2020,47.00
06/03/2020,50.20
05/03/2020,50.10
04/03/2020,49.70
03/03/2020,50.00
02/03/2020,48.80
28/02/2020,50.80
27/02/2020,51.50
26/02/2020,51.50
25/02/2020,52.00
24/02/2020,51.70
21/02/2020,53.80
20/02/2020,55.90
19/02/2020,56.00
18/02/2020,56.00
17/02/2020,56.50
14/02/2020,56.50
13/02/2020,55.70
12/02/2020,55.90
10/03/2020,49.00
09/03/2020,47.00
06/03/2020,50.20
05/03/2020,50.10
04/03/2020,49.70
03/03/2020,50.00
02/03/2020,48.80
28/02/2020,50.80
27/02/2020,51.50
26/02/2020,51.50
25/02/2020,52.00
24/02/2020,51.70
21/02/2020,53.80
20/02/2020,55.90
19/02/2020,56.00
18/02/2020,56.00
17/02/2020,56.50
14/02/2020,56.50
13/02/2020,55.70
12/02/2020,55.90
11/02/2020,55.80
10/02/2020,54.60
07/02/2020,54.90
06/02/2020,54.90
05/02/2020,54.70
04/02/2020,53.80
03/02/2020,52.50
31/01/2020,55.00
30/01/2020,54.90
22/01/2020,58.80
21/01/2020,58.80
20/01/2020,58.40
17/01/2020,58.60
16/01/2020,58.50
15/01/2020,58.50
14/01/2020,57.80
13/01/2020,57.80
10/01/2020,57.90
09/01/2020,58.00
08/01/2020,57.90
07/01/2020,58.00
06/01/2020,58.00
03/01/2020,58.10
02/01/2020,58.00
