Date,Closing Price
10/05/2022,57.00
09/05/2022,57.00
06/05/2022,58.40
05/05/2022,58.50
04/05/2022,58.00
29/04/2022,58.90
28/04/2022,58.90
27/04/2022,59.40
26/04/2022,58.00
25/04/2022,57.50
22/04/2022,56.50
21/04/2022,60.50
20/04/2022,60.20
19/04/2022,62.30
18/04/2022,60.70
15/04/2022,60.80
14/04/2022,60.00
13/04/2022,60.40
12/04/2022,60.00
08/04/2022,60.50
07/04/2022,60.50
06/04/2022,61.00
05/04/2022,61.20
04/04/2022,61.20
01/04/2022,60.60
31/03/2022,59.90
30/03/2022,59.60
29/03/2022,59.50
28/03/2022,59.50
25/03/2022,59.60
24/03/2022,59.60
23/03/2022,59.60
22/03/2022,59.00
21/03/2022,58.90
18/03/2022,58.90
17/03/2022,58.80
16/03/2022,58.10
15/03/2022,59.00
14/03/2022,59.00
11/03/2022,59.70
10/03/2022,60.80
09/03/2022,59.90
08/03/2022,57.30
07/03/2022,59.30
04/03/2022,61.20
03/03/2022,61.30
02/03/2022,58.90
01/03/2022,60.00
28/02/2022,60.20
25/02/2022,60.20
24/02/2022,60.00
23/02/2022,60.70
22/02/2022,60.90
21/02/2022,61.70
18/02/2022,60.80
17/02/2022,61.00
16/02/2022,60.50
15/02/2022,59.50
14/02/2022,61.00
11/02/2022,59.50
10/02/2022,59.50
09/02/2022,59.30
08/02/2022,59.00
07/02/2022,58.00
28/01/2022,56.80
27/01/2022,56.30
26/01/2022,56.50
25/01/2022,57.00
24/01/2022,57.10
21/01/2022,58.00
20/01/2022,57.50
19/01/2022,57.70
18/01/2022,57.90
17/01/2022,57.90
14/01/2022,60.40
13/01/2022,59.90
12/01/2022,59.80
11/01/2022,59.80
10/01/2022,59.50
07/01/2022,59.70
06/01/2022,60.00
05/01/2022,59.80
04/01/2022,59.80
31/12/2021,60.30
30/12/2021,60.40
29/12/2021,60.40
28/12/2021,59.60
27/12/2021,60.20
24/12/2021,60.00
23/12/2021,60.40
22/12/2021,59.40
21/12/2021,59.80
20/12/2021,60.30
17/12/2021,61.30
16/12/2021,61.30
15/12/2021,61.10
14/12/2021,60.70
13/12/2021,61.20
10/12/2021,61.70
09/12/2021,60.00
08/12/2021,59.90
07/12/2021,59.70
06/12/2021,59.60
03/12/2021,60.30
02/12/2021,60.80
01/12/2021,60.30
30/11/2021,60.40
29/11/2021,61.00
26/11/2021,60.50
25/11/2021,61.00
24/11/2021,61.20
23/11/2021,62.00
22/11/2021,61.80
19/11/2021,63.00
18/11/2021,64.10
17/11/2021,64.00
16/11/2021,63.20
15/11/2021,62.00
12/11/2021,61.90
11/11/2021,62.70
10/11/2021,63.10
09/11/2021,62.80
08/11/2021,61.00
05/11/2021,60.70
04/11/2021,59.40
03/11/2021,59.00
02/11/2021,60.20
01/11/2021,60.60
29/10/2021,61.40
28/10/2021,61.70
27/10/2021,60.10
26/10/2021,60.70
25/10/2021,61.00
22/10/2021,61.00
21/10/2021,58.50
20/10/2021,57.30
19/10/2021,58.70
18/10/2021,58.70
15/10/2021,57.40
14/10/2021,57.00
13/10/2021,57.40
12/10/2021,58.20
11/10/2021,58.00
08/10/2021,58.70
07/10/2021,57.70
06/10/2021,56.40
05/10/2021,55.60
04/10/2021,56.00
01/10/2021,55.70
30/09/2021,56.50
29/09/2021,54.70
28/09/2021,55.40
27/09/2021,54.50
24/09/2021,55.20
23/09/2021,55.40
22/09/2021,56.00
21/09/2021,56.00
20/09/2021,55.30
17/09/2021,56.20
16/09/2021,55.90
15/09/2021,56.50
14/09/2021,56.90
13/09/2021,57.00
10/09/2021,57.40
09/09/2021,57.90
08/09/2021,56.70
07/09/2021,58.10
06/09/2021,60.30
01/09/2021,59.20
31/08/2021,56.50
30/08/2021,57.50
27/08/2021,57.10
26/08/2021,56.80
25/08/2021,54.40
24/08/2021,53.70
23/08/2021,54.90
20/08/2021,55.10
19/08/2021,56.60
18/08/2021,57.50
17/08/2021,56.40
16/08/2021,59.10
13/08/2021,60.00
12/08/2021,57.70
11/08/2021,61.40
10/08/2021,58.70
09/08/2021,54.90
06/08/2021,51.40
05/08/2021,51.20
04/08/2021,52.80
03/08/2021,56.20
02/08/2021,54.80
30/07/2021,51.30
29/07/2021,50.80
28/07/2021,51.70
27/07/2021,52.00
26/07/2021,52.50
23/07/2021,49.75
22/07/2021,49.75
21/07/2021,49.00
20/07/2021,49.00
19/07/2021,48.20
16/07/2021,48.30
15/07/2021,48.80
14/07/2021,48.00
13/07/2021,48.60
12/07/2021,48.50
09/07/2021,48.50
08/07/2021,49.30
07/07/2021,48.70
06/07/2021,50.10
05/07/2021,50.30
02/07/2021,50.70
01/07/2021,50.90
30/06/2021,51.40
29/06/2021,50.90
28/06/2021,51.30
25/06/2021,51.30
24/06/2021,51.30
23/06/2021,51.40
22/06/2021,52.10
21/06/2021,52.20
18/06/2021,53.00
17/06/2021,51.70
16/06/2021,51.70
15/06/2021,52.40
14/06/2021,53.00
11/06/2021,50.80
10/06/2021,47.55
09/06/2021,47.90
08/06/2021,47.50
07/06/2021,48.00
04/06/2021,47.95
03/06/2021,48.00
02/06/2021,48.25
01/06/2021,48.00
31/05/2021,46.85
28/05/2021,46.60
27/05/2021,46.50
26/05/2021,46.45
25/05/2021,47.20
24/05/2021,46.60
21/05/2021,46.30
20/05/2021,46.25
19/05/2021,46.30
18/05/2021,45.55
17/05/2021,46.00
14/05/2021,46.20
13/05/2021,45.90
12/05/2021,45.50
11/05/2021,46.00
10/05/2021,46.15
07/05/2021,46.20
06/05/2021,46.50
05/05/2021,46.60
04/05/2021,45.65
29/04/2021,46.80
28/04/2021,46.60
27/04/2021,45.90
26/04/2021,46.70
23/04/2021,46.50
22/04/2021,46.00
20/04/2021,47.00
19/04/2021,47.20
16/04/2021,46.35
15/04/2021,47.00
14/04/2021,47.50
13/04/2021,48.30
12/04/2021,48.50
09/04/2021,46.50
08/04/2021,46.50
07/04/2021,46.50
06/04/2021,46.30
05/04/2021,46.20
02/04/2021,46.50
01/04/2021,47.00
31/03/2021,47.00
30/03/2021,47.00
29/03/2021,46.80
26/03/2021,45.50
25/03/2021,46.40
24/03/2021,46.20
23/03/2021,46.70
22/03/2021,46.95
19/03/2021,47.30
18/03/2021,47.50
17/03/2021,47.40
16/03/2021,46.90
15/03/2021,47.00
12/03/2021,46.90
11/03/2021,47.00
10/03/2021,47.00
09/03/2021,47.00
08/03/2021,47.15
05/03/2021,47.00
04/03/2021,45.40
03/03/2021,47.55
02/03/2021,47.30
01/03/2021,47.40
26/02/2021,45.90
25/02/2021,46.00
24/02/2021,45.80
23/02/2021,45.80
22/02/2021,45.50
19/02/2021,45.35
18/02/2021,45.60
17/02/2021,44.70
09/02/2021,44.35
08/02/2021,43.50
05/02/2021,43.80
04/02/2021,43.20
03/02/2021,43.50
02/02/2021,43.20
01/02/2021,42.35
