Date,Closing Price
10/05/2022,29.40
09/05/2022,29.40
06/05/2022,29.60
05/05/2022,29.95
04/05/2022,29.35
29/04/2022,30.00
28/04/2022,30.00
27/04/2022,30.80
26/04/2022,30.75
25/04/2022,30.30
22/04/2022,31.80
21/04/2022,30.70
20/04/2022,31.30
19/04/2022,31.35
18/04/2022,31.65
15/04/2022,33.30
14/04/2022,33.80
13/04/2022,34.10
12/04/2022,33.80
08/04/2022,35.10
07/04/2022,36.05
06/04/2022,36.45
05/04/2022,36.30
04/04/2022,36.70
01/04/2022,37.20
31/03/2022,36.90
30/03/2022,37.40
29/03/2022,37.50
28/03/2022,36.75
25/03/2022,36.80
24/03/2022,36.25
23/03/2022,36.95
22/03/2022,36.25
21/03/2022,36.20
18/03/2022,36.00
17/03/2022,36.85
16/03/2022,37.45
15/03/2022,37.00
14/03/2022,36.60
11/03/2022,35.40
10/03/2022,34.30
09/03/2022,34.75
08/03/2022,33.15
07/03/2022,33.35
04/03/2022,31.50
03/03/2022,32.05
02/03/2022,32.00
01/03/2022,33.85
28/02/2022,33.85
25/02/2022,34.90
24/02/2022,33.60
23/02/2022,33.00
22/02/2022,35.00
21/02/2022,35.30
18/02/2022,35.95
17/02/2022,36.10
16/02/2022,35.80
15/02/2022,37.25
14/02/2022,36.55
11/02/2022,35.80
10/02/2022,35.00
09/02/2022,34.80
08/02/2022,35.70
07/02/2022,35.95
28/01/2022,37.45
27/01/2022,35.30
26/01/2022,35.25
25/01/2022,34.90
24/01/2022,33.80
21/01/2022,33.40
20/01/2022,32.50
19/01/2022,31.70
18/01/2022,32.35
17/01/2022,32.90
14/01/2022,33.85
13/01/2022,34.20
12/01/2022,33.80
11/01/2022,33.05
10/01/2022,32.70
07/01/2022,33.40
06/01/2022,34.20
05/01/2022,34.30
04/01/2022,33.90
31/12/2021,33.70
30/12/2021,33.80
29/12/2021,34.20
28/12/2021,35.50
27/12/2021,33.35
24/12/2021,31.20
23/12/2021,29.20
22/12/2021,27.30
21/12/2021,26.75
20/12/2021,26.45
17/12/2021,26.00
16/12/2021,26.00
15/12/2021,26.45
14/12/2021,26.80
13/12/2021,26.45
10/12/2021,26.80
09/12/2021,27.10
08/12/2021,26.70
07/12/2021,25.60
06/12/2021,25.20
03/12/2021,27.00
02/12/2021,27.80
01/12/2021,27.35
30/11/2021,27.40
29/11/2021,28.35
26/11/2021,28.80
25/11/2021,29.25
24/11/2021,29.40
23/11/2021,27.50
22/11/2021,27.70
19/11/2021,27.80
18/11/2021,26.80
17/11/2021,27.70
16/11/2021,28.20
15/11/2021,28.60
12/11/2021,28.20
11/11/2021,26.40
10/11/2021,26.00
09/11/2021,25.50
08/11/2021,25.20
05/11/2021,25.30
04/11/2021,25.55
03/11/2021,25.95
02/11/2021,24.90
01/11/2021,23.30
29/10/2021,22.50
28/10/2021,23.60
27/10/2021,23.50
26/10/2021,23.20
25/10/2021,23.15
22/10/2021,23.40
21/10/2021,23.20
20/10/2021,23.40
19/10/2021,23.70
18/10/2021,23.20
15/10/2021,23.30
14/10/2021,23.60
13/10/2021,23.10
12/10/2021,23.20
11/10/2021,23.30
08/10/2021,22.40
07/10/2021,22.05
06/10/2021,22.30
05/10/2021,22.40
04/10/2021,22.10
01/10/2021,22.85
30/09/2021,23.60
29/09/2021,23.50
28/09/2021,23.85
27/09/2021,23.80
24/09/2021,24.05
23/09/2021,24.30
22/09/2021,24.80
21/09/2021,24.75
20/09/2021,25.30
17/09/2021,26.00
16/09/2021,25.20
15/09/2021,25.50
14/09/2021,25.60
13/09/2021,25.50
10/09/2021,25.80
09/09/2021,25.45
08/09/2021,25.50
07/09/2021,26.00
06/09/2021,24.95
01/09/2021,25.05
31/08/2021,25.35
30/08/2021,25.50
27/08/2021,24.60
26/08/2021,24.25
25/08/2021,24.60
24/08/2021,24.10
23/08/2021,24.00
20/08/2021,24.90
19/08/2021,25.90
18/08/2021,26.30
17/08/2021,26.55
16/08/2021,26.55
13/08/2021,26.30
12/08/2021,26.70
11/08/2021,26.65
10/08/2021,26.85
09/08/2021,27.10
06/08/2021,26.95
05/08/2021,27.55
04/08/2021,27.20
03/08/2021,27.00
02/08/2021,25.80
30/07/2021,26.40
29/07/2021,26.00
28/07/2021,24.75
27/07/2021,24.90
26/07/2021,26.00
23/07/2021,26.00
22/07/2021,27.00
21/07/2021,25.75
20/07/2021,25.80
19/07/2021,25.95
16/07/2021,27.00
15/07/2021,27.10
14/07/2021,26.50
13/07/2021,28.10
12/07/2021,28.80
09/07/2021,28.90
08/07/2021,29.35
07/07/2021,30.50
06/07/2021,30.50
05/07/2021,31.70
02/07/2021,31.35
01/07/2021,30.70
30/06/2021,30.30
29/06/2021,30.50
28/06/2021,29.80
25/06/2021,29.25
24/06/2021,29.15
23/06/2021,29.30
22/06/2021,29.55
21/06/2021,29.45
18/06/2021,29.80
17/06/2021,29.00
16/06/2021,29.10
15/06/2021,30.00
14/06/2021,30.40
11/06/2021,30.40
10/06/2021,30.30
09/06/2021,31.10
08/06/2021,30.70
07/06/2021,32.75
04/06/2021,33.40
03/06/2021,32.00
02/06/2021,31.15
01/06/2021,32.50
31/05/2021,32.80
28/05/2021,31.90
27/05/2021,30.65
26/05/2021,28.65
25/05/2021,26.80
24/05/2021,26.05
21/05/2021,26.05
20/05/2021,26.00
19/05/2021,26.30
18/05/2021,26.00
17/05/2021,26.95
14/05/2021,27.30
13/05/2021,27.00
12/05/2021,25.35
11/05/2021,25.70
10/05/2021,24.90
07/05/2021,25.70
06/05/2021,25.80
05/05/2021,26.20
04/05/2021,26.40
29/04/2021,27.45
28/04/2021,27.50
27/04/2021,26.10
26/04/2021,26.15
23/04/2021,26.95
22/04/2021,25.30
20/04/2021,27.10
19/04/2021,27.10
16/04/2021,26.20
15/04/2021,25.80
14/04/2021,25.25
13/04/2021,23.60
12/04/2021,23.40
09/04/2021,22.45
08/04/2021,22.80
07/04/2021,23.00
06/04/2021,23.10
05/04/2021,21.80
02/04/2021,20.40
01/04/2021,20.30
31/03/2021,20.10
30/03/2021,19.50
29/03/2021,18.90
26/03/2021,19.00
25/03/2021,19.00
24/03/2021,18.50
23/03/2021,19.00
22/03/2021,19.35
19/03/2021,19.70
18/03/2021,19.15
17/03/2021,18.45
16/03/2021,18.40
15/03/2021,18.45
12/03/2021,18.40
11/03/2021,18.40
10/03/2021,18.40
09/03/2021,18.40
08/03/2021,18.45
05/03/2021,18.50
04/03/2021,18.60
03/03/2021,18.75
02/03/2021,18.80
01/03/2021,18.45
26/02/2021,18.10
25/02/2021,18.10
24/02/2021,18.20
23/02/2021,18.30
22/02/2021,18.30
19/02/2021,18.50
18/02/2021,18.50
17/02/2021,18.00
09/02/2021,17.80
08/02/2021,17.75
05/02/2021,17.90
04/02/2021,17.80
03/02/2021,17.90
02/02/2021,17.50
01/02/2021,17.50
29/01/2021,16.85
28/01/2021,18.10
27/01/2021,17.70
26/01/2021,18.80
25/01/2021,20.00
22/01/2021,20.50
21/01/2021,20.00
20/01/2021,20.20
19/01/2021,20.20
18/01/2021,21.45
15/01/2021,22.00
14/01/2021,21.60
13/01/2021,21.50
12/01/2021,20.20
11/01/2021,20.20
08/01/2021,20.40
07/01/2021,20.10
06/01/2021,20.50
05/01/2021,19.50
04/01/2021,19.50
31/12/2020,19.25
30/12/2020,20.10
29/12/2020,18.80
28/12/2020,18.80
25/12/2020,19.10
24/12/2020,19.00
23/12/2020,19.50
22/12/2020,19.65
21/12/2020,18.40
18/12/2020,17.20
17/12/2020,17.05
16/12/2020,17.15
15/12/2020,17.15
14/12/2020,17.20
11/12/2020,17.10
10/12/2020,17.20
09/12/2020,17.10
08/12/2020,17.05
07/12/2020,17.20
04/12/2020,17.05
03/12/2020,17.20
02/12/2020,17.20
01/12/2020,17.15
30/11/2020,17.20
27/11/2020,17.10
26/11/2020,17.25
25/11/2020,17.25
23/11/2020,17.15
20/11/2020,17.25
19/11/2020,17.15
18/11/2020,17.20
17/11/2020,17.30
16/11/2020,17.15
13/11/2020,17.20
12/11/2020,17.30
11/11/2020,17.25
10/11/2020,17.30
09/11/2020,17.30
06/11/2020,17.30
05/11/2020,17.20
04/11/2020,17.25
03/11/2020,17.30
02/11/2020,17.20
30/10/2020,17.20
29/10/2020,17.25
28/10/2020,17.30
27/10/2020,17.30
26/10/2020,17.30
23/10/2020,17.50
22/10/2020,17.50
21/10/2020,17.25
20/10/2020,17.50
19/10/2020,17.20
16/10/2020,17.35
15/10/2020,17.60
14/10/2020,17.40
13/10/2020,17.40
12/10/2020,17.20
09/10/2020,17.15
08/10/2020,17.15
07/10/2020,17.45
06/10/2020,17.55
05/10/2020,17.35
02/10/2020,17.00
01/10/2020,17.00
30/09/2020,17.00
29/09/2020,17.00
28/09/2020,17.20
25/09/2020,17.10
24/09/2020,17.15
23/09/2020,17.10
22/09/2020,17.05
21/09/2020,17.05
18/09/2020,17.00
17/09/2020,17.00
16/09/2020,16.95
15/09/2020,16.90
14/09/2020,17.10
11/09/2020,16.70
10/09/2020,16.80
09/09/2020,16.80
08/09/2020,17.10
07/09/2020,16.90
04/09/2020,17.05
03/09/2020,17.20
01/09/2020,17.20
31/08/2020,17.25
28/08/2020,17.45
27/08/2020,16.95
26/08/2020,16.95
25/08/2020,16.95
24/08/2020,16.95
21/08/2020,16.95
20/08/2020,16.95
19/08/2020,16.85
18/08/2020,16.85
17/08/2020,17.00
14/08/2020,17.00
13/08/2020,16.70
12/08/2020,16.90
11/08/2020,17.00
10/08/2020,16.85
07/08/2020,16.90
06/08/2020,16.95
05/08/2020,17.00
04/08/2020,16.85
03/08/2020,16.60
31/07/2020,16.55
30/07/2020,17.10
29/07/2020,17.65
28/07/2020,16.50
27/07/2020,16.40
24/07/2020,16.80
23/07/2020,17.30
22/07/2020,17.35
21/07/2020,17.30
20/07/2020,17.35
17/07/2020,17.45
16/07/2020,17.60
15/07/2020,17.30
14/07/2020,17.00
13/07/2020,17.40
10/07/2020,17.60
09/07/2020,17.65
08/07/2020,17.65
07/07/2020,17.80
06/07/2020,17.80
03/07/2020,17.85
02/07/2020,17.70
01/07/2020,17.75
30/06/2020,17.80
29/06/2020,18.00
26/06/2020,17.75
25/06/2020,17.75
24/06/2020,18.00
23/06/2020,18.00
22/06/2020,18.20
19/06/2020,18.25
18/06/2020,18.10
17/06/2020,18.10
16/06/2020,17.90
15/06/2020,18.20
