Date,Closing Price
10/05/2022,9.30
09/05/2022,8.84
06/05/2022,9.50
05/05/2022,9.90
04/05/2022,10.50
29/04/2022,10.60
28/04/2022,9.93
27/04/2022,9.60
26/04/2022,9.00
25/04/2022,8.50
22/04/2022,9.90
21/04/2022,9.58
20/04/2022,10.30
19/04/2022,11.05
18/04/2022,11.85
15/04/2022,12.70
14/04/2022,13.00
13/04/2022,13.25
12/04/2022,13.10
08/04/2022,13.45
07/04/2022,13.45
06/04/2022,13.40
05/04/2022,13.70
04/04/2022,13.50
01/04/2022,13.40
31/03/2022,13.10
30/03/2022,13.25
29/03/2022,13.85
28/03/2022,13.65
25/03/2022,14.00
24/03/2022,13.70
23/03/2022,13.70
22/03/2022,13.85
21/03/2022,13.80
18/03/2022,13.60
17/03/2022,13.60
16/03/2022,13.50
15/03/2022,13.45
14/03/2022,13.10
11/03/2022,13.60
10/03/2022,13.90
09/03/2022,13.60
08/03/2022,14.00
07/03/2022,14.50
04/03/2022,14.35
03/03/2022,14.40
02/03/2022,14.15
01/03/2022,14.30
28/02/2022,14.40
25/02/2022,13.50
24/02/2022,13.20
23/02/2022,13.70
22/02/2022,13.60
21/02/2022,14.15
18/02/2022,13.75
17/02/2022,13.70
16/02/2022,13.70
15/02/2022,13.25
14/02/2022,13.00
11/02/2022,13.60
10/02/2022,13.55
09/02/2022,13.75
08/02/2022,13.50
07/02/2022,13.55
28/01/2022,13.00
27/01/2022,12.70
26/01/2022,12.55
25/01/2022,12.95
24/01/2022,12.65
21/01/2022,13.60
20/01/2022,13.55
19/01/2022,12.80
18/01/2022,12.65
17/01/2022,12.90
14/01/2022,13.85
13/01/2022,13.20
12/01/2022,14.10
11/01/2022,15.10
10/01/2022,16.20
07/01/2022,16.75
06/01/2022,16.65
05/01/2022,16.30
04/01/2022,16.60
31/12/2021,16.45
30/12/2021,16.55
29/12/2021,17.10
28/12/2021,16.55
27/12/2021,15.50
24/12/2021,15.50
23/12/2021,15.25
22/12/2021,16.20
21/12/2021,16.25
20/12/2021,15.25
17/12/2021,15.50
16/12/2021,15.00
15/12/2021,14.90
14/12/2021,13.95
13/12/2021,14.15
10/12/2021,13.75
09/12/2021,13.75
08/12/2021,13.60
07/12/2021,13.90
06/12/2021,13.35
03/12/2021,13.80
02/12/2021,14.60
01/12/2021,14.75
30/11/2021,14.10
29/11/2021,14.05
26/11/2021,14.10
25/11/2021,14.60
24/11/2021,13.95
23/11/2021,13.75
22/11/2021,14.25
19/11/2021,15.30
18/11/2021,16.00
17/11/2021,15.35
16/11/2021,15.25
15/11/2021,15.80
12/11/2021,14.95
11/11/2021,14.00
10/11/2021,14.05
09/11/2021,13.90
08/11/2021,13.65
05/11/2021,13.40
04/11/2021,13.30
03/11/2021,13.30
02/11/2021,13.95
01/11/2021,13.25
29/10/2021,13.15
28/10/2021,13.30
27/10/2021,13.20
26/10/2021,13.30
25/10/2021,12.85
22/10/2021,12.80
21/10/2021,12.75
20/10/2021,13.00
19/10/2021,13.80
18/10/2021,13.10
15/10/2021,12.25
14/10/2021,12.55
13/10/2021,12.65
12/10/2021,12.40
11/10/2021,11.90
08/10/2021,11.90
07/10/2021,12.10
06/10/2021,12.05
05/10/2021,11.80
04/10/2021,12.50
01/10/2021,12.50
30/09/2021,12.65
29/09/2021,12.90
28/09/2021,12.50
27/09/2021,12.40
24/09/2021,13.30
23/09/2021,13.95
22/09/2021,14.40
21/09/2021,13.50
20/09/2021,14.30
17/09/2021,14.80
16/09/2021,15.25
15/09/2021,15.15
14/09/2021,15.15
13/09/2021,16.25
10/09/2021,17.45
09/09/2021,17.50
08/09/2021,18.25
07/09/2021,19.60
06/09/2021,19.50
01/09/2021,18.55
31/08/2021,18.80
30/08/2021,18.60
27/08/2021,17.70
26/08/2021,17.70
25/08/2021,19.00
24/08/2021,19.90
23/08/2021,21.35
20/08/2021,21.10
19/08/2021,21.10
18/08/2021,20.10
17/08/2021,19.60
16/08/2021,19.00
13/08/2021,17.80
12/08/2021,17.10
11/08/2021,17.10
10/08/2021,17.15
09/08/2021,16.70
06/08/2021,16.80
05/08/2021,16.30
04/08/2021,16.00
03/08/2021,15.00
02/08/2021,14.90
30/07/2021,15.10
29/07/2021,15.30
28/07/2021,14.95
27/07/2021,14.90
26/07/2021,14.60
23/07/2021,14.85
22/07/2021,15.00
21/07/2021,14.45
20/07/2021,13.55
19/07/2021,13.40
16/07/2021,14.40
15/07/2021,15.05
14/07/2021,14.80
13/07/2021,15.20
12/07/2021,15.50
09/07/2021,16.65
08/07/2021,17.00
07/07/2021,16.95
06/07/2021,17.20
05/07/2021,18.15
02/07/2021,17.50
01/07/2021,17.00
30/06/2021,15.90
29/06/2021,16.00
28/06/2021,16.10
25/06/2021,15.80
24/06/2021,15.95
23/06/2021,14.95
22/06/2021,14.00
21/06/2021,15.00
18/06/2021,15.30
17/06/2021,15.00
16/06/2021,15.60
15/06/2021,14.95
14/06/2021,15.40
11/06/2021,14.50
10/06/2021,13.90
09/06/2021,14.30
08/06/2021,14.30
07/06/2021,14.25
04/06/2021,13.35
03/06/2021,13.95
02/06/2021,14.70
01/06/2021,14.80
31/05/2021,15.15
28/05/2021,14.20
27/05/2021,14.00
26/05/2021,13.45
25/05/2021,12.60
24/05/2021,11.80
21/05/2021,11.50
20/05/2021,11.50
19/05/2021,10.75
18/05/2021,10.05
17/05/2021,10.10
14/05/2021,10.05
13/05/2021,10.05
12/05/2021,10.35
11/05/2021,9.87
10/05/2021,9.78
07/05/2021,10.10
06/05/2021,10.40
05/05/2021,10.70
04/05/2021,10.45
29/04/2021,10.65
28/04/2021,10.30
27/04/2021,10.05
26/04/2021,9.92
23/04/2021,10.55
22/04/2021,10.15
20/04/2021,10.65
19/04/2021,11.10
16/04/2021,10.75
15/04/2021,11.35
14/04/2021,11.85
13/04/2021,11.70
12/04/2021,11.95
09/04/2021,11.20
08/04/2021,11.40
07/04/2021,11.10
06/04/2021,10.85
05/04/2021,11.00
02/04/2021,11.10
01/04/2021,10.90
31/03/2021,10.85
30/03/2021,11.25
29/03/2021,10.55
26/03/2021,9.90
25/03/2021,10.40
24/03/2021,10.80
23/03/2021,11.10
22/03/2021,11.55
19/03/2021,11.70
18/03/2021,11.80
17/03/2021,11.80
16/03/2021,12.20
15/03/2021,11.70
12/03/2021,10.95
11/03/2021,11.10
10/03/2021,11.10
09/03/2021,10.90
08/03/2021,10.90
05/03/2021,10.75
04/03/2021,10.70
03/03/2021,10.95
02/03/2021,10.80
01/03/2021,11.05
26/02/2021,10.60
25/02/2021,10.80
24/02/2021,10.95
23/02/2021,11.10
22/02/2021,11.60
19/02/2021,11.60
18/02/2021,12.05
17/02/2021,11.30
09/02/2021,10.80
08/02/2021,11.35
05/02/2021,12.20
04/02/2021,12.70
03/02/2021,11.90
02/02/2021,12.35
01/02/2021,13.25
29/01/2021,14.20
28/01/2021,15.25
27/01/2021,16.35
26/01/2021,17.55
25/01/2021,18.85
22/01/2021,20.25
21/01/2021,21.75
20/01/2021,21.65
19/01/2021,21.75
18/01/2021,21.30
15/01/2021,19.95
14/01/2021,19.70
13/01/2021,19.70
12/01/2021,19.15
11/01/2021,19.20
08/01/2021,18.45
07/01/2021,17.60
06/01/2021,16.45
05/01/2021,16.50
04/01/2021,16.40
31/12/2020,15.35
30/12/2020,14.35
29/12/2020,14.35
28/12/2020,14.10
25/12/2020,14.10
24/12/2020,13.30
23/12/2020,13.10
22/12/2020,13.25
21/12/2020,12.45
18/12/2020,11.65
17/12/2020,11.60
16/12/2020,11.50
15/12/2020,11.20
14/12/2020,10.85
11/12/2020,10.15
10/12/2020,10.25
09/12/2020,10.60
08/12/2020,10.30
07/12/2020,9.66
04/12/2020,9.03
03/12/2020,8.90
02/12/2020,9.00
01/12/2020,8.86
30/11/2020,8.81
26/11/2020,8.25
25/11/2020,8.24
23/11/2020,8.42
