Date,Closing Price
10/05/2022,108.00
09/05/2022,104.90
06/05/2022,109.80
05/05/2022,109.40
04/05/2022,108.00
29/04/2022,106.00
28/04/2022,107.70
27/04/2022,111.00
26/04/2022,109.00
25/04/2022,104.50
22/04/2022,112.30
21/04/2022,105.00
20/04/2022,106.60
19/04/2022,113.90
18/04/2022,115.30
15/04/2022,115.10
14/04/2022,111.60
13/04/2022,110.10
12/04/2022,108.90
08/04/2022,110.20
07/04/2022,112.80
06/04/2022,113.70
05/04/2022,114.30
04/04/2022,112.40
01/04/2022,109.70
31/03/2022,108.30
30/03/2022,110.10
29/03/2022,111.90
28/03/2022,110.50
25/03/2022,110.70
24/03/2022,112.30
23/03/2022,112.30
22/03/2022,115.00
21/03/2022,114.00
18/03/2022,108.90
17/03/2022,106.00
16/03/2022,109.20
15/03/2022,108.00
14/03/2022,106.00
11/03/2022,112.90
10/03/2022,118.50
09/03/2022,122.20
08/03/2022,120.70
07/03/2022,124.60
04/03/2022,118.00
03/03/2022,120.70
02/03/2022,119.20
01/03/2022,117.70
28/02/2022,118.00
25/02/2022,117.20
24/02/2022,119.00
23/02/2022,117.00
22/02/2022,116.50
21/02/2022,115.80
18/02/2022,117.00
17/02/2022,118.70
16/02/2022,114.50
15/02/2022,117.40
14/02/2022,116.00
11/02/2022,111.00
10/02/2022,112.00
09/02/2022,110.00
08/02/2022,114.00
07/02/2022,114.70
28/01/2022,109.00
27/01/2022,111.80
26/01/2022,112.20
25/01/2022,109.50
24/01/2022,107.10
21/01/2022,107.40
20/01/2022,107.20
19/01/2022,107.00
18/01/2022,107.00
17/01/2022,104.60
14/01/2022,105.50
13/01/2022,105.00
12/01/2022,108.00
11/01/2022,103.30
10/01/2022,102.00
07/01/2022,107.50
06/01/2022,103.70
05/01/2022,105.00
04/01/2022,101.90
31/12/2021,96.20
30/12/2021,97.00
29/12/2021,97.00
28/12/2021,98.10
27/12/2021,95.90
24/12/2021,95.70
23/12/2021,95.20
22/12/2021,95.20
21/12/2021,94.00
20/12/2021,96.70
17/12/2021,99.00
16/12/2021,98.60
15/12/2021,97.70
14/12/2021,98.20
13/12/2021,98.00
10/12/2021,96.60
09/12/2021,98.70
08/12/2021,98.20
07/12/2021,96.50
06/12/2021,92.00
03/12/2021,96.60
02/12/2021,98.40
01/12/2021,98.50
30/11/2021,98.30
29/11/2021,99.40
26/11/2021,102.00
25/11/2021,103.90
24/11/2021,103.00
23/11/2021,104.60
22/11/2021,102.10
19/11/2021,106.00
18/11/2021,113.80
17/11/2021,117.40
16/11/2021,116.70
15/11/2021,118.90
12/11/2021,118.10
11/11/2021,119.00
10/11/2021,120.40
09/11/2021,119.20
08/11/2021,123.00
05/11/2021,122.40
04/11/2021,117.10
03/11/2021,120.00
02/11/2021,121.60
01/11/2021,121.30
29/10/2021,124.50
28/10/2021,125.00
27/10/2021,121.70
26/10/2021,113.80
25/10/2021,112.00
22/10/2021,112.10
21/10/2021,112.20
20/10/2021,114.50
19/10/2021,114.50
18/10/2021,116.50
15/10/2021,112.00
14/10/2021,111.30
13/10/2021,111.00
12/10/2021,112.00
11/10/2021,112.50
08/10/2021,112.40
07/10/2021,111.00
06/10/2021,113.50
05/10/2021,109.00
04/10/2021,104.00
01/10/2021,103.50
30/09/2021,97.00
29/09/2021,96.80
28/09/2021,95.10
27/09/2021,90.00
24/09/2021,91.00
23/09/2021,90.60
22/09/2021,88.40
21/09/2021,88.20
20/09/2021,88.80
17/09/2021,91.90
16/09/2021,92.60
15/09/2021,91.50
14/09/2021,89.00
13/09/2021,88.60
10/09/2021,88.60
09/09/2021,88.60
08/09/2021,87.80
07/09/2021,88.70
06/09/2021,90.40
01/09/2021,88.60
31/08/2021,89.40
30/08/2021,87.50
27/08/2021,87.00
26/08/2021,86.30
25/08/2021,87.30
24/08/2021,86.00
23/08/2021,85.80
20/08/2021,87.50
19/08/2021,90.90
18/08/2021,92.60
17/08/2021,92.40
16/08/2021,94.20
13/08/2021,93.00
12/08/2021,94.50
11/08/2021,95.50
10/08/2021,96.00
09/08/2021,93.00
06/08/2021,92.40
05/08/2021,93.80
04/08/2021,94.10
03/08/2021,93.00
02/08/2021,93.50
30/07/2021,89.60
29/07/2021,89.50
28/07/2021,89.10
27/07/2021,89.00
26/07/2021,88.30
23/07/2021,88.00
22/07/2021,89.40
21/07/2021,87.40
20/07/2021,89.00
19/07/2021,86.70
16/07/2021,90.00
15/07/2021,90.50
14/07/2021,91.30
13/07/2021,91.50
12/07/2021,88.00
09/07/2021,91.70
08/07/2021,93.00
07/07/2021,91.50
06/07/2021,85.80
05/07/2021,92.00
02/07/2021,96.60
01/07/2021,94.20
30/06/2021,93.00
29/06/2021,93.00
28/06/2021,95.00
25/06/2021,98.00
24/06/2021,95.80
23/06/2021,93.90
22/06/2021,94.90
21/06/2021,93.00
18/06/2021,92.70
17/06/2021,93.90
16/06/2021,91.90
15/06/2021,88.70
14/06/2021,89.50
11/06/2021,87.00
10/06/2021,86.10
09/06/2021,87.40
08/06/2021,88.10
07/06/2021,90.70
04/06/2021,91.40
03/06/2021,88.30
02/06/2021,87.40
01/06/2021,83.70
31/05/2021,82.60
28/05/2021,82.00
27/05/2021,80.10
26/05/2021,81.90
25/05/2021,82.90
24/05/2021,82.00
21/05/2021,81.00
20/05/2021,80.80
19/05/2021,81.60
18/05/2021,82.00
17/05/2021,82.50
14/05/2021,84.10
13/05/2021,85.60
12/05/2021,86.40
11/05/2021,85.30
10/05/2021,86.00
07/05/2021,84.00
06/05/2021,84.90
05/05/2021,85.50
04/05/2021,83.30
29/04/2021,83.50
28/04/2021,81.90
27/04/2021,81.50
26/04/2021,81.50
23/04/2021,86.00
22/04/2021,85.80
20/04/2021,88.00
19/04/2021,87.20
16/04/2021,86.00
15/04/2021,86.00
14/04/2021,86.50
13/04/2021,86.00
12/04/2021,87.90
09/04/2021,88.80
08/04/2021,89.00
07/04/2021,89.10
06/04/2021,89.70
05/04/2021,89.40
02/04/2021,90.30
01/04/2021,90.60
31/03/2021,89.70
30/03/2021,89.60
29/03/2021,89.50
26/03/2021,89.20
25/03/2021,90.30
24/03/2021,90.10
23/03/2021,91.80
22/03/2021,90.50
19/03/2021,90.90
18/03/2021,91.80
17/03/2021,92.80
16/03/2021,90.30
15/03/2021,91.10
12/03/2021,91.10
11/03/2021,92.70
10/03/2021,92.00
09/03/2021,93.70
08/03/2021,95.00
05/03/2021,92.50
04/03/2021,90.90
03/03/2021,91.00
02/03/2021,91.00
01/03/2021,91.90
26/02/2021,89.30
25/02/2021,89.20
24/02/2021,88.10
23/02/2021,89.40
22/02/2021,88.20
19/02/2021,88.90
18/02/2021,90.10
17/02/2021,86.90
09/02/2021,81.30
08/02/2021,79.00
05/02/2021,81.20
04/02/2021,81.00
03/02/2021,80.00
02/02/2021,76.50
