Date,Closing Price
10/05/2022,74.90
09/05/2022,72.70
06/05/2022,78.10
05/05/2022,83.90
04/05/2022,85.40
29/04/2022,83.80
28/04/2022,81.00
27/04/2022,81.30
26/04/2022,79.00
25/04/2022,77.90
22/04/2022,83.70
21/04/2022,90.00
20/04/2022,90.00
19/04/2022,94.00
18/04/2022,96.80
15/04/2022,96.00
14/04/2022,90.10
13/04/2022,87.00
12/04/2022,86.00
08/04/2022,83.50
07/04/2022,85.80
06/04/2022,90.00
05/04/2022,92.00
04/04/2022,93.00
01/04/2022,91.00
31/03/2022,90.10
30/03/2022,91.60
29/03/2022,89.30
28/03/2022,90.90
25/03/2022,88.80
24/03/2022,83.00
23/03/2022,82.90
22/03/2022,80.20
21/03/2022,79.30
18/03/2022,80.70
17/03/2022,80.80
16/03/2022,78.30
15/03/2022,79.50
14/03/2022,79.70
11/03/2022,80.80
10/03/2022,81.10
09/03/2022,75.90
08/03/2022,77.10
07/03/2022,82.80
04/03/2022,84.40
03/03/2022,84.40
02/03/2022,81.50
01/03/2022,83.50
28/02/2022,84.00
25/02/2022,81.90
24/02/2022,81.00
23/02/2022,81.00
22/02/2022,80.60
21/02/2022,82.00
18/02/2022,79.70
17/02/2022,79.60
16/02/2022,76.90
15/02/2022,73.00
14/02/2022,71.20
11/02/2022,72.40
10/02/2022,72.90
09/02/2022,71.80
08/02/2022,71.80
07/02/2022,68.60
28/01/2022,68.00
27/01/2022,68.40
26/01/2022,68.50
25/01/2022,69.20
24/01/2022,68.90
21/01/2022,69.50
20/01/2022,67.00
19/01/2022,66.60
18/01/2022,67.50
17/01/2022,68.00
14/01/2022,68.00
13/01/2022,68.00
12/01/2022,67.00
11/01/2022,68.20
10/01/2022,69.30
07/01/2022,69.00
06/01/2022,69.70
05/01/2022,69.40
04/01/2022,65.60
31/12/2021,64.00
30/12/2021,64.00
29/12/2021,65.00
28/12/2021,65.00
27/12/2021,64.00
24/12/2021,64.00
23/12/2021,63.60
22/12/2021,65.00
21/12/2021,64.30
20/12/2021,65.20
17/12/2021,66.00
16/12/2021,66.00
15/12/2021,66.60
14/12/2021,67.00
13/12/2021,67.90
10/12/2021,67.00
09/12/2021,65.20
08/12/2021,65.90
07/12/2021,64.60
06/12/2021,62.20
03/12/2021,65.40
02/12/2021,66.30
01/12/2021,66.10
30/11/2021,66.80
29/11/2021,65.10
26/11/2021,66.90
25/11/2021,68.30
24/11/2021,69.60
23/11/2021,69.50
22/11/2021,66.20
19/11/2021,68.00
18/11/2021,71.00
17/11/2021,73.00
16/11/2021,73.80
15/11/2021,73.00
12/11/2021,76.10
11/11/2021,76.80
10/11/2021,76.50
09/11/2021,72.80
08/11/2021,73.00
05/11/2021,73.20
04/11/2021,68.50
03/11/2021,67.10
02/11/2021,69.50
01/11/2021,67.60
29/10/2021,68.80
28/10/2021,70.00
27/10/2021,69.90
26/10/2021,67.20
25/10/2021,67.00
22/10/2021,67.40
21/10/2021,68.10
20/10/2021,68.50
19/10/2021,66.40
18/10/2021,64.70
15/10/2021,67.20
14/10/2021,68.00
13/10/2021,68.00
12/10/2021,67.50
11/10/2021,68.10
08/10/2021,69.50
07/10/2021,70.80
06/10/2021,70.50
05/10/2021,69.10
04/10/2021,69.60
01/10/2021,68.80
30/09/2021,66.40
29/09/2021,66.50
28/09/2021,65.60
27/09/2021,64.20
24/09/2021,67.50
23/09/2021,68.80
22/09/2021,70.60
21/09/2021,69.00
20/09/2021,69.60
17/09/2021,71.80
16/09/2021,70.30
15/09/2021,71.00
14/09/2021,69.50
13/09/2021,65.00
10/09/2021,65.20
09/09/2021,65.00
08/09/2021,63.70
07/09/2021,63.40
06/09/2021,65.90
01/09/2021,66.30
31/08/2021,64.60
30/08/2021,64.20
27/08/2021,60.00
26/08/2021,58.40
25/08/2021,56.50
24/08/2021,56.00
23/08/2021,57.50
20/08/2021,61.60
19/08/2021,62.30
18/08/2021,60.30
17/08/2021,71.00
16/08/2021,72.50
13/08/2021,70.00
12/08/2021,70.00
11/08/2021,69.20
10/08/2021,70.00
09/08/2021,70.00
06/08/2021,68.00
05/08/2021,68.60
04/08/2021,68.00
03/08/2021,67.80
02/08/2021,67.10
30/07/2021,65.00
29/07/2021,65.00
28/07/2021,64.90
27/07/2021,66.50
26/07/2021,65.10
23/07/2021,64.50
22/07/2021,62.00
21/07/2021,58.30
20/07/2021,58.60
19/07/2021,56.50
16/07/2021,56.50
15/07/2021,57.10
14/07/2021,55.50
13/07/2021,56.90
12/07/2021,55.60
09/07/2021,59.70
08/07/2021,61.50
07/07/2021,61.40
06/07/2021,62.00
05/07/2021,64.80
02/07/2021,64.60
01/07/2021,61.60
30/06/2021,59.60
29/06/2021,59.20
28/06/2021,58.40
25/06/2021,58.20
24/06/2021,58.70
23/06/2021,59.00
22/06/2021,60.20
21/06/2021,59.70
18/06/2021,60.30
17/06/2021,60.30
16/06/2021,59.00
15/06/2021,60.80
14/06/2021,60.00
11/06/2021,60.70
10/06/2021,57.90
09/06/2021,58.00
08/06/2021,57.30
07/06/2021,57.60
04/06/2021,57.90
03/06/2021,58.80
02/06/2021,56.70
01/06/2021,53.00
31/05/2021,55.90
28/05/2021,59.50
27/05/2021,58.50
26/05/2021,60.40
25/05/2021,62.50
24/05/2021,62.30
21/05/2021,58.30
20/05/2021,62.60
19/05/2021,66.70
18/05/2021,71.60
17/05/2021,74.00
14/05/2021,78.60
13/05/2021,80.00
12/05/2021,79.80
11/05/2021,75.90
10/05/2021,76.00
07/05/2021,75.50
06/05/2021,76.30
05/05/2021,78.00
04/05/2021,79.10
29/04/2021,74.00
28/04/2021,72.00
27/04/2021,71.90
26/04/2021,70.50
23/04/2021,72.50
22/04/2021,71.10
20/04/2021,72.00
19/04/2021,74.00
16/04/2021,71.40
15/04/2021,72.00
14/04/2021,73.20
13/04/2021,71.60
12/04/2021,73.50
09/04/2021,74.30
08/04/2021,74.40
07/04/2021,74.40
06/04/2021,72.50
05/04/2021,73.40
02/04/2021,74.20
01/04/2021,73.00
31/03/2021,71.80
30/03/2021,72.10
29/03/2021,72.60
26/03/2021,69.00
25/03/2021,69.00
24/03/2021,68.30
23/03/2021,68.80
22/03/2021,69.30
19/03/2021,70.10
18/03/2021,71.40
17/03/2021,72.20
16/03/2021,70.90
15/03/2021,71.50
12/03/2021,71.10
11/03/2021,71.80
10/03/2021,69.40
09/03/2021,68.00
08/03/2021,65.50
05/03/2021,65.50
04/03/2021,65.90
03/03/2021,67.60
02/03/2021,66.80
01/03/2021,68.90
26/02/2021,69.50
25/02/2021,65.90
24/02/2021,61.60
23/02/2021,61.00
22/02/2021,61.20
19/02/2021,60.80
18/02/2021,60.90
17/02/2021,60.60
09/02/2021,59.00
08/02/2021,57.60
05/02/2021,53.90
04/02/2021,50.40
03/02/2021,50.00
02/02/2021,48.40
01/02/2021,47.10
29/01/2021,46.00
28/01/2021,45.05
27/01/2021,48.40
26/01/2021,51.80
25/01/2021,50.80
22/01/2021,47.50
21/01/2021,47.10
20/01/2021,45.60
19/01/2021,45.60
18/01/2021,49.00
15/01/2021,48.20
14/01/2021,46.20
13/01/2021,46.70
12/01/2021,45.90
11/01/2021,43.10
08/01/2021,43.35
07/01/2021,43.85
06/01/2021,42.50
05/01/2021,41.70
04/01/2021,42.90
31/12/2020,42.00
30/12/2020,41.40
29/12/2020,41.60
28/12/2020,42.00
25/12/2020,42.80
24/12/2020,42.20
23/12/2020,43.70
22/12/2020,44.60
21/12/2020,42.70
18/12/2020,44.00
17/12/2020,44.90
16/12/2020,46.45
15/12/2020,46.20
14/12/2020,45.00
11/12/2020,44.50
10/12/2020,41.90
09/12/2020,42.40
08/12/2020,41.00
07/12/2020,41.25
04/12/2020,40.90
03/12/2020,41.70
02/12/2020,39.45
01/12/2020,39.30
30/11/2020,38.90
27/11/2020,39.20
26/11/2020,38.90
25/11/2020,39.75
24/11/2020,39.90
23/11/2020,39.65
20/11/2020,38.20
19/11/2020,37.15
18/11/2020,37.40
17/11/2020,37.80
16/11/2020,36.90
13/11/2020,38.00
12/11/2020,37.40
11/11/2020,36.90
10/11/2020,36.00
09/11/2020,36.60
06/11/2020,34.25
05/11/2020,32.05
04/11/2020,31.55
03/11/2020,30.50
02/11/2020,30.45
30/10/2020,30.75
29/10/2020,30.30
28/10/2020,28.95
27/10/2020,29.70
26/10/2020,29.55
23/10/2020,27.65
22/10/2020,27.70
21/10/2020,27.70
20/10/2020,28.00
19/10/2020,27.10
16/10/2020,26.75
15/10/2020,26.90
14/10/2020,27.00
13/10/2020,28.20
12/10/2020,28.85
09/10/2020,28.90
08/10/2020,28.05
07/10/2020,28.15
06/10/2020,27.95
05/10/2020,27.60
02/10/2020,25.80
01/10/2020,25.70
30/09/2020,25.55
29/09/2020,25.60
28/09/2020,26.40
25/09/2020,26.45
24/09/2020,25.95
23/09/2020,25.35
22/09/2020,25.25
21/09/2020,24.90
18/09/2020,25.55
17/09/2020,25.70
16/09/2020,26.00
15/09/2020,25.90
14/09/2020,25.40
11/09/2020,25.30
10/09/2020,25.05
09/09/2020,24.60
08/09/2020,23.00
07/09/2020,23.00
04/09/2020,23.00
03/09/2020,23.45
01/09/2020,23.40
31/08/2020,22.80
28/08/2020,23.40
27/08/2020,23.75
26/08/2020,23.75
25/08/2020,23.75
24/08/2020,23.65
21/08/2020,24.40
20/08/2020,24.50
19/08/2020,23.40
18/08/2020,23.25
17/08/2020,24.45
14/08/2020,24.50
13/08/2020,23.90
12/08/2020,23.50
11/08/2020,23.90
10/08/2020,24.20
07/08/2020,23.60
06/08/2020,23.75
05/08/2020,22.25
04/08/2020,20.80
03/08/2020,20.85
31/07/2020,20.15
30/07/2020,19.65
29/07/2020,18.80
28/07/2020,19.20
27/07/2020,18.90
24/07/2020,17.70
23/07/2020,18.05
22/07/2020,18.05
21/07/2020,18.05
20/07/2020,18.05
17/07/2020,18.15
16/07/2020,18.20
15/07/2020,18.25
14/07/2020,18.05
13/07/2020,18.05
10/07/2020,18.25
09/07/2020,18.25
08/07/2020,18.05
07/07/2020,18.10
06/07/2020,18.00
03/07/2020,17.60
02/07/2020,17.60
01/07/2020,17.55
30/06/2020,17.20
29/06/2020,17.20
26/06/2020,18.25
25/06/2020,18.25
24/06/2020,18.50
23/06/2020,18.80
22/06/2020,18.70
19/06/2020,18.70
18/06/2020,18.30
17/06/2020,18.20
16/06/2020,18.30
15/06/2020,18.00
12/06/2020,19.00
11/06/2020,19.75
10/06/2020,21.20
09/06/2020,20.35
08/06/2020,19.60
05/06/2020,19.60
04/06/2020,19.30
03/06/2020,19.50
02/06/2020,19.50
01/06/2020,19.75
29/05/2020,19.15
28/05/2020,19.10
27/05/2020,19.20
26/05/2020,19.30
25/05/2020,18.80
22/05/2020,18.60
21/05/2020,18.80
20/05/2020,18.95
19/05/2020,18.70
18/05/2020,18.90
15/05/2020,18.65
14/05/2020,19.50
13/05/2020,19.95
12/05/2020,19.00
11/05/2020,17.95
08/05/2020,17.80
07/05/2020,18.10
06/05/2020,17.20
05/05/2020,17.60
04/05/2020,17.00
29/04/2020,17.70
28/04/2020,18.30
27/04/2020,17.80
24/04/2020,18.70
23/04/2020,17.50
22/04/2020,16.40
21/04/2020,16.30
20/04/2020,17.20
17/04/2020,16.45
16/04/2020,16.20
15/04/2020,16.35
14/04/2020,15.90
13/04/2020,16.00
10/04/2020,16.00
09/04/2020,16.10
08/04/2020,16.15
07/04/2020,16.35
06/04/2020,16.65
03/04/2020,16.05
01/04/2020,15.30
31/03/2020,14.75
30/03/2020,15.40
27/03/2020,16.40
26/03/2020,16.70
25/03/2020,16.90
24/03/2020,16.40
23/03/2020,15.95
20/03/2020,16.80
19/03/2020,16.95
18/03/2020,17.20
17/03/2020,16.50
16/03/2020,15.80
13/03/2020,15.80
12/03/2020,15.60
11/03/2020,16.75
10/03/2020,18.00
09/03/2020,18.00
06/03/2020,19.35
05/03/2020,18.60
04/03/2020,18.55
03/03/2020,18.85
02/03/2020,18.40
28/02/2020,18.35
27/02/2020,19.40
26/02/2020,19.15
25/02/2020,19.20
24/02/2020,18.90
21/02/2020,20.30
20/02/2020,20.50
19/02/2020,19.95
18/02/2020,20.10
17/02/2020,20.10
14/02/2020,21.60
13/02/2020,21.85
12/02/2020,20.45
11/02/2020,19.15
10/02/2020,18.55
07/02/2020,18.40
06/02/2020,18.00
05/02/2020,17.65
04/02/2020,17.80
03/02/2020,17.95
31/01/2020,18.90
30/01/2020,18.70
22/01/2020,17.50
21/01/2020,16.40
20/01/2020,16.30
17/01/2020,16.40
16/01/2020,16.30
15/01/2020,16.50
14/01/2020,16.75
13/01/2020,16.60
10/01/2020,16.60
09/01/2020,16.70
08/01/2020,16.70
07/01/2020,17.20
06/01/2020,17.35
03/01/2020,17.60
02/01/2020,17.05
