Date,Closing Price
10/05/2022,55.00
09/05/2022,53.50
06/05/2022,56.10
05/05/2022,55.70
04/05/2022,56.50
29/04/2022,54.40
28/04/2022,53.80
27/04/2022,53.30
26/04/2022,51.50
25/04/2022,48.75
22/04/2022,52.40
21/04/2022,55.60
20/04/2022,55.60
19/04/2022,57.50
18/04/2022,56.10
15/04/2022,57.30
14/04/2022,56.50
13/04/2022,55.70
12/04/2022,52.10
08/04/2022,54.80
07/04/2022,56.20
06/04/2022,58.10
05/04/2022,59.50
04/04/2022,58.90
01/04/2022,58.00
31/03/2022,58.40
30/03/2022,57.50
29/03/2022,59.00
28/03/2022,56.30
25/03/2022,54.80
24/03/2022,55.80
23/03/2022,53.60
22/03/2022,54.60
21/03/2022,54.40
18/03/2022,53.90
17/03/2022,53.00
16/03/2022,53.50
15/03/2022,52.40
14/03/2022,51.90
11/03/2022,55.70
10/03/2022,55.00
09/03/2022,56.20
08/03/2022,52.60
07/03/2022,56.00
04/03/2022,55.00
03/03/2022,54.40
02/03/2022,50.90
01/03/2022,50.00
28/02/2022,49.70
25/02/2022,50.50
24/02/2022,51.40
23/02/2022,52.10
22/02/2022,52.20
21/02/2022,51.20
18/02/2022,51.90
17/02/2022,51.20
16/02/2022,49.40
15/02/2022,48.90
14/02/2022,48.90
11/02/2022,48.35
10/02/2022,47.75
09/02/2022,48.50
08/02/2022,46.65
07/02/2022,46.00
28/01/2022,43.00
27/01/2022,42.30
26/01/2022,42.00
25/01/2022,43.00
24/01/2022,40.90
21/01/2022,42.00
20/01/2022,42.00
19/01/2022,41.60
18/01/2022,41.15
17/01/2022,40.50
14/01/2022,42.80
13/01/2022,44.00
12/01/2022,44.35
11/01/2022,45.80
10/01/2022,46.50
07/01/2022,48.15
06/01/2022,46.80
05/01/2022,47.60
04/01/2022,47.40
31/12/2021,47.30
30/12/2021,47.30
29/12/2021,45.95
28/12/2021,45.75
27/12/2021,45.80
24/12/2021,45.75
23/12/2021,46.30
22/12/2021,47.75
21/12/2021,47.65
20/12/2021,48.20
17/12/2021,49.30
