Date,Closing Price
10/05/2022,24.75
09/05/2022,24.95
06/05/2022,26.80
05/05/2022,28.20
04/05/2022,28.05
29/04/2022,28.85
28/04/2022,28.75
27/04/2022,29.10
26/04/2022,28.50
25/04/2022,27.45
22/04/2022,29.50
21/04/2022,30.50
20/04/2022,32.55
19/04/2022,35.00
18/04/2022,36.80
15/04/2022,36.00
14/04/2022,34.55
13/04/2022,34.50
12/04/2022,33.00
08/04/2022,34.85
07/04/2022,36.30
06/04/2022,37.00
05/04/2022,36.40
04/04/2022,36.50
01/04/2022,34.55
31/03/2022,34.00
30/03/2022,33.85
29/03/2022,34.50
28/03/2022,33.85
25/03/2022,34.70
24/03/2022,34.90
23/03/2022,35.40
22/03/2022,34.65
21/03/2022,34.60
18/03/2022,34.00
17/03/2022,33.80
16/03/2022,33.70
15/03/2022,33.85
14/03/2022,33.35
11/03/2022,34.50
10/03/2022,35.55
09/03/2022,36.00
08/03/2022,36.30
07/03/2022,36.75
04/03/2022,36.00
03/03/2022,36.30
02/03/2022,35.40
01/03/2022,35.70
28/02/2022,34.15
25/02/2022,34.00
24/02/2022,33.70
23/02/2022,34.25
22/02/2022,34.25
21/02/2022,34.60
18/02/2022,33.60
17/02/2022,34.00
16/02/2022,33.75
15/02/2022,33.35
14/02/2022,33.30
11/02/2022,33.95
10/02/2022,33.60
09/02/2022,33.10
08/02/2022,33.00
07/02/2022,32.20
28/01/2022,31.20
27/01/2022,30.70
26/01/2022,31.00
25/01/2022,31.25
24/01/2022,30.15
21/01/2022,32.40
20/01/2022,32.45
19/01/2022,31.90
18/01/2022,31.10
17/01/2022,33.25
14/01/2022,35.70
13/01/2022,35.50
12/01/2022,37.00
11/01/2022,36.80
10/01/2022,37.70
07/01/2022,38.50
06/01/2022,38.60
05/01/2022,38.40
04/01/2022,37.60
31/12/2021,36.95
30/12/2021,37.00
29/12/2021,36.90
28/12/2021,37.85
27/12/2021,38.60
24/12/2021,39.05
23/12/2021,39.00
22/12/2021,39.00
21/12/2021,37.70
20/12/2021,37.60
17/12/2021,38.25
16/12/2021,37.85
15/12/2021,37.75
14/12/2021,38.15
13/12/2021,38.50
10/12/2021,37.50
09/12/2021,37.35
08/12/2021,37.00
07/12/2021,36.60
06/12/2021,36.00
03/12/2021,36.50
02/12/2021,38.65
01/12/2021,38.50
30/11/2021,38.80
29/11/2021,36.80
26/11/2021,36.95
25/11/2021,37.80
24/11/2021,37.20
23/11/2021,37.50
22/11/2021,35.60
19/11/2021,37.70
18/11/2021,39.85
17/11/2021,40.00
16/11/2021,39.35
15/11/2021,40.50
12/11/2021,41.40
11/11/2021,41.90
10/11/2021,41.10
09/11/2021,40.60
08/11/2021,40.70
05/11/2021,40.10
04/11/2021,39.95
03/11/2021,39.30
02/11/2021,42.10
01/11/2021,39.35
29/10/2021,39.80
28/10/2021,40.05
27/10/2021,40.00
26/10/2021,39.45
25/10/2021,39.30
22/10/2021,38.30
21/10/2021,37.10
20/10/2021,37.50
19/10/2021,37.50
18/10/2021,37.85
15/10/2021,38.20
14/10/2021,38.40
13/10/2021,37.50
12/10/2021,37.80
11/10/2021,37.80
08/10/2021,37.65
07/10/2021,38.20
06/10/2021,37.85
05/10/2021,37.50
04/10/2021,37.10
01/10/2021,36.10
30/09/2021,35.90
29/09/2021,36.00
28/09/2021,35.80
27/09/2021,35.60
24/09/2021,37.00
23/09/2021,37.20
22/09/2021,37.00
21/09/2021,36.40
20/09/2021,37.40
17/09/2021,38.55
16/09/2021,38.40
15/09/2021,38.50
14/09/2021,38.00
13/09/2021,37.70
10/09/2021,39.30
09/09/2021,39.95
08/09/2021,39.00
07/09/2021,38.85
06/09/2021,39.30
01/09/2021,40.10
31/08/2021,38.75
30/08/2021,37.60
27/08/2021,37.40
26/08/2021,35.50
25/08/2021,35.20
24/08/2021,34.00
23/08/2021,34.20
20/08/2021,36.35
19/08/2021,38.80
18/08/2021,37.55
17/08/2021,37.50
16/08/2021,37.20
13/08/2021,34.80
12/08/2021,34.30
11/08/2021,34.10
10/08/2021,35.00
09/08/2021,35.20
06/08/2021,34.20
05/08/2021,34.85
04/08/2021,33.45
03/08/2021,33.70
02/08/2021,33.50
30/07/2021,33.70
29/07/2021,33.15
28/07/2021,32.65
27/07/2021,32.80
26/07/2021,32.50
23/07/2021,31.00
22/07/2021,31.50
21/07/2021,30.20
20/07/2021,30.80
19/07/2021,29.20
16/07/2021,31.35
15/07/2021,30.50
14/07/2021,29.30
13/07/2021,30.00
12/07/2021,29.40
09/07/2021,31.60
08/07/2021,33.95
07/07/2021,34.65
06/07/2021,33.80
05/07/2021,36.30
02/07/2021,36.20
01/07/2021,36.40
30/06/2021,35.00
29/06/2021,35.70
28/06/2021,36.30
25/06/2021,34.95
24/06/2021,34.80
23/06/2021,33.50
22/06/2021,34.35
21/06/2021,34.50
18/06/2021,34.50
17/06/2021,33.95
16/06/2021,32.05
15/06/2021,31.80
14/06/2021,29.75
11/06/2021,29.15
10/06/2021,28.50
09/06/2021,29.30
08/06/2021,29.25
07/06/2021,31.40
04/06/2021,29.90
03/06/2021,28.50
02/06/2021,27.85
01/06/2021,28.35
31/05/2021,28.60
28/05/2021,28.75
27/05/2021,27.85
26/05/2021,27.45
25/05/2021,27.00
24/05/2021,27.10
21/05/2021,25.35
20/05/2021,24.70
19/05/2021,25.35
18/05/2021,24.80
17/05/2021,25.35
14/05/2021,26.30
13/05/2021,26.50
12/05/2021,27.00
11/05/2021,25.25
10/05/2021,24.65
07/05/2021,24.80
06/05/2021,25.30
05/05/2021,25.25
04/05/2021,25.25
29/04/2021,25.75
28/04/2021,25.00
27/04/2021,23.40
26/04/2021,23.70
23/04/2021,24.25
22/04/2021,23.45
20/04/2021,25.20
19/04/2021,26.00
16/04/2021,25.50
15/04/2021,26.65
14/04/2021,27.35
13/04/2021,27.55
12/04/2021,28.40
09/04/2021,28.50
08/04/2021,28.40
07/04/2021,28.00
06/04/2021,27.90
05/04/2021,28.30
02/04/2021,28.30
01/04/2021,28.45
31/03/2021,27.80
30/03/2021,28.20
29/03/2021,27.85
26/03/2021,27.30
25/03/2021,27.60
24/03/2021,28.15
23/03/2021,29.35
22/03/2021,29.70
19/03/2021,30.00
18/03/2021,30.70
17/03/2021,29.70
16/03/2021,29.45
15/03/2021,30.30
12/03/2021,30.90
11/03/2021,29.50
10/03/2021,29.00
09/03/2021,28.70
08/03/2021,29.40
05/03/2021,29.05
04/03/2021,28.75
03/03/2021,29.60
02/03/2021,29.90
01/03/2021,29.50
26/02/2021,28.85
25/02/2021,28.90
24/02/2021,28.80
23/02/2021,29.90
22/02/2021,27.95
19/02/2021,28.10
18/02/2021,27.45
17/02/2021,25.70
09/02/2021,24.05
08/02/2021,23.95
05/02/2021,25.70
04/02/2021,25.45
03/02/2021,25.00
02/02/2021,23.40
01/02/2021,22.70
29/01/2021,24.40
28/01/2021,26.15
27/01/2021,28.10
26/01/2021,30.20
25/01/2021,32.45
22/01/2021,32.10
21/01/2021,31.85
20/01/2021,31.00
19/01/2021,31.70
18/01/2021,33.30
15/01/2021,32.40
14/01/2021,32.65
13/01/2021,31.85
