Date,Closing Price
10/05/2022,8.00
09/05/2022,7.76
06/05/2022,8.30
05/05/2022,8.80
04/05/2022,9.06
29/04/2022,9.10
28/04/2022,8.74
27/04/2022,8.50
26/04/2022,8.10
25/04/2022,7.98
22/04/2022,8.57
21/04/2022,9.21
20/04/2022,9.90
19/04/2022,10.10
18/04/2022,10.55
15/04/2022,11.30
14/04/2022,11.35
13/04/2022,11.70
12/04/2022,11.70
08/04/2022,12.05
07/04/2022,12.40
06/04/2022,12.70
05/04/2022,12.75
04/04/2022,13.00
01/04/2022,12.80
31/03/2022,12.90
30/03/2022,13.20
29/03/2022,13.80
28/03/2022,13.70
25/03/2022,14.10
24/03/2022,13.90
23/03/2022,14.20
22/03/2022,14.20
21/03/2022,14.30
18/03/2022,14.00
17/03/2022,14.20
16/03/2022,13.30
15/03/2022,13.30
14/03/2022,13.35
11/03/2022,13.35
10/03/2022,13.35
09/03/2022,13.40
08/03/2022,13.30
07/03/2022,13.70
04/03/2022,13.85
03/03/2022,13.85
02/03/2022,13.05
01/03/2022,13.00
28/02/2022,12.90
25/02/2022,12.80
24/02/2022,12.95
23/02/2022,13.50
22/02/2022,13.40
21/02/2022,13.75
18/02/2022,13.45
17/02/2022,13.35
16/02/2022,13.20
15/02/2022,13.15
14/02/2022,13.10
11/02/2022,13.50
10/02/2022,13.45
09/02/2022,13.45
08/02/2022,13.55
07/02/2022,12.70
28/01/2022,12.15
27/01/2022,12.15
26/01/2022,12.10
25/01/2022,12.40
24/01/2022,12.15
21/01/2022,12.75
20/01/2022,11.95
19/01/2022,12.40
18/01/2022,13.25
17/01/2022,14.20
14/01/2022,15.25
13/01/2022,15.40
12/01/2022,15.90
11/01/2022,16.65
10/01/2022,17.35
07/01/2022,17.00
06/01/2022,17.00
05/01/2022,15.90
04/01/2022,15.70
31/12/2021,15.70
30/12/2021,15.70
29/12/2021,15.30
28/12/2021,15.25
27/12/2021,14.50
24/12/2021,14.90
23/12/2021,15.05
22/12/2021,15.10
21/12/2021,15.10
20/12/2021,14.85
17/12/2021,15.50
16/12/2021,15.80
15/12/2021,15.90
14/12/2021,16.10
13/12/2021,16.30
10/12/2021,15.80
09/12/2021,15.75
08/12/2021,15.75
07/12/2021,16.00
06/12/2021,15.75
03/12/2021,16.90
02/12/2021,17.30
01/12/2021,17.60
30/11/2021,18.10
29/11/2021,18.20
26/11/2021,17.90
25/11/2021,17.40
24/11/2021,16.30
23/11/2021,16.10
22/11/2021,17.30
19/11/2021,18.60
18/11/2021,18.15
17/11/2021,17.00
16/11/2021,15.90
15/11/2021,16.25
12/11/2021,16.05
11/11/2021,15.05
10/11/2021,15.00
09/11/2021,14.90
08/11/2021,15.00
05/11/2021,14.55
04/11/2021,14.80
03/11/2021,14.90
02/11/2021,16.00
01/11/2021,15.50
29/10/2021,16.00
28/10/2021,15.90
27/10/2021,16.00
26/10/2021,15.80
25/10/2021,15.90
22/10/2021,14.90
21/10/2021,15.10
20/10/2021,14.80
19/10/2021,14.60
18/10/2021,14.40
15/10/2021,14.50
14/10/2021,14.60
13/10/2021,14.80
12/10/2021,14.50
11/10/2021,14.90
08/10/2021,14.60
07/10/2021,15.50
06/10/2021,14.95
05/10/2021,15.30
04/10/2021,14.30
01/10/2021,13.40
30/09/2021,13.50
29/09/2021,13.60
28/09/2021,13.70
27/09/2021,13.70
24/09/2021,14.55
23/09/2021,14.85
22/09/2021,14.85
21/09/2021,13.90
20/09/2021,14.30
17/09/2021,13.90
16/09/2021,13.90
15/09/2021,13.65
14/09/2021,12.80
13/09/2021,13.15
10/09/2021,13.25
09/09/2021,13.75
08/09/2021,14.10
07/09/2021,13.95
06/09/2021,14.10
27/08/2021,14.40
26/08/2021,15.00
25/08/2021,15.00
24/08/2021,13.70
23/08/2021,14.00
20/08/2021,15.40
19/08/2021,15.90
18/08/2021,14.50
17/08/2021,13.20
16/08/2021,12.90
13/08/2021,12.50
12/08/2021,12.40
11/08/2021,13.00
10/08/2021,13.10
09/08/2021,13.20
06/08/2021,12.50
05/08/2021,12.10
04/08/2021,11.10
03/08/2021,11.10
02/08/2021,11.10
30/07/2021,11.10
29/07/2021,11.10
28/07/2021,11.00
27/07/2021,11.20
26/07/2021,11.20
23/07/2021,11.20
22/07/2021,11.50
21/07/2021,11.50
20/07/2021,11.50
19/07/2021,11.60
16/07/2021,12.10
15/07/2021,12.20
14/07/2021,12.30
13/07/2021,12.10
12/07/2021,11.00
09/07/2021,11.00
08/07/2021,11.70
07/07/2021,11.60
06/07/2021,12.20
05/07/2021,12.50
02/07/2021,13.00
01/07/2021,12.90
30/06/2021,13.00
29/06/2021,12.70
28/06/2021,12.60
25/06/2021,12.90
24/06/2021,13.60
23/06/2021,14.00
22/06/2021,14.20
21/06/2021,14.40
