Date,Closing Price
10/05/2022,20.60
09/05/2022,19.40
06/05/2022,20.85
05/05/2022,21.75
04/05/2022,22.80
29/04/2022,21.60
28/04/2022,21.20
27/04/2022,20.65
26/04/2022,19.30
25/04/2022,18.05
22/04/2022,19.20
21/04/2022,18.75
20/04/2022,20.15
19/04/2022,21.65
18/04/2022,23.25
15/04/2022,25.00
14/04/2022,26.15
13/04/2022,26.60
12/04/2022,26.00
08/04/2022,27.20
07/04/2022,27.30
06/04/2022,28.30
05/04/2022,28.80
04/04/2022,27.90
01/04/2022,27.70
31/03/2022,27.00
30/03/2022,27.20
29/03/2022,28.25
28/03/2022,27.75
25/03/2022,28.90
24/03/2022,29.50
23/03/2022,28.65
22/03/2022,28.60
21/03/2022,28.10
18/03/2022,27.60
17/03/2022,27.75
16/03/2022,27.60
15/03/2022,28.20
14/03/2022,26.50
11/03/2022,26.15
10/03/2022,26.00
09/03/2022,26.00
08/03/2022,26.70
07/03/2022,27.40
04/03/2022,27.90
03/03/2022,26.75
02/03/2022,26.95
01/03/2022,27.70
28/02/2022,27.15
25/02/2022,27.70
24/02/2022,27.30
23/02/2022,28.75
22/02/2022,28.20
21/02/2022,28.90
18/02/2022,27.20
17/02/2022,26.80
16/02/2022,27.05
15/02/2022,26.25
14/02/2022,26.10
11/02/2022,26.10
10/02/2022,26.75
09/02/2022,26.50
08/02/2022,25.50
07/02/2022,27.40
28/01/2022,27.40
27/01/2022,29.45
26/01/2022,30.00
25/01/2022,31.10
24/01/2022,29.30
21/01/2022,31.50
20/01/2022,31.55
19/01/2022,29.55
18/01/2022,29.30
17/01/2022,28.70
14/01/2022,30.85
13/01/2022,28.85
12/01/2022,31.00
11/01/2022,32.35
10/01/2022,32.10
07/01/2022,34.50
06/01/2022,33.80
05/01/2022,32.90
04/01/2022,32.35
31/12/2021,30.25
30/12/2021,29.95
29/12/2021,30.70
28/12/2021,30.10
27/12/2021,28.70
24/12/2021,28.40
23/12/2021,28.05
22/12/2021,26.25
21/12/2021,25.95
20/12/2021,25.50
17/12/2021,26.50
16/12/2021,27.00
15/12/2021,26.05
14/12/2021,27.20
13/12/2021,27.10
10/12/2021,25.35
09/12/2021,25.70
08/12/2021,25.10
07/12/2021,24.70
06/12/2021,23.10
03/12/2021,24.00
02/12/2021,25.60
01/12/2021,26.90
30/11/2021,26.95
29/11/2021,26.00
26/11/2021,25.15
25/11/2021,25.60
24/11/2021,25.65
23/11/2021,24.20
22/11/2021,22.65
19/11/2021,24.35
18/11/2021,26.00
17/11/2021,25.80
16/11/2021,25.10
15/11/2021,23.50
12/11/2021,23.65
11/11/2021,23.80
10/11/2021,23.70
09/11/2021,22.15
08/11/2021,22.00
05/11/2021,21.90
04/11/2021,20.90
03/11/2021,19.55
02/11/2021,21.00
01/11/2021,20.20
29/10/2021,18.90
