Date,Closing Price
10/05/2022,10.55
09/05/2022,10.50
06/05/2022,10.90
05/05/2022,10.95
04/05/2022,10.90
29/04/2022,11.20
28/04/2022,11.00
27/04/2022,11.00
26/04/2022,11.00
25/04/2022,10.85
22/04/2022,10.90
21/04/2022,10.70
20/04/2022,10.90
19/04/2022,11.00
18/04/2022,11.45
15/04/2022,11.90
14/04/2022,12.20
13/04/2022,12.05
12/04/2022,12.05
08/04/2022,12.50
07/04/2022,12.45
06/04/2022,12.60
05/04/2022,12.95
04/04/2022,12.90
01/04/2022,13.20
31/03/2022,13.15
30/03/2022,13.15
29/03/2022,13.15
28/03/2022,13.10
25/03/2022,13.15
24/03/2022,13.20
23/03/2022,13.25
22/03/2022,12.95
21/03/2022,12.85
18/03/2022,12.95
17/03/2022,12.95
16/03/2022,12.50
15/03/2022,12.55
14/03/2022,12.50
11/03/2022,12.65
10/03/2022,12.90
09/03/2022,12.90
08/03/2022,12.70
07/03/2022,13.00
04/03/2022,13.10
03/03/2022,13.15
02/03/2022,12.35
01/03/2022,12.35
28/02/2022,12.10
25/02/2022,12.10
24/02/2022,11.85
23/02/2022,12.30
22/02/2022,12.20
21/02/2022,12.30
18/02/2022,12.20
17/02/2022,12.00
16/02/2022,12.10
15/02/2022,12.05
14/02/2022,11.95
11/02/2022,12.15
10/02/2022,12.20
09/02/2022,12.35
08/02/2022,12.35
07/02/2022,12.10
28/01/2022,11.70
27/01/2022,11.35
26/01/2022,11.35
25/01/2022,11.25
24/01/2022,11.60
21/01/2022,12.20
20/01/2022,12.00
19/01/2022,11.30
18/01/2022,11.00
17/01/2022,11.55
14/01/2022,11.95
13/01/2022,12.05
12/01/2022,12.55
11/01/2022,12.90
10/01/2022,13.05
07/01/2022,13.20
06/01/2022,13.15
05/01/2022,13.15
04/01/2022,13.15
31/12/2021,13.30
30/12/2021,13.40
29/12/2021,13.65
28/12/2021,13.50
27/12/2021,12.65
24/12/2021,12.55
23/12/2021,12.50
22/12/2021,12.70
21/12/2021,13.10
20/12/2021,12.90
17/12/2021,13.25
16/12/2021,13.35
15/12/2021,13.35
14/12/2021,13.30
13/12/2021,13.30
10/12/2021,13.00
09/12/2021,13.20
08/12/2021,12.80
07/12/2021,13.30
06/12/2021,13.20
03/12/2021,14.15
02/12/2021,14.60
01/12/2021,14.60
30/11/2021,14.60
29/11/2021,14.15
26/11/2021,14.35
25/11/2021,14.55
24/11/2021,14.70
23/11/2021,14.85
22/11/2021,13.90
19/11/2021,14.90
18/11/2021,15.50
17/11/2021,15.30
16/11/2021,15.30
15/11/2021,15.75
12/11/2021,15.35
11/11/2021,15.40
10/11/2021,15.30
09/11/2021,14.30
08/11/2021,14.30
05/11/2021,14.45
04/11/2021,14.25
03/11/2021,13.80
02/11/2021,14.35
01/11/2021,14.40
29/10/2021,14.75
28/10/2021,14.50
27/10/2021,14.85
26/10/2021,14.50
25/10/2021,14.75
22/10/2021,14.25
21/10/2021,14.10
20/10/2021,13.90
19/10/2021,13.95
18/10/2021,13.65
15/10/2021,14.00
14/10/2021,14.70
13/10/2021,14.80
12/10/2021,14.55
11/10/2021,14.35
08/10/2021,14.60
07/10/2021,14.60
06/10/2021,14.05
05/10/2021,14.10
04/10/2021,13.20
01/10/2021,12.35
30/09/2021,12.35
29/09/2021,12.15
28/09/2021,12.60
27/09/2021,12.10
24/09/2021,12.90
23/09/2021,13.00
22/09/2021,13.90
21/09/2021,13.00
20/09/2021,13.40
17/09/2021,12.85
16/09/2021,12.05
15/09/2021,11.75
14/09/2021,11.80
13/09/2021,11.85
10/09/2021,11.70
09/09/2021,11.75
08/09/2021,11.75
07/09/2021,11.60
06/09/2021,12.30
01/09/2021,12.00
31/08/2021,11.90
30/08/2021,11.40
27/08/2021,10.75
26/08/2021,11.20
25/08/2021,10.50
24/08/2021,10.60
23/08/2021,10.80
20/08/2021,10.85
19/08/2021,10.95
18/08/2021,10.50
17/08/2021,10.20
16/08/2021,10.95
13/08/2021,10.55
12/08/2021,11.10
11/08/2021,11.25
10/08/2021,10.60
09/08/2021,10.70
06/08/2021,10.60
05/08/2021,11.00
04/08/2021,10.65
03/08/2021,10.45
02/08/2021,10.45
30/07/2021,10.25
29/07/2021,9.91
28/07/2021,9.92
27/07/2021,9.91
26/07/2021,9.95
23/07/2021,10.15
22/07/2021,10.30
21/07/2021,10.20
20/07/2021,9.89
19/07/2021,9.25
16/07/2021,9.72
15/07/2021,9.79
