Date,Closing Price
10/05/2022,10.30
09/05/2022,10.45
06/05/2022,11.20
05/05/2022,11.65
04/05/2022,11.60
29/04/2022,11.75
28/04/2022,11.55
27/04/2022,11.60
26/04/2022,11.20
25/04/2022,11.00
22/04/2022,11.50
21/04/2022,11.15
20/04/2022,11.95
19/04/2022,12.70
18/04/2022,13.10
15/04/2022,13.55
14/04/2022,14.00
13/04/2022,13.10
12/04/2022,12.80
08/04/2022,13.45
07/04/2022,13.55
06/04/2022,14.05
05/04/2022,14.40
04/04/2022,14.50
01/04/2022,14.65
31/03/2022,14.60
30/03/2022,14.45
29/03/2022,15.00
28/03/2022,14.80
25/03/2022,15.25
24/03/2022,15.20
23/03/2022,14.25
22/03/2022,14.00
21/03/2022,14.10
18/03/2022,14.10
17/03/2022,14.15
16/03/2022,14.05
15/03/2022,13.75
14/03/2022,13.75
11/03/2022,14.20
10/03/2022,17.05
09/03/2022,17.20
08/03/2022,17.50
07/03/2022,17.60
04/03/2022,17.55
03/03/2022,17.70
02/03/2022,17.55
01/03/2022,17.85
28/02/2022,17.00
25/02/2022,16.95
24/02/2022,16.60
23/02/2022,17.20
22/02/2022,17.30
21/02/2022,17.55
18/02/2022,17.40
17/02/2022,17.50
16/02/2022,17.25
15/02/2022,17.15
14/02/2022,16.90
11/02/2022,17.30
10/02/2022,17.30
09/02/2022,17.30
08/02/2022,17.00
07/02/2022,16.50
28/01/2022,16.00
27/01/2022,16.00
26/01/2022,16.10
25/01/2022,16.10
24/01/2022,16.05
21/01/2022,17.00
20/01/2022,17.30
19/01/2022,16.20
18/01/2022,16.20
17/01/2022,17.10
14/01/2022,18.35
13/01/2022,18.30
12/01/2022,19.60
11/01/2022,19.65
10/01/2022,21.05
07/01/2022,21.40
06/01/2022,21.20
05/01/2022,21.00
04/01/2022,21.60
31/12/2021,21.35
30/12/2021,21.25
29/12/2021,21.80
28/12/2021,21.90
27/12/2021,20.50
24/12/2021,20.20
23/12/2021,20.10
22/12/2021,20.00
21/12/2021,20.25
20/12/2021,18.95
17/12/2021,19.20
16/12/2021,19.05
15/12/2021,19.50
14/12/2021,19.50
13/12/2021,19.25
10/12/2021,19.10
09/12/2021,18.95
08/12/2021,18.55
07/12/2021,18.60
06/12/2021,18.50
03/12/2021,19.40
02/12/2021,20.50
01/12/2021,20.10
30/11/2021,20.10
29/11/2021,19.85
26/11/2021,20.20
25/11/2021,20.75
24/11/2021,20.90
23/11/2021,20.30
22/11/2021,19.95
19/11/2021,21.40
18/11/2021,21.60
17/11/2021,21.50
16/11/2021,21.30
15/11/2021,21.60
12/11/2021,21.90
11/11/2021,22.35
10/11/2021,21.40
09/11/2021,20.45
08/11/2021,20.45
05/11/2021,20.40
04/11/2021,20.10
03/11/2021,20.00
02/11/2021,21.25
01/11/2021,20.95
29/10/2021,21.50
28/10/2021,20.10
27/10/2021,18.80
26/10/2021,18.40
25/10/2021,18.55
22/10/2021,18.15
21/10/2021,17.95
20/10/2021,18.05
19/10/2021,17.90
18/10/2021,18.05
15/10/2021,18.35
14/10/2021,18.45
13/10/2021,18.20
12/10/2021,18.10
11/10/2021,18.25
08/10/2021,18.50
07/10/2021,19.00
06/10/2021,18.35
05/10/2021,17.70
04/10/2021,17.40
01/10/2021,17.60
30/09/2021,17.85
29/09/2021,17.70
28/09/2021,17.60
27/09/2021,17.20
24/09/2021,18.00
23/09/2021,18.30
22/09/2021,18.30
21/09/2021,18.00
20/09/2021,18.40
17/09/2021,18.05
16/09/2021,16.90
15/09/2021,16.90
14/09/2021,16.70
13/09/2021,17.05
10/09/2021,17.20
09/09/2021,17.20
08/09/2021,17.05
07/09/2021,16.75
06/09/2021,17.50
01/09/2021,17.35
31/08/2021,17.20
30/08/2021,16.40
27/08/2021,15.75
26/08/2021,15.50
25/08/2021,15.50
24/08/2021,15.25
23/08/2021,15.50
20/08/2021,15.80
19/08/2021,16.30
18/08/2021,16.35
17/08/2021,16.40
16/08/2021,16.10
13/08/2021,16.05
12/08/2021,16.25
11/08/2021,16.30
10/08/2021,16.15
09/08/2021,16.00
06/08/2021,15.80
05/08/2021,15.70
04/08/2021,15.75
03/08/2021,15.85
02/08/2021,15.60
30/07/2021,15.30
29/07/2021,15.30
28/07/2021,15.20
27/07/2021,15.55
26/07/2021,15.80
23/07/2021,15.90
22/07/2021,17.75
21/07/2021,17.30
20/07/2021,17.25
19/07/2021,17.10
16/07/2021,17.80
15/07/2021,17.85
14/07/2021,17.30
13/07/2021,17.80
12/07/2021,17.75
09/07/2021,18.45
08/07/2021,19.00
07/07/2021,19.80
06/07/2021,19.70
05/07/2021,20.80
02/07/2021,20.90
01/07/2021,21.70
30/06/2021,21.70
29/06/2021,22.20
28/06/2021,21.60
25/06/2021,21.80
24/06/2021,21.70
23/06/2021,22.25
22/06/2021,21.80
21/06/2021,21.40
18/06/2021,21.45
17/06/2021,21.75
16/06/2021,20.50
15/06/2021,20.00
14/06/2021,20.05
11/06/2021,20.05
10/06/2021,20.05
09/06/2021,19.75
08/06/2021,19.95
07/06/2021,20.15
04/06/2021,20.25
03/06/2021,20.30
02/06/2021,20.00
01/06/2021,19.80
31/05/2021,20.10
28/05/2021,20.40
27/05/2021,20.05
26/05/2021,20.30
25/05/2021,20.60
24/05/2021,20.25
21/05/2021,20.20
20/05/2021,19.80
19/05/2021,20.50
18/05/2021,21.30
17/05/2021,21.20
14/05/2021,21.90
13/05/2021,22.90
12/05/2021,23.30
11/05/2021,22.55
10/05/2021,22.40
07/05/2021,22.55
06/05/2021,21.80
05/05/2021,21.95
04/05/2021,22.80
29/04/2021,23.00
28/04/2021,24.00
27/04/2021,22.95
26/04/2021,23.20
23/04/2021,22.60
22/04/2021,22.00
20/04/2021,21.50
19/04/2021,20.80
16/04/2021,21.10
15/04/2021,21.65
14/04/2021,21.55
13/04/2021,20.75
12/04/2021,20.90
09/04/2021,21.35
08/04/2021,21.45
07/04/2021,21.60
06/04/2021,21.20
05/04/2021,20.80
02/04/2021,21.20
01/04/2021,21.35
31/03/2021,21.55
30/03/2021,21.90
29/03/2021,21.80
26/03/2021,20.40
25/03/2021,20.95
24/03/2021,20.70
23/03/2021,21.45
22/03/2021,21.80
19/03/2021,22.00
18/03/2021,22.75
17/03/2021,22.40
16/03/2021,22.60
15/03/2021,22.80
12/03/2021,22.25
11/03/2021,22.60
10/03/2021,22.25
09/03/2021,20.80
08/03/2021,20.80
05/03/2021,21.05
04/03/2021,21.20
03/03/2021,21.75
02/03/2021,21.55
01/03/2021,21.85
26/02/2021,21.55
25/02/2021,21.00
24/02/2021,20.30
23/02/2021,21.35
22/02/2021,22.20
19/02/2021,22.30
18/02/2021,22.90
17/02/2021,23.45
09/02/2021,23.75
08/02/2021,23.35
05/02/2021,23.30
04/02/2021,22.95
03/02/2021,22.65
02/02/2021,21.20
01/02/2021,20.10
29/01/2021,20.50
28/01/2021,19.45
27/01/2021,20.90
26/01/2021,21.20
25/01/2021,21.10
22/01/2021,21.40
21/01/2021,21.30
20/01/2021,20.90
19/01/2021,21.10
18/01/2021,20.50
15/01/2021,20.30
14/01/2021,20.80
13/01/2021,21.00
12/01/2021,19.95
11/01/2021,19.20
08/01/2021,19.60
07/01/2021,19.80
06/01/2021,18.70
05/01/2021,18.15
04/01/2021,18.60
31/12/2020,17.40
30/12/2020,17.20
29/12/2020,16.10
28/12/2020,15.20
25/12/2020,15.10
24/12/2020,14.80
23/12/2020,15.10
22/12/2020,15.20
21/12/2020,15.20
18/12/2020,14.80
17/12/2020,15.10
16/12/2020,15.20
15/12/2020,15.00
14/12/2020,15.40
11/12/2020,15.50
10/12/2020,15.30
09/12/2020,15.80
08/12/2020,15.55
07/12/2020,15.50
04/12/2020,15.60
03/12/2020,15.60
02/12/2020,15.70
01/12/2020,15.20
30/11/2020,15.30
27/11/2020,15.20
26/11/2020,15.15
25/11/2020,15.15
24/11/2020,15.20
23/11/2020,15.65
20/11/2020,16.15
19/11/2020,16.15
18/11/2020,15.10
17/11/2020,14.90
16/11/2020,14.80
13/11/2020,15.40
12/11/2020,15.30
11/11/2020,14.70
10/11/2020,14.55
09/11/2020,14.10
06/11/2020,14.10
05/11/2020,14.20
04/11/2020,14.10
03/11/2020,14.00
02/11/2020,13.90
30/10/2020,14.10
29/10/2020,14.00
28/10/2020,13.70
27/10/2020,14.10
26/10/2020,14.40
23/10/2020,14.75
22/10/2020,14.50
21/10/2020,14.60
20/10/2020,15.00
19/10/2020,15.25
16/10/2020,15.15
15/10/2020,15.40
14/10/2020,15.40
13/10/2020,16.90
12/10/2020,17.10
09/10/2020,17.50
08/10/2020,17.60
07/10/2020,17.70
06/10/2020,17.40
05/10/2020,17.10
02/10/2020,16.95
01/10/2020,17.10
30/09/2020,16.85
29/09/2020,17.10
28/09/2020,17.30
25/09/2020,17.20
24/09/2020,17.40
23/09/2020,17.45
22/09/2020,17.70
21/09/2020,17.80
18/09/2020,17.35
17/09/2020,17.50
16/09/2020,17.90
15/09/2020,18.00
14/09/2020,17.70
11/09/2020,17.30
10/09/2020,17.60
09/09/2020,17.40
08/09/2020,17.00
07/09/2020,17.00
04/09/2020,17.80
03/09/2020,17.10
01/09/2020,17.55
31/08/2020,17.80
28/08/2020,16.65
27/08/2020,15.80
26/08/2020,14.90
25/08/2020,13.95
