Date,Closing Price
10/05/2022,6.55
09/05/2022,6.47
06/05/2022,6.95
05/05/2022,7.01
04/05/2022,7.16
29/04/2022,7.35
28/04/2022,7.29
27/04/2022,7.38
26/04/2022,7.22
25/04/2022,6.85
22/04/2022,7.14
21/04/2022,6.97
20/04/2022,7.49
19/04/2022,8.05
18/04/2022,8.65
15/04/2022,9.30
14/04/2022,9.32
13/04/2022,9.51
12/04/2022,9.20
08/04/2022,9.61
07/04/2022,10.15
06/04/2022,10.10
05/04/2022,10.35
04/04/2022,10.20
01/04/2022,10.10
31/03/2022,10.10
30/03/2022,10.40
29/03/2022,10.65
28/03/2022,10.80
25/03/2022,10.15
24/03/2022,10.10
23/03/2022,10.05
22/03/2022,10.35
21/03/2022,9.95
18/03/2022,9.88
17/03/2022,10.00
16/03/2022,9.71
15/03/2022,9.53
14/03/2022,9.50
11/03/2022,9.92
10/03/2022,9.92
09/03/2022,9.90
08/03/2022,10.00
07/03/2022,10.50
04/03/2022,10.10
03/03/2022,9.54
02/03/2022,9.20
01/03/2022,9.00
28/02/2022,8.91
25/02/2022,9.12
24/02/2022,9.07
23/02/2022,9.49
22/02/2022,9.50
21/02/2022,9.74
18/02/2022,9.75
17/02/2022,9.52
16/02/2022,9.14
15/02/2022,9.00
14/02/2022,8.90
11/02/2022,9.51
10/02/2022,9.80
09/02/2022,9.47
08/02/2022,9.45
07/02/2022,9.41
28/01/2022,8.99
27/01/2022,9.40
26/01/2022,9.50
25/01/2022,9.20
24/01/2022,9.63
21/01/2022,10.35
20/01/2022,10.20
19/01/2022,10.20
18/01/2022,10.30
17/01/2022,10.15
14/01/2022,10.70
13/01/2022,11.20
12/01/2022,12.00
11/01/2022,12.90
10/01/2022,13.50
07/01/2022,13.10
06/01/2022,13.20
05/01/2022,13.30
04/01/2022,12.45
31/12/2021,12.25
30/12/2021,13.00
29/12/2021,13.65
28/12/2021,12.95
27/12/2021,13.40
24/12/2021,12.55
23/12/2021,11.75
22/12/2021,11.00
21/12/2021,11.10
20/12/2021,10.70
17/12/2021,10.40
16/12/2021,11.15
15/12/2021,10.60
14/12/2021,11.20
13/12/2021,10.90
10/12/2021,10.20
09/12/2021,9.81
08/12/2021,9.17
07/12/2021,8.77
06/12/2021,8.40
03/12/2021,8.60
02/12/2021,9.00
01/12/2021,8.89
30/11/2021,8.82
29/11/2021,8.70
26/11/2021,8.25
25/11/2021,8.35
24/11/2021,8.27
23/11/2021,8.27
22/11/2021,8.37
19/11/2021,8.99
18/11/2021,9.25
17/11/2021,9.05
16/11/2021,9.16
15/11/2021,9.60
12/11/2021,9.18
11/11/2021,8.88
10/11/2021,8.62
09/11/2021,8.57
08/11/2021,8.43
05/11/2021,7.88
04/11/2021,7.51
03/11/2021,7.57
02/11/2021,7.77
01/11/2021,7.86
29/10/2021,7.50
28/10/2021,7.63
27/10/2021,7.49
26/10/2021,7.40
25/10/2021,7.46
22/10/2021,7.49
21/10/2021,7.49
20/10/2021,7.45
19/10/2021,7.40
18/10/2021,7.54
15/10/2021,7.61
14/10/2021,7.74
13/10/2021,7.59
12/10/2021,7.49
11/10/2021,7.60
08/10/2021,7.45
07/10/2021,7.36
06/10/2021,7.45
05/10/2021,7.21
04/10/2021,7.22
01/10/2021,7.10
30/09/2021,7.22
29/09/2021,7.20
28/09/2021,7.20
27/09/2021,7.20
24/09/2021,7.70
23/09/2021,7.80
22/09/2021,8.25
21/09/2021,8.14
20/09/2021,8.08
17/09/2021,7.56
16/09/2021,7.07
15/09/2021,7.05
14/09/2021,7.03
13/09/2021,7.10
10/09/2021,7.00
09/09/2021,6.89
08/09/2021,6.83
07/09/2021,6.98
06/09/2021,7.15
01/09/2021,7.08
31/08/2021,7.11
30/08/2021,7.21
27/08/2021,7.30
26/08/2021,6.98
25/08/2021,6.71
24/08/2021,6.82
23/08/2021,6.90
20/08/2021,7.20
19/08/2021,7.50
18/08/2021,7.48
17/08/2021,7.40
16/08/2021,7.41
13/08/2021,7.44
12/08/2021,7.62
11/08/2021,7.67
10/08/2021,7.80
09/08/2021,7.60
06/08/2021,7.64
05/08/2021,7.77
04/08/2021,7.57
03/08/2021,7.12
02/08/2021,7.45
30/07/2021,7.75
29/07/2021,7.74
28/07/2021,7.90
27/07/2021,8.13
26/07/2021,8.08
23/07/2021,8.25
22/07/2021,8.44
21/07/2021,8.12
20/07/2021,8.10
19/07/2021,8.24
16/07/2021,8.86
15/07/2021,8.96
14/07/2021,8.71
13/07/2021,8.70
12/07/2021,8.65
09/07/2021,9.30
08/07/2021,9.99
07/07/2021,9.99
06/07/2021,10.30
05/07/2021,10.40
02/07/2021,10.65
01/07/2021,10.80
30/06/2021,10.80
29/06/2021,10.90
28/06/2021,10.85
25/06/2021,11.05
24/06/2021,11.05
23/06/2021,11.10
22/06/2021,11.45
