Date,Closing Price
10/05/2022,41.10
09/05/2022,39.95
06/05/2022,41.80
05/05/2022,42.05
04/05/2022,42.00
29/04/2022,43.30
28/04/2022,43.10
27/04/2022,42.50
26/04/2022,41.20
25/04/2022,40.75
22/04/2022,43.80
21/04/2022,43.35
20/04/2022,43.20
19/04/2022,43.30
18/04/2022,42.65
15/04/2022,44.20
14/04/2022,44.90
13/04/2022,45.20
12/04/2022,45.10
08/04/2022,46.40
07/04/2022,46.55
06/04/2022,47.25
05/04/2022,46.10
04/04/2022,45.85
01/04/2022,45.70
31/03/2022,45.10
30/03/2022,45.50
29/03/2022,45.85
28/03/2022,45.90
25/03/2022,46.40
24/03/2022,46.40
23/03/2022,46.80
22/03/2022,46.90
21/03/2022,46.85
18/03/2022,46.50
17/03/2022,45.95
16/03/2022,46.20
15/03/2022,46.15
14/03/2022,45.80
11/03/2022,47.60
10/03/2022,49.15
09/03/2022,49.85
08/03/2022,49.45
07/03/2022,51.10
04/03/2022,49.80
03/03/2022,50.10
02/03/2022,46.90
01/03/2022,46.90
28/02/2022,47.20
25/02/2022,45.90
24/02/2022,46.00
23/02/2022,46.70
22/02/2022,46.40
21/02/2022,46.65
18/02/2022,47.05
17/02/2022,46.50
16/02/2022,46.00
15/02/2022,46.00
14/02/2022,46.20
11/02/2022,47.15
10/02/2022,47.00
09/02/2022,47.30
08/02/2022,45.55
07/02/2022,43.05
28/01/2022,42.20
27/01/2022,42.15
26/01/2022,43.45
25/01/2022,43.25
24/01/2022,40.70
21/01/2022,43.30
20/01/2022,44.00
19/01/2022,43.55
18/01/2022,44.00
17/01/2022,44.70
14/01/2022,46.25
13/01/2022,46.70
12/01/2022,46.20
11/01/2022,45.10
10/01/2022,45.65
07/01/2022,45.80
06/01/2022,46.10
05/01/2022,46.80
04/01/2022,46.75
31/12/2021,46.40
30/12/2021,45.70
29/12/2021,45.80
28/12/2021,45.80
27/12/2021,45.90
24/12/2021,46.05
23/12/2021,44.95
22/12/2021,45.10
21/12/2021,46.10
20/12/2021,46.90
17/12/2021,46.70
16/12/2021,47.50
15/12/2021,47.80
14/12/2021,47.70
13/12/2021,46.55
10/12/2021,46.50
09/12/2021,47.10
08/12/2021,47.20
07/12/2021,47.60
06/12/2021,45.75
03/12/2021,47.70
02/12/2021,48.60
01/12/2021,49.00
30/11/2021,48.95
29/11/2021,48.40
26/11/2021,49.05
25/11/2021,49.25
24/11/2021,48.65
23/11/2021,49.55
22/11/2021,48.65
19/11/2021,48.00
18/11/2021,49.95
17/11/2021,51.40
16/11/2021,52.00
15/11/2021,53.60
12/11/2021,54.60
11/11/2021,54.00
10/11/2021,55.30
09/11/2021,56.50
08/11/2021,56.80
05/11/2021,56.60
04/11/2021,56.30
03/11/2021,55.60
02/11/2021,55.50
01/11/2021,55.70
29/10/2021,57.10
28/10/2021,58.00
27/10/2021,57.90
26/10/2021,56.30
25/10/2021,55.10
22/10/2021,56.70
21/10/2021,57.20
20/10/2021,56.90
19/10/2021,57.20
18/10/2021,57.90
15/10/2021,57.30
14/10/2021,56.80
13/10/2021,56.80
12/10/2021,57.00
11/10/2021,57.20
08/10/2021,55.70
07/10/2021,55.60
06/10/2021,56.10
05/10/2021,55.30
04/10/2021,55.50
01/10/2021,53.40
30/09/2021,52.90
29/09/2021,53.30
28/09/2021,52.60
27/09/2021,50.80
24/09/2021,50.80
23/09/2021,51.00
22/09/2021,50.90
21/09/2021,50.80
20/09/2021,51.30
17/09/2021,51.80
16/09/2021,51.30
15/09/2021,51.60
14/09/2021,50.30
13/09/2021,50.80
10/09/2021,51.50
09/09/2021,51.90
08/09/2021,51.30
07/09/2021,50.70
06/09/2021,51.20
01/09/2021,49.20
31/08/2021,49.30
30/08/2021,48.70
27/08/2021,47.60
26/08/2021,47.70
25/08/2021,48.40
24/08/2021,47.75
23/08/2021,47.50
20/08/2021,49.00
19/08/2021,50.90
18/08/2021,50.40
17/08/2021,50.40
16/08/2021,49.45
13/08/2021,48.65
12/08/2021,48.40
11/08/2021,48.95
10/08/2021,49.40
09/08/2021,49.70
06/08/2021,48.40
05/08/2021,48.80
04/08/2021,47.50
03/08/2021,47.25
02/08/2021,47.25
30/07/2021,47.30
29/07/2021,47.10
28/07/2021,46.70
27/07/2021,46.20
26/07/2021,45.60
23/07/2021,45.80
22/07/2021,47.20
21/07/2021,46.75
20/07/2021,47.30
19/07/2021,44.30
16/07/2021,46.75
15/07/2021,46.50
14/07/2021,45.00
13/07/2021,45.50
12/07/2021,44.95
09/07/2021,47.30
08/07/2021,49.00
07/07/2021,49.90
06/07/2021,48.00
05/07/2021,51.20
02/07/2021,52.30
01/07/2021,52.80
30/06/2021,51.50
29/06/2021,51.80
28/06/2021,52.40
25/06/2021,50.70
24/06/2021,50.60
23/06/2021,51.40
22/06/2021,51.70
21/06/2021,51.20
18/06/2021,52.10
17/06/2021,51.40
16/06/2021,51.80
15/06/2021,53.20
14/06/2021,53.60
11/06/2021,53.10
10/06/2021,51.60
09/06/2021,50.30
08/06/2021,50.00
07/06/2021,52.70
04/06/2021,54.50
03/06/2021,54.30
02/06/2021,54.00
01/06/2021,55.50
31/05/2021,52.70
28/05/2021,67.10
27/05/2021,66.80
26/05/2021,67.80
25/05/2021,67.40
24/05/2021,65.40
