Date,Closing Price
10/05/2022,5.55
09/05/2022,5.19
06/05/2022,5.57
05/05/2022,5.73
04/05/2022,6.01
29/04/2022,5.88
28/04/2022,5.50
27/04/2022,5.29
26/04/2022,4.95
25/04/2022,4.63
22/04/2022,4.96
21/04/2022,5.15
20/04/2022,5.53
19/04/2022,5.94
18/04/2022,6.38
15/04/2022,6.85
14/04/2022,7.16
13/04/2022,7.38
12/04/2022,6.98
08/04/2022,7.50
07/04/2022,7.80
06/04/2022,7.89
05/04/2022,8.48
04/04/2022,8.70
01/04/2022,9.01
31/03/2022,8.70
30/03/2022,9.35
29/03/2022,10.05
28/03/2022,9.40
25/03/2022,10.10
24/03/2022,10.25
23/03/2022,9.70
22/03/2022,9.07
21/03/2022,9.25
18/03/2022,8.65
17/03/2022,8.19
16/03/2022,7.66
15/03/2022,7.59
14/03/2022,7.40
11/03/2022,7.53
10/03/2022,7.60
09/03/2022,7.55
08/03/2022,7.70
07/03/2022,8.04
04/03/2022,7.69
03/03/2022,7.60
02/03/2022,7.51
01/03/2022,7.70
28/02/2022,7.20
25/02/2022,7.28
24/02/2022,7.12
23/02/2022,7.61
22/02/2022,7.50
21/02/2022,7.90
18/02/2022,7.55
17/02/2022,7.48
16/02/2022,7.50
15/02/2022,7.09
14/02/2022,7.00
11/02/2022,7.26
10/02/2022,7.20
09/02/2022,7.20
08/02/2022,7.10
07/02/2022,7.39
28/01/2022,6.93
27/01/2022,6.50
26/01/2022,6.88
25/01/2022,7.20
24/01/2022,7.20
21/01/2022,7.74
20/01/2022,7.24
19/01/2022,6.90
18/01/2022,7.27
17/01/2022,7.81
14/01/2022,8.39
13/01/2022,8.65
12/01/2022,9.30
11/01/2022,10.00
10/01/2022,10.50
07/01/2022,10.20
06/01/2022,9.78
05/01/2022,9.27
04/01/2022,9.04
31/12/2021,8.80
30/12/2021,9.06
29/12/2021,9.38
28/12/2021,9.56
27/12/2021,9.18
24/12/2021,8.80
23/12/2021,9.07
22/12/2021,9.10
21/12/2021,8.60
20/12/2021,8.26
17/12/2021,8.00
16/12/2021,8.60
15/12/2021,8.05
14/12/2021,7.70
13/12/2021,7.28
10/12/2021,6.81
09/12/2021,6.73
08/12/2021,6.66
07/12/2021,6.66
06/12/2021,6.31
03/12/2021,6.70
02/12/2021,6.87
01/12/2021,6.65
30/11/2021,6.48
29/11/2021,6.40
26/11/2021,6.11
25/11/2021,6.29
24/11/2021,6.14
23/11/2021,6.10
22/11/2021,6.42
19/11/2021,6.90
18/11/2021,6.85
17/11/2021,6.41
16/11/2021,6.00
15/11/2021,6.23
12/11/2021,5.83
11/11/2021,5.45
10/11/2021,5.33
09/11/2021,5.26
08/11/2021,5.48
05/11/2021,5.45
04/11/2021,5.26
03/11/2021,5.40
02/11/2021,5.80
01/11/2021,5.69
29/10/2021,5.35
28/10/2021,5.00
27/10/2021,5.19
26/10/2021,5.08
25/10/2021,4.75
