Date,Closing Price
10/05/2022,20.10
09/05/2022,21.00
06/05/2022,22.00
05/05/2022,22.00
04/05/2022,21.50
29/04/2022,21.50
28/04/2022,21.70
27/04/2022,22.00
26/04/2022,21.00
25/04/2022,21.00
22/04/2022,22.00
21/04/2022,21.15
20/04/2022,22.25
19/04/2022,22.25
18/04/2022,22.25
15/04/2022,22.25
14/04/2022,23.10
13/04/2022,23.45
12/04/2022,23.75
08/04/2022,22.20
07/04/2022,23.00
06/04/2022,23.40
05/04/2022,23.40
04/04/2022,23.45
01/04/2022,23.50
31/03/2022,22.80
30/03/2022,22.80
29/03/2022,22.90
28/03/2022,22.85
25/03/2022,23.10
24/03/2022,23.00
23/03/2022,22.95
22/03/2022,22.65
21/03/2022,22.10
18/03/2022,22.15
17/03/2022,22.20
16/03/2022,22.40
15/03/2022,21.10
14/03/2022,21.90
11/03/2022,22.80
10/03/2022,21.90
09/03/2022,21.80
08/03/2022,22.70
07/03/2022,22.70
04/03/2022,22.70
03/03/2022,22.80
02/03/2022,22.80
01/03/2022,22.80
28/02/2022,22.00
25/02/2022,21.90
24/02/2022,23.00
23/02/2022,23.00
22/02/2022,22.90
21/02/2022,22.90
18/02/2022,22.90
17/02/2022,22.90
16/02/2022,21.75
15/02/2022,22.45
14/02/2022,22.45
11/02/2022,22.45
10/02/2022,22.30
09/02/2022,22.30
08/02/2022,22.45
07/02/2022,21.95
28/01/2022,22.00
27/01/2022,22.00
26/01/2022,22.00
25/01/2022,21.20
24/01/2022,21.20
21/01/2022,22.30
20/01/2022,22.30
19/01/2022,23.60
18/01/2022,23.60
17/01/2022,23.60
14/01/2022,23.50
13/01/2022,23.50
12/01/2022,23.80
11/01/2022,22.80
10/01/2022,22.80
07/01/2022,23.60
06/01/2022,23.50
05/01/2022,22.70
04/01/2022,23.00
31/12/2021,22.10
30/12/2021,22.50
29/12/2021,22.50
28/12/2021,21.15
27/12/2021,21.55
24/12/2021,22.50
23/12/2021,22.50
22/12/2021,23.50
21/12/2021,23.50
20/12/2021,23.45
17/12/2021,23.55
16/12/2021,23.55
15/12/2021,23.55
14/12/2021,23.10
13/12/2021,23.10
10/12/2021,21.75
09/12/2021,22.90
08/12/2021,22.90
07/12/2021,22.95
06/12/2021,22.95
03/12/2021,22.50
02/12/2021,22.50
01/12/2021,24.00
30/11/2021,22.60
29/11/2021,22.60
26/11/2021,22.60
25/11/2021,22.65
24/11/2021,21.20
23/11/2021,21.90
22/11/2021,22.30
19/11/2021,23.00
18/11/2021,23.20
17/11/2021,24.40
16/11/2021,25.40
15/11/2021,24.40
12/11/2021,26.20
11/11/2021,25.20
10/11/2021,24.30
09/11/2021,22.75
08/11/2021,21.30
05/11/2021,21.80
04/11/2021,21.80
03/11/2021,20.40
02/11/2021,20.00
01/11/2021,20.00
29/10/2021,20.10
28/10/2021,20.50
27/10/2021,20.50
26/10/2021,20.50
25/10/2021,20.00
22/10/2021,20.00
21/10/2021,20.00
20/10/2021,20.00
19/10/2021,21.00
18/10/2021,20.50
15/10/2021,20.00
14/10/2021,20.10
13/10/2021,20.00
12/10/2021,20.00
11/10/2021,20.00
08/10/2021,20.00
07/10/2021,20.00
06/10/2021,20.00
05/10/2021,20.00
04/10/2021,20.00
01/10/2021,20.85
30/09/2021,20.85
29/09/2021,20.85
28/09/2021,20.85
27/09/2021,20.85
24/09/2021,20.85
23/09/2021,20.30
22/09/2021,20.20
21/09/2021,20.60
20/09/2021,20.60
17/09/2021,20.60
16/09/2021,20.60
15/09/2021,20.60
14/09/2021,20.60
13/09/2021,22.00
10/09/2021,21.70
09/09/2021,20.90
08/09/2021,20.35
07/09/2021,21.80
06/09/2021,21.50
01/09/2021,21.00
31/08/2021,20.20
30/08/2021,19.65
27/08/2021,18.40
26/08/2021,18.90
25/08/2021,18.40
24/08/2021,17.80
23/08/2021,17.80
20/08/2021,18.40
19/08/2021,18.00
18/08/2021,18.00
17/08/2021,17.50
16/08/2021,17.90
13/08/2021,17.90
12/08/2021,18.00
11/08/2021,18.00
10/08/2021,18.00
09/08/2021,18.00
06/08/2021,18.00
05/08/2021,17.40
04/08/2021,18.10
03/08/2021,17.00
02/08/2021,17.00
30/07/2021,16.85
29/07/2021,16.30
28/07/2021,16.25
27/07/2021,16.30
26/07/2021,16.50
23/07/2021,17.20
22/07/2021,17.20
21/07/2021,17.20
20/07/2021,16.80
19/07/2021,16.70
16/07/2021,17.00
15/07/2021,17.00
14/07/2021,17.00
13/07/2021,16.95
12/07/2021,17.05
09/07/2021,18.05
08/07/2021,18.05
07/07/2021,17.30
06/07/2021,17.30
05/07/2021,17.25
02/07/2021,18.00
01/07/2021,18.00
30/06/2021,17.90
29/06/2021,18.20
28/06/2021,18.20
25/06/2021,18.30
24/06/2021,17.80
23/06/2021,17.80
22/06/2021,17.60
21/06/2021,17.60
18/06/2021,17.50
17/06/2021,18.00
16/06/2021,17.85
15/06/2021,17.85
14/06/2021,18.00
11/06/2021,17.65
10/06/2021,16.50
09/06/2021,17.65
08/06/2021,17.65
07/06/2021,17.65
04/06/2021,17.65
03/06/2021,17.60
02/06/2021,17.90
01/06/2021,17.95
31/05/2021,18.00
28/05/2021,18.00
27/05/2021,17.60
26/05/2021,17.50
25/05/2021,17.50
24/05/2021,17.25
21/05/2021,17.50
20/05/2021,18.00
19/05/2021,18.00
18/05/2021,18.30
17/05/2021,17.70
14/05/2021,17.60
13/05/2021,17.30
12/05/2021,18.00
11/05/2021,18.60
10/05/2021,18.50
07/05/2021,18.80
06/05/2021,18.80
05/05/2021,19.00
04/05/2021,18.65
29/04/2021,18.65
28/04/2021,19.00
27/04/2021,19.00
26/04/2021,19.00
23/04/2021,19.00
22/04/2021,19.20
20/04/2021,18.30
19/04/2021,18.20
16/04/2021,18.00
15/04/2021,18.90
14/04/2021,18.90
13/04/2021,17.90
12/04/2021,18.10
09/04/2021,19.30
08/04/2021,19.00
07/04/2021,19.00
06/04/2021,18.05
05/04/2021,19.00
02/04/2021,18.10
01/04/2021,18.10
31/03/2021,19.00
30/03/2021,18.50
29/03/2021,18.00
26/03/2021,18.20
25/03/2021,17.90
24/03/2021,18.40
23/03/2021,19.70
22/03/2021,19.70
19/03/2021,19.80
18/03/2021,19.65
17/03/2021,19.65
16/03/2021,18.40
15/03/2021,19.00
12/03/2021,17.80
11/03/2021,18.05
10/03/2021,18.40
09/03/2021,18.10
08/03/2021,17.50
05/03/2021,17.90
04/03/2021,17.50
03/03/2021,17.95
02/03/2021,16.80
01/03/2021,17.00
26/02/2021,17.80
25/02/2021,17.80
24/02/2021,17.85
23/02/2021,17.85
22/02/2021,17.20
19/02/2021,17.85
18/02/2021,17.85
17/02/2021,17.90
09/02/2021,17.60
08/02/2021,17.60
05/02/2021,18.90
04/02/2021,18.90
03/02/2021,18.40
02/02/2021,17.80
01/02/2021,17.00
29/01/2021,16.95
28/01/2021,16.30
27/01/2021,17.50
26/01/2021,17.50
25/01/2021,18.50
22/01/2021,17.70
21/01/2021,19.00
20/01/2021,18.70
19/01/2021,18.80
18/01/2021,19.90
15/01/2021,19.00
14/01/2021,18.15
13/01/2021,17.00
12/01/2021,16.00
11/01/2021,16.00
08/01/2021,16.40
07/01/2021,16.40
06/01/2021,15.60
05/01/2021,16.40
04/01/2021,16.40
31/12/2020,15.60
30/12/2020,16.00
29/12/2020,16.00
28/12/2020,15.30
25/12/2020,16.20
24/12/2020,16.25
23/12/2020,16.25
22/12/2020,16.30
21/12/2020,17.00
18/12/2020,17.10
17/12/2020,16.00
16/12/2020,16.00
15/12/2020,16.30
14/12/2020,16.50
11/12/2020,16.55
10/12/2020,17.20
09/12/2020,17.20
08/12/2020,17.00
07/12/2020,16.55
04/12/2020,15.50
03/12/2020,15.00
02/12/2020,15.55
01/12/2020,16.00
30/11/2020,15.50
27/11/2020,15.20
26/11/2020,14.90
25/11/2020,15.00
24/11/2020,14.45
23/11/2020,14.45
20/11/2020,14.10
19/11/2020,14.40
18/11/2020,15.40
17/11/2020,15.00
16/11/2020,15.20
13/11/2020,15.30
12/11/2020,15.40
11/11/2020,15.90
10/11/2020,15.00
09/11/2020,15.20
06/11/2020,15.20
05/11/2020,16.30
04/11/2020,15.30
03/11/2020,14.30
02/11/2020,14.50
30/10/2020,15.45
29/10/2020,16.60
28/10/2020,17.80
27/10/2020,17.80
26/10/2020,19.30
23/10/2020,18.40
22/10/2020,18.40
21/10/2020,18.50
20/10/2020,18.95
19/10/2020,19.00
16/10/2020,18.85
15/10/2020,19.60
14/10/2020,19.25
13/10/2020,18.00
12/10/2020,17.05
09/10/2020,16.95
08/10/2020,15.85
07/10/2020,15.85
06/10/2020,17.00
05/10/2020,17.00
02/10/2020,15.90
01/10/2020,14.90
30/09/2020,14.70
29/09/2020,14.75
28/09/2020,14.50
25/09/2020,14.40
24/09/2020,14.30
23/09/2020,13.85
22/09/2020,13.85
21/09/2020,14.50
18/09/2020,14.50
17/09/2020,14.50
16/09/2020,14.45
15/09/2020,14.45
14/09/2020,14.45
11/09/2020,14.45
10/09/2020,14.50
09/09/2020,14.50
08/09/2020,14.40
07/09/2020,14.40
04/09/2020,14.40
03/09/2020,13.50
01/09/2020,14.20
31/08/2020,13.50
28/08/2020,14.50
27/08/2020,15.10
26/08/2020,15.05
25/08/2020,14.50
24/08/2020,14.55
21/08/2020,14.35
20/08/2020,13.80
19/08/2020,13.30
18/08/2020,13.30
17/08/2020,12.50
14/08/2020,12.50
13/08/2020,12.90
12/08/2020,12.90
11/08/2020,12.80
10/08/2020,12.80
07/08/2020,12.80
06/08/2020,12.80
05/08/2020,12.80
04/08/2020,13.65
03/08/2020,13.65
31/07/2020,13.65
30/07/2020,13.65
29/07/2020,13.65
28/07/2020,13.65
27/07/2020,13.75
24/07/2020,13.75
23/07/2020,13.75
22/07/2020,13.80
21/07/2020,13.80
20/07/2020,13.90
17/07/2020,14.00
16/07/2020,13.60
15/07/2020,13.60
14/07/2020,12.85
13/07/2020,12.85
10/07/2020,12.85
09/07/2020,12.85
08/07/2020,12.85
07/07/2020,12.85
06/07/2020,12.85
03/07/2020,12.85
02/07/2020,12.85
01/07/2020,12.85
30/06/2020,12.85
29/06/2020,12.90
26/06/2020,12.90
25/06/2020,12.10
24/06/2020,13.00
23/06/2020,13.80
22/06/2020,13.80
19/06/2020,13.80
18/06/2020,13.10
17/06/2020,13.10
16/06/2020,12.90
15/06/2020,12.90
12/06/2020,12.90
11/06/2020,12.90
10/06/2020,13.00
09/06/2020,12.95
08/06/2020,12.75
05/06/2020,12.60
04/06/2020,13.00
03/06/2020,13.00
02/06/2020,13.00
01/06/2020,13.00
29/05/2020,13.80
28/05/2020,13.80
27/05/2020,13.70
26/05/2020,13.75
25/05/2020,13.20
22/05/2020,13.20
21/05/2020,13.20
20/05/2020,13.15
19/05/2020,13.15
18/05/2020,13.90
15/05/2020,14.90
14/05/2020,13.95
13/05/2020,15.00
12/05/2020,14.60
11/05/2020,13.65
08/05/2020,12.80
07/05/2020,12.00
06/05/2020,12.90
05/05/2020,13.50
04/05/2020,13.50
29/04/2020,13.50
28/04/2020,13.65
27/04/2020,12.80
24/04/2020,12.80
23/04/2020,13.50
22/04/2020,13.50
21/04/2020,13.50
20/04/2020,13.70
17/04/2020,13.00
16/04/2020,13.00
15/04/2020,13.00
14/04/2020,12.35
13/04/2020,11.60
10/04/2020,12.25
09/04/2020,12.95
08/04/2020,12.95
07/04/2020,13.90
06/04/2020,13.90
03/04/2020,13.80
01/04/2020,13.80
31/03/2020,13.40
30/03/2020,12.65
27/03/2020,13.00
26/03/2020,12.70
25/03/2020,13.50
24/03/2020,13.40
23/03/2020,12.75
20/03/2020,12.40
19/03/2020,13.00
18/03/2020,13.85
17/03/2020,13.80
16/03/2020,13.45
13/03/2020,13.80
12/03/2020,13.05
11/03/2020,13.95
10/03/2020,13.15
09/03/2020,13.15
06/03/2020,14.10
05/03/2020,14.05
04/03/2020,14.95
03/03/2020,14.45
02/03/2020,15.50
28/02/2020,15.90
27/02/2020,15.90
26/02/2020,15.95
25/02/2020,15.00
24/02/2020,16.00
21/02/2020,16.00
20/02/2020,16.00
19/02/2020,16.00
18/02/2020,16.00
17/02/2020,16.00
14/02/2020,16.90
13/02/2020,16.30
12/02/2020,16.30
11/02/2020,16.35
10/02/2020,16.35
07/02/2020,15.30
06/02/2020,15.30
05/02/2020,15.50
04/02/2020,16.45
03/02/2020,16.45
31/01/2020,15.65
30/01/2020,16.80
22/01/2020,16.80
21/01/2020,16.80
20/01/2020,20.00
17/01/2020,20.00
16/01/2020,20.00
15/01/2020,20.00
14/01/2020,19.40
13/01/2020,18.20
10/01/2020,18.60
09/01/2020,18.00
08/01/2020,18.40
07/01/2020,17.40
06/01/2020,18.70
03/01/2020,18.80
02/01/2020,18.90
