Date,Closing Price
10/05/2022,13.30
09/05/2022,13.30
06/05/2022,13.85
05/05/2022,14.35
04/05/2022,15.40
29/04/2022,14.50
28/04/2022,13.60
27/04/2022,13.80
26/04/2022,13.90
25/04/2022,13.60
22/04/2022,13.60
21/04/2022,14.60
20/04/2022,14.80
19/04/2022,14.80
18/04/2022,15.40
15/04/2022,15.80
14/04/2022,15.50
13/04/2022,14.50
12/04/2022,15.00
08/04/2022,15.45
07/04/2022,15.50
06/04/2022,15.80
05/04/2022,16.40
04/04/2022,17.45
01/04/2022,16.75
31/03/2022,15.70
30/03/2022,14.70
29/03/2022,14.80
28/03/2022,14.80
25/03/2022,14.80
24/03/2022,14.80
23/03/2022,14.65
22/03/2022,14.80
21/03/2022,14.60
18/03/2022,14.90
17/03/2022,14.75
16/03/2022,14.60
15/03/2022,14.25
14/03/2022,14.40
11/03/2022,14.80
10/03/2022,14.30
09/03/2022,14.20
08/03/2022,14.40
07/03/2022,14.50
04/03/2022,14.40
03/03/2022,14.40
02/03/2022,14.15
01/03/2022,14.20
28/02/2022,14.30
25/02/2022,14.60
24/02/2022,14.25
23/02/2022,14.70
22/02/2022,14.70
21/02/2022,14.55
18/02/2022,14.40
17/02/2022,14.45
16/02/2022,14.40
15/02/2022,14.40
14/02/2022,14.45
11/02/2022,14.45
10/02/2022,14.40
09/02/2022,14.45
08/02/2022,14.40
07/02/2022,14.40
28/01/2022,14.00
27/01/2022,14.30
26/01/2022,14.20
25/01/2022,14.20
24/01/2022,14.10
21/01/2022,14.15
20/01/2022,14.15
19/01/2022,13.90
18/01/2022,14.10
17/01/2022,14.25
14/01/2022,14.60
13/01/2022,14.70
12/01/2022,14.75
11/01/2022,14.45
10/01/2022,14.60
07/01/2022,14.75
06/01/2022,14.70
05/01/2022,14.80
04/01/2022,14.85
31/12/2021,14.85
30/12/2021,14.80
29/12/2021,14.80
28/12/2021,14.80
27/12/2021,14.85
24/12/2021,14.70
23/12/2021,14.65
22/12/2021,14.65
21/12/2021,14.55
20/12/2021,14.50
17/12/2021,14.70
16/12/2021,14.75
15/12/2021,14.75
14/12/2021,14.90
13/12/2021,14.60
10/12/2021,14.50
09/12/2021,14.60
08/12/2021,14.60
