Date,Closing Price
10/05/2022,8.02
09/05/2022,7.91
06/05/2022,8.50
05/05/2022,8.70
04/05/2022,8.86
29/04/2022,8.67
28/04/2022,8.69
27/04/2022,8.69
26/04/2022,8.69
25/04/2022,8.64
22/04/2022,9.29
21/04/2022,9.24
20/04/2022,9.50
19/04/2022,9.90
18/04/2022,9.90
15/04/2022,10.15
14/04/2022,10.25
13/04/2022,10.45
12/04/2022,10.15
08/04/2022,10.55
07/04/2022,10.80
06/04/2022,10.90
05/04/2022,11.20
04/04/2022,11.00
01/04/2022,11.10
31/03/2022,11.10
30/03/2022,11.50
29/03/2022,11.45
28/03/2022,11.30
25/03/2022,11.15
24/03/2022,11.05
23/03/2022,11.10
22/03/2022,11.20
21/03/2022,11.10
18/03/2022,11.15
17/03/2022,11.10
16/03/2022,10.90
15/03/2022,10.95
14/03/2022,10.80
11/03/2022,11.20
10/03/2022,10.90
09/03/2022,10.85
08/03/2022,11.15
07/03/2022,11.40
04/03/2022,11.40
03/03/2022,10.80
02/03/2022,10.65
01/03/2022,10.75
28/02/2022,10.65
25/02/2022,10.80
24/02/2022,10.50
23/02/2022,10.95
22/02/2022,10.80
21/02/2022,10.90
18/02/2022,10.90
17/02/2022,10.95
16/02/2022,10.70
15/02/2022,10.50
14/02/2022,10.65
11/02/2022,10.95
10/02/2022,10.95
09/02/2022,11.05
08/02/2022,11.00
07/02/2022,10.90
28/01/2022,10.50
27/01/2022,10.20
26/01/2022,10.20
25/01/2022,10.15
24/01/2022,10.20
21/01/2022,10.80
20/01/2022,11.15
19/01/2022,10.70
18/01/2022,10.60
17/01/2022,10.95
14/01/2022,11.75
13/01/2022,11.65
12/01/2022,12.50
11/01/2022,12.85
10/01/2022,13.30
07/01/2022,13.30
06/01/2022,12.90
05/01/2022,12.80
04/01/2022,12.85
31/12/2021,12.80
30/12/2021,13.20
29/12/2021,13.50
28/12/2021,13.35
27/12/2021,13.00
24/12/2021,12.90
23/12/2021,13.15
22/12/2021,12.30
21/12/2021,12.20
20/12/2021,12.30
17/12/2021,12.70
16/12/2021,12.70
15/12/2021,12.60
14/12/2021,12.70
13/12/2021,12.55
10/12/2021,12.25
09/12/2021,12.50
08/12/2021,12.15
07/12/2021,12.25
06/12/2021,11.70
03/12/2021,12.50
02/12/2021,12.45
01/12/2021,12.25
30/11/2021,12.50
29/11/2021,12.75
26/11/2021,12.80
25/11/2021,12.65
24/11/2021,12.70
23/11/2021,13.05
22/11/2021,12.55
19/11/2021,13.45
18/11/2021,14.40
17/11/2021,14.45
16/11/2021,13.50
15/11/2021,12.70
12/11/2021,12.45
11/11/2021,12.45
10/11/2021,12.10
09/11/2021,11.35
08/11/2021,11.10
05/11/2021,11.30
04/11/2021,11.35
03/11/2021,11.05
02/11/2021,11.55
01/11/2021,11.05
29/10/2021,11.05
28/10/2021,11.25
27/10/2021,10.80
26/10/2021,10.65
25/10/2021,10.75
22/10/2021,10.80
21/10/2021,10.65
20/10/2021,10.55
19/10/2021,10.30
18/10/2021,10.30
15/10/2021,10.40
14/10/2021,10.20
13/10/2021,9.92
12/10/2021,9.96
11/10/2021,9.77
08/10/2021,9.81
07/10/2021,10.10
06/10/2021,10.15
05/10/2021,9.77
04/10/2021,9.70
01/10/2021,9.60
30/09/2021,9.72
29/09/2021,9.68
28/09/2021,9.75
27/09/2021,9.50
24/09/2021,10.00
23/09/2021,10.55
22/09/2021,10.85
21/09/2021,10.70
20/09/2021,11.05
17/09/2021,10.70
16/09/2021,10.50
15/09/2021,9.85
14/09/2021,9.95
13/09/2021,10.00
10/09/2021,9.82
09/09/2021,9.85
08/09/2021,9.75
07/09/2021,10.00
06/09/2021,9.80
01/09/2021,9.16
31/08/2021,9.29
30/08/2021,9.29
27/08/2021,8.81
26/08/2021,8.95
25/08/2021,8.79
24/08/2021,9.10
