Date,Closing Price
10/05/2022,16.20
09/05/2022,15.55
06/05/2022,16.40
05/05/2022,16.40
04/05/2022,16.25
29/04/2022,16.70
28/04/2022,16.75
27/04/2022,16.80
26/04/2022,16.50
25/04/2022,15.95
22/04/2022,17.10
21/04/2022,18.35
20/04/2022,19.70
19/04/2022,20.75
18/04/2022,21.60
15/04/2022,21.15
14/04/2022,21.15
13/04/2022,21.60
12/04/2022,20.90
08/04/2022,21.20
07/04/2022,22.05
06/04/2022,21.40
05/04/2022,21.15
04/04/2022,21.40
01/04/2022,20.95
31/03/2022,21.15
30/03/2022,21.20
29/03/2022,20.35
28/03/2022,20.15
25/03/2022,20.10
24/03/2022,19.95
23/03/2022,20.05
22/03/2022,20.00
21/03/2022,20.10
18/03/2022,20.30
17/03/2022,20.00
16/03/2022,20.00
15/03/2022,20.20
14/03/2022,20.00
11/03/2022,21.05
10/03/2022,21.10
09/03/2022,21.00
08/03/2022,21.40
07/03/2022,20.20
04/03/2022,20.00
03/03/2022,20.05
02/03/2022,20.00
01/03/2022,20.15
28/02/2022,20.15
25/02/2022,20.20
24/02/2022,20.15
23/02/2022,20.15
22/02/2022,20.00
21/02/2022,20.35
18/02/2022,20.05
17/02/2022,20.35
16/02/2022,20.50
15/02/2022,20.70
14/02/2022,19.45
11/02/2022,19.60
10/02/2022,19.55
09/02/2022,19.70
08/02/2022,19.65
07/02/2022,19.75
28/01/2022,19.35
27/01/2022,19.05
26/01/2022,19.15
25/01/2022,18.85
24/01/2022,18.80
21/01/2022,19.35
20/01/2022,19.30
19/01/2022,18.70
18/01/2022,18.70
17/01/2022,19.30
14/01/2022,19.50
13/01/2022,19.60
12/01/2022,19.80
11/01/2022,20.00
10/01/2022,20.10
07/01/2022,20.70
06/01/2022,20.90
05/01/2022,20.65
04/01/2022,20.15
31/12/2021,20.00
30/12/2021,20.20
29/12/2021,20.20
28/12/2021,20.20
27/12/2021,20.10
24/12/2021,20.00
23/12/2021,20.40
22/12/2021,20.60
21/12/2021,20.20
20/12/2021,20.00
17/12/2021,20.45
16/12/2021,20.65
15/12/2021,20.60
14/12/2021,20.80
13/12/2021,20.50
10/12/2021,20.00
09/12/2021,19.55
08/12/2021,19.50
07/12/2021,19.60
06/12/2021,19.00
03/12/2021,20.00
02/12/2021,20.25
01/12/2021,20.40
30/11/2021,20.30
29/11/2021,20.40
26/11/2021,20.80
25/11/2021,21.40
24/11/2021,21.30
23/11/2021,21.10
22/11/2021,20.40
19/11/2021,21.90
18/11/2021,22.55
17/11/2021,22.85
16/11/2021,23.40
15/11/2021,23.05
12/11/2021,23.30
11/11/2021,23.80
10/11/2021,23.95
09/11/2021,24.20
08/11/2021,23.90
05/11/2021,23.90
04/11/2021,24.40
03/11/2021,23.60
02/11/2021,24.60
01/11/2021,23.00
29/10/2021,22.40
28/10/2021,22.50
27/10/2021,22.90
26/10/2021,23.00
25/10/2021,22.00
22/10/2021,22.30
21/10/2021,22.50
20/10/2021,22.55
19/10/2021,22.05
18/10/2021,22.40
15/10/2021,23.00
14/10/2021,23.30
13/10/2021,22.75
12/10/2021,22.45
11/10/2021,23.25
08/10/2021,23.30
07/10/2021,23.55
06/10/2021,23.40
05/10/2021,22.00
04/10/2021,22.20
01/10/2021,22.70
30/09/2021,22.60
29/09/2021,22.60
28/09/2021,21.15
27/09/2021,21.50
24/09/2021,23.00
23/09/2021,23.60
22/09/2021,23.60
21/09/2021,24.20
20/09/2021,24.95
17/09/2021,24.25
16/09/2021,22.70
15/09/2021,23.00
14/09/2021,23.60
13/09/2021,22.10
10/09/2021,20.70
09/09/2021,19.35
08/09/2021,19.20
