Date,Closing Price
10/05/2022,18.50
09/05/2022,19.10
06/05/2022,20.50
05/05/2022,21.50
04/05/2022,21.60
29/04/2022,21.60
28/04/2022,21.10
27/04/2022,21.05
26/04/2022,20.60
25/04/2022,20.40
22/04/2022,21.90
21/04/2022,21.75
20/04/2022,22.35
19/04/2022,24.00
18/04/2022,24.90
15/04/2022,26.75
14/04/2022,27.10
13/04/2022,27.40
12/04/2022,26.45
08/04/2022,27.20
07/04/2022,28.50
06/04/2022,28.70
05/04/2022,28.95
04/04/2022,29.05
01/04/2022,28.85
31/03/2022,28.60
30/03/2022,28.80
29/03/2022,29.65
28/03/2022,29.60
25/03/2022,29.70
24/03/2022,30.10
23/03/2022,29.00
22/03/2022,29.15
21/03/2022,29.20
18/03/2022,28.70
17/03/2022,28.55
16/03/2022,28.50
15/03/2022,28.55
14/03/2022,28.00
11/03/2022,29.00
10/03/2022,29.00
09/03/2022,29.00
08/03/2022,29.10
07/03/2022,30.00
04/03/2022,30.00
03/03/2022,28.90
02/03/2022,28.75
01/03/2022,28.95
28/02/2022,28.65
25/02/2022,28.80
24/02/2022,28.65
23/02/2022,29.00
22/02/2022,28.85
21/02/2022,29.80
18/02/2022,29.45
17/02/2022,29.50
16/02/2022,29.80
15/02/2022,29.15
14/02/2022,29.10
11/02/2022,28.95
10/02/2022,28.65
09/02/2022,29.20
08/02/2022,28.80
07/02/2022,28.50
28/01/2022,27.50
27/01/2022,27.05
26/01/2022,27.70
25/01/2022,27.85
24/01/2022,26.90
21/01/2022,28.90
20/01/2022,29.65
19/01/2022,28.20
18/01/2022,27.05
17/01/2022,28.30
14/01/2022,30.40
13/01/2022,31.30
12/01/2022,32.00
11/01/2022,33.75
10/01/2022,33.50
07/01/2022,32.80
06/01/2022,33.25
05/01/2022,32.85
04/01/2022,32.10
31/12/2021,31.30
30/12/2021,31.15
29/12/2021,30.50
28/12/2021,31.75
27/12/2021,32.05
24/12/2021,32.40
23/12/2021,32.85
22/12/2021,33.40
21/12/2021,31.80
20/12/2021,31.35
17/12/2021,32.65
16/12/2021,33.00
15/12/2021,31.85
14/12/2021,32.40
13/12/2021,32.70
10/12/2021,30.70
09/12/2021,30.75
08/12/2021,30.40
07/12/2021,30.00
06/12/2021,29.40
03/12/2021,29.50
02/12/2021,31.00
01/12/2021,31.65
30/11/2021,31.35
29/11/2021,30.20
26/11/2021,29.90
25/11/2021,30.50
24/11/2021,30.30
23/11/2021,30.60
22/11/2021,29.15
19/11/2021,31.30
18/11/2021,33.65
17/11/2021,33.75
16/11/2021,33.25
15/11/2021,35.00
12/11/2021,36.00
11/11/2021,36.50
10/11/2021,35.60
09/11/2021,34.90
08/11/2021,35.35
05/11/2021,34.40
04/11/2021,34.00
03/11/2021,32.80
02/11/2021,35.20
01/11/2021,32.90
29/10/2021,33.40
28/10/2021,33.90
27/10/2021,33.65
26/10/2021,32.80
25/10/2021,33.00
22/10/2021,31.95
21/10/2021,31.10
20/10/2021,31.30
19/10/2021,30.55
18/10/2021,30.40
15/10/2021,30.80
14/10/2021,30.40
13/10/2021,30.45
12/10/2021,29.70
11/10/2021,28.70
08/10/2021,28.60
07/10/2021,29.40
06/10/2021,28.80
05/10/2021,28.20
04/10/2021,27.75
01/10/2021,27.50
30/09/2021,27.85
29/09/2021,27.80
28/09/2021,27.85
27/09/2021,27.50
24/09/2021,28.90
23/09/2021,29.65
22/09/2021,28.80
21/09/2021,28.50
20/09/2021,28.30
17/09/2021,29.10
16/09/2021,28.05
15/09/2021,27.70
14/09/2021,27.55
13/09/2021,28.25
10/09/2021,28.35
09/09/2021,28.85
08/09/2021,27.70
07/09/2021,27.80
06/09/2021,29.05
01/09/2021,28.55
31/08/2021,28.30
30/08/2021,27.35
27/08/2021,27.20
26/08/2021,25.95
25/08/2021,26.30
24/08/2021,25.15
23/08/2021,25.95
20/08/2021,27.90
19/08/2021,29.65
18/08/2021,28.50
17/08/2021,28.30
16/08/2021,29.00
13/08/2021,27.75
12/08/2021,27.40
11/08/2021,26.55
10/08/2021,27.40
09/08/2021,27.50
06/08/2021,26.50
05/08/2021,26.10
04/08/2021,25.75
03/08/2021,25.00
02/08/2021,24.90
30/07/2021,25.20
29/07/2021,24.50
28/07/2021,24.60
27/07/2021,24.70
26/07/2021,24.80
23/07/2021,23.95
22/07/2021,23.95
21/07/2021,22.40
20/07/2021,22.80
19/07/2021,22.20
16/07/2021,23.85
15/07/2021,23.50
14/07/2021,22.00
13/07/2021,25.00
12/07/2021,24.90
09/07/2021,26.75
08/07/2021,28.70
07/07/2021,28.50
06/07/2021,28.50
05/07/2021,31.10
02/07/2021,32.65
01/07/2021,32.75
30/06/2021,33.20
29/06/2021,34.95
28/06/2021,34.90
25/06/2021,32.65
24/06/2021,32.05
23/06/2021,34.35
22/06/2021,33.70
21/06/2021,34.65
18/06/2021,33.95
17/06/2021,31.90
16/06/2021,32.50
15/06/2021,33.00
14/06/2021,32.30
11/06/2021,32.20
10/06/2021,31.00
09/06/2021,31.45
08/06/2021,31.15
07/06/2021,32.95
04/06/2021,34.30
03/06/2021,32.80
02/06/2021,30.70
01/06/2021,30.95
31/05/2021,30.70
28/05/2021,30.45
27/05/2021,29.20
26/05/2021,28.65
25/05/2021,28.35
24/05/2021,28.35
21/05/2021,26.50
20/05/2021,26.10
19/05/2021,27.00
18/05/2021,27.40
17/05/2021,27.20
14/05/2021,26.50
13/05/2021,26.95
12/05/2021,26.40
11/05/2021,25.70
10/05/2021,26.20
07/05/2021,26.80
06/05/2021,27.40
05/05/2021,26.25
04/05/2021,25.65
29/04/2021,26.35
28/04/2021,26.30
27/04/2021,25.70
26/04/2021,25.70
23/04/2021,26.40
22/04/2021,25.50
20/04/2021,26.25
19/04/2021,26.10
16/04/2021,26.20
15/04/2021,26.75
14/04/2021,27.65
13/04/2021,27.60
12/04/2021,28.70
09/04/2021,29.20
08/04/2021,29.10
07/04/2021,29.10
06/04/2021,28.00
05/04/2021,27.55
02/04/2021,28.15
01/04/2021,27.95
31/03/2021,27.45
30/03/2021,26.30
29/03/2021,27.00
26/03/2021,27.85
25/03/2021,28.95
24/03/2021,28.90
23/03/2021,31.05
22/03/2021,32.85
19/03/2021,32.75
18/03/2021,32.00
17/03/2021,30.75
16/03/2021,30.00
15/03/2021,30.40
12/03/2021,30.95
11/03/2021,31.25
10/03/2021,31.00
09/03/2021,29.80
08/03/2021,29.55
05/03/2021,29.25
04/03/2021,30.40
03/03/2021,31.55
02/03/2021,31.35
01/03/2021,32.10
26/02/2021,31.40
25/02/2021,29.35
24/02/2021,29.50
23/02/2021,29.80
22/02/2021,28.05
19/02/2021,27.20
18/02/2021,25.60
17/02/2021,25.45
09/02/2021,24.15
05/02/2021,24.55
04/02/2021,24.50
03/02/2021,23.50
02/02/2021,22.00
01/02/2021,21.45
29/01/2021,23.05
28/01/2021,23.05
27/01/2021,24.75
26/01/2021,26.60
25/01/2021,26.80
22/01/2021,25.05
21/01/2021,24.90
20/01/2021,24.30
19/01/2021,25.95
18/01/2021,27.90
15/01/2021,27.50
14/01/2021,26.40
13/01/2021,26.75
12/01/2021,26.80
11/01/2021,26.95
08/01/2021,26.95
07/01/2021,25.20
06/01/2021,25.20
05/01/2021,25.50
04/01/2021,25.55
31/12/2020,24.50
30/12/2020,24.10
29/12/2020,24.30
28/12/2020,23.10
25/12/2020,23.60
24/12/2020,23.50
23/12/2020,23.85
22/12/2020,22.30
21/12/2020,20.85
18/12/2020,19.50
17/12/2020,18.55
16/12/2020,17.35
15/12/2020,16.25
14/12/2020,15.20
11/12/2020,14.25
10/12/2020,14.10
09/12/2020,14.45
08/12/2020,14.60
07/12/2020,14.60
04/12/2020,14.40
03/12/2020,14.45
02/12/2020,14.00
01/12/2020,14.00
30/11/2020,13.75
27/11/2020,13.55
26/11/2020,13.45
24/11/2020,13.60
23/11/2020,13.00
20/11/2020,13.20
19/11/2020,13.25
18/11/2020,13.80
17/11/2020,13.80
16/11/2020,13.25
13/11/2020,13.40
12/11/2020,13.10
11/11/2020,13.00
10/11/2020,12.95
09/11/2020,13.20
06/11/2020,12.55
05/11/2020,12.60
04/11/2020,12.20
03/11/2020,12.15
02/11/2020,12.20
30/10/2020,11.90
29/10/2020,11.65
28/10/2020,11.50
27/10/2020,12.25
26/10/2020,12.30
23/10/2020,12.50
22/10/2020,12.40
21/10/2020,12.30
20/10/2020,12.50
19/10/2020,12.80
16/10/2020,12.55
15/10/2020,12.30
14/10/2020,12.25
13/10/2020,12.60
12/10/2020,12.70
09/10/2020,13.25
08/10/2020,13.20
07/10/2020,13.15
06/10/2020,13.40
05/10/2020,13.45
02/10/2020,13.30
01/10/2020,12.60
30/09/2020,12.20
29/09/2020,12.20
28/09/2020,12.30
25/09/2020,12.10
24/09/2020,12.00
23/09/2020,12.30
22/09/2020,12.40
21/09/2020,12.30
18/09/2020,12.30
17/09/2020,12.40
16/09/2020,12.30
15/09/2020,11.50
14/09/2020,11.50
11/09/2020,11.55
10/09/2020,11.60
09/09/2020,11.55
08/09/2020,11.35
07/09/2020,11.35
04/09/2020,11.60
03/09/2020,11.35
01/09/2020,11.60
31/08/2020,11.65
28/08/2020,11.95
27/08/2020,11.85
26/08/2020,11.70
25/08/2020,11.50
24/08/2020,11.55
21/08/2020,11.40
20/08/2020,11.40
19/08/2020,11.10
18/08/2020,11.05
17/08/2020,11.20
14/08/2020,11.15
13/08/2020,11.45
12/08/2020,11.30
11/08/2020,11.35
10/08/2020,11.15
07/08/2020,10.60
06/08/2020,10.70
05/08/2020,11.15
04/08/2020,10.85
03/08/2020,10.55
31/07/2020,10.25
30/07/2020,10.20
29/07/2020,9.90
28/07/2020,10.45
27/07/2020,10.15
24/07/2020,10.90
23/07/2020,11.20
22/07/2020,11.45
21/07/2020,11.45
20/07/2020,11.55
17/07/2020,11.50
16/07/2020,11.55
15/07/2020,11.80
14/07/2020,11.75
13/07/2020,11.55
10/07/2020,11.40
09/07/2020,11.55
08/07/2020,11.45
07/07/2020,11.45
06/07/2020,11.30
03/07/2020,11.15
02/07/2020,11.10
01/07/2020,11.10
30/06/2020,10.90
29/06/2020,10.90
26/06/2020,11.50
25/06/2020,11.70
24/06/2020,11.70
23/06/2020,11.95
22/06/2020,12.15
19/06/2020,12.20
18/06/2020,12.10
17/06/2020,12.10
16/06/2020,11.75
15/06/2020,11.75
12/06/2020,12.50
11/06/2020,12.60
10/06/2020,13.20
09/06/2020,12.90
08/06/2020,13.00
05/06/2020,13.10
04/06/2020,12.30
03/06/2020,12.05
02/06/2020,12.00
01/06/2020,12.10
29/05/2020,12.00
28/05/2020,12.30
27/05/2020,12.30
26/05/2020,12.60
25/05/2020,12.50
22/05/2020,12.00
21/05/2020,12.00
20/05/2020,12.00
19/05/2020,12.20
18/05/2020,12.10
15/05/2020,12.30
14/05/2020,12.50
13/05/2020,12.50
12/05/2020,11.70
11/05/2020,11.75
08/05/2020,11.60
07/05/2020,11.55
06/05/2020,11.75
05/05/2020,11.40
04/05/2020,10.95
29/04/2020,11.30
28/04/2020,11.45
27/04/2020,11.05
24/04/2020,10.35
23/04/2020,10.25
22/04/2020,10.20
21/04/2020,10.00
20/04/2020,10.65
17/04/2020,10.45
16/04/2020,9.79
15/04/2020,9.78
14/04/2020,9.18
13/04/2020,9.29
10/04/2020,9.20
09/04/2020,9.30
08/04/2020,9.17
07/04/2020,9.12
06/04/2020,9.12
03/04/2020,8.53
01/04/2020,8.20
31/03/2020,8.03
30/03/2020,8.19
27/03/2020,8.80
26/03/2020,9.10
25/03/2020,9.35
24/03/2020,9.03
23/03/2020,9.03
20/03/2020,9.70
19/03/2020,9.77
18/03/2020,10.00
17/03/2020,10.00
16/03/2020,9.90
13/03/2020,9.95
12/03/2020,10.65
11/03/2020,11.40
10/03/2020,12.25
09/03/2020,12.30
06/03/2020,13.20
05/03/2020,13.25
04/03/2020,13.20
03/03/2020,13.25
02/03/2020,13.05
28/02/2020,13.00
27/02/2020,13.30
26/02/2020,13.05
25/02/2020,13.30
24/02/2020,13.30
21/02/2020,14.00
20/02/2020,14.30
19/02/2020,13.75
18/02/2020,13.75
17/02/2020,13.75
14/02/2020,13.75
13/02/2020,13.85
12/02/2020,13.85
11/02/2020,13.50
10/02/2020,13.40
07/02/2020,13.50
06/02/2020,13.60
05/02/2020,13.30
04/02/2020,13.30
03/02/2020,13.50
31/01/2020,13.70
30/01/2020,14.00
22/01/2020,14.25
21/01/2020,14.15
20/01/2020,14.10
17/01/2020,14.95
16/01/2020,15.30
15/01/2020,15.30
14/01/2020,15.10
13/01/2020,15.10
10/01/2020,15.00
09/01/2020,14.85
08/01/2020,14.80
07/01/2020,15.90
06/01/2020,15.95
03/01/2020,16.10
02/01/2020,16.50
