Date,Closing Price
10/05/2022,67.00
09/05/2022,68.60
06/05/2022,71.60
05/05/2022,70.50
04/05/2022,72.00
29/04/2022,73.90
28/04/2022,74.00
27/04/2022,74.50
26/04/2022,74.60
25/04/2022,74.80
22/04/2022,74.90
21/04/2022,73.20
20/04/2022,73.50
19/04/2022,73.50
18/04/2022,74.00
15/04/2022,74.30
14/04/2022,74.40
13/04/2022,74.50
12/04/2022,74.00
08/04/2022,74.80
07/04/2022,75.00
06/04/2022,76.60
05/04/2022,75.50
04/04/2022,75.70
01/04/2022,75.10
31/03/2022,75.00
30/03/2022,75.00
29/03/2022,74.90
28/03/2022,74.60
25/03/2022,74.60
24/03/2022,74.90
23/03/2022,74.30
22/03/2022,74.90
21/03/2022,75.00
18/03/2022,74.90
17/03/2022,74.90
16/03/2022,75.00
15/03/2022,75.00
14/03/2022,75.00
11/03/2022,76.00
10/03/2022,77.50
09/03/2022,77.30
08/03/2022,78.30
07/03/2022,78.30
04/03/2022,78.50
03/03/2022,78.80
02/03/2022,78.80
01/03/2022,81.50
28/02/2022,78.50
25/02/2022,79.80
24/02/2022,79.50
23/02/2022,79.90
22/02/2022,79.50
21/02/2022,79.40
18/02/2022,82.00
17/02/2022,80.40
16/02/2022,82.00
15/02/2022,83.90
14/02/2022,79.10
11/02/2022,80.40
10/02/2022,86.40
09/02/2022,81.90
08/02/2022,78.60
07/02/2022,79.80
28/01/2022,77.00
27/01/2022,77.40
26/01/2022,76.70
25/01/2022,77.00
24/01/2022,76.50
21/01/2022,77.00
20/01/2022,76.60
19/01/2022,77.50
18/01/2022,77.00
17/01/2022,76.30
14/01/2022,76.60
13/01/2022,76.30
12/01/2022,76.00
11/01/2022,76.90
10/01/2022,76.20
07/01/2022,76.10
06/01/2022,76.30
05/01/2022,76.30
04/01/2022,76.10
31/12/2021,77.80
30/12/2021,77.00
29/12/2021,76.10
28/12/2021,76.00
27/12/2021,76.20
24/12/2021,76.10
23/12/2021,77.50
22/12/2021,77.00
21/12/2021,75.70
20/12/2021,75.20
17/12/2021,77.70
16/12/2021,77.60
15/12/2021,77.60
14/12/2021,77.50
13/12/2021,77.50
10/12/2021,76.50
09/12/2021,76.20
08/12/2021,77.00
07/12/2021,77.00
06/12/2021,76.10
03/12/2021,75.10
02/12/2021,74.10
01/12/2021,72.60
30/11/2021,73.10
29/11/2021,73.00
26/11/2021,72.50
25/11/2021,74.20
24/11/2021,74.00
23/11/2021,72.60
22/11/2021,74.00
19/11/2021,74.90
18/11/2021,74.90
17/11/2021,75.00
16/11/2021,75.00
15/11/2021,73.80
12/11/2021,74.00
11/11/2021,75.30
10/11/2021,75.30
09/11/2021,75.30
08/11/2021,75.30
05/11/2021,75.40
04/11/2021,75.00
03/11/2021,75.00
02/11/2021,75.90
01/11/2021,74.00
29/10/2021,73.80
28/10/2021,73.20
27/10/2021,73.50
26/10/2021,73.30
25/10/2021,73.30
22/10/2021,73.90
21/10/2021,74.60
20/10/2021,74.60
19/10/2021,75.00
18/10/2021,74.90
15/10/2021,73.20
14/10/2021,72.60
13/10/2021,74.00
12/10/2021,74.00
11/10/2021,74.00
08/10/2021,74.00
07/10/2021,73.50
06/10/2021,73.50
05/10/2021,72.60
04/10/2021,73.00
01/10/2021,73.00
30/09/2021,73.00
29/09/2021,72.90
28/09/2021,73.00
27/09/2021,73.00
24/09/2021,72.40
23/09/2021,72.30
22/09/2021,72.30
21/09/2021,72.10
20/09/2021,72.00
17/09/2021,72.20
16/09/2021,71.60
15/09/2021,70.80
14/09/2021,70.20
13/09/2021,70.50
10/09/2021,70.70
09/09/2021,71.50
08/09/2021,70.60
07/09/2021,70.80
06/09/2021,70.20
01/09/2021,72.60
31/08/2021,74.10
30/08/2021,77.00
27/08/2021,73.30
26/08/2021,68.60
25/08/2021,68.20
24/08/2021,68.10
23/08/2021,69.10
20/08/2021,69.10
19/08/2021,70.60
18/08/2021,70.60
17/08/2021,69.50
16/08/2021,69.20
13/08/2021,68.70
12/08/2021,69.70
11/08/2021,70.50
10/08/2021,70.50
09/08/2021,71.40
06/08/2021,70.90
05/08/2021,71.10
04/08/2021,71.70
03/08/2021,71.10
02/08/2021,71.00
30/07/2021,72.50
29/07/2021,72.00
28/07/2021,72.00
27/07/2021,72.00
26/07/2021,72.40
23/07/2021,71.10
22/07/2021,71.60
21/07/2021,72.90
20/07/2021,72.90
19/07/2021,73.50
16/07/2021,72.40
15/07/2021,73.00
14/07/2021,73.00
13/07/2021,70.40
12/07/2021,70.20
09/07/2021,74.80
08/07/2021,74.80
07/07/2021,74.80
06/07/2021,75.00
05/07/2021,72.50
02/07/2021,76.50
01/07/2021,79.50
30/06/2021,79.80
29/06/2021,79.40
28/06/2021,79.50
25/06/2021,80.50
24/06/2021,80.50
23/06/2021,79.00
22/06/2021,80.00
21/06/2021,80.00
18/06/2021,80.20
17/06/2021,81.20
16/06/2021,80.00
15/06/2021,76.80
14/06/2021,76.00
11/06/2021,76.00
10/06/2021,73.50
09/06/2021,76.00
08/06/2021,75.50
07/06/2021,75.50
04/06/2021,75.50
03/06/2021,73.50
02/06/2021,73.30
01/06/2021,72.70
31/05/2021,72.70
28/05/2021,72.70
