Date,Closing Price
10/05/2022,12.40
09/05/2022,12.25
06/05/2022,13.15
05/05/2022,13.80
04/05/2022,13.80
29/04/2022,14.45
28/04/2022,14.50
27/04/2022,14.60
26/04/2022,14.45
25/04/2022,14.25
22/04/2022,15.30
21/04/2022,15.30
20/04/2022,16.15
19/04/2022,16.20
18/04/2022,16.30
15/04/2022,17.50
14/04/2022,17.60
13/04/2022,17.60
12/04/2022,17.10
08/04/2022,18.00
07/04/2022,18.15
06/04/2022,18.55
05/04/2022,18.50
04/04/2022,18.95
01/04/2022,18.55
31/03/2022,18.20
30/03/2022,18.80
29/03/2022,19.60
28/03/2022,19.00
25/03/2022,19.75
24/03/2022,19.60
23/03/2022,19.35
22/03/2022,19.80
21/03/2022,19.80
18/03/2022,18.90
17/03/2022,18.20
16/03/2022,18.00
15/03/2022,18.00
14/03/2022,17.40
11/03/2022,18.10
10/03/2022,18.50
09/03/2022,18.20
08/03/2022,18.50
07/03/2022,19.10
04/03/2022,18.25
03/03/2022,17.85
02/03/2022,17.85
01/03/2022,18.10
28/02/2022,17.60
25/02/2022,17.90
24/02/2022,17.80
23/02/2022,18.45
22/02/2022,18.30
21/02/2022,18.65
18/02/2022,18.55
17/02/2022,18.05
16/02/2022,18.20
15/02/2022,17.20
14/02/2022,17.15
11/02/2022,17.65
10/02/2022,17.85
09/02/2022,17.60
08/02/2022,16.90
07/02/2022,17.00
28/01/2022,15.90
27/01/2022,15.40
26/01/2022,16.50
25/01/2022,17.40
24/01/2022,17.40
21/01/2022,18.70
20/01/2022,18.20
19/01/2022,17.10
18/01/2022,18.20
17/01/2022,19.55
14/01/2022,21.00
13/01/2022,21.40
12/01/2022,23.00
11/01/2022,24.70
10/01/2022,25.10
07/01/2022,25.00
06/01/2022,24.85
05/01/2022,25.35
04/01/2022,25.00
31/12/2021,23.40
30/12/2021,24.20
29/12/2021,25.20
28/12/2021,26.30
27/12/2021,26.80
24/12/2021,26.70
23/12/2021,25.65
22/12/2021,25.45
21/12/2021,23.80
20/12/2021,23.30
17/12/2021,23.60
16/12/2021,23.60
15/12/2021,22.80
14/12/2021,22.90
13/12/2021,23.70
10/12/2021,22.95
09/12/2021,22.85
08/12/2021,22.00
07/12/2021,22.20
06/12/2021,21.70
03/12/2021,23.30
02/12/2021,24.70
01/12/2021,24.90
30/11/2021,24.15
29/11/2021,22.60
26/11/2021,22.40
25/11/2021,23.20
24/11/2021,22.30
23/11/2021,22.60
22/11/2021,21.20
19/11/2021,25.00
18/11/2021,25.45
17/11/2021,23.80
16/11/2021,23.60
15/11/2021,23.80
12/11/2021,23.85
11/11/2021,24.50
10/11/2021,24.15
09/11/2021,23.00
08/11/2021,22.50
05/11/2021,21.95
04/11/2021,22.10
03/11/2021,23.25
02/11/2021,25.00
01/11/2021,24.70
29/10/2021,24.60
28/10/2021,23.25
27/10/2021,22.75
26/10/2021,22.70
25/10/2021,22.65
22/10/2021,21.20
21/10/2021,20.70
20/10/2021,19.35
19/10/2021,18.10
18/10/2021,17.70
15/10/2021,17.95
14/10/2021,18.55
13/10/2021,17.40
12/10/2021,16.60
11/10/2021,16.45
08/10/2021,16.10
07/10/2021,16.25
06/10/2021,15.85
05/10/2021,15.50
04/10/2021,15.20
01/10/2021,15.30
30/09/2021,15.35
29/09/2021,15.00
28/09/2021,15.30
27/09/2021,15.50
24/09/2021,16.30
23/09/2021,16.90
22/09/2021,16.00
21/09/2021,15.70
20/09/2021,16.00
17/09/2021,15.30
16/09/2021,14.70
15/09/2021,14.50
14/09/2021,14.45
