Date,Closing Price
10/05/2022,50.00
09/05/2022,50.70
06/05/2022,51.30
05/05/2022,51.60
04/05/2022,51.90
29/04/2022,51.90
28/04/2022,52.00
27/04/2022,52.00
26/04/2022,51.50
25/04/2022,51.30
22/04/2022,51.90
21/04/2022,52.00
20/04/2022,52.50
19/04/2022,52.50
18/04/2022,53.00
15/04/2022,53.50
14/04/2022,52.90
13/04/2022,53.00
12/04/2022,53.50
08/04/2022,53.50
07/04/2022,53.90
06/04/2022,54.10
05/04/2022,54.20
04/04/2022,54.40
01/04/2022,53.80
31/03/2022,53.80
30/03/2022,53.70
29/03/2022,53.80
28/03/2022,53.70
25/03/2022,53.90
24/03/2022,54.00
23/03/2022,53.90
22/03/2022,54.20
21/03/2022,54.50
18/03/2022,52.50
17/03/2022,54.00
16/03/2022,54.20
15/03/2022,54.30
14/03/2022,54.40
11/03/2022,54.40
10/03/2022,54.50
09/03/2022,55.00
08/03/2022,53.80
07/03/2022,53.80
04/03/2022,54.00
03/03/2022,54.00
02/03/2022,53.90
01/03/2022,54.00
28/02/2022,54.00
25/02/2022,54.40
24/02/2022,54.80
23/02/2022,55.00
22/02/2022,54.40
21/02/2022,54.70
18/02/2022,54.70
17/02/2022,54.80
16/02/2022,54.70
15/02/2022,54.70
14/02/2022,54.70
11/02/2022,55.00
10/02/2022,54.00
09/02/2022,54.00
08/02/2022,54.00
07/02/2022,54.10
28/01/2022,54.00
27/01/2022,54.00
26/01/2022,53.80
25/01/2022,53.80
24/01/2022,53.60
21/01/2022,54.00
20/01/2022,53.70
19/01/2022,52.80
18/01/2022,53.10
17/01/2022,53.30
14/01/2022,53.40
13/01/2022,53.20
12/01/2022,53.20
11/01/2022,53.50
10/01/2022,53.80
07/01/2022,53.80
06/01/2022,53.70
05/01/2022,53.90
04/01/2022,54.00
31/12/2021,54.00
30/12/2021,54.00
29/12/2021,54.50
28/12/2021,54.50
27/12/2021,54.60
24/12/2021,54.80
23/12/2021,54.80
22/12/2021,55.00
21/12/2021,55.30
20/12/2021,55.50
17/12/2021,55.50
16/12/2021,55.90
15/12/2021,56.00
14/12/2021,56.10
13/12/2021,56.00
10/12/2021,55.50
09/12/2021,56.60
08/12/2021,56.50
07/12/2021,56.20
06/12/2021,56.30
03/12/2021,56.20
02/12/2021,56.90
01/12/2021,57.50
30/11/2021,58.20
29/11/2021,62.00
26/11/2021,62.00
25/11/2021,61.00
24/11/2021,60.00
23/11/2021,59.90
22/11/2021,59.60
19/11/2021,59.00
18/11/2021,58.00
17/11/2021,58.50
16/11/2021,58.80
15/11/2021,58.80
12/11/2021,59.00
11/11/2021,58.70
10/11/2021,59.00
09/11/2021,59.10
08/11/2021,59.50
05/11/2021,59.70
04/11/2021,59.10
03/11/2021,59.80
02/11/2021,59.70
01/11/2021,60.00
29/10/2021,57.90
28/10/2021,57.90
27/10/2021,57.80
26/10/2021,57.60
25/10/2021,57.50
22/10/2021,57.50
21/10/2021,57.90
20/10/2021,58.00
19/10/2021,57.70
18/10/2021,57.70
15/10/2021,58.00
14/10/2021,58.00
13/10/2021,58.00
12/10/2021,58.00
11/10/2021,57.70
08/10/2021,57.90
07/10/2021,57.60
06/10/2021,57.50
05/10/2021,57.50
04/10/2021,58.00
01/10/2021,58.00
30/09/2021,58.30
29/09/2021,58.30
28/09/2021,58.30
27/09/2021,58.30
24/09/2021,58.70
23/09/2021,58.20
22/09/2021,59.00
21/09/2021,59.40
20/09/2021,59.50
17/09/2021,59.50
16/09/2021,59.50
15/09/2021,59.60
14/09/2021,59.50
13/09/2021,59.80
10/09/2021,59.70
09/09/2021,59.50
08/09/2021,59.70
07/09/2021,59.70
06/09/2021,60.00
01/09/2021,59.90
31/08/2021,60.00
30/08/2021,59.90
27/08/2021,59.90
26/08/2021,60.10
25/08/2021,59.70
24/08/2021,59.30
23/08/2021,59.50
20/08/2021,60.30
19/08/2021,60.40
18/08/2021,60.50
17/08/2021,60.50
16/08/2021,61.00
13/08/2021,61.30
12/08/2021,61.50
11/08/2021,60.80
10/08/2021,61.10
09/08/2021,61.50
06/08/2021,61.90
05/08/2021,61.80
04/08/2021,61.90
03/08/2021,62.00
02/08/2021,62.20
30/07/2021,62.40
29/07/2021,62.30
28/07/2021,62.00
27/07/2021,60.90
26/07/2021,61.20
23/07/2021,61.00
22/07/2021,61.00
21/07/2021,61.00
20/07/2021,61.00
19/07/2021,61.00
16/07/2021,61.00
15/07/2021,61.00
14/07/2021,60.80
13/07/2021,60.90
12/07/2021,61.00
09/07/2021,61.00
08/07/2021,61.50
07/07/2021,61.20
06/07/2021,61.00
05/07/2021,61.60
02/07/2021,61.80
01/07/2021,62.00
30/06/2021,61.80
29/06/2021,61.60
28/06/2021,61.50
25/06/2021,60.50
24/06/2021,60.50
23/06/2021,60.40
22/06/2021,60.20
21/06/2021,59.90
18/06/2021,60.00
17/06/2021,59.90
16/06/2021,59.90
15/06/2021,59.90
14/06/2021,58.90
11/06/2021,58.20
10/06/2021,58.10
09/06/2021,58.30
08/06/2021,58.30
07/06/2021,58.60
04/06/2021,58.50
03/06/2021,57.50
02/06/2021,57.00
01/06/2021,55.30
31/05/2021,56.50
28/05/2021,56.60
27/05/2021,56.80
26/05/2021,57.00
25/05/2021,56.80
24/05/2021,54.70
21/05/2021,51.20
20/05/2021,51.10
19/05/2021,51.00
18/05/2021,51.00
17/05/2021,51.00
14/05/2021,51.10
13/05/2021,51.20
12/05/2021,51.20
11/05/2021,51.10
10/05/2021,51.10
07/05/2021,51.00
06/05/2021,51.20
05/05/2021,51.20
04/05/2021,51.10
29/04/2021,51.20
28/04/2021,51.00
27/04/2021,51.20
26/04/2021,51.60
23/04/2021,51.80
22/04/2021,51.40
20/04/2021,52.00
19/04/2021,52.10
16/04/2021,52.20
15/04/2021,52.30
14/04/2021,52.60
13/04/2021,52.50
12/04/2021,52.70
09/04/2021,52.80
08/04/2021,52.80
07/04/2021,52.90
06/04/2021,52.90
05/04/2021,52.80
02/04/2021,52.80
01/04/2021,52.50
31/03/2021,52.50
30/03/2021,53.00
29/03/2021,53.00
26/03/2021,51.20
25/03/2021,51.00
24/03/2021,51.40
23/03/2021,51.80
22/03/2021,52.00
19/03/2021,50.60
18/03/2021,50.50
17/03/2021,50.50
16/03/2021,50.80
15/03/2021,50.90
12/03/2021,51.00
11/03/2021,50.90
10/03/2021,50.80
09/03/2021,50.70
08/03/2021,51.00
05/03/2021,49.05
04/03/2021,49.00
03/03/2021,48.90
02/03/2021,48.90
01/03/2021,48.70
26/02/2021,48.20
25/02/2021,48.00
24/02/2021,48.00
23/02/2021,48.40
22/02/2021,48.30
19/02/2021,45.50
18/02/2021,44.80
17/02/2021,44.50
09/02/2021,41.70
08/02/2021,40.80
05/02/2021,40.00
04/02/2021,40.00
03/02/2021,40.00
02/02/2021,39.15
01/02/2021,38.50
29/01/2021,39.20
28/01/2021,38.80
27/01/2021,41.70
26/01/2021,42.40
25/01/2021,43.40
22/01/2021,43.00
21/01/2021,41.60
20/01/2021,38.90
19/01/2021,39.00
18/01/2021,39.30
15/01/2021,39.30
14/01/2021,39.30
13/01/2021,39.30
12/01/2021,39.30
11/01/2021,39.50
08/01/2021,39.50
07/01/2021,39.05
06/01/2021,37.10
05/01/2021,37.05
04/01/2021,37.05
31/12/2020,37.00
29/12/2020,37.00
28/12/2020,37.00
25/12/2020,37.20
24/12/2020,37.00
23/12/2020,37.35
22/12/2020,37.60
21/12/2020,38.40
18/12/2020,38.40
17/12/2020,38.10
16/12/2020,38.35
15/12/2020,38.40
14/12/2020,38.60
11/12/2020,38.40
10/12/2020,38.40
09/12/2020,38.70
08/12/2020,38.20
07/12/2020,38.30
04/12/2020,38.00
03/12/2020,35.90
02/12/2020,35.80
01/12/2020,35.80
30/11/2020,35.95
27/11/2020,35.85
26/11/2020,35.85
25/11/2020,36.00
24/11/2020,35.95
23/11/2020,35.80
20/11/2020,35.80
19/11/2020,35.60
18/11/2020,35.70
17/11/2020,35.50
16/11/2020,36.15
13/11/2020,36.35
12/11/2020,36.30
11/11/2020,36.50
10/11/2020,36.50
09/11/2020,36.25
06/11/2020,35.80
05/11/2020,35.50
04/11/2020,35.00
03/11/2020,34.50
02/11/2020,34.45
30/10/2020,34.40
29/10/2020,34.35
28/10/2020,34.50
27/10/2020,35.20
26/10/2020,35.40
23/10/2020,35.60
22/10/2020,35.60
21/10/2020,35.75
20/10/2020,35.70
19/10/2020,35.80
16/10/2020,35.90
15/10/2020,36.10
14/10/2020,35.50
13/10/2020,35.45
12/10/2020,35.85
09/10/2020,36.15
08/10/2020,36.15
07/10/2020,36.05
06/10/2020,36.75
05/10/2020,36.75
02/10/2020,36.70
01/10/2020,36.70
30/09/2020,36.50
29/09/2020,36.50
28/09/2020,37.00
25/09/2020,37.25
24/09/2020,37.15
23/09/2020,37.20
22/09/2020,36.70
21/09/2020,36.70
18/09/2020,36.65
17/09/2020,36.65
16/09/2020,35.50
15/09/2020,35.35
14/09/2020,35.30
11/09/2020,35.30
10/09/2020,35.80
09/09/2020,35.70
08/09/2020,34.90
07/09/2020,34.50
04/09/2020,34.50
03/09/2020,35.20
01/09/2020,35.45
31/08/2020,35.50
28/08/2020,36.00
27/08/2020,36.00
26/08/2020,36.80
25/08/2020,36.70
24/08/2020,36.55
21/08/2020,36.25
20/08/2020,35.10
19/08/2020,33.50
18/08/2020,33.50
17/08/2020,33.20
14/08/2020,32.50
13/08/2020,33.60
12/08/2020,33.60
11/08/2020,33.80
10/08/2020,34.10
07/08/2020,33.35
06/08/2020,33.40
05/08/2020,31.75
04/08/2020,31.70
03/08/2020,31.10
31/07/2020,29.95
30/07/2020,29.95
29/07/2020,29.90
28/07/2020,29.90
27/07/2020,29.40
24/07/2020,30.50
23/07/2020,31.25
22/07/2020,31.20
21/07/2020,31.20
20/07/2020,31.20
17/07/2020,31.50
16/07/2020,31.55
15/07/2020,30.25
14/07/2020,30.25
13/07/2020,30.40
10/07/2020,30.40
09/07/2020,30.50
08/07/2020,29.00
07/07/2020,29.00
06/07/2020,29.00
03/07/2020,28.90
02/07/2020,28.90
01/07/2020,28.65
30/06/2020,28.40
29/06/2020,28.50
26/06/2020,29.00
25/06/2020,29.50
24/06/2020,29.80
23/06/2020,30.00
22/06/2020,30.15
19/06/2020,30.10
18/06/2020,30.00
17/06/2020,29.90
16/06/2020,29.65
15/06/2020,29.20
12/06/2020,31.00
11/06/2020,32.30
10/06/2020,33.40
09/06/2020,33.65
08/06/2020,33.60
05/06/2020,33.45
04/06/2020,33.50
03/06/2020,33.55
02/06/2020,33.55
01/06/2020,33.20
29/05/2020,31.85
28/05/2020,29.80
27/05/2020,29.80
26/05/2020,30.00
25/05/2020,29.20
22/05/2020,29.00
21/05/2020,28.15
20/05/2020,26.40
19/05/2020,24.70
18/05/2020,23.10
15/05/2020,21.60
14/05/2020,21.50
13/05/2020,21.50
12/05/2020,20.75
11/05/2020,20.50
08/05/2020,20.30
07/05/2020,20.35
06/05/2020,19.50
05/05/2020,18.25
04/05/2020,17.50
29/04/2020,17.30
28/04/2020,16.90
27/04/2020,17.00
24/04/2020,17.05
23/04/2020,17.10
22/04/2020,17.00
21/04/2020,16.85
20/04/2020,17.40
17/04/2020,17.40
16/04/2020,17.00
15/04/2020,16.90
14/04/2020,16.10
13/04/2020,15.05
10/04/2020,15.10
09/04/2020,15.50
08/04/2020,15.60
07/04/2020,15.50
06/04/2020,14.90
03/04/2020,14.60
01/04/2020,15.00
31/03/2020,14.40
30/03/2020,15.35
27/03/2020,15.65
26/03/2020,16.00
25/03/2020,16.00
24/03/2020,15.45
23/03/2020,15.45
20/03/2020,15.55
19/03/2020,16.40
18/03/2020,16.50
17/03/2020,16.50
16/03/2020,16.60
13/03/2020,16.60
11/03/2020,17.25
10/03/2020,17.75
09/03/2020,16.90
06/03/2020,18.15
05/03/2020,18.30
04/03/2020,18.20
03/03/2020,18.20
02/03/2020,18.10
28/02/2020,18.10
27/02/2020,18.40
26/02/2020,18.40
25/02/2020,18.40
24/02/2020,18.20
21/02/2020,18.50
20/02/2020,18.30
19/02/2020,17.95
18/02/2020,18.00
17/02/2020,18.00
14/02/2020,18.00
13/02/2020,18.00
12/02/2020,18.15
11/02/2020,18.15
10/02/2020,17.90
07/02/2020,18.40
06/02/2020,18.25
05/02/2020,18.00
04/02/2020,18.20
03/02/2020,18.60
31/01/2020,18.90
30/01/2020,19.15
22/01/2020,19.20
21/01/2020,19.10
20/01/2020,19.10
17/01/2020,19.10
16/01/2020,19.20
15/01/2020,19.10
14/01/2020,19.30
13/01/2020,19.35
10/01/2020,19.30
09/01/2020,19.00
08/01/2020,19.60
07/01/2020,19.80
06/01/2020,19.15
03/01/2020,19.80
02/01/2020,19.60
