Date,Closing Price
10/05/2022,28.50
09/05/2022,28.50
06/05/2022,28.50
05/05/2022,28.50
04/05/2022,28.50
29/04/2022,28.50
28/04/2022,28.50
27/04/2022,28.50
26/04/2022,28.50
25/04/2022,28.50
22/04/2022,28.50
21/04/2022,28.50
20/04/2022,28.50
19/04/2022,28.50
18/04/2022,28.50
15/04/2022,28.50
14/04/2022,28.50
13/04/2022,28.50
12/04/2022,28.50
08/04/2022,28.50
07/04/2022,28.50
06/04/2022,28.50
05/04/2022,28.50
04/04/2022,28.50
01/04/2022,28.50
31/03/2022,28.50
30/03/2022,28.50
29/03/2022,28.50
28/03/2022,28.50
25/03/2022,28.50
24/03/2022,28.50
23/03/2022,28.50
22/03/2022,28.50
21/03/2022,28.50
18/03/2022,28.50
17/03/2022,28.50
16/03/2022,28.50
15/03/2022,28.50
14/03/2022,28.50
11/03/2022,28.50
10/03/2022,28.50
09/03/2022,28.50
08/03/2022,28.50
07/03/2022,28.50
04/03/2022,28.50
03/03/2022,28.50
02/03/2022,28.50
01/03/2022,28.50
28/02/2022,28.50
25/02/2022,28.50
24/02/2022,28.50
23/02/2022,28.50
22/02/2022,28.50
21/02/2022,28.50
18/02/2022,28.50
17/02/2022,28.50
16/02/2022,29.00
15/02/2022,29.00
14/02/2022,29.00
11/02/2022,29.00
10/02/2022,29.00
09/02/2022,27.80
08/02/2022,27.80
07/02/2022,27.80
28/01/2022,27.80
27/01/2022,27.80
26/01/2022,27.80
25/01/2022,28.00
24/01/2022,28.00
21/01/2022,28.00
20/01/2022,28.00
19/01/2022,28.00
18/01/2022,28.00
17/01/2022,28.00
14/01/2022,28.00
13/01/2022,28.00
12/01/2022,28.00
11/01/2022,28.00
10/01/2022,28.00
07/01/2022,28.00
06/01/2022,28.00
05/01/2022,28.00
04/01/2022,28.00
31/12/2021,28.00
30/12/2021,28.00
29/12/2021,28.00
28/12/2021,28.00
27/12/2021,28.00
24/12/2021,28.00
23/12/2021,28.00
22/12/2021,28.00
21/12/2021,28.00
20/12/2021,29.00
17/12/2021,28.00
16/12/2021,28.00
15/12/2021,28.00
14/12/2021,28.00
13/12/2021,28.00
10/12/2021,28.00
09/12/2021,28.00
08/12/2021,29.80
07/12/2021,29.80
06/12/2021,29.80
03/12/2021,29.80
02/12/2021,29.80
01/12/2021,29.80
30/11/2021,29.80
29/11/2021,29.80
26/11/2021,29.80
25/11/2021,27.95
24/11/2021,27.95
23/11/2021,27.95
22/11/2021,30.00
19/11/2021,30.00
18/11/2021,28.30
17/11/2021,28.30
16/11/2021,26.55
15/11/2021,26.55
12/11/2021,24.85
11/11/2021,26.70
10/11/2021,25.00
09/11/2021,26.80
08/11/2021,25.05
05/11/2021,23.45
04/11/2021,23.45
03/11/2021,23.45
02/11/2021,23.45
01/11/2021,23.45
29/10/2021,25.20
28/10/2021,24.30
27/10/2021,23.50
26/10/2021,23.50
25/10/2021,24.10
22/10/2021,25.90
21/10/2021,25.20
20/10/2021,24.90
19/10/2021,23.30
18/10/2021,23.00
15/10/2021,22.45
14/10/2021,21.00
13/10/2021,21.00
12/10/2021,20.00
11/10/2021,20.00
08/10/2021,19.40
07/10/2021,19.40
06/10/2021,19.40
05/10/2021,19.40
04/10/2021,19.40
01/10/2021,19.40
30/09/2021,19.40
29/09/2021,19.40
28/09/2021,19.40
27/09/2021,19.40
24/09/2021,19.40
23/09/2021,19.40
22/09/2021,18.15
21/09/2021,17.00
20/09/2021,17.65
17/09/2021,17.65
16/09/2021,16.50
15/09/2021,16.50
14/09/2021,16.50
13/09/2021,16.50
10/09/2021,16.50
09/09/2021,17.40
08/09/2021,17.40
07/09/2021,16.30
06/09/2021,16.30
01/09/2021,15.90
31/08/2021,15.35
30/08/2021,15.70
27/08/2021,15.70
26/08/2021,15.70
25/08/2021,14.70
24/08/2021,15.25
23/08/2021,15.25
20/08/2021,15.25
19/08/2021,15.25
18/08/2021,15.35
17/08/2021,15.35
16/08/2021,16.40
13/08/2021,16.40
12/08/2021,15.35
11/08/2021,16.00
10/08/2021,17.10
09/08/2021,16.05
06/08/2021,15.10
05/08/2021,14.95
04/08/2021,15.40
03/08/2021,15.60
02/08/2021,16.65
30/07/2021,17.90
29/07/2021,16.95
28/07/2021,16.45
27/07/2021,15.40
26/07/2021,14.45
23/07/2021,15.25
22/07/2021,15.25
21/07/2021,16.00
20/07/2021,15.05
19/07/2021,15.20
16/07/2021,15.10
15/07/2021,15.10
14/07/2021,15.15
13/07/2021,16.00
12/07/2021,16.00
09/07/2021,15.05
08/07/2021,16.00
07/07/2021,17.10
06/07/2021,17.10
05/07/2021,16.80
02/07/2021,16.10
01/07/2021,15.50
30/06/2021,16.00
29/06/2021,17.00
28/06/2021,17.00
25/06/2021,17.90
24/06/2021,17.90
23/06/2021,17.90
22/06/2021,17.90
21/06/2021,17.90
18/06/2021,19.00
17/06/2021,19.50
16/06/2021,19.50
15/06/2021,19.50
14/06/2021,19.50
11/06/2021,19.50
10/06/2021,19.50
09/06/2021,18.50
08/06/2021,18.50
07/06/2021,18.50
04/06/2021,18.50
03/06/2021,18.40
02/06/2021,18.40
01/06/2021,17.20
31/05/2021,17.20
28/05/2021,16.10
27/05/2021,15.05
26/05/2021,15.05
25/05/2021,15.05
24/05/2021,15.65
21/05/2021,16.70
20/05/2021,15.65
19/05/2021,16.70
18/05/2021,15.65
17/05/2021,15.65
14/05/2021,16.55
13/05/2021,15.50
12/05/2021,16.40
11/05/2021,16.40
10/05/2021,17.55
07/05/2021,17.55
06/05/2021,17.55
05/05/2021,17.55
04/05/2021,17.55
29/04/2021,17.55
28/04/2021,17.55
27/04/2021,17.55
26/04/2021,17.55
23/04/2021,17.55
22/04/2021,17.55
20/04/2021,17.55
19/04/2021,18.50
16/04/2021,18.50
15/04/2021,18.50
14/04/2021,19.75
13/04/2021,19.75
12/04/2021,19.75
09/04/2021,19.75
08/04/2021,19.75
07/04/2021,19.75
06/04/2021,19.75
05/04/2021,19.75
02/04/2021,19.75
01/04/2021,19.75
31/03/2021,19.75
30/03/2021,19.75
29/03/2021,19.75
26/03/2021,19.75
25/03/2021,19.75
24/03/2021,19.75
23/03/2021,18.50
22/03/2021,18.50
19/03/2021,18.50
18/03/2021,18.50
17/03/2021,18.50
16/03/2021,18.50
15/03/2021,18.00
12/03/2021,18.00
11/03/2021,17.15
10/03/2021,17.15
09/03/2021,16.05
08/03/2021,16.05
05/03/2021,16.05
04/03/2021,16.05
03/03/2021,16.05
02/03/2021,16.05
01/03/2021,17.00
26/02/2021,17.00
25/02/2021,17.00
24/02/2021,17.00
23/02/2021,17.00
22/02/2021,17.00
19/02/2021,18.15
18/02/2021,18.15
17/02/2021,17.00
09/02/2021,17.00
08/02/2021,17.00
05/02/2021,18.20
04/02/2021,17.10
03/02/2021,17.10
02/02/2021,17.10
01/02/2021,16.00
29/01/2021,16.00
28/01/2021,16.00
27/01/2021,17.00
26/01/2021,17.00
25/01/2021,17.00
22/01/2021,16.60
21/01/2021,17.70
20/01/2021,19.00
19/01/2021,20.05
18/01/2021,20.05
15/01/2021,19.45
14/01/2021,19.45
13/01/2021,19.45
12/01/2021,18.25
11/01/2021,17.10
08/01/2021,17.10
07/01/2021,17.10
06/01/2021,17.10
05/01/2021,18.30
04/01/2021,18.30
31/12/2020,18.30
30/12/2020,19.65
29/12/2020,18.40
28/12/2020,19.70
25/12/2020,19.70
24/12/2020,19.70
23/12/2020,19.70
22/12/2020,19.70
21/12/2020,21.10
18/12/2020,21.20
17/12/2020,19.90
16/12/2020,18.60
15/12/2020,18.60
14/12/2020,19.95
11/12/2020,18.65
10/12/2020,17.45
09/12/2020,16.35
08/12/2020,15.30
07/12/2020,14.30
04/12/2020,13.40
03/12/2020,12.55
02/12/2020,12.55
01/12/2020,12.55
30/11/2020,12.55
27/11/2020,12.55
26/11/2020,12.55
25/11/2020,12.55
24/11/2020,13.45
23/11/2020,13.45
20/11/2020,14.25
19/11/2020,15.30
18/11/2020,15.30
17/11/2020,16.45
16/11/2020,16.45
13/11/2020,16.45
12/11/2020,15.40
11/11/2020,14.40
10/11/2020,14.40
09/11/2020,13.50
06/11/2020,12.65
05/11/2020,12.65
04/11/2020,12.65
03/11/2020,12.65
02/11/2020,12.65
30/10/2020,12.65
29/10/2020,13.55
28/10/2020,12.70
27/10/2020,12.70
26/10/2020,12.70
23/10/2020,13.65
22/10/2020,13.65
21/10/2020,14.05
20/10/2020,15.00
19/10/2020,15.00
16/10/2020,14.05
15/10/2020,14.95
14/10/2020,14.95
13/10/2020,14.95
12/10/2020,16.05
09/10/2020,16.05
08/10/2020,15.00
07/10/2020,16.00
06/10/2020,16.00
05/10/2020,16.00
02/10/2020,17.00
01/10/2020,17.00
30/09/2020,17.00
29/09/2020,15.95
28/09/2020,17.10
25/09/2020,17.05
24/09/2020,15.95
23/09/2020,14.95
22/09/2020,14.00
21/09/2020,14.00
18/09/2020,15.05
17/09/2020,15.05
16/09/2020,15.75
15/09/2020,16.90
14/09/2020,18.15
11/09/2020,17.00
10/09/2020,16.05
09/09/2020,15.00
08/09/2020,15.80
07/09/2020,14.80
04/09/2020,13.85
03/09/2020,13.85
01/09/2020,13.60
31/08/2020,14.40
28/08/2020,15.45
27/08/2020,16.60
26/08/2020,15.55
25/08/2020,14.55
24/08/2020,13.60
21/08/2020,13.60
20/08/2020,13.60
19/08/2020,12.75
18/08/2020,13.75
17/08/2020,13.75
14/08/2020,13.75
13/08/2020,13.75
12/08/2020,14.75
11/08/2020,14.75
10/08/2020,14.75
07/08/2020,14.75
06/08/2020,14.75
05/08/2020,14.75
04/08/2020,13.80
03/08/2020,13.80
31/07/2020,14.80
