Date,Closing Price
10/05/2022,11.40
09/05/2022,11.70
06/05/2022,12.40
05/05/2022,12.65
04/05/2022,12.75
29/04/2022,12.20
28/04/2022,12.20
27/04/2022,12.00
26/04/2022,12.25
25/04/2022,12.45
22/04/2022,12.50
21/04/2022,13.10
20/04/2022,12.70
19/04/2022,12.10
18/04/2022,12.95
15/04/2022,12.75
14/04/2022,13.20
13/04/2022,12.95
12/04/2022,13.00
08/04/2022,13.15
07/04/2022,13.30
06/04/2022,13.40
05/04/2022,13.55
04/04/2022,13.80
01/04/2022,13.90
31/03/2022,13.10
30/03/2022,13.30
29/03/2022,13.90
28/03/2022,13.95
25/03/2022,14.10
24/03/2022,13.45
23/03/2022,13.50
22/03/2022,13.50
21/03/2022,13.20
18/03/2022,13.60
17/03/2022,13.70
16/03/2022,13.80
15/03/2022,13.85
14/03/2022,13.15
11/03/2022,13.75
10/03/2022,13.80
09/03/2022,13.85
08/03/2022,13.75
07/03/2022,13.05
04/03/2022,14.00
03/03/2022,13.40
02/03/2022,13.00
01/03/2022,13.00
28/02/2022,13.05
25/02/2022,13.45
24/02/2022,13.70
23/02/2022,13.70
22/02/2022,13.05
21/02/2022,13.80
18/02/2022,13.80
17/02/2022,13.70
16/02/2022,13.00
15/02/2022,13.00
14/02/2022,13.00
11/02/2022,13.00
10/02/2022,13.00
09/02/2022,13.10
08/02/2022,12.70
07/02/2022,13.15
28/01/2022,12.30
27/01/2022,12.25
26/01/2022,12.25
25/01/2022,12.90
24/01/2022,12.70
21/01/2022,13.40
20/01/2022,13.35
19/01/2022,13.45
18/01/2022,12.75
17/01/2022,13.30
14/01/2022,14.00
13/01/2022,13.35
12/01/2022,13.25
11/01/2022,13.60
10/01/2022,14.60
07/01/2022,13.70
06/01/2022,14.30
05/01/2022,13.70
04/01/2022,13.60
31/12/2021,13.60
30/12/2021,14.35
29/12/2021,14.00
28/12/2021,13.60
27/12/2021,13.25
24/12/2021,13.85
23/12/2021,13.85
22/12/2021,13.85
21/12/2021,14.85
20/12/2021,14.00
17/12/2021,13.95
16/12/2021,14.05
15/12/2021,14.10
14/12/2021,14.05
13/12/2021,14.00
10/12/2021,13.90
09/12/2021,14.05
08/12/2021,14.50
07/12/2021,14.50
06/12/2021,14.70
03/12/2021,14.70
02/12/2021,14.70
01/12/2021,15.70
30/11/2021,15.70
29/11/2021,15.20
26/11/2021,14.25
25/11/2021,14.95
24/11/2021,14.00
23/11/2021,13.45
22/11/2021,14.45
19/11/2021,15.50
18/11/2021,15.10
17/11/2021,15.00
16/11/2021,15.10
15/11/2021,15.60
12/11/2021,15.60
11/11/2021,15.50
10/11/2021,14.50
09/11/2021,13.70
08/11/2021,13.00
05/11/2021,12.60
04/11/2021,13.05
03/11/2021,13.40
02/11/2021,13.25
01/11/2021,13.25
29/10/2021,13.25
28/10/2021,14.20
27/10/2021,13.40
26/10/2021,12.60
25/10/2021,12.65
22/10/2021,12.60
21/10/2021,13.50
20/10/2021,13.00
19/10/2021,13.00
18/10/2021,13.00
15/10/2021,13.00
14/10/2021,13.10
13/10/2021,13.10
12/10/2021,13.10
11/10/2021,13.05
08/10/2021,12.20
07/10/2021,12.10
06/10/2021,13.00
05/10/2021,13.60
