Date,Closing Price
10/05/2022,14.90
09/05/2022,14.65
06/05/2022,15.70
05/05/2022,16.45
04/05/2022,16.80
29/04/2022,16.40
28/04/2022,16.15
27/04/2022,16.25
26/04/2022,16.20
25/04/2022,15.55
22/04/2022,16.70
21/04/2022,16.30
20/04/2022,16.05
19/04/2022,17.25
18/04/2022,18.50
15/04/2022,19.75
14/04/2022,19.80
13/04/2022,20.00
12/04/2022,19.55
08/04/2022,20.10
07/04/2022,20.35
06/04/2022,20.85
05/04/2022,20.60
04/04/2022,21.90
01/04/2022,21.95
31/03/2022,21.65
30/03/2022,21.90
29/03/2022,22.05
28/03/2022,21.85
25/03/2022,22.30
24/03/2022,22.55
23/03/2022,22.70
22/03/2022,22.90
21/03/2022,22.40
18/03/2022,22.25
17/03/2022,22.35
16/03/2022,22.15
15/03/2022,22.05
14/03/2022,21.85
11/03/2022,22.15
10/03/2022,22.25
09/03/2022,22.00
08/03/2022,22.00
07/03/2022,22.00
04/03/2022,22.35
03/03/2022,22.25
02/03/2022,21.50
01/03/2022,22.25
28/02/2022,22.65
25/02/2022,23.05
24/02/2022,22.80
23/02/2022,23.60
22/02/2022,23.65
21/02/2022,23.65
18/02/2022,23.60
17/02/2022,24.30
16/02/2022,24.30
15/02/2022,24.60
14/02/2022,24.10
11/02/2022,25.90
10/02/2022,25.00
09/02/2022,24.60
08/02/2022,24.90
07/02/2022,24.85
28/01/2022,25.00
27/01/2022,24.50
26/01/2022,24.60
25/01/2022,23.00
24/01/2022,21.50
21/01/2022,21.70
20/01/2022,21.20
19/01/2022,21.15
18/01/2022,21.15
17/01/2022,21.50
14/01/2022,21.80
13/01/2022,22.00
12/01/2022,21.90
11/01/2022,21.50
10/01/2022,21.60
07/01/2022,22.20
06/01/2022,21.70
05/01/2022,22.20
04/01/2022,22.45
31/12/2021,22.30
30/12/2021,22.20
29/12/2021,22.25
28/12/2021,21.70
27/12/2021,21.55
24/12/2021,21.70
23/12/2021,20.65
22/12/2021,20.95
21/12/2021,21.30
20/12/2021,21.60
17/12/2021,21.80
16/12/2021,22.20
15/12/2021,22.50
14/12/2021,22.60
13/12/2021,21.85
10/12/2021,21.35
09/12/2021,21.20
08/12/2021,21.15
07/12/2021,20.95
06/12/2021,20.30
03/12/2021,21.55
02/12/2021,22.40
01/12/2021,22.75
30/11/2021,22.40
29/11/2021,23.05
26/11/2021,23.90
25/11/2021,24.45
24/11/2021,24.50
23/11/2021,23.05
22/11/2021,23.45
19/11/2021,22.70
18/11/2021,22.60
17/11/2021,23.00
16/11/2021,23.10
15/11/2021,22.80
12/11/2021,22.90
11/11/2021,22.45
10/11/2021,23.10
09/11/2021,23.50
08/11/2021,23.40
05/11/2021,23.05
04/11/2021,23.00
03/11/2021,22.85
02/11/2021,21.40
01/11/2021,21.15
29/10/2021,20.80
28/10/2021,21.10
27/10/2021,21.00
26/10/2021,20.80
25/10/2021,20.65
22/10/2021,20.85
21/10/2021,21.00
20/10/2021,21.15
19/10/2021,21.30
18/10/2021,21.60
15/10/2021,22.00
14/10/2021,21.65
13/10/2021,21.80
12/10/2021,21.75
11/10/2021,21.75
08/10/2021,21.00
07/10/2021,21.00
06/10/2021,21.20
05/10/2021,21.00
04/10/2021,20.55
01/10/2021,20.90
30/09/2021,21.65
29/09/2021,21.70
28/09/2021,22.10
27/09/2021,22.05
24/09/2021,22.45
23/09/2021,22.40
22/09/2021,22.60
21/09/2021,22.85
20/09/2021,23.45
17/09/2021,22.40
16/09/2021,22.10
15/09/2021,22.10
14/09/2021,22.05
13/09/2021,22.60
10/09/2021,23.10
09/09/2021,23.30
08/09/2021,23.30
07/09/2021,23.10
06/09/2021,22.85
01/09/2021,22.75
31/08/2021,23.05
30/08/2021,23.30
27/08/2021,21.80
26/08/2021,22.75
25/08/2021,23.25
24/08/2021,23.05
23/08/2021,22.60
20/08/2021,24.00
19/08/2021,25.50
18/08/2021,25.90
17/08/2021,26.20
16/08/2021,25.20
13/08/2021,25.00
12/08/2021,24.75
11/08/2021,25.20
10/08/2021,25.60
09/08/2021,25.65
06/08/2021,25.65
