Date,Closing Price
10/05/2022,27.05
09/05/2022,26.20
06/05/2022,28.00
05/05/2022,29.00
04/05/2022,28.90
29/04/2022,29.80
28/04/2022,29.45
27/04/2022,29.70
26/04/2022,29.35
25/04/2022,28.10
22/04/2022,30.00
21/04/2022,30.00
20/04/2022,29.50
19/04/2022,29.30
18/04/2022,30.30
15/04/2022,31.40
14/04/2022,32.30
13/04/2022,32.60
12/04/2022,32.25
08/04/2022,33.20
07/04/2022,33.70
06/04/2022,33.35
05/04/2022,32.65
04/04/2022,33.00
01/04/2022,33.30
31/03/2022,32.95
30/03/2022,32.65
29/03/2022,32.00
28/03/2022,31.50
25/03/2022,31.80
24/03/2022,32.05
23/03/2022,32.15
22/03/2022,32.45
21/03/2022,32.20
18/03/2022,32.10
17/03/2022,32.25
16/03/2022,32.10
15/03/2022,31.60
14/03/2022,31.65
11/03/2022,31.45
10/03/2022,31.05
09/03/2022,30.75
08/03/2022,31.00
07/03/2022,32.20
04/03/2022,32.90
03/03/2022,33.10
02/03/2022,32.50
01/03/2022,34.00
28/02/2022,34.40
25/02/2022,34.10
24/02/2022,34.00
23/02/2022,34.35
22/02/2022,34.40
21/02/2022,32.65
18/02/2022,32.65
17/02/2022,33.20
16/02/2022,32.65
15/02/2022,32.70
14/02/2022,32.00
11/02/2022,33.95
10/02/2022,33.75
09/02/2022,33.30
08/02/2022,33.80
07/02/2022,33.80
28/01/2022,33.70
27/01/2022,33.00
26/01/2022,33.30
25/01/2022,32.60
24/01/2022,32.10
21/01/2022,31.80
20/01/2022,29.95
19/01/2022,29.70
18/01/2022,29.90
17/01/2022,29.50
14/01/2022,29.65
13/01/2022,29.70
12/01/2022,29.20
11/01/2022,27.90
10/01/2022,28.10
07/01/2022,28.60
06/01/2022,28.35
05/01/2022,28.70
04/01/2022,29.10
31/12/2021,28.90
30/12/2021,28.45
29/12/2021,28.30
28/12/2021,28.30
27/12/2021,28.15
24/12/2021,28.15
23/12/2021,27.30
22/12/2021,27.65
21/12/2021,27.95
20/12/2021,27.90
17/12/2021,28.20
16/12/2021,28.25
15/12/2021,28.50
14/12/2021,28.25
13/12/2021,28.40
10/12/2021,28.35
09/12/2021,28.55
08/12/2021,28.40
07/12/2021,28.15
06/12/2021,27.50
03/12/2021,28.30
02/12/2021,29.10
01/12/2021,29.50
30/11/2021,29.00
29/11/2021,29.80
26/11/2021,30.30
25/11/2021,30.90
24/11/2021,30.90
23/11/2021,28.90
22/11/2021,29.20
19/11/2021,28.30
18/11/2021,28.30
17/11/2021,28.70
16/11/2021,28.65
15/11/2021,28.60
12/11/2021,28.55
11/11/2021,28.10
10/11/2021,28.60
09/11/2021,28.60
08/11/2021,28.50
05/11/2021,28.65
04/11/2021,28.90
03/11/2021,29.15
02/11/2021,28.40
01/11/2021,28.40
29/10/2021,28.50
28/10/2021,28.50
27/10/2021,28.40
26/10/2021,27.95
25/10/2021,27.60
22/10/2021,27.90
21/10/2021,27.90
20/10/2021,28.20
19/10/2021,28.20
18/10/2021,28.40
15/10/2021,28.40
14/10/2021,28.50
13/10/2021,28.60
12/10/2021,28.75
11/10/2021,28.80
08/10/2021,27.70
07/10/2021,27.65
06/10/2021,27.50
05/10/2021,27.40
04/10/2021,27.10
01/10/2021,27.45
30/09/2021,27.85
29/09/2021,27.80
28/09/2021,28.00
27/09/2021,28.00
24/09/2021,28.70
23/09/2021,27.90
22/09/2021,28.00
21/09/2021,28.00
20/09/2021,28.25
17/09/2021,27.85
16/09/2021,27.80
15/09/2021,27.45
14/09/2021,27.60
13/09/2021,27.90
10/09/2021,28.20
09/09/2021,28.40
08/09/2021,28.30
07/09/2021,28.60
06/09/2021,28.30
01/09/2021,27.90
31/08/2021,27.90
30/08/2021,28.40
27/08/2021,28.00
26/08/2021,28.10
25/08/2021,28.60
24/08/2021,28.55
23/08/2021,28.60
20/08/2021,29.90
19/08/2021,31.10
18/08/2021,31.10
17/08/2021,31.20
16/08/2021,31.00
13/08/2021,29.60
12/08/2021,29.50
11/08/2021,29.70
10/08/2021,29.65
09/08/2021,29.90
06/08/2021,29.65
05/08/2021,30.00
04/08/2021,29.70
03/08/2021,29.30
02/08/2021,28.80
30/07/2021,28.90
29/07/2021,28.40
28/07/2021,27.60
27/07/2021,27.40
26/07/2021,27.20
23/07/2021,27.75
22/07/2021,28.35
21/07/2021,28.00
20/07/2021,27.90
19/07/2021,27.15
16/07/2021,29.10
15/07/2021,29.30
14/07/2021,28.85
13/07/2021,29.80
12/07/2021,29.80
09/07/2021,41.85
08/07/2021,42.10
07/07/2021,42.10
06/07/2021,40.10
05/07/2021,43.10
02/07/2021,43.45
01/07/2021,43.45
30/06/2021,43.35
29/06/2021,43.45
28/06/2021,43.10
25/06/2021,42.10
24/06/2021,42.00
23/06/2021,41.90
22/06/2021,42.00
21/06/2021,40.65
18/06/2021,40.55
17/06/2021,39.90
16/06/2021,38.70
15/06/2021,39.30
14/06/2021,39.30
11/06/2021,39.40
10/06/2021,37.90
09/06/2021,38.55
08/06/2021,37.30
07/06/2021,39.75
04/06/2021,41.55
03/06/2021,41.15
02/06/2021,38.50
01/06/2021,38.20
31/05/2021,38.00
28/05/2021,37.70
27/05/2021,36.50
26/05/2021,37.50
25/05/2021,35.80
24/05/2021,34.75
21/05/2021,34.65
20/05/2021,34.50
19/05/2021,34.50
18/05/2021,33.30
17/05/2021,32.90
14/05/2021,33.00
13/05/2021,32.95
12/05/2021,33.20
11/05/2021,32.70
10/05/2021,33.20
07/05/2021,31.60
06/05/2021,31.60
05/05/2021,31.70
04/05/2021,31.25
29/04/2021,30.35
28/04/2021,30.25
27/04/2021,29.60
26/04/2021,29.60
23/04/2021,30.30
22/04/2021,29.20
20/04/2021,30.50
19/04/2021,30.50
16/04/2021,30.20
