Date,Closing Price
10/05/2022,27.10
09/05/2022,28.70
06/05/2022,27.30
05/05/2022,27.45
04/05/2022,27.45
29/04/2022,25.70
28/04/2022,27.40
27/04/2022,25.95
26/04/2022,24.80
25/04/2022,24.70
22/04/2022,26.50
21/04/2022,27.00
20/04/2022,26.40
19/04/2022,27.70
18/04/2022,27.00
15/04/2022,27.85
14/04/2022,28.00
13/04/2022,28.15
12/04/2022,27.70
08/04/2022,29.75
07/04/2022,31.95
06/04/2022,30.00
05/04/2022,28.10
04/04/2022,30.15
01/04/2022,32.40
31/03/2022,32.40
30/03/2022,32.40
29/03/2022,32.90
28/03/2022,31.60
25/03/2022,30.20
24/03/2022,28.30
23/03/2022,30.25
22/03/2022,28.75
21/03/2022,26.90
18/03/2022,28.10
17/03/2022,28.30
16/03/2022,27.90
15/03/2022,26.35
14/03/2022,27.80
11/03/2022,29.70
10/03/2022,29.70
09/03/2022,28.60
08/03/2022,30.55
07/03/2022,30.60
04/03/2022,30.60
03/03/2022,30.50
02/03/2022,30.60
01/03/2022,32.90
28/02/2022,32.90
25/02/2022,32.90
24/02/2022,32.90
23/02/2022,33.00
22/02/2022,33.00
21/02/2022,33.00
18/02/2022,33.60
17/02/2022,33.60
16/02/2022,33.60
15/02/2022,33.60
14/02/2022,33.60
11/02/2022,33.60
10/02/2022,33.60
09/02/2022,33.60
08/02/2022,33.60
07/02/2022,33.60
28/01/2022,31.60
27/01/2022,29.70
26/01/2022,29.70
25/01/2022,27.80
24/01/2022,27.80
21/01/2022,26.00
20/01/2022,26.20
19/01/2022,21.30
18/01/2022,22.90
17/01/2022,22.90
14/01/2022,24.60
13/01/2022,24.60
12/01/2022,24.60
11/01/2022,25.50
10/01/2022,26.70
07/01/2022,28.50
06/01/2022,28.50
05/01/2022,28.50
04/01/2022,28.50
31/12/2021,28.50
30/12/2021,30.60
29/12/2021,30.60
28/12/2021,30.60
27/12/2021,32.90
24/12/2021,32.90
23/12/2021,32.90
22/12/2021,32.90
21/12/2021,32.90
20/12/2021,31.00
17/12/2021,31.00
16/12/2021,31.00
15/12/2021,33.00
14/12/2021,32.50
13/12/2021,32.50
10/12/2021,32.50
09/12/2021,32.50
08/12/2021,32.50
07/12/2021,32.50
06/12/2021,32.50
03/12/2021,32.50
02/12/2021,32.50
01/12/2021,31.80
30/11/2021,31.80
29/11/2021,31.80
26/11/2021,31.80
25/11/2021,30.05
24/11/2021,30.05
23/11/2021,28.10
22/11/2021,28.10
19/11/2021,28.10
18/11/2021,28.10
17/11/2021,28.10
16/11/2021,26.30
15/11/2021,25.30
12/11/2021,25.30
11/11/2021,25.30
10/11/2021,25.35
09/11/2021,25.35
08/11/2021,25.25
05/11/2021,27.00
04/11/2021,28.30
03/11/2021,28.30
02/11/2021,28.20
01/11/2021,28.20
29/10/2021,28.80
28/10/2021,28.80
27/10/2021,27.85
26/10/2021,28.00
25/10/2021,28.00
22/10/2021,27.00
21/10/2021,26.95
20/10/2021,26.00
19/10/2021,26.00
18/10/2021,26.00
15/10/2021,26.00
14/10/2021,26.00
13/10/2021,25.20
12/10/2021,26.00
11/10/2021,26.00
08/10/2021,26.00
07/10/2021,26.00
06/10/2021,26.00
05/10/2021,26.00
04/10/2021,24.45
01/10/2021,24.45
30/09/2021,24.45
29/09/2021,24.45
28/09/2021,24.45
27/09/2021,24.45
24/09/2021,26.25
23/09/2021,26.25
22/09/2021,26.20
21/09/2021,26.20
20/09/2021,26.20
17/09/2021,26.20
16/09/2021,28.15
15/09/2021,28.15
14/09/2021,28.15
13/09/2021,28.15
10/09/2021,28.15
09/09/2021,28.15
08/09/2021,28.15
07/09/2021,28.15
06/09/2021,29.65
01/09/2021,29.65
31/08/2021,29.80
30/08/2021,29.80
27/08/2021,28.25
26/08/2021,28.30
25/08/2021,28.30
24/08/2021,28.30
23/08/2021,28.30
20/08/2021,26.50
19/08/2021,26.50
18/08/2021,26.50
17/08/2021,26.50
16/08/2021,26.50
13/08/2021,26.50
12/08/2021,26.50
11/08/2021,26.50
10/08/2021,26.50
09/08/2021,26.50
06/08/2021,25.50
05/08/2021,24.00
04/08/2021,24.00
03/08/2021,24.00
02/08/2021,24.00
30/07/2021,24.00
29/07/2021,24.00
28/07/2021,24.00
27/07/2021,24.50
26/07/2021,24.50
23/07/2021,24.50
22/07/2021,23.90
21/07/2021,23.90
20/07/2021,23.90
19/07/2021,23.90
16/07/2021,23.90
15/07/2021,23.40
14/07/2021,23.40
13/07/2021,23.40
12/07/2021,23.40
09/07/2021,23.40
08/07/2021,23.40
07/07/2021,23.40
06/07/2021,23.40
05/07/2021,23.40
02/07/2021,23.40
01/07/2021,22.20
30/06/2021,22.15
29/06/2021,22.15
28/06/2021,23.80
25/06/2021,23.80
24/06/2021,23.65
23/06/2021,23.65
22/06/2021,25.40
21/06/2021,25.40
18/06/2021,23.80
17/06/2021,23.80
16/06/2021,23.75
15/06/2021,23.75
14/06/2021,23.75
11/06/2021,23.75
10/06/2021,23.75
09/06/2021,23.75
08/06/2021,23.75
07/06/2021,23.75
04/06/2021,23.75
03/06/2021,25.50
02/06/2021,25.50
01/06/2021,25.50
31/05/2021,25.50
28/05/2021,25.50
27/05/2021,25.50
26/05/2021,25.60
25/05/2021,25.60
24/05/2021,25.60
21/05/2021,25.50
20/05/2021,26.80
