Date,Closing Price
10/05/2022,14.75
09/05/2022,15.65
06/05/2022,16.80
05/05/2022,17.70
04/05/2022,18.00
29/04/2022,19.05
28/04/2022,18.75
27/04/2022,19.00
26/04/2022,19.00
25/04/2022,18.25
22/04/2022,19.60
21/04/2022,19.25
20/04/2022,18.70
19/04/2022,18.65
18/04/2022,19.75
15/04/2022,20.80
14/04/2022,21.30
13/04/2022,21.85
12/04/2022,21.75
08/04/2022,23.35
07/04/2022,24.15
06/04/2022,24.60
05/04/2022,24.20
04/04/2022,23.35
01/04/2022,23.30
31/03/2022,23.00
30/03/2022,23.60
29/03/2022,22.95
28/03/2022,21.95
25/03/2022,22.30
24/03/2022,22.70
23/03/2022,22.00
22/03/2022,21.20
21/03/2022,21.05
18/03/2022,21.00
17/03/2022,21.20
16/03/2022,21.00
15/03/2022,20.90
14/03/2022,21.20
11/03/2022,21.80
10/03/2022,22.30
09/03/2022,22.00
08/03/2022,22.25
07/03/2022,22.45
04/03/2022,22.55
03/03/2022,22.50
02/03/2022,22.20
01/03/2022,22.80
28/02/2022,23.40
25/02/2022,23.30
24/02/2022,22.55
23/02/2022,22.20
22/02/2022,22.10
21/02/2022,22.35
18/02/2022,22.35
17/02/2022,22.90
16/02/2022,22.45
15/02/2022,22.70
14/02/2022,23.30
11/02/2022,22.00
10/02/2022,20.60
09/02/2022,20.15
08/02/2022,20.20
07/02/2022,20.10
28/01/2022,19.00
27/01/2022,18.70
26/01/2022,19.00
25/01/2022,19.35
24/01/2022,19.95
21/01/2022,21.35
20/01/2022,21.20
19/01/2022,20.85
18/01/2022,21.05
17/01/2022,21.25
14/01/2022,21.40
13/01/2022,21.60
12/01/2022,22.20
11/01/2022,23.00
10/01/2022,23.20
07/01/2022,23.70
06/01/2022,24.00
05/01/2022,24.30
04/01/2022,24.25
31/12/2021,24.30
30/12/2021,24.65
29/12/2021,24.60
28/12/2021,23.80
27/12/2021,23.95
24/12/2021,24.00
23/12/2021,24.05
22/12/2021,24.00
21/12/2021,24.55
20/12/2021,24.65
17/12/2021,25.15
16/12/2021,25.45
15/12/2021,25.80
14/12/2021,25.75
