Date,Closing Price
10/05/2022,31.35
09/05/2022,33.70
06/05/2022,36.20
05/05/2022,38.90
04/05/2022,40.00
29/04/2022,42.80
28/04/2022,41.70
27/04/2022,44.50
26/04/2022,41.70
25/04/2022,39.00
22/04/2022,41.90
21/04/2022,45.05
20/04/2022,48.40
19/04/2022,50.00
18/04/2022,51.00
15/04/2022,52.00
14/04/2022,54.90
13/04/2022,56.30
12/04/2022,56.00
08/04/2022,57.80
07/04/2022,57.00
06/04/2022,57.30
05/04/2022,61.50
04/04/2022,60.00
01/04/2022,61.80
31/03/2022,60.00
30/03/2022,60.80
29/03/2022,63.40
28/03/2022,60.80
25/03/2022,64.30
24/03/2022,64.20
23/03/2022,65.40
22/03/2022,66.80
21/03/2022,67.70
18/03/2022,65.10
17/03/2022,65.00
16/03/2022,64.00
15/03/2022,63.90
14/03/2022,63.00
11/03/2022,61.50
10/03/2022,63.30
09/03/2022,61.80
08/03/2022,62.00
07/03/2022,66.00
04/03/2022,65.80
03/03/2022,61.70
02/03/2022,61.60
01/03/2022,61.50
28/02/2022,60.00
25/02/2022,59.70
24/02/2022,59.20
23/02/2022,62.20
22/02/2022,61.40
21/02/2022,66.00
18/02/2022,61.70
17/02/2022,61.50
16/02/2022,62.50
15/02/2022,58.50
14/02/2022,57.40
11/02/2022,57.20
10/02/2022,61.00
09/02/2022,58.40
08/02/2022,54.60
07/02/2022,58.70
28/01/2022,63.10
27/01/2022,66.50
26/01/2022,66.60
25/01/2022,62.30
24/01/2022,58.30
21/01/2022,55.80
20/01/2022,52.20
19/01/2022,68.30
18/01/2022,73.40
17/01/2022,78.90
14/01/2022,84.80
13/01/2022,90.90
12/01/2022,97.70
11/01/2022,105.00
10/01/2022,101.00
07/01/2022,94.40
06/01/2022,88.30
05/01/2022,82.60
04/01/2022,77.20
31/12/2021,75.00
30/12/2021,76.00
29/12/2021,74.20
28/12/2021,75.60
27/12/2021,71.20
24/12/2021,70.10
23/12/2021,71.40
22/12/2021,76.30
21/12/2021,75.60
20/12/2021,70.70
17/12/2021,66.10
16/12/2021,61.80
15/12/2021,58.80
14/12/2021,60.00
13/12/2021,58.80
10/12/2021,55.80
09/12/2021,57.10
08/12/2021,55.70
07/12/2021,52.10
06/12/2021,48.70
