Date,Closing Price
10/05/2022,28.35
09/05/2022,28.60
06/05/2022,30.60
05/05/2022,30.70
04/05/2022,30.70
29/04/2022,31.85
28/04/2022,30.80
27/04/2022,30.90
26/04/2022,30.50
25/04/2022,30.75
22/04/2022,31.80
21/04/2022,31.80
20/04/2022,31.25
19/04/2022,31.25
18/04/2022,31.20
15/04/2022,32.50
14/04/2022,32.50
13/04/2022,32.20
12/04/2022,32.90
08/04/2022,33.00
07/04/2022,33.00
06/04/2022,33.00
05/04/2022,33.00
04/04/2022,32.85
01/04/2022,33.00
31/03/2022,33.00
30/03/2022,33.00
29/03/2022,32.95
28/03/2022,32.50
25/03/2022,32.50
24/03/2022,32.20
23/03/2022,32.70
22/03/2022,32.20
21/03/2022,32.20
18/03/2022,31.90
17/03/2022,31.35
16/03/2022,31.30
15/03/2022,32.00
14/03/2022,32.90
11/03/2022,32.15
10/03/2022,31.60
09/03/2022,31.60
08/03/2022,31.30
07/03/2022,31.30
04/03/2022,31.40
03/03/2022,31.00
02/03/2022,31.00
01/03/2022,31.75
28/02/2022,31.75
25/02/2022,31.80
24/02/2022,31.40
23/02/2022,31.50
22/02/2022,31.70
21/02/2022,31.80
18/02/2022,31.50
17/02/2022,31.50
16/02/2022,31.25
15/02/2022,31.00
14/02/2022,30.80
11/02/2022,31.00
10/02/2022,31.00
09/02/2022,30.55
08/02/2022,31.00
07/02/2022,31.35
28/01/2022,31.70
27/01/2022,31.70
26/01/2022,31.95
25/01/2022,32.80
24/01/2022,32.00
21/01/2022,32.10
20/01/2022,32.00
19/01/2022,38.00
18/01/2022,38.00
17/01/2022,38.00
14/01/2022,37.70
13/01/2022,37.10
12/01/2022,37.70
11/01/2022,40.50
10/01/2022,41.00
07/01/2022,38.50
06/01/2022,38.10
05/01/2022,38.10
04/01/2022,37.30
31/12/2021,37.20
30/12/2021,37.10
29/12/2021,37.00
28/12/2021,36.60
27/12/2021,36.25
24/12/2021,36.60
23/12/2021,36.20
22/12/2021,36.50
21/12/2021,36.20
20/12/2021,36.10
17/12/2021,36.15
16/12/2021,36.40
15/12/2021,36.20
14/12/2021,36.50
13/12/2021,36.60
10/12/2021,36.50
09/12/2021,36.60
08/12/2021,36.55
07/12/2021,36.50
06/12/2021,35.60
03/12/2021,36.20
02/12/2021,36.90
01/12/2021,37.50
30/11/2021,37.80
29/11/2021,37.00
26/11/2021,38.00
25/11/2021,38.30
24/11/2021,38.00
23/11/2021,38.00
22/11/2021,38.30
19/11/2021,37.80
18/11/2021,38.50
17/11/2021,39.00
16/11/2021,40.00
15/11/2021,40.95
12/11/2021,44.00
11/11/2021,45.80
10/11/2021,44.10
28/10/2021,44.00
27/10/2021,43.50
26/10/2021,38.00
25/10/2021,38.00
22/10/2021,35.00
21/10/2021,35.00
20/10/2021,35.50
19/10/2021,36.10
18/10/2021,36.10
15/10/2021,36.80
14/10/2021,37.00
13/10/2021,38.00
12/10/2021,37.00
11/10/2021,37.00
08/10/2021,38.50
07/10/2021,36.20
06/10/2021,36.00
05/10/2021,38.60
04/10/2021,38.60
01/10/2021,38.20
30/09/2021,38.00
29/09/2021,36.00
28/09/2021,35.50
27/09/2021,34.90
24/09/2021,33.00
23/09/2021,32.50
22/09/2021,34.00
21/09/2021,32.00
20/09/2021,32.10
17/09/2021,32.00
16/09/2021,32.00
15/09/2021,32.00
14/09/2021,32.60
13/09/2021,33.20
10/09/2021,33.00
09/09/2021,33.00
08/09/2021,33.20
07/09/2021,33.30
06/09/2021,33.00
01/09/2021,33.00
31/08/2021,33.00
30/08/2021,33.20
27/08/2021,33.40
26/08/2021,33.50
25/08/2021,33.50
24/08/2021,32.80
23/08/2021,32.50
20/08/2021,32.20
19/08/2021,33.20
18/08/2021,34.00
17/08/2021,33.10
16/08/2021,34.90
13/08/2021,34.90
12/08/2021,34.90
11/08/2021,34.90
10/08/2021,34.90
09/08/2021,35.10
06/08/2021,35.00
05/08/2021,35.00
04/08/2021,35.00
03/08/2021,35.20
02/08/2021,35.20
30/07/2021,35.00
29/07/2021,35.70
28/07/2021,36.00
27/07/2021,34.50
26/07/2021,34.00
23/07/2021,33.70
22/07/2021,33.70
21/07/2021,33.60
20/07/2021,33.50
19/07/2021,33.30
16/07/2021,33.70
15/07/2021,33.60
14/07/2021,33.00
13/07/2021,33.50
12/07/2021,33.00
09/07/2021,34.60
08/07/2021,35.20
07/07/2021,35.00
06/07/2021,35.20
05/07/2021,35.60
02/07/2021,35.50
01/07/2021,35.60
30/06/2021,35.50
29/06/2021,35.40
28/06/2021,35.30
25/06/2021,35.60
24/06/2021,35.50
23/06/2021,35.50
22/06/2021,35.30
18/06/2021,35.30
17/06/2021,35.30
16/06/2021,35.00
15/06/2021,35.00
14/06/2021,34.80
11/06/2021,34.80
10/06/2021,35.00
09/06/2021,34.70
08/06/2021,34.90
07/06/2021,34.40
04/06/2021,34.50
03/06/2021,33.50
02/06/2021,34.60
01/06/2021,34.60
31/05/2021,35.00
28/05/2021,33.90
27/05/2021,33.90
26/05/2021,34.00
25/05/2021,33.70
24/05/2021,33.60
21/05/2021,35.90
20/05/2021,33.00
19/05/2021,33.10
18/05/2021,33.40
17/05/2021,33.40
14/05/2021,33.80
13/05/2021,33.60
12/05/2021,33.50
11/05/2021,33.60
07/05/2021,33.90
06/05/2021,34.00
05/05/2021,34.60
04/05/2021,34.60
29/04/2021,36.50
28/04/2021,37.50
27/04/2021,36.20
26/04/2021,36.00
23/04/2021,36.40
22/04/2021,35.20
20/04/2021,37.10
19/04/2021,37.20
16/04/2021,37.00
15/04/2021,38.50
14/04/2021,37.40
13/04/2021,37.40
12/04/2021,37.70
08/04/2021,37.70
07/04/2021,38.00
06/04/2021,38.30
05/04/2021,38.10
02/04/2021,38.90
01/04/2021,39.30
31/03/2021,38.60
30/03/2021,39.40
29/03/2021,39.50
25/03/2021,37.80
24/03/2021,37.80
23/03/2021,37.50
22/03/2021,38.80
19/03/2021,38.60
18/03/2021,38.60
17/03/2021,38.50
16/03/2021,36.90
15/03/2021,36.80
12/03/2021,36.10
11/03/2021,36.00
10/03/2021,36.50
09/03/2021,36.50
05/03/2021,36.90
04/03/2021,36.00
03/03/2021,36.00
02/03/2021,35.40
01/03/2021,35.80
26/02/2021,34.70
25/02/2021,32.00
24/02/2021,35.00
23/02/2021,34.60
22/02/2021,34.90
19/02/2021,34.80
18/02/2021,34.80
17/02/2021,34.80
09/02/2021,35.00
05/02/2021,34.00
04/02/2021,35.50
03/02/2021,34.00
02/02/2021,32.00
01/02/2021,34.00
29/01/2021,34.30
28/01/2021,29.90
27/01/2021,35.00
26/01/2021,35.60
25/01/2021,35.60
22/01/2021,35.70
21/01/2021,36.20
20/01/2021,36.40
19/01/2021,36.30
18/01/2021,36.50
15/01/2021,36.60
14/01/2021,36.50
13/01/2021,36.60
12/01/2021,36.90
11/01/2021,36.50
08/01/2021,36.50
07/01/2021,36.60
06/01/2021,36.50
05/01/2021,37.00
04/01/2021,37.00
31/12/2020,37.50
30/12/2020,37.50
29/12/2020,36.90
28/12/2020,36.50
25/12/2020,36.50
24/12/2020,35.90
23/12/2020,36.00
22/12/2020,36.20
21/12/2020,36.30
18/12/2020,36.30
17/12/2020,36.40
16/12/2020,36.50
15/12/2020,36.40
14/12/2020,34.20
11/12/2020,36.50
10/12/2020,36.50
09/12/2020,36.60
08/12/2020,36.50
07/12/2020,36.50
04/12/2020,36.50
03/12/2020,36.80
02/12/2020,36.80
01/12/2020,37.50
30/11/2020,36.50
26/11/2020,36.00
25/11/2020,36.00
24/11/2020,33.80
20/11/2020,35.00
19/11/2020,34.90
18/11/2020,34.00
17/11/2020,35.00
16/11/2020,35.00
13/11/2020,36.00
12/11/2020,34.00
11/11/2020,34.00
10/11/2020,33.80
09/11/2020,34.00
06/11/2020,34.00
05/11/2020,33.60
04/11/2020,34.00
03/11/2020,34.20
02/11/2020,32.90
30/10/2020,30.00
29/10/2020,27.00
28/10/2020,29.00
27/10/2020,28.80
26/10/2020,28.10
23/10/2020,28.00
22/10/2020,28.50
21/10/2020,28.50
20/10/2020,28.20
19/10/2020,27.40
16/10/2020,27.20
15/10/2020,27.10
14/10/2020,27.00
13/10/2020,27.00
12/10/2020,27.00
09/10/2020,27.00
08/10/2020,26.90
07/10/2020,27.00
06/10/2020,27.00
05/10/2020,27.20
02/10/2020,28.00
01/10/2020,27.60
30/09/2020,27.50
29/09/2020,27.00
28/09/2020,27.50
25/09/2020,27.00
24/09/2020,27.60
23/09/2020,27.60
22/09/2020,27.60
21/09/2020,28.00
18/09/2020,28.00
17/09/2020,28.00
16/09/2020,27.30
15/09/2020,26.60
14/09/2020,26.60
11/09/2020,26.30
10/09/2020,26.10
09/09/2020,26.00
08/09/2020,25.90
07/09/2020,25.10
04/09/2020,25.00
03/09/2020,25.20
01/09/2020,25.60
31/08/2020,25.00
28/08/2020,25.40
27/08/2020,24.30
26/08/2020,24.10
25/08/2020,24.00
24/08/2020,24.00
21/08/2020,24.20
20/08/2020,24.70
19/08/2020,23.70
18/08/2020,23.90
17/08/2020,24.00
14/08/2020,24.40
13/08/2020,24.40
12/08/2020,24.10
11/08/2020,24.30
10/08/2020,24.20
07/08/2020,23.80
06/08/2020,23.80
05/08/2020,23.60
04/08/2020,24.10
03/08/2020,24.10
31/07/2020,22.80
30/07/2020,22.60
29/07/2020,22.60
28/07/2020,23.50
27/07/2020,22.00
24/07/2020,23.50
23/07/2020,24.00
22/07/2020,24.50
21/07/2020,24.20
20/07/2020,24.60
17/07/2020,24.60
16/07/2020,24.70
15/07/2020,24.10
14/07/2020,25.00
13/07/2020,23.50
10/07/2020,23.90
09/07/2020,23.50
08/07/2020,23.70
07/07/2020,24.90
06/07/2020,23.70
03/07/2020,24.10
02/07/2020,24.10
01/07/2020,24.00
30/06/2020,23.80
29/06/2020,24.10
26/06/2020,25.00
25/06/2020,25.40
24/06/2020,27.00
23/06/2020,27.60
22/06/2020,27.60
19/06/2020,27.70
18/06/2020,27.00
17/06/2020,26.70
16/06/2020,25.60
15/06/2020,25.50
12/06/2020,25.50
11/06/2020,26.30
10/06/2020,26.50
09/06/2020,26.80
08/06/2020,27.00
05/06/2020,26.00
04/06/2020,26.60
03/06/2020,25.20
02/06/2020,25.00
01/06/2020,25.50
29/05/2020,24.30
28/05/2020,24.10
27/05/2020,24.10
26/05/2020,24.00
25/05/2020,25.30
22/05/2020,24.00
21/05/2020,24.50
20/05/2020,24.10
19/05/2020,24.00
18/05/2020,24.00
15/05/2020,24.00
14/05/2020,24.00
13/05/2020,23.90
12/05/2020,23.80
11/05/2020,23.90
08/05/2020,24.30
07/05/2020,24.70
06/05/2020,25.00
05/05/2020,25.80
04/05/2020,25.80
29/04/2020,26.00
28/04/2020,25.90
27/04/2020,26.50
24/04/2020,26.00
23/04/2020,26.00
22/04/2020,27.10
21/04/2020,27.00
20/04/2020,26.00
17/04/2020,25.00
16/04/2020,23.60
15/04/2020,23.60
14/04/2020,23.60
13/04/2020,23.60
10/04/2020,23.70
