Date,Closing Price
10/05/2022,92.00
09/05/2022,92.00
06/05/2022,93.00
05/05/2022,95.00
04/05/2022,95.80
29/04/2022,96.70
28/04/2022,90.40
27/04/2022,90.50
26/04/2022,90.20
25/04/2022,90.10
22/04/2022,93.00
21/04/2022,95.00
20/04/2022,96.40
19/04/2022,96.80
18/04/2022,97.60
15/04/2022,96.60
14/04/2022,96.60
13/04/2022,97.40
12/04/2022,97.20
08/04/2022,97.20
07/04/2022,96.40
06/04/2022,96.40
05/04/2022,92.80
04/04/2022,91.90
01/04/2022,91.50
31/03/2022,92.80
30/03/2022,92.60
29/03/2022,92.20
28/03/2022,92.10
25/03/2022,91.70
24/03/2022,91.00
23/03/2022,91.60
22/03/2022,91.90
21/03/2022,90.20
18/03/2022,92.80
17/03/2022,93.70
16/03/2022,91.50
15/03/2022,90.00
14/03/2022,90.70
11/03/2022,90.00
10/03/2022,92.50
09/03/2022,90.90
08/03/2022,94.00
07/03/2022,94.50
04/03/2022,88.80
03/03/2022,83.00
02/03/2022,82.70
01/03/2022,81.90
28/02/2022,81.60
25/02/2022,81.00
24/02/2022,79.30
23/02/2022,81.30
22/02/2022,79.50
21/02/2022,80.00
18/02/2022,80.00
17/02/2022,79.00
16/02/2022,80.50
15/02/2022,81.00
14/02/2022,79.00
11/02/2022,79.00
10/02/2022,78.70
09/02/2022,77.70
08/02/2022,77.80
07/02/2022,77.90
28/01/2022,77.90
27/01/2022,78.50
26/01/2022,77.00
25/01/2022,77.00
24/01/2022,75.00
21/01/2022,77.00
20/01/2022,73.80
19/01/2022,74.90
18/01/2022,74.50
17/01/2022,77.00
14/01/2022,78.50
13/01/2022,79.60
12/01/2022,79.70
11/01/2022,79.70
10/01/2022,80.00
07/01/2022,79.70
06/01/2022,80.50
05/01/2022,80.20
04/01/2022,80.80
31/12/2021,81.00
30/12/2021,84.40
29/12/2021,83.80
28/12/2021,81.90
27/12/2021,82.00
24/12/2021,82.00
23/12/2021,81.00
22/12/2021,81.00
21/12/2021,83.00
20/12/2021,83.00
17/12/2021,83.60
