Date,Closing Price
10/05/2022,28.70
09/05/2022,28.50
06/05/2022,30.60
05/05/2022,30.60
04/05/2022,30.65
29/04/2022,31.50
28/04/2022,30.80
27/04/2022,31.00
26/04/2022,30.90
25/04/2022,30.00
22/04/2022,31.40
21/04/2022,31.95
20/04/2022,31.10
19/04/2022,31.10
18/04/2022,32.45
15/04/2022,33.65
14/04/2022,34.00
13/04/2022,34.50
12/04/2022,33.50
08/04/2022,34.55
07/04/2022,35.70
06/04/2022,36.30
05/04/2022,36.55
04/04/2022,36.30
01/04/2022,36.10
31/03/2022,35.90
30/03/2022,35.80
29/03/2022,36.65
28/03/2022,36.00
25/03/2022,36.80
24/03/2022,36.70
23/03/2022,36.90
22/03/2022,37.70
21/03/2022,37.70
18/03/2022,36.65
17/03/2022,36.90
16/03/2022,36.10
15/03/2022,36.10
14/03/2022,35.85
11/03/2022,36.50
10/03/2022,37.70
09/03/2022,37.50
08/03/2022,37.35
07/03/2022,38.00
04/03/2022,36.60
03/03/2022,35.50
02/03/2022,35.50
01/03/2022,36.00
28/02/2022,35.50
25/02/2022,35.50
24/02/2022,35.40
23/02/2022,36.60
22/02/2022,36.10
21/02/2022,37.00
18/02/2022,36.95
17/02/2022,36.25
16/02/2022,36.15
15/02/2022,35.90
14/02/2022,36.00
11/02/2022,35.45
10/02/2022,35.20
09/02/2022,35.25
08/02/2022,34.80
07/02/2022,34.40
28/01/2022,33.60
27/01/2022,32.95
26/01/2022,33.40
25/01/2022,33.40
24/01/2022,32.60
21/01/2022,35.00
20/01/2022,35.80
19/01/2022,35.50
18/01/2022,33.20
17/01/2022,34.50
14/01/2022,37.00
13/01/2022,36.00
12/01/2022,36.20
11/01/2022,38.70
10/01/2022,38.70
07/01/2022,39.65
06/01/2022,40.55
05/01/2022,40.75
04/01/2022,40.85
31/12/2021,41.70
30/12/2021,40.35
29/12/2021,41.60
28/12/2021,42.50
27/12/2021,42.35
24/12/2021,41.95
23/12/2021,42.80
22/12/2021,45.25
21/12/2021,43.50
20/12/2021,42.00
17/12/2021,43.10
16/12/2021,44.70
15/12/2021,43.00
14/12/2021,42.80
13/12/2021,42.90
10/12/2021,40.10
09/12/2021,39.40
08/12/2021,38.55
07/12/2021,38.40
06/12/2021,37.30
03/12/2021,39.90
02/12/2021,41.40
01/12/2021,41.60
30/11/2021,40.20
29/11/2021,39.65
26/11/2021,38.80
25/11/2021,39.30
24/11/2021,38.25
23/11/2021,38.25
22/11/2021,35.75
19/11/2021,38.10
18/11/2021,39.20
17/11/2021,39.95
16/11/2021,40.30
15/11/2021,41.60
12/11/2021,42.10
11/11/2021,42.80
10/11/2021,41.80
09/11/2021,42.20
