Date,Closing Price
10/05/2022,16.70
09/05/2022,16.40
06/05/2022,17.60
05/05/2022,18.50
04/05/2022,18.30
29/04/2022,19.60
28/04/2022,19.55
27/04/2022,20.00
26/04/2022,18.70
25/04/2022,19.45
22/04/2022,20.90
21/04/2022,20.60
20/04/2022,20.40
19/04/2022,21.90
18/04/2022,23.50
15/04/2022,25.25
14/04/2022,26.05
13/04/2022,26.20
12/04/2022,25.60
08/04/2022,26.10
07/04/2022,26.80
06/04/2022,27.40
05/04/2022,27.80
04/04/2022,28.20
01/04/2022,27.60
31/03/2022,27.50
30/03/2022,27.70
29/03/2022,28.25
28/03/2022,27.90
25/03/2022,28.55
24/03/2022,28.20
23/03/2022,27.85
22/03/2022,28.05
21/03/2022,28.40
18/03/2022,27.60
17/03/2022,27.15
16/03/2022,27.20
15/03/2022,27.55
14/03/2022,26.95
11/03/2022,25.60
10/03/2022,26.00
09/03/2022,25.90
08/03/2022,26.00
07/03/2022,26.30
04/03/2022,26.65
03/03/2022,26.40
02/03/2022,26.30
01/03/2022,26.60
28/02/2022,26.40
25/02/2022,26.45
24/02/2022,25.30
23/02/2022,26.20
22/02/2022,25.95
21/02/2022,26.65
18/02/2022,26.10
17/02/2022,25.40
16/02/2022,25.20
15/02/2022,25.15
14/02/2022,24.80
11/02/2022,25.35
10/02/2022,24.90
09/02/2022,25.15
08/02/2022,24.00
07/02/2022,23.90
28/01/2022,23.30
27/01/2022,22.70
26/01/2022,22.50
25/01/2022,22.65
24/01/2022,22.50
21/01/2022,24.00
20/01/2022,24.20
19/01/2022,22.45
18/01/2022,22.40
17/01/2022,22.20
14/01/2022,23.80
13/01/2022,24.00
12/01/2022,24.30
11/01/2022,23.70
10/01/2022,24.40
07/01/2022,25.40
06/01/2022,25.35
05/01/2022,26.10
04/01/2022,26.45
31/12/2021,26.10
30/12/2021,26.40
29/12/2021,24.70
28/12/2021,24.35
27/12/2021,24.95
24/12/2021,24.85
23/12/2021,24.20
22/12/2021,25.95
21/12/2021,27.00
20/12/2021,27.65
17/12/2021,26.95
16/12/2021,26.60
15/12/2021,26.90
14/12/2021,27.20
13/12/2021,27.15
10/12/2021,27.00
09/12/2021,27.50
08/12/2021,26.90
07/12/2021,27.05
06/12/2021,26.30
03/12/2021,28.25
02/12/2021,30.30
01/12/2021,30.45
30/11/2021,30.90
29/11/2021,31.75
26/11/2021,32.40
25/11/2021,32.90
24/11/2021,32.20
23/11/2021,32.00
22/11/2021,30.80
19/11/2021,32.10
18/11/2021,34.10
17/11/2021,32.90
16/11/2021,32.50
15/11/2021,32.80
12/11/2021,31.35
11/11/2021,31.00
10/11/2021,31.60
09/11/2021,31.00
08/11/2021,30.95
05/11/2021,30.20
04/11/2021,30.70
27/10/2021,28.90
26/10/2021,28.20
25/10/2021,27.90
22/10/2021,28.00
21/10/2021,27.90
20/10/2021,28.60
19/10/2021,28.90
18/10/2021,28.60
15/10/2021,28.60
14/10/2021,29.10
13/10/2021,29.00
12/10/2021,28.60
11/10/2021,29.30
08/10/2021,29.80
07/10/2021,29.50
06/10/2021,29.20
05/10/2021,29.00
04/10/2021,27.30
01/10/2021,27.30
30/09/2021,26.50
29/09/2021,26.40
28/09/2021,26.30
27/09/2021,25.90
24/09/2021,26.70
23/09/2021,27.00
22/09/2021,26.90
21/09/2021,26.60
20/09/2021,26.90
17/09/2021,27.10
16/09/2021,26.00
15/09/2021,26.00
14/09/2021,26.00
13/09/2021,26.40
10/09/2021,26.90
09/09/2021,26.70
08/09/2021,26.40
07/09/2021,26.60
06/09/2021,27.50
01/09/2021,27.30
31/08/2021,26.50
30/08/2021,25.80
27/08/2021,25.60
26/08/2021,26.00
25/08/2021,26.40
24/08/2021,26.50
23/08/2021,29.00
20/08/2021,27.70
19/08/2021,27.40
18/08/2021,27.30
17/08/2021,25.50
16/08/2021,25.90
13/08/2021,24.40
12/08/2021,24.00
11/08/2021,24.70
10/08/2021,24.90
09/08/2021,25.10
06/08/2021,23.80
05/08/2021,24.00
04/08/2021,23.80
03/08/2021,23.60
02/08/2021,23.50
30/07/2021,23.80
29/07/2021,23.70
28/07/2021,22.30
27/07/2021,21.70
26/07/2021,21.70
23/07/2021,22.00
22/07/2021,22.40
21/07/2021,22.30
20/07/2021,22.40
19/07/2021,21.50
16/07/2021,23.00
15/07/2021,22.80
14/07/2021,22.40
13/07/2021,22.30
12/07/2021,22.20
09/07/2021,22.90
08/07/2021,24.60
