Date,Closing Price
10/05/2022,23.70
09/05/2022,23.20
06/05/2022,24.90
05/05/2022,26.10
04/05/2022,26.60
29/04/2022,25.60
28/04/2022,25.05
27/04/2022,25.30
26/04/2022,25.00
25/04/2022,23.75
22/04/2022,25.50
21/04/2022,25.90
20/04/2022,26.30
19/04/2022,27.00
18/04/2022,28.20
15/04/2022,29.35
14/04/2022,29.60
13/04/2022,29.80
12/04/2022,29.35
08/04/2022,30.30
07/04/2022,31.60
06/04/2022,31.55
05/04/2022,32.10
04/04/2022,32.05
01/04/2022,31.90
31/03/2022,31.75
30/03/2022,32.20
29/03/2022,33.15
28/03/2022,32.40
25/03/2022,31.90
24/03/2022,31.90
23/03/2022,31.90
22/03/2022,31.60
21/03/2022,31.35
18/03/2022,31.15
17/03/2022,31.05
16/03/2022,30.80
15/03/2022,30.75
14/03/2022,30.65
11/03/2022,31.65
10/03/2022,32.55
09/03/2022,32.70
08/03/2022,33.00
07/03/2022,34.00
04/03/2022,33.00
03/03/2022,33.10
02/03/2022,32.30
01/03/2022,32.70
28/02/2022,32.95
25/02/2022,31.85
24/02/2022,31.50
23/02/2022,32.40
22/02/2022,32.35
21/02/2022,32.15
18/02/2022,31.65
17/02/2022,31.90
16/02/2022,31.90
15/02/2022,30.35
14/02/2022,30.10
11/02/2022,30.95
10/02/2022,30.85
09/02/2022,31.00
08/02/2022,30.80
07/02/2022,29.85
28/01/2022,29.00
27/01/2022,29.00
26/01/2022,29.05
25/01/2022,29.20
24/01/2022,28.60
21/01/2022,30.75
20/01/2022,31.25
19/01/2022,30.10
18/01/2022,30.00
17/01/2022,31.25
14/01/2022,33.60
13/01/2022,34.05
12/01/2022,35.00
11/01/2022,35.80
10/01/2022,37.70
07/01/2022,39.60
06/01/2022,40.00
05/01/2022,40.50
04/01/2022,39.20
31/12/2021,38.50
30/12/2021,38.45
29/12/2021,37.50
28/12/2021,37.85
27/12/2021,37.50
24/12/2021,37.50
23/12/2021,37.15
22/12/2021,38.80
21/12/2021,39.30
20/12/2021,38.95
17/12/2021,37.70
16/12/2021,37.00
15/12/2021,37.50
14/12/2021,37.60
13/12/2021,38.10
10/12/2021,38.20
09/12/2021,38.90
08/12/2021,37.35
07/12/2021,37.60
06/12/2021,36.40
03/12/2021,39.00
02/12/2021,41.30
01/12/2021,40.35
30/11/2021,40.40
29/11/2021,40.75
26/11/2021,40.20
25/11/2021,41.30
24/11/2021,41.55
23/11/2021,40.85
22/11/2021,38.20
19/11/2021,40.60
18/11/2021,40.00
17/11/2021,37.40
16/11/2021,37.00
15/11/2021,38.05
12/11/2021,38.60
11/11/2021,38.00
10/11/2021,38.70
09/11/2021,36.30
08/11/2021,34.45
05/11/2021,34.20
04/11/2021,33.00
03/11/2021,31.60
02/11/2021,33.20
01/11/2021,32.95
29/10/2021,32.40
28/10/2021,32.10
27/10/2021,30.00
26/10/2021,30.00
25/10/2021,30.00
22/10/2021,30.00
21/10/2021,30.60
20/10/2021,30.60
19/10/2021,30.45
18/10/2021,31.40
15/10/2021,31.85
14/10/2021,31.30
13/10/2021,29.80
12/10/2021,29.70
11/10/2021,30.30
08/10/2021,30.45
07/10/2021,30.70
06/10/2021,28.70
05/10/2021,28.25
04/10/2021,28.15
01/10/2021,27.85
30/09/2021,28.00
29/09/2021,27.75
28/09/2021,27.35
27/09/2021,27.20
24/09/2021,28.00
23/09/2021,28.20
22/09/2021,28.15
21/09/2021,27.70
20/09/2021,28.30
17/09/2021,29.20
16/09/2021,28.75
15/09/2021,28.95
14/09/2021,28.50
13/09/2021,28.95
10/09/2021,29.90
09/09/2021,29.15
08/09/2021,29.00
07/09/2021,29.35
27/08/2021,28.20
26/08/2021,27.60
25/08/2021,28.20
24/08/2021,26.90
23/08/2021,27.10
20/08/2021,29.10
19/08/2021,31.70
18/08/2021,30.70
17/08/2021,30.70
16/08/2021,32.30
13/08/2021,32.20
12/08/2021,31.00
11/08/2021,28.90
10/08/2021,29.40
09/08/2021,28.80
06/08/2021,27.80
05/08/2021,26.50
04/08/2021,25.30
03/08/2021,25.50
02/08/2021,25.60
30/07/2021,25.80
29/07/2021,26.40
28/07/2021,26.70
27/07/2021,26.80
26/07/2021,26.80
23/07/2021,25.60
22/07/2021,24.70
21/07/2021,23.90
20/07/2021,23.90
19/07/2021,23.50
16/07/2021,24.50
15/07/2021,24.30
14/07/2021,23.20
13/07/2021,22.70
12/07/2021,22.80
09/07/2021,24.00
08/07/2021,24.10
07/07/2021,24.60
06/07/2021,24.20
05/07/2021,26.60
02/07/2021,26.80
01/07/2021,27.20
30/06/2021,27.10
29/06/2021,27.90
28/06/2021,28.30
25/06/2021,27.90
24/06/2021,27.20
23/06/2021,28.10
22/06/2021,28.90
21/06/2021,28.80
18/06/2021,29.40
17/06/2021,29.40
16/06/2021,28.80
15/06/2021,27.30
14/06/2021,26.90
11/06/2021,26.90
10/06/2021,26.70
09/06/2021,27.10
