Date,Closing Price
10/05/2022,39.40
09/05/2022,40.70
06/05/2022,43.75
05/05/2022,47.00
04/05/2022,49.00
29/04/2022,49.50
28/04/2022,47.40
27/04/2022,47.10
26/04/2022,46.00
25/04/2022,48.30
22/04/2022,51.90
21/04/2022,55.80
20/04/2022,60.00
19/04/2022,62.70
18/04/2022,64.00
15/04/2022,60.50
14/04/2022,60.00
13/04/2022,58.90
12/04/2022,55.30
08/04/2022,59.40
07/04/2022,63.70
06/04/2022,59.60
05/04/2022,64.00
04/04/2022,67.80
01/04/2022,67.30
31/03/2022,62.90
30/03/2022,62.50
29/03/2022,64.60
28/03/2022,66.00
25/03/2022,63.00
24/03/2022,59.50
23/03/2022,57.90
22/03/2022,54.20
21/03/2022,53.70
18/03/2022,51.50
17/03/2022,53.00
16/03/2022,50.90
15/03/2022,48.70
14/03/2022,50.30
11/03/2022,52.50
10/03/2022,52.40
09/03/2022,51.00
08/03/2022,51.80
07/03/2022,55.60
04/03/2022,54.00
03/03/2022,53.20
02/03/2022,55.20
01/03/2022,55.00
28/02/2022,56.10
25/02/2022,52.50
24/02/2022,52.50
23/02/2022,51.50
22/02/2022,48.15
21/02/2022,45.00
18/02/2022,46.40
17/02/2022,45.70
16/02/2022,42.75
15/02/2022,41.15
14/02/2022,41.70
11/02/2022,39.00
10/02/2022,38.25
09/02/2022,37.85
08/02/2022,38.05
07/02/2022,37.50
28/01/2022,35.10
27/01/2022,35.00
26/01/2022,35.55
25/01/2022,35.95
24/01/2022,35.35
21/01/2022,37.40
20/01/2022,37.65
19/01/2022,37.10
18/01/2022,36.10
17/01/2022,35.10
14/01/2022,37.10
13/01/2022,36.20
12/01/2022,36.75
11/01/2022,37.15
10/01/2022,37.10
07/01/2022,39.60
06/01/2022,39.60
05/01/2022,37.05
04/01/2022,36.30
31/12/2021,36.55
30/12/2021,37.30
29/12/2021,36.60
28/12/2021,36.50
27/12/2021,37.00
24/12/2021,35.60
23/12/2021,35.00
22/12/2021,35.55
21/12/2021,34.30
20/12/2021,32.10
17/12/2021,32.00
16/12/2021,32.55
15/12/2021,32.15
14/12/2021,32.80
13/12/2021,31.40
10/12/2021,31.15
09/12/2021,31.20
08/12/2021,30.00
07/12/2021,30.00
06/12/2021,29.50
03/12/2021,30.00
02/12/2021,30.80
01/12/2021,31.00
30/11/2021,30.10
29/11/2021,29.40
26/11/2021,29.95
25/11/2021,30.35
24/11/2021,29.95
23/11/2021,30.70
22/11/2021,29.80
19/11/2021,32.00
18/11/2021,34.30
17/11/2021,34.60
16/11/2021,33.20
15/11/2021,31.95
12/11/2021,31.70
11/11/2021,31.80
10/11/2021,32.55
09/11/2021,31.80
08/11/2021,32.05
05/11/2021,31.05
04/11/2021,30.70
03/11/2021,30.50
02/11/2021,31.50
01/11/2021,30.65
29/10/2021,31.00
28/10/2021,30.75
27/10/2021,31.00
26/10/2021,29.70
25/10/2021,30.00
22/10/2021,30.60
21/10/2021,30.80
20/10/2021,31.30
19/10/2021,30.40
18/10/2021,30.35
15/10/2021,30.35
14/10/2021,30.40
13/10/2021,29.15
12/10/2021,29.20
11/10/2021,28.95
08/10/2021,29.05
07/10/2021,29.40
06/10/2021,28.00
05/10/2021,27.75
04/10/2021,27.35
01/10/2021,26.90
30/09/2021,26.80
29/09/2021,26.40
28/09/2021,26.20
27/09/2021,24.65
24/09/2021,26.50
23/09/2021,27.00
22/09/2021,27.70
21/09/2021,27.00
20/09/2021,27.50
17/09/2021,28.25
16/09/2021,28.60
15/09/2021,28.70
14/09/2021,28.50
13/09/2021,29.35
10/09/2021,27.50
09/09/2021,27.65
08/09/2021,26.80
07/09/2021,27.00
06/09/2021,28.45
01/09/2021,27.75
31/08/2021,27.50
30/08/2021,27.55
27/08/2021,25.80
26/08/2021,24.80
25/08/2021,24.45
24/08/2021,24.40
23/08/2021,23.75
20/08/2021,25.50
19/08/2021,26.55
18/08/2021,26.20
17/08/2021,25.90
16/08/2021,26.40
13/08/2021,26.50
12/08/2021,25.90
11/08/2021,24.25
10/08/2021,24.05
09/08/2021,22.50
06/08/2021,22.35
05/08/2021,22.05
04/08/2021,22.00
03/08/2021,21.55
02/08/2021,21.45
30/07/2021,21.35
29/07/2021,21.30
28/07/2021,20.80
27/07/2021,21.15
26/07/2021,20.70
23/07/2021,19.70
22/07/2021,20.25
21/07/2021,19.50
20/07/2021,19.35
19/07/2021,18.90
16/07/2021,20.30
15/07/2021,20.35
14/07/2021,19.40
13/07/2021,20.20
12/07/2021,21.05
09/07/2021,22.60
08/07/2021,22.65
07/07/2021,22.15
06/07/2021,22.00
05/07/2021,23.45
02/07/2021,23.10
01/07/2021,22.20
30/06/2021,21.85
29/06/2021,21.80
28/06/2021,22.25
25/06/2021,21.40
24/06/2021,21.40
23/06/2021,21.70
22/06/2021,22.30
21/06/2021,22.50
18/06/2021,22.30
17/06/2021,21.35
16/06/2021,21.25
15/06/2021,21.35
14/06/2021,21.65
11/06/2021,21.50
10/06/2021,20.85
09/06/2021,21.90
08/06/2021,23.05
07/06/2021,24.75
04/06/2021,25.00
03/06/2021,23.80
02/06/2021,23.15
01/06/2021,23.00
31/05/2021,22.75
28/05/2021,21.30
27/05/2021,20.70
26/05/2021,21.20
25/05/2021,21.50
24/05/2021,21.00
21/05/2021,20.15
20/05/2021,19.80
19/05/2021,20.10
18/05/2021,20.20
17/05/2021,20.30
14/05/2021,21.60
13/05/2021,22.00
12/05/2021,22.50
11/05/2021,21.90
10/05/2021,21.20
07/05/2021,20.70
06/05/2021,21.05
05/05/2021,21.40
04/05/2021,20.50
29/04/2021,20.00
28/04/2021,20.00
27/04/2021,19.85
26/04/2021,19.65
23/04/2021,20.50
22/04/2021,19.95
20/04/2021,21.40
19/04/2021,22.20
16/04/2021,21.10
15/04/2021,22.05
14/04/2021,22.75
13/04/2021,22.50
12/04/2021,23.40
09/04/2021,23.50
08/04/2021,23.20
07/04/2021,23.50
06/04/2021,22.00
05/04/2021,22.20
02/04/2021,22.75
01/04/2021,23.05
31/03/2021,22.90
30/03/2021,21.70
29/03/2021,22.00
26/03/2021,22.00
25/03/2021,22.00
24/03/2021,22.50
23/03/2021,23.60
22/03/2021,24.25
19/03/2021,23.80
18/03/2021,23.00
17/03/2021,24.00
16/03/2021,24.45
15/03/2021,23.05
12/03/2021,22.20
11/03/2021,21.80
10/03/2021,21.20
09/03/2021,21.50
08/03/2021,21.10
05/03/2021,19.75
04/03/2021,18.50
03/03/2021,19.05
02/03/2021,18.10
01/03/2021,17.70
26/02/2021,16.55
25/02/2021,16.60
24/02/2021,16.50
23/02/2021,16.85
22/02/2021,16.80
19/02/2021,17.05
18/02/2021,17.15
17/02/2021,16.45
09/02/2021,15.40
08/02/2021,14.90
05/02/2021,15.65
04/02/2021,15.45
03/02/2021,15.45
02/02/2021,14.45
01/02/2021,13.90
29/01/2021,14.80
28/01/2021,14.25
27/01/2021,15.30
26/01/2021,16.30
25/01/2021,17.40
22/01/2021,17.75
21/01/2021,17.50
20/01/2021,16.85
19/01/2021,17.40
18/01/2021,18.70
15/01/2021,19.20
14/01/2021,18.60
13/01/2021,17.40
12/01/2021,17.10
11/01/2021,17.20
08/01/2021,17.40
07/01/2021,17.35
06/01/2021,17.00
05/01/2021,17.10
04/01/2021,16.35
31/12/2020,16.15
30/12/2020,16.25
29/12/2020,15.75
28/12/2020,16.00
25/12/2020,15.45
24/12/2020,15.40
23/12/2020,16.20
22/12/2020,16.20
21/12/2020,16.50
18/12/2020,16.55
17/12/2020,16.60
16/12/2020,16.60
15/12/2020,16.60
14/12/2020,15.85
11/12/2020,15.05
10/12/2020,14.90
09/12/2020,15.40
08/12/2020,15.40
07/12/2020,15.70
04/12/2020,15.60
03/12/2020,15.80
02/12/2020,15.50
01/12/2020,15.80
30/11/2020,16.10
27/11/2020,16.00
26/11/2020,15.40
25/11/2020,15.35
24/11/2020,15.85
23/11/2020,15.55
20/11/2020,14.55
19/11/2020,13.60
18/11/2020,14.40
17/11/2020,14.30
16/11/2020,14.60
13/11/2020,14.10
12/11/2020,13.20
11/11/2020,12.35
10/11/2020,11.55
09/11/2020,11.20
06/11/2020,10.50
05/11/2020,9.94
04/11/2020,10.10
03/11/2020,9.94
02/11/2020,9.65
30/10/2020,9.25
29/10/2020,9.39
28/10/2020,9.25
27/10/2020,9.60
26/10/2020,9.88
23/10/2020,10.05
22/10/2020,10.20
21/10/2020,10.00
20/10/2020,10.40
19/10/2020,10.40
16/10/2020,10.40
15/10/2020,10.25
14/10/2020,10.60
13/10/2020,10.70
12/10/2020,10.45
09/10/2020,10.80
08/10/2020,10.90
07/10/2020,10.45
06/10/2020,9.77
05/10/2020,9.78
02/10/2020,9.65
01/10/2020,9.86
30/09/2020,9.72
29/09/2020,9.70
28/09/2020,9.86
25/09/2020,9.67
24/09/2020,9.65
23/09/2020,9.80
22/09/2020,9.70
21/09/2020,9.40
18/09/2020,9.37
17/09/2020,9.45
16/09/2020,9.50
15/09/2020,9.03
14/09/2020,9.05
11/09/2020,9.10
10/09/2020,9.09
09/09/2020,8.83
08/09/2020,8.90
07/09/2020,8.70
04/09/2020,8.95
03/09/2020,9.00
01/09/2020,9.16
31/08/2020,9.04
28/08/2020,9.19
27/08/2020,8.59
26/08/2020,8.34
25/08/2020,8.04
24/08/2020,8.11
21/08/2020,8.06
20/08/2020,7.98
19/08/2020,8.06
18/08/2020,8.14
17/08/2020,8.25
14/08/2020,9.18
13/08/2020,9.23
12/08/2020,9.22
11/08/2020,9.19
10/08/2020,9.23
07/08/2020,9.17
