Date,Closing Price
10/05/2022,33.00
09/05/2022,32.10
06/05/2022,34.40
05/05/2022,34.80
04/05/2022,34.40
29/04/2022,34.80
28/04/2022,33.60
27/04/2022,33.80
26/04/2022,33.00
25/04/2022,32.10
22/04/2022,33.50
21/04/2022,35.95
20/04/2022,35.30
19/04/2022,37.70
18/04/2022,35.25
15/04/2022,35.00
14/04/2022,35.00
13/04/2022,33.25
12/04/2022,33.80
08/04/2022,34.20
07/04/2022,34.80
06/04/2022,34.15
05/04/2022,34.10
04/04/2022,33.50
01/04/2022,33.95
31/03/2022,33.15
30/03/2022,33.40
29/03/2022,33.60
28/03/2022,33.50
25/03/2022,34.20
24/03/2022,34.20
23/03/2022,33.80
22/03/2022,33.70
21/03/2022,33.00
18/03/2022,33.30
17/03/2022,32.75
16/03/2022,34.10
15/03/2022,34.75
14/03/2022,35.00
11/03/2022,34.80
10/03/2022,35.80
09/03/2022,37.00
08/03/2022,36.00
07/03/2022,38.00
04/03/2022,36.90
03/03/2022,36.40
02/03/2022,36.50
01/03/2022,36.70
28/02/2022,36.55
25/02/2022,36.65
24/02/2022,38.30
23/02/2022,38.25
22/02/2022,37.75
21/02/2022,35.30
18/02/2022,33.00
17/02/2022,31.85
16/02/2022,31.90
15/02/2022,33.50
14/02/2022,32.70
11/02/2022,30.70
10/02/2022,30.40
09/02/2022,30.90
08/02/2022,31.65
07/02/2022,31.65
28/01/2022,29.60
27/01/2022,29.60
26/01/2022,30.20
25/01/2022,29.50
24/01/2022,29.65
21/01/2022,30.15
20/01/2022,30.90
19/01/2022,29.55
18/01/2022,30.40
17/01/2022,30.30
14/01/2022,30.00
13/01/2022,31.25
12/01/2022,32.00
11/01/2022,32.20
10/01/2022,32.60
07/01/2022,32.65
06/01/2022,32.70
05/01/2022,33.00
04/01/2022,33.00
31/12/2021,33.40
30/12/2021,33.50
29/12/2021,33.00
28/12/2021,33.60
27/12/2021,33.75
24/12/2021,33.40
23/12/2021,33.70
22/12/2021,33.45
21/12/2021,33.00
20/12/2021,33.40
17/12/2021,34.80
16/12/2021,36.50
15/12/2021,36.00
14/12/2021,35.50
13/12/2021,35.00
10/12/2021,33.50
09/12/2021,33.50
08/12/2021,33.30
07/12/2021,32.50
06/12/2021,32.70
03/12/2021,32.80
02/12/2021,32.75
01/12/2021,33.50
30/11/2021,33.65
29/11/2021,33.90
26/11/2021,34.00
25/11/2021,33.90
24/11/2021,34.50
23/11/2021,33.40
22/11/2021,32.50
19/11/2021,34.40
18/11/2021,35.50
17/11/2021,35.65
16/11/2021,35.50
15/11/2021,35.80
12/11/2021,36.00
11/11/2021,36.95
10/11/2021,37.20
09/11/2021,36.00
08/11/2021,36.40
05/11/2021,36.40
04/11/2021,36.30
03/11/2021,35.80
